SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Streptococcus_pyogenes	0.002152546	0.000847832	0.003006385	0	0.00127487	0	0	0	0	0	0.003321498	0.007551335	0.005687236	0.002750588	0.0069517	0	0.004598382	0	0.000729392	0.001478952	0	0.004793514	0	0	0	0	0.001033953	0.004991591	0	0.038511805	0	0	0	0.003744269	0.001759723	0.002474091	0.024133511	0	0	0	0	0	0	0	0.004188379	0	0	0	0	0	0	0.007941957	0	0	0.001509831	0.001503733	0	0	0.006134274	0	0.000958586	0	0	0	0.002987152	0.000769724	0.011980865	0.002911285	0.005876298	0.008645891	0	0	0	0	0	0	0	0.000745474	0.013492184	0	0	0.003061996	0	0.000688783	0.001773544	0	0	0	0	0.003154035	0	0.002907655	0.003276307	0	0	0.006057568	0.02290554	0.002371446	0	0
Neisseria_gonorrhoeae	0.00132673	0	0	0	0.017362459	0.00155507	0.000939299	0	0	0.00327608	0.003224871	0	0.006087225	0.000970629	0.008202238	0.001232823	0.003937671	0.001155967	0	0	0	0.003618342	0	0.005366335	0	0.003715775	0.020242451	0	0.008915661	0.001645237	0	0	0.007393213	0	0	0	0	0	0	0	0	0	0.000278328	0.003206787	0	0.006149294	0.002305963	0	0	0	0.000641483	0	0.001829085	0	0	0.004554963	0.000738262	0	0.002920065	0.005381574	0.001361082	0.002978143	0.012106802	0.001025113	0.000856175	0.002070348	0	0	0	0.001749191	0.005138403	0	0	0	0.01969299	0	0.002132333	0.004501252	0	0	0	0	0.000791056	0.001219396	0	0.0042928	0	0	0.001045105	0	0	0	0.001943852	0	0	0	0.005712318	0	0	0
Lactococcus_lactis	0	0	0	0.005228192	0	0	0.000608072	0.004219657	0	0.002074671	0	0.007588663	0	0	0.002093692	0.002540518	0	0.006776362	0.001909965	0	0	0	0	0	0.001984309	0.007154858	0	0.001571967	0.002563663	0	0.003719862	0.003027251	0	0	0.004796091	0.003665287	0	0.062598192	0.005677923	0.001663956	0.013929474	0.005926447	0.003855027	0.000773571	0.0047195	0	0.004414411	0	0	0.001120611	0.006549864	0	0.001507553	0.002741475	0	0	0.004823728	0	0.007517493	0.000235492	0.020725942	0.007709028	0.011703949	0	0	0	0.000982718	0.008469318	0.003992443	0	0.001912166	0	0	0.006742568	0.000560079	0	0.003546247	0	0	0	0	0.001583381	0	0.001498673	0	0	0	0.005427376	0.001392885	0	0.009404007	0	0	0.010649303	0	0	0	0	0	0
Streptococcus_agalactiae	0.000326399	0	0.000545754	0.002234623	0.00376768	0	0	0	0.014884562	0	0	0.003052211	0	0	0.008898751	0	0.007031649	0.002091388	0.00758825	0.002735498	0.001408326	0.002545685	0.011112792	0.003505238	0.002481962	0	0.001182017	0.002240775	0	0	0	0.006135143	0	0	0	0	0.003041775	0.000452235	0	0.002251912	0	0	0	0.003542177	0.000495239	0	0	0.002130024	0	0	0.000819004	0	0.000808797	0.005287064	0	0	0.002657059	0	0.000741983	0.000919271	0	0	0.000253713	0	0	0	0.009795944	0	0.000742004	0	0.004724181	0.00231635	0	0	0	0.008226376	0	0.000647222	0	0	0.008650751	0	0.001267656	0	0	0	0	0.000362575	0.005505972	0.00241759	0.001170234	0	0	0.002140529	0.001483216	0	0	0	0.004825707	0
Streptococcus_mutans	0	0	0	0	0.008628651	0.003055724	0.002191388	0	0.005577717	0	0	0	0	0.005267323	0	0	0.001520534	0	0	0.002076883	0	0	0.000747234	0	0.000492735	0	0	0	0.004842742	0	0	0	0	0	0	0	0.001491769	0	0	0	0.000600576	0	0.002200291	0	0.002011376	0	0.002355193	0	0.005675054	0	0	0	0.00164446	0.001460856	0	0	0	0	0.005394927	0.002727499	0.001873536	0.000606276	0	0.001490829	0.008108078	0	0.001155017	0	0.001659885	0.002131494	0.005898796	0.002523432	0	0	0.024765527	0	0	0.001884041	0	0	0.001518926	0	0	0.000853721	0.004744745	0.009251108	0	0.002048167	0.012060775	0	0.000743585	0	0	0	0.002100391	0	0.000612451	0	0	0
Bifidobacterium_longum	0	0.001319347	0.00141124	0.010355062	0.002514484	0	0	0	0	0	0.006867262	0	0	0.004330185	0.001222164	0	0	0	0	0.002479139	0.000485487	0.008455017	0	0.000694925	0.001606015	0.006375759	0.003458618	0	0.000505468	0	0.002516784	0	0	0	0.010527466	0	0	0.003264615	0	0	0	0	0	0	0	0	0.00712417	0	0	0	0	0	0	0	0	0	0.002959228	0	0	0	0.005080736	0	0.004852789	0.0050044	0	0	0	0.003928558	0	0	0.003116209	0	0	0	0	0	0.002697843	0	0.002719989	0	0.004437337	0	0	0.006996783	0	0.001494641	0	0	0	0	0	0	0	0.003068278	0	0	0	0	0	0.002201408
Staphylococcus_epidermidis	0	0.002563068	0.001035345	0	0	0.002256843	0.009672471	0.007263133	0	0.009624542	0.006810126	0	0	0.021892688	0.014818199	0	0	0	0.001568636	0	0	0	0	0.000692344	0	0	0.00125243	0.003001218	0.000906812	0.002707191	0.00423067	0	0.003036878	0.000907015	0.002648766	0	0	0	0.014532936	0	0	0	0	0.001358924	0	0	0	0	0.006125227	0	0.010133514	0	0	0.000872788	0.003896786	0.00219311	0	0	0.001764387	0.002957098	0.000872446	0.002589369	0	0	0.001261646	0.004439179	0	0.00373205	0.012605362	0	0	0.000924616	0	0	0	0	0.000700296	0.001075239	0	0.003194756	0	0	0	0.001166797	0	0	0	0	0	0.009215614	0	0	0.023702905	0.002467485	0.002433691	0	0.001479642	0	0.001318081	0
Treponema_denticola	0.00326985	0.002168033	0	0.000849721	0	0.008196584	0.012892157	0	0	0	0	0	0	0	0	0.002050657	0	0	0	0	0	0.014480692	0.011045102	0	0.001026361	0.000912266	0	0.008941993	0.010243023	0.006246892	0	0	0.003320654	0.004688874	0.008527224	0	0	0	0.000941026	0.005093199	0.009780629	0.006795892	0.006148394	0	0.002009513	0	0	0	0	0	0.019606537	0	0	0.003269996	0	0	0.00381631	0	0.0041366	0	0	0.003657616	0.007300963	0	0	0.010960345	0.001192495	0	0.002150891	0	0.003120477	0.00457642	0	0.013830088	0.001151168	0	0	0.002376791	0.000645715	0.002915367	0.003951845	0	0.001950109	0	0	0	0	0.010515404	0	0	0.025252299	0	0.008312857	0.010488182	0	0	0.002734304	0.001750821	0.008956928	0.00026798
Cutibacterium_acnes	0	0.001248801	0.01882758	0.019182201	0.002628753	0	0	0	0	0	0.007709132	0	0	0.00442762	0	0.00182328	0	0	0.015366916	0	0	0	0	0.007355176	0.00246388	0	0	0.017179704	0	0	0	0	0.001294399	0.002485198	0	0	0	0.005244566	0.002731531	0.001507292	0	0	0	0.005208716	0	0	0	0.009602776	0.018613311	0	0.00703242	0.011737581	0	0.020361473	0	0	0	0	0.006237092	0	0	0.014039831	0.003331503	0	0.015502102	0	0	0.012797911	0	0	0.002866383	0.001221898	0.002400376	0	0	0.00449213	0.001043828	0.005935002	0	0.006694058	0.001261117	0	0	0	0	0	0	0	0	0	0.00305941	0.001956989	0.004434512	0	0	0.004345642	0	0.001304431	0	0
Helicobacter_pylori	0.000166737	0.001978701	0	0	0.002201094	0.003477606	0.006202651	0	0.006563865	0	0	0	0.000864204	0.002811878	0.002427957	0.000851981	0.004624651	0	0	0.008551175	0	0.004420293	0.006021228	0	0.002771337	0	0.001502837	0	0	0	0.005640829	0.00635552	0.004109768	0	0.002567731	0.001846138	0	0	0	0	0	0	0	0	0	0	0	0.003140966	0	0	0	0.000514107	0	0	0	0	0	0.004249607	0	0.000986933	0.016488713	0.00073849	0	0.001462386	0	0.00238042	0	0.006132973	0.001515686	0	0.002702422	0.003111293	0	0	0	0	0.000514168	0	0	0	0	0	0	0.0005678	0	0.001622733	0	0.004392493	0	0.000974421	0	0	0	0	0.022394143	0	0	0	0	0
