SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Lactococcus_lactis	0	0.011644938	0.006341589	0	0.022803972	0	0	0	0.000727077	0.000972109	0	0	0	0	0	0	0	0	0	0.002964824	0.004829148	0	0	0.004674627	0.008629552	0	0	0	0	0	0.001534612	0	0	0	0	0	0.01416479	0	0	0	0.022225618	0	0.003452703	0	0.000534519	0	0.013758197	0	0	0	0	0	0	0	0	0	0	0.001799359	0	0	0	0.004966943	0.019408634	0.012807369	0	0	0	0	0	0	0	0.001274142	0	0.008147338	0	0	0	0	0	0	0.008101176	0.007539287	0	0.075111582	0.004022854	0	0	0.001917461	0	0	0	0	0	0	0.011647582	0	0	0.007795191	0	0
Streptococcus_agalactiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003429572	0	0	0	0	0	0	0.005543177	0.00643304	0.000641328	0	0.031290565	0	0.000547496	0	0.007945096	0	0.002628767	0	0	0	0	0.001088165	0.000226857	0.001924281	0.003317075	0.031869929	0	0	0.019291109	0	0	0	0	0	0	0	0.032431494	0.004110638	0.002791945	0.001107809	0	0	0	0	0	0	0.003862893	0	0	0	0	0	0	0	0	0	0	0	0	0.001623899	0	0	0	0	0	0	0	0.00506895	0.001306984	0	0	0.014576759	0	0.001977844	0	0	0	0.018017386	0	0.009821664	0
Streptococcus_mutans	0.018304638	0.009607655	0	0.002573384	0	0.001768643	0.000398339	0	0	0	0	0	0.001142902	0	0	0.002709356	0	0.027418911	0.002842091	0	0	0.010629104	0	0	0.006247664	0.000656719	0.00259414	0.006170636	0	0	0.005102468	0.010062985	0.002465505	0	0	0	0	0	0.01136706	0	0	0.004112336	0	0.001679648	0	0	0	0	0	0	0.003313851	0.002629771	0.003013769	0.012282642	0	0	0.002778303	0	0.001128888	0	0.00341423	0	0.001544094	0	0	0.001690032	0	0	0.00719429	0.000278185	0	0.007060946	0	0.004683887	0.004287074	0	0	0.001848849	0	0.007962214	0	0	0	0.002522238	0	0.001710324	0	0	0.017039445	0	0	0	0	0.000330016	0	0	0	0	0	0
Bifidobacterium_longum	0	0	0.001146548	0.001607277	0	0	0	0.002471401	0.002360733	0	0	0.004406003	0	0.002775247	0	0.003492392	0.008295062	0	0.001688989	0.017265763	0	0.010844156	0.014353198	0.008710411	0	0	0.003338006	0.000511251	0	0.000793182	0	0.00067194	0	0	0.008222475	0	0.003511619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001471777	0	0.001664499	0	0	0.005970242	0	0	0	0	0.011502745	0	0.003799534	0	0	0	0	0	0	0	0	0	0.000915753	0	0.002480164	0	0.005551089	0	0.037715185	0	0	0	0.001221969	0	0.003733965	0	0	0.014486238	0.010648104	0.029400398	0	0	0	0	0.000723782	0	0	0.001008619	0
Staphylococcus_epidermidis	0	0	0	0	0	0	0	0	0	0	0	0.001159103	0	0.002134048	0	0	0	0	0	0	0	0	0.00447986	0	0	0	0.001638575	0	0	0	0	0.002892545	0.003113776	0	0	0.003941738	0.007157817	0.001687292	0.015461321	0	0	0.000893314	0	0	0	0	0	0	0	0	0.000807714	0.013516263	0	0	0.001315125	0	0	0	0	0	0	0	0	0.005600352	0.00374536	0.001056305	0	0.003071513	0	0	0.006028824	0.00480616	0.004384499	0	0	0	0	0.004224628	0	0.006080876	0.010026845	0	0	0.001356762	0	0	0	0.007027806	0.009781953	0.016092903	0	0	0	0.004587294	0	0	0.001992614	0	0	0.006065301
Cutibacterium_acnes	0	0.004868233	0.052441184	0	0.010123652	0	0	0.002572465	0	0	0	0.001129901	0	0	0.063655704	0	0	0.001362875	0.014431662	0.001514805	0	0	0	0.002194139	0	0.007501487	0	0.024277148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004056502	0.007314731	0	0.000863946	0.00174059	0	0	0	0	0	0.002541008	0	0	0.002924115	0	0	0	0.009359272	0	0.009518968	0	0	0	0	0	0	0	0.004875781	0.000351696	0.001514098	0	0.000825466	0	0.002088853	0.001987859	0	0.003952822	0	0	0.008713467	0.01644358	0.001979237	0.01459348	0	0	0	0	0	0.003165739	0	0.001766901	0	0.006711048	0
Helicobacter_pylori	0	0	0	0	0	0	0	0	0	0	0.003241899	0.002297575	0	0.000402768	0	0	0	0.002629424	0	0	0	0.001381069	0	0	0	0.005596342	0	0	0.001860428	0	0.003903147	0	0	0	0	0.002553615	0.000566972	0.015811734	0.003105969	0	0.002076923	0	0	0.000807286	0	0.008077268	0	0	0	0	0	0	0	0	0	0.001382185	0	0	0	0	0	0.000892479	0	0.000562453	0.001213024	0	0.000459241	0	0.000825935	0	0	0.001073142	0	0	0	0	0.003763827	0.000255482	0	0.003275688	0	0	0	0	0	0	0	0	0	0.015882099	0	0.000439869	0	0.056437705	3.78E-05	0.001870222	0	0	0	0.003189881
Clostridioides_difficile	0.009596489	0	0.001574818	0.025947948	0	0	0.061133207	0	0.016185828	0	0.001259758	0	0	0.018778262	0	0	0.014624014	0	0	0	0.004448255	0	0	0	0	0	0.001562977	0	0	0.006898625	0	0	0	0	0	0	0	0.003853195	0	0.006331608	0	0.012325242	0	0	0	0	0	0	0	0	0.005077505	0.004496373	0	0.000916932	0.017068987	0.003483559	0.006782667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008976308	0	0	0	0	0	0	0	0.018209656	0	0	0.005718663	0	0	0	0	0	0.004864907	0	0	0	0	0	0	0	0	0	0.003480666	0.002917999	0
Bacteroides_fragilis	0.007006407	0.035104517	0	0	0	0	0	0	0.004521306	0.014830327	0	0	0	0	0.009708137	0.014253161	0	0	0	0.0028918	0	0	0	0	0.026881858	0	0	0	0	0	0	0.026851348	0	0	0	0	0	0	0	0.031029387	0.03409427	0.020296792	0	0	0	0.009933584	0	0	0	0	0.010983498	0.004413368	0	0	0	0	0.002097694	0	0	0.003931469	0	0.046859462	0	0	0	0	0	0.004411441	0.003619908	0	0.011159269	0	0	0	0	0	0.004264164	0	0.020600451	0	0.004769754	0.003568504	0.000887058	0	0.015241804	0	0	0.037002224	0.001335669	0	0	0.009994783	0	0	0	0	0	0	0	0
Lactobacillus_fermentum	0	0	0	0	0	0	0.008751633	0	0	0	0	0.000661659	0.001405572	0	0	0	0	0	0	0.002889009	0	0	0	0	0.001522117	0	0	0.000998473	0	0.004166486	0	0.001173236	0	0.001740748	0	0	0.0036543	0	0	0	0.001761787	0	0.011819515	0	0	0.003488501	0.002009601	0	0	0.00430602	0	0	0	0	0	0	0	0.001562055	0	0	0.002680535	0	0	0	0.005081544	0.001684783	0	0	0	0	0.002547421	0.010722782	0.005227071	0	0.000669742	0.00070264	0.003978116	0	0	0	0	0	0	0.005752705	0	0	0	0.000257978	0	0	0	0	0	0	0	0	0	0.002419189	0	0.002992888
