SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Streptococcus_agalactiae	0.063881595	0	0.026536374	0	0	0.00694947	0	0	0	0	0.015061548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011182422	0	0	0	0	0	0	0	0	0.018421241	0	0	0	0	0	0	0	0.00261979	0.053550335	0	0	0	0	0.017061222	0	0	0	0.014502839	0	0	0	0	0	0	0	0	0	0.02954647	0	0	0	0	0	0	0	0.008871815	0	0	0.06074081	0	0.014428074	0	0	0	0	0	0.007114089	0	0	0.012506057	0.029746976	0	0	0	0	0	0	0	0	0	0	0.027031191	0	0	0
Bifidobacterium_longum	0	0	0	0	0	0	0	0.027373804	0	0.029640233	0	0	0.010739031	0	0	0	0	0	0	0	0	0	0.00737946	0	0	0	0	0	0	0	0	0	0	0	0.024728861	0	0.006125955	0.0837783	0	0	0	0	0	0	0.005097948	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277912029	0	0.005771135	0	0	0	0	0.008048206	0	0	0	0	0	0	0	0.019683793	0.031465235	0	0	0	0	0	0	0	0	0	0.026867294	0	0	0	0.071994341	0	0	0.057943446	0	0	0	0	0.028729141	0	0	0
Staphylococcus_epidermidis	0	0	0	0.046417947	0	0.01142972	0	0	0	0	0	0	0	0	0	0.003454925	0	0	0	0	0.092882946	0	0	0	0	0	0	0	0.005836394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188551062	0	0	0	0.332450869	0	0	0	0	0.010967783	0	0	0	0.055483245	0.010541931	0	0	0	0	0	0	0	0	0	0.018887228	0.027601138	0	0	0	0.042208201	0.077717218	0.024483551	0	0	0.033535569	0.023527035	0	0	0	0.002171725	0	0	0	0	0.009256702	0
Cutibacterium_acnes	0	0	0	0	0	0.002255915	0	0.01452072	0.005087752	0	0	0	0	0.061840089	0.02786654	0	0	0	0	0	0.014657099	0.022034591	0.032812355	0	0	0.017814072	0	0	0.006124367	0	0.075723598	0.001745203	0	0.002257425	0.030461301	0	0	0.021096562	0	0	0	0	0.010773786	0	0	0	0	0	0.025897333	0	0	0	0	0	0.256142936	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008666398	0	0	0.030244969	0	0.043069386	0	0	0.013594704	0	0	0.041476017	0	0	0.01971193	0	0	0	0.058470872	0	0	0	0	0	0	0.030927448	0.01507474	0	0	0	0	0.014179734
Helicobacter_pylori	0	0	0.006296912	0	0	0.005666806	0	0	0.104866792	0	0	0	0	0.007983447	0	0	0	0.021762743	0	0	0	0	0	0	0	0.003909699	0	0	0.012557554	0	0	0	0	0.004951864	0	0	0	0	0	0	0	0.016518551	0	0	0	0.006210755	0	0	0	0.005460135	0	0	0	0	0	0	0	0	0	0	0	0	0.065585367	0.034909794	0	0	0	0.012741928	0.008879321	0	0	0	0	0	0.005178468	0	0.009902135	0	0	0	0.063089763	0.039848411	0.004089297	0	0	0	0	0	0.025800541	0	0	0	0	0.06791796	0	0	0	0	0.038559236	0
Finegoldia_magna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097294281	0.037918302	0	0	0	0.001509276	0	0	0	0	0	0	0	0.024018936	0	0.009923099	0	0	0.103537746	0	0	0	0	0	0.019808302	0	0	0	0	0.021686814	0.023607038	0.011159692	0	0.038908614	0	0	0.024513287	0	0	0	0	0	0	0	0	0	0.01041936	0	0.09544104	0	0.045532587	0	0	0.005648534	0	0	0	0.007819919	0	0.009135811	0	0	0.095827134	0	0	0.091808441	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066293996	0	0	0	0	0.020153688	0	0	0	0	0	0.004911504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014552517	0	0	0	0	0	0	0	0	0.013264189	0.034272729	0	0	0	0	0.011664063	0	0	0	0.017305808	0	0	0	0	0	0	0	0	0	0	0	0	0.015576631	0	0	0	0	0	0	0	0	0.007286454	0.027238597	0	0	0	0	0	0	0	0	0	0	0.005788439	0	0.016358839	0	0	0.006548456	0
Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009649626	0	0	0	0	0	0.015808446	0	0	0.019545668	0	0.022645012	0	0	0	0	0.019005246	0	0.015754058	0	0	0.023939456	0.005778734	0	0	0	0	0	0	0	0	0	0	0.032568576	0	0.008792673	0	0	0	0	0	0	0	0	0	0.007772012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005305852	0	0	0	0.053170929	0	0	0	0	0	0	0	0	0	0
Ureaplasma_parvum	0	0	0	0	0	0	0	0	0.027334917	0	0	0.003284693	0.032128344	0.026415373	0	0	0.013332889	0	0.023838375	0.006819229	0	0	0	0	0.030425124	0	0.02578407	0	0.012620259	0	0	0	0.02965326	0.069952839	0	0	0	0	0	0	0	0	0	0.010579228	0.025085632	0.008071942	0.015963703	0	0	0	0.073305113	0	0	0	0	0.051831242	0	0	0	0	0	0	0	0.017257717	0	0	0.00070327	0	0	0	0.055144751	0	0.011993497	0	0.021052734	0	0	0.013166688	0	0	0.102307858	0	0	0.006589396	0.003847269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	0	0	0.154158473	0	0	0	0	0	0	0	0	0.035404261	0	0	0	0	0	0	0	0	0	0.01756683	0	0.012665625	0	0	0	0.014902792	0	0	0	0	0.009189454	0	0	0.015773671	0.007152474	0	0.019596707	0	0.144822144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093236808	0	0	0	0	0	0	0	0.001740857	0	0	0	0	0	0.012304473	0	0	0	0	0	0	0	0.057304998	0	0	0	0	0	0	0	0
Eubacterium_rectale	0	0	0	0	0	0	0	0	0	0	0.026597639	0	0	0	0	0	0	0	0.020936623	0.055579996	0	0	0	0.178622809	0	0.033895437	0	0.000539496	0	0	0	0	0	0	0.001206604	0	0	0	0	0.011064338	0.009272252	0	0	0	0	0	0	0	0	0	0	0.103664269	0.011523711	0	0	0	0.166795729	0	0	0.037252501	0	0	0	0	0	0.005223998	0.007742251	0	0	0	0	0	0	0	0	0	0	0	0.019504569	0.029006896	0	0	0	0.031912797	0	0.003367128	0	0	0.088246856	0	0	0	0	0	0	0	0	0	0	0
Ureaplasma_urealyticum	0	0	0.01118773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22142522	0	0.019778592	0	0	0	0.011269526	0	0	0	0	0	0	0	0	0	0.021826452	0	0	0.076897862	0	0	0	0	0	0	0.009403026	0	0	0.018732033	0	0.011045969	0.073963081	0	0.010328218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148413342	0	0.010899836	0.014981174	0	0	0	0	0	0	0.012992361	0	0.002710715	0	0	0	0	0	0	0	0	0	0.003459668	0	0	0	0	0
Corynebacterium_aurimucosum	0.022331874	0	0.01164689	0	0	0	0	0	0.035933631	0	0	0	0.03233158	0	0	0.023600619	0	0	0	0	0	0	0.019443938	0	0	0.025042804	0.038510615	0.01503126	0	0	0	0	0	0	0.015027746	0.017559699	0	0.027525965	0	0	0	0	0	0	0	0.027302056	0	0	0	0	0	0	0	0	0	0	0	0	0.047884171	0	0	0	0.006309556	0	0	0	0	0	0.047205213	0	0.035618543	0.160805062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013487899	0	0	0
Capnocytophaga_ochracea	0	0	0.10611127	0	0	0	0	0	0.048895303	0	0	0	0.075280661	0	0.010644933	0	0	0	0	0.008188521	0	0	0	0	0	0	0	0.012851394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009659227	0	0.017001798	0.005414497	0	0	0.005896926	0.012081729	0.055613975	0.015364666	0.015643263	0	0	0.097122113	0	0	0	0	0	0	0	0.046340839	0	0	0	0	0.0273478	0	0	0	0	0	0	0	0.063434093	0.010370291	0.015734525	0.039902196	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002953679	0	0.070053245	0	0	0	0
Gardnerella_vaginalis	0	0.003749832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072335126	0	0	0.009735183	0	0	0	0	0	0	0	0.017076344	0	0	0	0	0	0.02673903	0	0	0.01434016	0.035716835	0	0	0.019974936	0.03132086	0	0	0	0.008980434	0	0.026436791	0	0	0	0	0	0.014420674	0	0	0.002012812	0.007468667	0	0	0.026882144	0	0	0	0	0	0	0	0	0	0	0.01171147	0.036008592	0	0	0.00190972	0	0	0	0	0	0	0.003546511	0.238977165	0	0	0	0.005678903	0	0.111990698	0	0	0
Mageeibacillus_indolicus	0	0.100921463	0	0	0	0	0	0	0	0	0	0	0	0.056003184	0	0.033669879	0.094363592	0.016065552	0	0	0.017095964	0	0.008637184	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065240253	0	0	0	0	0	0	0	0	0.008058912	0	0	0	0	0	0	0	0	0.004045361	0	0.023556161	0	0	0	0	0	0	0	0	0	0.009521462	0	0	0	0	0.047459919	0.018286867	0	0	0	0	0	0	0.030063677	0	0.048341371	0	0	0	0	0	0	0.071632292	0	0	0	0	0.003583124	0	0	0	0	0	0
Lactobacillus_delbrueckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020722154	0	0	0	0	0.066162642	0	0	0	0	0	0	0.039860827	0	0	0	0.005614716	0	0	0	0	0	0	0.013725532	0.033436732	0	0	0.02097247	0.003896063	0	0.010993487	0	0	0	0	0	0.020890624	0	0	0	0	0	0.09368327	0	0	0	0	0	0	0	0	0	0	0	0.008224642	0.026741468	0	0	0	0	0	0	0.010879522	0.006932954	0	0	0	0	0.008668898	0.013303125	0.011197298	0	0	0.031543065	0.036080539	0	0	0.356404151	0	0	0	0.009779195	0	0.007780817	0
Mycoplasma_hominis	0	0	0	0	0	0	0	0.032574561	0	0	0	0.019887273	0	0	0.02324447	0.002063755	0	0	0	0	0	0.130879733	0	0	0.139446884	0.044613696	0.00430785	0	0	0	0	0.014958816	0	0	0	0	0	0	0	0	0.001330751	0	0	0	0	0	0	0.011987737	0	0.001599143	0	0	0	0.006288948	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004120009	0	0	0	0	0	0	0.039774038	0	0	0	0.017616732	0.017337376	0	0	0	0	0	0	0	0	0	0	0.126457347	0	0	0.002753438	0	0	0	0.044654833	0.009774712	0.031902205
Lactobacillus_crispatus	0.006286781	0	0	0	0	0	0	0	0	0.00138106	0	0	0.075000425	0	0.009741246	0	0	0	0	0	0	0	0.017663908	0	0.055808297	0	0.024726084	0	0.013248157	0	0	0	0	0	0	0	0	0.018442235	0	0	0	0	0	0	0	0	0	0	0.024486214	0	0	0	0	0.005272442	0	0	0	0.032771125	0	0	0.02939454	0	0	0	0	0.021137129	0.006336149	0	0.065575715	0.003178752	0	0	0	0.019750633	0	0	0.017932808	0	0.026467368	0	0	0	0	0	0.007608814	0.024724153	0	0	0	0	0.021901351	0	0	0	0	0	0	0.024921277	0	0
Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036344719	0	0	0	0.097401898	0	0	0.019209443	0	0	0	0	0	0.03826166	0	0	0.009865282	0	0	0.064462661	0	0	0.046839217	0.011536439	0	0.011724854	0	0.013633723	0	0	0	0	0	0	0.029546558	0	0	0	0	0.012098187	0	0	0	0	0	0	0.071757396	0	0	0.012742151	0	0	0	0	0	0	0	0.003957412	0	0	0	0	0	0	0.029311866	0	0	0	0	0	0	0	0	0.008278348	0	0	0.022550902	0.005452796	0.102212459
Peptoniphilus_duerdenii	0	0	0.025376599	0	0	0	0.111183694	0	0	0	0	0	0	0	0	0.007265551	0	0	0	0	0.012572039	0	0	0.055304069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003865646	0	0	0	0	0	0.041386501	0	0	0	0.024096866	0	0	0	0	0	0	0.018172257	0	0	0	0	0	0	0.01323305	0.010984102	0	0	0	0	0	0.024363184	0	0	0.012241894	0	0	0	0	0	0.0116748	0	0	0	0	0	0	0.008905439	0	0	0	0.023469029	0	0	0	0.041131806	0	0
Alistipes_putredinis	0	0	0	0	0	0	0	0.014103482	0	0	0.051109439	0	0.005494485	0	0	0.015331744	0	0	0	0	0.037624005	0	0.012366678	0	0	0	0.012832282	0	0.003473292	0	0	0	0	0.069677324	0	0	0	0	0	0.033827773	0	0	0.019256394	0	0	0	0	0	0	0.003815925	0	0	0.037797527	0.03778174	0.095213823	0	0	0	0	0	0.033145811	0	0	0	0	0.07996764	0	0	0	0	0	0	0	0.00252023	0	0	0	0	0	0	0.050306677	0	0	0	0	0	0	0	0	0	0	0	0.048499426	0	0	0.034740918	0	0	0	0
Bacteroides_stercoris	0	0	0	0	0	0.019477115	0	0.022109097	0	0	0	0	0	0	0.024932813	0.023677339	0	0	0	0	0	0	0.038566832	0	0	0	0	0.113395285	0.025344817	0	0	0.026078769	0	0	0	0	0	0	0	0	0.041635743	0.042074696	0	0	0	0	0	0	0	0	0	0.026702243	0	0	0	0	0	0.025045423	0	0	0	0.090043194	0	0.005655587	0	0.076524447	0	0.00745526	0.016980255	0.010641458	0	0	0	0	0	0.021756975	0	0	0	0.017961768	0	0	0	0.109363627	0	0.001036464	0	0.254866148	0	0	0.03024958	0	0	0	0	0	0	0	0	0
Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0.00773969	0	0	0	0	0	0.019184938	0	0	0	0	0	0	0	0	0	0.034856445	0	0	0	0	0	0	0	0	0	0	0	0.006085116	0	0	0.001545298	0	0	0.041357711	0	0	0	0	0.014250255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008983009	0.004819925	0	0.049105775	0	0	0	0	0	0	0	0	0.007003265	0	0	0	0	0	0	0	0	0	0	0	0	0.101077622	0	0	0	0.021213255	0	0.002083933	0	0
Anaerococcus_lactolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010912031	0	0.064210686	0	0	0	0	0	0	0	0	0.054726762	0	0	0.026701648	0	0	0	0	0.041108623	0	0	0	0	0.004834555	0	0	0	0.051055807	0.002093723	0	0.012929652	0.006815209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002329199	0	0	0	0	0	0	0	0.037566763	0	0	0	0	0	0	0.045327026	0	0	0	0	0	0	0	0	0	0	0.053877255	0	0.004477622	0	0
Bacteroides_coprophilus	0.038313922	0	0	0	0	0.054282277	0	0	0.008910246	0.003730372	0	0.015128922	0	0	0	0	0	0	0.043749591	0.010655131	0	0	0.067656941	0	0	0	0.005855157	0.05280976	0	0	0	0	0	0	0.006881257	0	0	0	0	0	0	0	0	0.029089672	0	0.019630831	0.110065854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012569754	0	0	0.029494099	0	0.013765108	0	0	0.006625129	0	0	0.004375922	0	0.01274462	0.052942613	0	0	0	0.006935712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_copri	0	0	0	0	0	0	0	0	0	0.033339351	0.010828795	0	0	0.016033475	0	0.024755147	0	0	0.007667566	0.035916158	0	0	0	0	0	0.003818398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004959589	0	0	0	0	0	0.013839775	0	0.022867364	0.010767695	0.022058864	0	0	0	0	0	0	0.009096333	0	0	0	0	0.016010092	0.01448445	0.147144632	0	0	0.003490124	0	0.055828998	0	0	0.106343834	0.028588029	0	0	0.080900455	0	0	0	0	0	0.023827549	0	0	0	0	0	0	0	0.050711001	0	0	0	0	0	0.010031115	0
Fusobacterium_periodonticum	0	0	0	0	0	0	0	0.03171521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008367202	0.023379662	0	0	0	0	0	0.009394292	0.301975259	0	0	0	0	0.014865836	0.013723746	0	0	0	0	0	0.007038268	0	0.006005924	0	0	0.094693744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003264205	0	0	0	0	0	0	0.007727656	0	0	0	0	0.020134542	0.010428609	0	0	0	0	0.019293019	0	0	0	0	0	0.05841182	0	0.013625624	0	0.002680715	0	0	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0	0	0.065557599	0	0	0.033040714	0	0	0	0	0.111657785	0.025388942	0	0.025235265	0	0	0	0	0.020928747	0	0	0	0	0	0	0	0	0	0	0	0	0.020026963	0	0	0.011456704	0	0	0.021642554	0	0	0.014608539	0	0	0	0	0	0.035093047	0	0.059377598	0	0	0	0.03446754	0	0	0	0	0.004497057	0	0	0.004195897	0	0	0	0	0	0.007382516	0	0	0	0	0	0	0.017646876	0.020467113	0.052390751	0	0	0.006986016	0	0	0	0	0	0.054626872	0.004070629	0	0	0	0	0	0	0	0	0	0	0
