# git tag version 2.5.1 |  motus version 2.5.1 | map_tax 2.5.1 | gene database: nr2.5.1 | calc_mgc 2.5.1 -y insert.scaled_counts -l 75 | calc_motu 2.5.1 -k mOTU -C no_CAMI -g 3 | taxonomy: ref_mOTU_2.5.1 meta_mOTU_2.5.1
# call: python motus profile -s /mnt/data5/sunzheng/2B_RAD/pipeline/simulated_data/RE_three/three.fq -o three_motus.txt -t 10
#consensus_taxonomy	unnamed sample
Leptospira alexanderi [ref_mOTU_v25_00001]	0.0000000000
Leptospira weilii [ref_mOTU_v25_00002]	0.0000000000
Chryseobacterium sp. [ref_mOTU_v25_00004]	0.0000000000
Chryseobacterium gallinarum [ref_mOTU_v25_00005]	0.0000000000
Chryseobacterium indologenes [ref_mOTU_v25_00006]	0.0000000000
Chryseobacterium artocarpi/ureilyticum [ref_mOTU_v25_00007]	0.0000000000
Chryseobacterium jejuense [ref_mOTU_v25_00008]	0.0000000000
Chryseobacterium sp. G972 [ref_mOTU_v25_00009]	0.0000000000
Chryseobacterium contaminans [ref_mOTU_v25_00010]	0.0000000000
Chryseobacterium indologenes [ref_mOTU_v25_00011]	0.0000000000
Chryseobacterium arthrosphaerae [ref_mOTU_v25_00012]	0.0000000000
Chryseobacterium sp. [ref_mOTU_v25_00013]	0.0000000000
Chryseobacterium sp. YR459 [ref_mOTU_v25_00014]	0.0000000000
Chryseobacterium cucumeris/indologenes [ref_mOTU_v25_00015]	0.0000000000
Chryseobacterium sp. YR477 [ref_mOTU_v25_00016]	0.0000000000
Chryseobacterium sp. RU33C [ref_mOTU_v25_00017]	0.0000000000
Chryseobacterium gleum [ref_mOTU_v25_00018]	0.0000000000
Chryseobacterium culicis [ref_mOTU_v25_00019]	0.0000000000
Chryseobacterium joostei [ref_mOTU_v25_00020]	0.0000000000
Komagataeibacter xylinus/hansenii [ref_mOTU_v25_00021]	0.0000000000
Proteobacteria sp. [ref_mOTU_v25_00022]	0.0000000000
Sphingomonas sanguinis [ref_mOTU_v25_00023]	0.0000000000
Sphingomonas parapaucimobilis [ref_mOTU_v25_00024]	0.0000000000
Sphingomonas yabuuchiae [ref_mOTU_v25_00025]	0.0000000000
Vibrio natriegens [ref_mOTU_v25_00026]	0.0000000000
Vibrio sp. [ref_mOTU_v25_00027]	0.0000000000
Vibrio parahaemolyticus [ref_mOTU_v25_00028]	0.0000000000
Vibrio sp. [ref_mOTU_v25_00029]	0.0000000000
Vibrio mytili [ref_mOTU_v25_00030]	0.0000000000
Vibrio azureus [ref_mOTU_v25_00031]	0.0000000000
Vibrio nereis [ref_mOTU_v25_00032]	0.0000000000
Vibrio hepatarius [ref_mOTU_v25_00033]	0.0000000000
Vibrio coralliilyticus [ref_mOTU_v25_00034]	0.0000000000
Vibrio neptunius [ref_mOTU_v25_00035]	0.0000000000
Vibrio sp. [ref_mOTU_v25_00036]	0.0000000000
Vibrio sinaloensis [ref_mOTU_v25_00037]	0.0000000000
Vibrio orientalis [ref_mOTU_v25_00038]	0.0000000000
Vibrio tubiashii [ref_mOTU_v25_00039]	0.0000000000
Vibrio bivalvicida [ref_mOTU_v25_00040]	0.0000000000
Vibrio tubiashii [ref_mOTU_v25_00041]	0.0000000000
Vibrio brasiliensis [ref_mOTU_v25_00042]	0.0000000000
Vibrio galatheae [ref_mOTU_v25_00043]	0.0000000000
Vibrio pacinii [ref_mOTU_v25_00044]	0.0000000000
Aeromonas bivalvium [ref_mOTU_v25_00045]	0.0000000000
Aeromonas rivuli [ref_mOTU_v25_00046]	0.0000000000
Aeromonas aquatica/eucrenophila [ref_mOTU_v25_00047]	0.0000000000
Aeromonas tecta/encheleia [ref_mOTU_v25_00048]	0.0000000000
Aeromonas hydrophila/media [ref_mOTU_v25_00049]	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00050]	0.0000000000
Aeromonas lacus/jandaei [ref_mOTU_v25_00051]	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00052]	0.0000000000
Aeromonas enteropelogenes [ref_mOTU_v25_00053]	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00054]	0.0000000000
Aeromonas sobria [ref_mOTU_v25_00055]	0.0000000000
Aeromonas sp. [ref_mOTU_v25_00056]	0.0000000000
Franconibacter helveticus [ref_mOTU_v25_00057]	0.0000000000
Franconibacter pulveris [ref_mOTU_v25_00058]	0.0000000000
Cronobacter condimenti [ref_mOTU_v25_00059]	0.0000000000
Cronobacter sp. [ref_mOTU_v25_00060]	0.0000000000
Cronobacter dublinensis/muytjensii [ref_mOTU_v25_00061]	0.0000000000
Kluyvera intermedia [ref_mOTU_v25_00062]	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00063]	0.0000000000
Kosakonia oryzendophytica [ref_mOTU_v25_00064]	0.0000000000
Kosakonia sp. [ref_mOTU_v25_00065]	0.0000000000
Kosakonia sacchari/oryzae [ref_mOTU_v25_00066]	0.0000000000
Enterobacter sp. Bisph1 [ref_mOTU_v25_00067]	0.0000000000
Enterobacter kobei [ref_mOTU_v25_00068]	0.0000000000
Enterobacter sp. kpr-6 [ref_mOTU_v25_00069]	0.0000000000
Pseudescherichia vulneris [ref_mOTU_v25_00070]	0.0000000000
Lelliottia amnigena [ref_mOTU_v25_00071]	0.0000000000
Leclercia adecarboxylata [ref_mOTU_v25_00072]	0.0000000000
Leclercia adecarboxylata [ref_mOTU_v25_00073]	0.0000000000
Enterobacter cloacae [ref_mOTU_v25_00074]	0.0000000000
Enterobacter asburiae/soli [ref_mOTU_v25_00075]	0.0000000000
Enterobacter cancerogenus [ref_mOTU_v25_00076]	0.0000000000
Bacteria sp. [ref_mOTU_v25_00077]	0.0000000000
Enterobacter timonensis [ref_mOTU_v25_00078]	0.0000000000
Lelliottia amnigena [ref_mOTU_v25_00079]	0.0000000000
Pluralibacter gergoviae [ref_mOTU_v25_00080]	0.0000000000
Yokenella regensburgei [ref_mOTU_v25_00081]	0.0000000000
Trabulsiella guamensis/odontotermitis [ref_mOTU_v25_00082]	0.0000000000
[Enterobacter] lignolyticus [ref_mOTU_v25_00083]	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00084]	0.0000000000
Enterobacterales sp. [ref_mOTU_v25_00085]	0.0000000000
Klebsiella michiganensis/oxytoca [ref_mOTU_v25_00086]	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00087]	0.0000000000
Raoultella ornithinolytica/terrigena [ref_mOTU_v25_00088]	0.0000000000
Metakosakonia massiliensis [ref_mOTU_v25_00089]	0.0000000000
Kluyvera ascorbata/georgiana [ref_mOTU_v25_00090]	0.0000000000
Kluyvera ascorbata [ref_mOTU_v25_00091]	0.0000000000
Kluyvera cryocrescens [ref_mOTU_v25_00092]	0.0000000000
Kluyvera intermedia [ref_mOTU_v25_00093]	0.0000000000
Enterobacteriaceae bacterium strain FGI 57 [ref_mOTU_v25_00094]	0.0000000000
Proteobacteria sp. [ref_mOTU_v25_00095]	0.0000000000
Enterobacteriaceae sp. [ref_mOTU_v25_00096]	0.0000000000
Citrobacter sp. MGH106 [ref_mOTU_v25_00097]	0.0000000000
Salmonella bongori [ref_mOTU_v25_00098]	0.0000000000
Salmonella enterica/bongori [ref_mOTU_v25_00099]	0.0000000000
Citrobacter rodentium [ref_mOTU_v25_00100]	0.0000000000
Citrobacter sedlakii [ref_mOTU_v25_00101]	0.0000000000
Citrobacter koseri [ref_mOTU_v25_00102]	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00103]	0.0000000000
Klebsiella sp. RIT-PI-d [ref_mOTU_v25_00104]	0.0000000000
Prochlorothrix hollandica [ref_mOTU_v25_00105]	0.0000000000
Pseudomonas fluorescens/lundensis [ref_mOTU_v25_00106]	0.0000000000
Pseudomonas helleri [ref_mOTU_v25_00107]	0.0000000000
Pseudomonas psychrophila [ref_mOTU_v25_00108]	0.0000000000
Pseudomonas endophytica [ref_mOTU_v25_00109]	0.0000000000
Pseudomonas taetrolens [ref_mOTU_v25_00110]	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00111]	0.0000000000
Pseudomonas versuta/fragi [ref_mOTU_v25_00112]	0.0000000000
Pseudomonas fragi [ref_mOTU_v25_00113]	0.0000000000
Pseudomonas psychrophila/deceptionensis [ref_mOTU_v25_00114]	0.0000000000
Pseudomonas agarici [ref_mOTU_v25_00115]	0.0000000000
Pseudomonas gingeri [ref_mOTU_v25_00116]	0.0000000000
Pseudomonas fuscovaginae/asplenii [ref_mOTU_v25_00117]	0.0000000000
Pseudomonas fuscovaginae [ref_mOTU_v25_00118]	0.0000000000
Pseudomonas batumici [ref_mOTU_v25_00119]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00120]	0.0000000000
Pseudomonas mucidolens [ref_mOTU_v25_00121]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00122]	0.0000000000
Pseudomonas fluorescens/yamanorum [ref_mOTU_v25_00123]	0.0000000000
Pseudomonas sp. KG01 [ref_mOTU_v25_00124]	0.0000000000
Pseudomonas fluorescens/rhodesiae [ref_mOTU_v25_00125]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00126]	0.0000000000
Pseudomonas palleroniana/fluorescens [ref_mOTU_v25_00127]	0.0000000000
Pseudomonas cedrina/orientalis [ref_mOTU_v25_00128]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00129]	0.0000000000
Pseudomonas marginalis [ref_mOTU_v25_00130]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00131]	0.0000000000
Pseudomonas fluorescens [ref_mOTU_v25_00132]	0.0000000000
Proteobacteria sp. [ref_mOTU_v25_00133]	0.0000000000
Pseudomonas sp. RIT357 [ref_mOTU_v25_00134]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00135]	0.0000000000
Pseudomonas sp. BIOMIG1N [ref_mOTU_v25_00136]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00137]	0.0000000000
Pseudomonas sp. PH1b [ref_mOTU_v25_00138]	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00139]	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00140]	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00141]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00142]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00144]	0.0000000000
Pseudomonas sp. Pf153 [ref_mOTU_v25_00145]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00146]	0.0000000000
Pseudomonas chlororaphis [ref_mOTU_v25_00147]	0.0000000000
Pseudomonas mediterranea/corrugata [ref_mOTU_v25_00148]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00149]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00150]	0.0000000000
Pseudomonas sp. Leaf48 [ref_mOTU_v25_00151]	0.0000000000
Pseudomonas moorei/mohnii [ref_mOTU_v25_00152]	0.0000000000
Pseudomonas sp. KK4 [ref_mOTU_v25_00153]	0.0000000000
Pseudomonas fluorescens/jessenii [ref_mOTU_v25_00154]	0.0000000000
Pseudomonas sp. R37(2017) [ref_mOTU_v25_00155]	0.0000000000
Pseudomonas vancouverensis [ref_mOTU_v25_00156]	0.0000000000
Pseudomonas sp. P1.8 [ref_mOTU_v25_00157]	0.0000000000
Pseudomonas frederiksbergensis/fluorescens [ref_mOTU_v25_00158]	0.0000000000
Pseudomonas sp. Ant30-3 [ref_mOTU_v25_00159]	0.0000000000
Pseudomonas sp. ES3-33 [ref_mOTU_v25_00160]	0.0000000000
Pseudomonas umsongensis/mandelii [ref_mOTU_v25_00161]	0.0000000000
Pseudomonas silesiensis [ref_mOTU_v25_00162]	0.0000000000
Pseudomonas fluorescens/migulae [ref_mOTU_v25_00163]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00164]	0.0000000000
Pseudomonas prosekii [ref_mOTU_v25_00165]	0.0000000000
Pseudomonas fluorescens [ref_mOTU_v25_00166]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00167]	0.0000000000
Pseudomonas koreensis/fluorescens [ref_mOTU_v25_00168]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00169]	0.0000000000
Pseudomonas fluorescens/putida [ref_mOTU_v25_00170]	0.0000000000
Pseudomonas fluorescens [ref_mOTU_v25_00171]	0.0000000000
Pseudomonas sp. URHB0015 [ref_mOTU_v25_00172]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00173]	0.0000000000
Pseudomonas japonica [ref_mOTU_v25_00174]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00175]	0.0000000000
Pseudomonas donghuensis/putida [ref_mOTU_v25_00176]	0.0000000000
Pseudomonas alkylphenolica [ref_mOTU_v25_00177]	0.0000000000
Pseudomonas vranovensis [ref_mOTU_v25_00178]	0.0000000000
Pseudomonas cremoricolorata [ref_mOTU_v25_00179]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00180]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00181]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00182]	0.0000000000
Pseudomonas taiwanensis [ref_mOTU_v25_00183]	0.0000000000
Pseudomonas parafulva [ref_mOTU_v25_00184]	0.0000000000
Pseudomonas capeferrum [ref_mOTU_v25_00185]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00186]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00187]	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00188]	0.0000000000
Pseudomonas sp. Leaf58 [ref_mOTU_v25_00189]	0.0000000000
Pseudomonas plecoglossicida [ref_mOTU_v25_00190]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00191]	0.0000000000
Pseudomonas sp. NBRC 111131 [ref_mOTU_v25_00192]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00193]	0.0000000000
Pseudomonas monteilii [ref_mOTU_v25_00194]	0.0000000000
Pseudomonas soli/mosselii [ref_mOTU_v25_00195]	0.0000000000
Pseudomonas putida/mosselii [ref_mOTU_v25_00196]	0.0000000000
Pseudomonas entomophila [ref_mOTU_v25_00197]	0.0000000000
Pseudomonas putida [ref_mOTU_v25_00198]	0.0000000000
Pseudomonas parafulva [ref_mOTU_v25_00199]	0.0000000000
Pseudomonas monteilii [ref_mOTU_v25_00200]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00201]	0.0000000000
Pseudomonas nitroreducens [ref_mOTU_v25_00202]	0.0000000000
Pseudomonas nitroreducens [ref_mOTU_v25_00203]	0.0000000000
Pseudomonas sp. ATCC 13867 [ref_mOTU_v25_00204]	0.0000000000
Pseudomonas jinjuensis [ref_mOTU_v25_00205]	0.0000000000
Pseudomonas delhiensis/citronellolis [ref_mOTU_v25_00206]	0.0000000000
Pseudomonas knackmussii [ref_mOTU_v25_00207]	0.0000000000
Pseudomonas panipatensis [ref_mOTU_v25_00208]	0.0000000000
Balneatrix alpica [ref_mOTU_v25_00209]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00210]	0.0000000000
Pseudomonas sp. Chol1 [ref_mOTU_v25_00211]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00212]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00213]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00214]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00215]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00216]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00217]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00218]	0.0000000000
Pseudomonas sp. BAY1663 [ref_mOTU_v25_00219]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00220]	0.0000000000
Pseudomonas xanthomarina/stutzeri [ref_mOTU_v25_00221]	0.0000000000
Pseudomonas stutzeri [ref_mOTU_v25_00222]	0.0000000000
Pseudomonas azotifigens [ref_mOTU_v25_00223]	0.0000000000
Pseudomonas indica [ref_mOTU_v25_00224]	0.0000000000
Pseudomonas kuykendallii [ref_mOTU_v25_00225]	0.0000000000
Pseudomonas alcaligenes [ref_mOTU_v25_00226]	0.0000000000
Pseudomonas alcaligenes [ref_mOTU_v25_00227]	0.0000000000
Pseudomonas sp. ML96 [ref_mOTU_v25_00228]	0.0000000000
Pseudomonas sp. BMS12 [ref_mOTU_v25_00229]	0.0000000000
Pseudomonas sp. CC6-YY-74 [ref_mOTU_v25_00230]	0.0000000000
Pseudomonas borbori [ref_mOTU_v25_00231]	0.0000000000
Pseudomonas benzenivorans [ref_mOTU_v25_00232]	0.0000000000
Pseudomonas oleovorans/pseudoalcaligenes [ref_mOTU_v25_00233]	0.0000000000
Pseudomonas pseudoalcaligenes/composti [ref_mOTU_v25_00234]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00235]	0.0000000000
Pseudomonas composti [ref_mOTU_v25_00236]	0.0000000000
Pseudomonas mendocina [ref_mOTU_v25_00237]	0.0000000000
Pseudomonas guguanensis/mendocina [ref_mOTU_v25_00238]	0.0000000000
Pseudomonas oleovorans [ref_mOTU_v25_00239]	0.0000000000
Pseudomonas punonensis/seleniipraecipitans [ref_mOTU_v25_00240]	0.0000000000
Pseudomonas flavescens [ref_mOTU_v25_00241]	0.0000000000
Pseudomonas fulva [ref_mOTU_v25_00242]	0.0000000000
Pseudomonas sp. [ref_mOTU_v25_00243]	0.0000000000
Pseudomonas punonensis [ref_mOTU_v25_00244]	0.0000000000
Pseudomonas argentinensis [ref_mOTU_v25_00245]	0.0000000000
Pseudomonas thermotolerans [ref_mOTU_v25_00246]	0.0000000000
Pseudomonas flexibilis [ref_mOTU_v25_00247]	0.0000000000
Halotalea alkalilenta [ref_mOTU_v25_00248]	0.0000000000
Cobetia marina [ref_mOTU_v25_00249]	0.0000000000
Cobetia amphilecti [ref_mOTU_v25_00250]	0.0000000000
Cobetia crustatorum [ref_mOTU_v25_00251]	0.0000000000
Sphingobacterium sp. ML3W [ref_mOTU_v25_00252]	0.0000000000
Sphingobacterium sp. PM2-P1-29 [ref_mOTU_v25_00253]	0.0000000000
Weissella confusa [ref_mOTU_v25_00254]	0.0000000000
Weissella cibaria [ref_mOTU_v25_00255]	0.0000000000
Synechocystis sp. PCC 6803 [ref_mOTU_v25_00256]	0.0000000000
Synechocystis sp. PCC 6714 [ref_mOTU_v25_00257]	0.0000000000
Acinetobacter tandoii [ref_mOTU_v25_00258]	0.0000000000
Bacteria sp. [ref_mOTU_v25_00259]	0.0000000000
Acinetobacter sp. [ref_mOTU_v25_00260]	0.0000000000
Gammaproteobacteria sp. [ref_mOTU_v25_00261]	0.0000000000
Acinetobacter oleivorans/calcoaceticus [ref_mOTU_v25_00262]	0.0000000000
Acinetobacter parvus [ref_mOTU_v25_00263]	0.0000000000
Acinetobacter haemolyticus [ref_mOTU_v25_00264]	0.0000000000
Acinetobacter junii [ref_mOTU_v25_00265]	0.0000000000
Acinetobacter haemolyticus/venetianus [ref_mOTU_v25_00266]	0.0000000000
Acinetobacter parvus [ref_mOTU_v25_00267]	0.0000000000
Acinetobacter baumannii [ref_mOTU_v25_00268]	0.0000000000
Acinetobacter sp. [ref_mOTU_v25_00269]	0.0000000000
Acinetobacter colistiniresistens [ref_mOTU_v25_00270]	0.0000000000
Acinetobacter sp. [ref_mOTU_v25_00271]	0.0000000000
Acinetobacter gyllenbergii/proteolyticus [ref_mOTU_v25_00272]	0.0000000000
Acinetobacter sp. A47 [ref_mOTU_v25_00273]	0.0000000000
Acinetobacter tjernbergiae [ref_mOTU_v25_00274]	0.0000000000
Acinetobacter beijerinckii [ref_mOTU_v25_00275]	0.0000000000
Peptoniphilus lacrimalis [ref_mOTU_v25_00276]	0.0000000000
Bacillaceae sp. [ref_mOTU_v25_00277]	0.0000000000
Bacteria sp. [ref_mOTU_v25_00278]	0.0000000000
Bacillus sp. MSP13 [ref_mOTU_v25_00279]	0.0000000000
Bacillus nakamurai [ref_mOTU_v25_00280]	0.0000000000
Bacillales sp. [ref_mOTU_v25_00281]	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00282]	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00283]	0.0000000000
Streptococcus pseudopneumoniae [ref_mOTU_v25_00284]	0.0000000000
Streptococcus mitis [ref_mOTU_v25_00285]	0.0000000000
Streptococcus sp. SK643 [ref_mOTU_v25_00286]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00287]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00288]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00289]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00290]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00291]	0.0000000000
Streptococcus oralis/mitis [ref_mOTU_v25_00292]	0.0000000000
Streptococcus sp. oral taxon 058 [ref_mOTU_v25_00293]	0.0000000000
Streptococcus oralis/mitis [ref_mOTU_v25_00294]	0.0000000000
Streptococcus pseudopneumoniae [ref_mOTU_v25_00295]	0.0000000000
Streptococcus oralis/pseudopneumoniae [ref_mOTU_v25_00296]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00297]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00298]	0.0000000000
Streptococcus oralis [ref_mOTU_v25_00299]	0.0000000000
Streptococcus peroris [ref_mOTU_v25_00300]	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00301]	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00302]	0.0000000000
Streptococcus sp. HMSC067H01 [ref_mOTU_v25_00303]	0.0000000000
Streptococcus sp. HPH0090 [ref_mOTU_v25_00304]	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00305]	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00306]	0.0000000000
Streptococcus pseudopneumoniae/infantis [ref_mOTU_v25_00307]	0.0000000000
Streptococcus infantis [ref_mOTU_v25_00308]	0.0000000000
Streptococcus timonensis [ref_mOTU_v25_00309]	0.0000000000
Streptococcus sp. [ref_mOTU_v25_00310]	0.0000000000
Streptococcus australis [ref_mOTU_v25_00311]	0.0000000000
Streptococcus parasanguinis [ref_mOTU_v25_00312]	0.0000000000
