ID	Genome_size	Genome_size2	Genome_size3	Genome_size4	Taxonomic	Sequence	Kingdom
S001	42.69944477	42.69944477	42.69944477	42.69944477	0.014185087	0.058135689	Fungi
S002	24.55908108	24.55908108	24.55908108	24.55908108	0.013915964	0.032803032	Fungi
S003	12.30492687	12.30492687	12.30492687	12.30492687	0.011545058	0.01363527	Fungi
S004	13.06295967	13.06295967	13.06295967	13.06295967	0.010357884	0.012986772	Fungi
S005	34.53550625	34.53550625	34.53550625	34.53550625	0.009454652	0.031340069	Fungi
S006	40.15396309	40.15396309	40.15396309	40.15396309	0.00784408	0.030231453	Fungi
S007	10.03589725	10.03589725	10.03589725	10.03589725	0.007277868	0.0070105	Fungi
S008	38.32257938	38.32257938	38.32257938	38.32257938	0.006546545	0.024079943	Fungi
S009	45.90639877	45.90639877	45.90639877	45.90639877	0.006248037	0.027529948	Fungi
S010	43.2866478	43.2866478	43.2866478	43.2866478	0.005990177	0.024887554	Fungi
S011	34.07191372	34.07191372	34.07191372	34.07191372	0.005972527	0.019531845	Fungi
S012	27.89734364	27.89734364	27.89734364	27.89734364	0.00563096	0.015077659	Fungi
S013	12.1622448	12.1622448	12.1622448	12.1622448	0.005366809	0.006264962	Fungi
S014	47.44168568	47.44168568	47.44168568	47.44168568	0.004925223	0.022427175	Fungi
S015	41.57917404	41.57917404	41.57917404	41.57917404	0.004687771	0.018708149	Fungi
S016	30.04104328	30.04104328	30.04104328	30.04104328	0.004620291	0.013322108	Fungi
S017	37.22771358	37.22771358	37.22771358	37.22771358	0.004474175	0.015987034	Fungi
S018	27.79328156	27.79328156	27.79328156	27.79328156	0.004158827	0.011094284	Fungi
S019	28.26762772	28.26762772	28.26762772	28.26762772	0.004120045	0.011178408	Fungi
S020	15.50920582	15.50920582	15.50920582	15.50920582	0.003812212	0.005674861	Fungi
S021	26.91546631	26.91546631	26.91546631	26.91546631	0.003750055	0.009687866	Fungi
S022	31.33103371	31.33103371	31.33103371	31.33103371	0.003694746	0.011110865	Fungi
S023	28.62288857	28.62288857	28.62288857	28.62288857	0.003400266	0.009341465	Fungi
S024	27.49498081	27.49498081	27.49498081	27.49498081	0.003391404	0.008949969	Fungi
S025	37.16208649	37.16208649	37.16208649	37.16208649	0.00323688	0.011545566	Fungi
S026	7.404093742	7.404093742	7.404093742	7.404093742	0.003209204	0.002280646	Fungi
S027	24.60635853	24.60635853	24.60635853	24.60635853	0.003159957	0.007463063	Fungi
S028	28.35614014	28.35614014	28.35614014	28.35614014	0.003155005	0.008586887	Fungi
S029	12.57953358	12.57953358	12.57953358	12.57953358	0.00277667	0.003352566	Fungi
S030	20.29387188	20.29387188	20.29387188	20.29387188	0.002738463	0.005334091	Fungi
S031	37.13991737	37.13991737	37.13991737	37.13991737	0.002635685	0.009395569	Fungi
S032	41.95839214	41.95839214	41.95839214	41.95839214	0.002612516	0.010521229	Fungi
S033	34.21759224	34.21759224	34.21759224	34.21759224	0.002480243	0.008145772	Fungi
S034	49.93813229	49.93813229	49.93813229	49.93813229	0.002380135	0.011408338	Fungi
