ID	Genome_size	Taxonomic	Sequence	Kingdom
S401	3.46191597	0.042555261	0.049915142	Bacteria
S402	6.902975082	0.041747891	0.097641261	Bacteria
S403	2.156848907	0.034635174	0.025310436	Bacteria
S404	2.291668892	0.031073652	0.024127187	Bacteria
S405	2.732000351	0.028363955	0.026254882	Bacteria
S406	2.480057716	0.02353224	0.019773684	Bacteria
S407	3.596516609	0.021833604	0.026605415	Bacteria
S408	3.568387985	0.019639634	0.023744771	Bacteria
S409	1.644129753	0.01874411	0.010441513	Bacteria
S410	1.608458519	0.017970532	0.009793396	Bacteria
S411	2.625321388	0.017917582	0.015937655	Bacteria
S412	2.086954117	0.016892881	0.011944807	Bacteria
S413	3.448436737	0.016100427	0.018811446	Bacteria
S414	3.44904232	0.014775668	0.017266654	Bacteria
S415	2.119480133	0.014063312	0.010099026	Bacteria
S416	1.841557503	0.013860873	0.008648452	Bacteria
S417	3.502526283	0.013422524	0.015928619	Bacteria
S418	2.910520554	0.012476481	0.012303405	Bacteria
S419	2.653738976	0.012360136	0.011113324	Bacteria
S420	2.515095711	0.011436637	0.009745753	Bacteria
S421	2.054035187	0.011250165	0.007829415	Bacteria
S422	1.79824543	0.011084237	0.00675332	Bacteria
S423	2.582377434	0.010200799	0.008925169	Bacteria
S424	1.899479866	0.010174212	0.006547839	Bacteria
S425	2.515095711	0.009710639	0.00827494	Bacteria
S426	1.938681602	0.009627612	0.006323938	Bacteria
S427	2.306328773	0.009479871	0.007407747	Bacteria
S428	5.12784481	0.009465015	0.016444426	Bacteria
S429	1.812732697	0.008330009	0.005116132	Bacteria
S430	6.204680443	0.00821539	0.017270707	Bacteria
S431	2.186747551	0.007907056	0.005858359	Bacteria
S432	1.926739693	0.007837549	0.005116416	Bacteria
S433	2.28427887	0.007440729	0.005758736	Bacteria
S434	1.972295761	0.007140404	0.004771526	Bacteria
S435	5.127721786	0.007058735	0.012263483	Bacteria
S436	2.030126572	0.006937549	0.004771904	Bacteria
S437	6.402075768	0.006779713	0.014706002	Bacteria
S438	2.535059929	0.006677809	0.005735678	Bacteria
S439	1.546805382	0.006642174	0.003481036	Bacteria
S440	3.392199516	0.00659552	0.007580414	Bacteria
S441	2.117209435	0.006403118	0.004593226	Bacteria
S442	2.072808266	0.006255765	0.004393414	Bacteria
S443	2.644314766	0.006233854	0.005585117	Bacteria
S444	4.486525536	0.006007454	0.009131942	Bacteria
S445	3.44904232	0.00589765	0.006891917	Bacteria
S446	3.50496006	0.005889685	0.006994194	Bacteria
S447	2.687774658	0.005826811	0.005306233	Bacteria
S448	1.68347168	0.005810812	0.003314402	Bacteria
S449	3.023365021	0.00571232	0.005851479	Bacteria
S450	2.644314766	0.005558328	0.004979892	Bacteria
S451	2.1954813	0.005487593	0.004082011	Bacteria
S452	3.980709076	0.005358553	0.007227207	Bacteria
S453	1.926739693	0.005308927	0.003465711	Bacteria
S454	3.958960533	0.005189885	0.006961478	Bacteria
S455	4.150388718	0.005137155	0.007223938	Bacteria
S456	1.78772831	0.005102635	0.003090712	Bacteria
S457	3.158411026	0.005021264	0.005373339	Bacteria
S458	5.173023224	0.004938532	0.008655752	Bacteria
S459	3.087896347	0.004633316	0.004847492	Bacteria
S460	1.963047981	0.004625008	0.003076139	Bacteria
S461	2.058181763	0.004596408	0.003205272	Bacteria
S462	3.348901749	0.004590223	0.005208333	Bacteria
S463	2.188253403	0.004426242	0.003281673	Bacteria
S464	2.396642685	0.004415277	0.003585286	Bacteria
S465	2.360862732	0.004398729	0.003518524	Bacteria
S466	1.74332428	0.004278766	0.002527314	Bacteria
S467	2.871301651	0.004251937	0.004136454	Bacteria
S468	3.063521385	0.004129809	0.004286605	Bacteria
S469	2.231328964	0.004127017	0.003120056	Bacteria
S470	2.356713295	0.004089366	0.003265317	Bacteria
S471	3.295856476	0.004088108	0.004565131	Bacteria
S472	3.605821609	0.004078693	0.004982965	Bacteria
S473	2.734191895	0.004021975	0.003725897	Bacteria
S474	0.844468117	0.003976062	0.001137624	Bacteria
S475	2.285562515	0.003926475	0.003040595	Bacteria
S476	3.360117912	0.00383899	0.004370529	Bacteria
S477	2.106388092	0.003765001	0.00268699	Bacteria
S478	2.087182999	0.00370969	0.002623377	Bacteria
S479	3.298237801	0.003703838	0.00413901	Bacteria
S480	1.859465599	0.003598223	0.002266934	Bacteria
S481	1.78772831	0.00358268	0.002170062	Bacteria
S482	2.439281464	0.003576998	0.002956264	Bacteria
S483	1.230314255	0.003574813	0.001490157	Bacteria
S484	2.980032921	0.003563078	0.003597567	Bacteria
S485	7.200816154	0.003401276	0.008298242	Bacteria
S486	3.174808502	0.003349919	0.003603416	Bacteria
S487	1.799236298	0.003304601	0.002014511	Bacteria
S488	4.492442131	0.003208494	0.00488367	Bacteria
S489	2.459280968	0.003150999	0.002625541	Bacteria
S490	2.805613518	0.003113424	0.002959571	Bacteria
S491	1.429601669	0.003051681	0.001478144	Bacteria
S492	3.441213608	0.00303203	0.003535149	Bacteria
S493	5.183674812	0.003004163	0.005276231	Bacteria
S494	6.155086517	0.003002262	0.006261022	Bacteria
S495	5.131365776	0.002958116	0.005142931	Bacteria
S496	4.673484802	0.002911436	0.004610103	Bacteria
S497	2.392232895	0.002885306	0.002338611	Bacteria
S498	2.644314766	0.002854019	0.002557011	Bacteria
S499	1.924760818	0.002789016	0.001818823	Bacteria
S500	3.59105587	0.00278858	0.003392874	Bacteria
S501	1.962062836	0.002739431	0.001821109	Bacteria
S502	3.5049963	0.002736847	0.003250129	Bacteria
S503	2.278264999	0.002692816	0.002078612	Bacteria
S504	1.23468399	0.002660805	0.001113093	Bacteria
S505	4.469703674	0.002654129	0.004019419	Bacteria
S506	1.86356926	0.002642468	0.001668467	Bacteria
S507	2.131326675	0.002552994	0.001843582	Bacteria
S508	1.989066124	0.002534435	0.00170802	Bacteria
S509	1.986468315	0.002502281	0.001684148	Bacteria
S510	2.866504669	0.00248981	0.00241814	Bacteria
S511	2.553865433	0.002462993	0.002131198	Bacteria
S512	2.234271049	0.002451226	0.001855588	Bacteria
S513	1.903190613	0.00244698	0.001577885	Bacteria
S514	3.049765587	0.002424836	0.002505598	Bacteria
S515	2.179085732	0.002420231	0.001786873	Bacteria
S516	2.058181763	0.002397036	0.001671556	Bacteria
S517	2.020068169	0.002356588	0.001612918	Bacteria
S518	2.614948273	0.002311711	0.002048138	Bacteria
S519	2.941923141	0.002304672	0.002297222	Bacteria
S520	1.680145264	0.002291308	0.001304346	Bacteria
S521	3.066772461	0.002250443	0.002338364	Bacteria
S522	3.715729713	0.002230246	0.002807756	Bacteria
S523	2.745299339	0.002183117	0.002030623	Bacteria
S524	2.734191895	0.002155466	0.001996792	Bacteria
S525	2.28427887	0.002153892	0.001667	Bacteria
S526	2.156848907	0.002125291	0.001553104	Bacteria
S527	1.972295761	0.002092724	0.001398448	Bacteria
S528	3.195281029	0.002071271	0.002242376	Bacteria
S529	3.360250473	0.002035388	0.002317295	Bacteria
S530	1.927593231	0.002033398	0.001328007	Bacteria
S531	4.455307961	0.001997032	0.003014569	Bacteria
S532	3.910643578	0.001975731	0.002617813	Bacteria
S533	5.328609467	0.00194795	0.003516853	Bacteria
S534	5.908463478	0.001947302	0.003898256	Bacteria
