ID	Taxonomic	Sequence	Genome_size	Kingdom
S001	0.042555261	0.064257094	42.69944477	Fungi
S002	0.041747891	0.036257032	24.55908108	Fungi
S003	0.034635174	0.015070998	12.30492687	Fungi
S004	0.031073652	0.014354216	13.06295967	Fungi
S005	0.028363955	0.034640026	34.53550625	Fungi
S006	0.02353224	0.033414678	40.15396309	Fungi
S007	0.021833604	0.007748671	10.03589725	Fungi
S008	0.019639634	0.026615444	38.32257938	Fungi
S009	0.01874411	0.030428717	45.90639877	Fungi
S010	0.017970532	0.027508092	43.2866478	Fungi
S011	0.017917582	0.021588453	34.07191372	Fungi
S012	0.016892881	0.016665263	27.89734364	Fungi
S013	0.016100427	0.006924632	12.1622448	Fungi
S014	0.014775668	0.024788647	47.44168568	Fungi
S015	0.014063312	0.020678026	41.57917404	Fungi
S016	0.013860873	0.014724861	30.04104328	Fungi
S017	0.013422524	0.017670391	37.22771358	Fungi
S018	0.012476481	0.012262458	27.79328156	Fungi
S019	0.012360136	0.01235544	28.26762772	Fungi
S020	0.011436637	0.006272396	15.50920582	Fungi
S021	0.011250165	0.010707951	26.91546631	Fungi
S022	0.011084237	0.012280785	31.33103371	Fungi
S023	0.010200799	0.010325076	28.62288857	Fungi
S024	0.010174212	0.009892357	27.49498081	Fungi
S025	0.009710639	0.012761258	37.16208649	Fungi
S026	0.009627612	0.002520786	7.404093742	Fungi
S027	0.009479871	0.008248887	24.60635853	Fungi
S028	0.009465015	0.009491045	28.35614014	Fungi
S029	0.008330009	0.003705575	12.57953358	Fungi
S030	0.00821539	0.005895745	20.29387188	Fungi
S031	0.007907056	0.010384877	37.13991737	Fungi
S032	0.007837549	0.011629063	41.95839214	Fungi
S033	0.007440729	0.009003482	34.21759224	Fungi
S034	0.007140404	0.012609581	49.93813229	Fungi
S035	0.007058735	0.007258931	29.08039093	Fungi
S036	0.006937549	0.007634519	31.11931229	Fungi
S037	0.006779713	0.008680532	36.20674229	Fungi
S038	0.006677809	0.006543157	27.70816422	Fungi
S039	0.006642174	0.007319431	31.16172218	Fungi
S040	0.00659552	0.009698656	41.5831089	Fungi
S041	0.006403118	0.0086251	38.09141064	Fungi
S042	0.006255765	0.00551298	24.92071056	Fungi
S043	0.006233854	0.010796075	48.9737854	Fungi
S044	0.006007454	0.003720175	17.51165867	Fungi
S045	0.00589765	0.006886708	33.02075958	Fungi
S046	0.005889685	0.003513468	16.86934948	Fungi
S047	0.005826811	0.002340091	11.35680389	Fungi
S048	0.005810812	0.00964246	46.92512131	Fungi
S049	0.00571232	0.001202466	5.952710152	Fungi
S050	0.005558328	0.001457002	7.412594795	Fungi
S051	0.005487593	0.006171896	31.80468559	Fungi
S052	0.005358553	0.008019837	42.32260418	Fungi
S053	0.005308927	0.000396751	2.113323212	Fungi
S054	0.005189885	0.004130853	22.50797272	Fungi
S055	0.005137155	0.005976975	32.9013052	Fungi
S056	0.005102635	0.005464285	30.28260326	Fungi
S057	0.005021264	0.00600211	33.80222511	Fungi
S058	0.004938532	0.005633034	32.2551384	Fungi
S059	0.004633316	0.004413925	26.93937397	Fungi
S060	0.004625008	0.009696148	59.28450203	Fungi
S061	0.004596408	0.004445704	27.3512001	Fungi
S062	0.004590223	0.002218062	13.66451931	Fungi
S063	0.004426242	0.001460741	9.332378387	Fungi
S064	0.004415277	0.00524779	33.61033726	Fungi
S065	0.004398729	0.002818787	18.12130547	Fungi
S066	0.004278766	0.001584751	10.47362518	Fungi
S067	0.004251937	0.004791281	31.86538982	Fungi
S068	0.004129809	0.001363642	9.337373734	Fungi
S069	0.004127017	0.004851554	33.2429142	Fungi
S070	0.004089366	0.001587954	10.98085785	Fungi
S071	0.004088108	0.003247612	22.46446991	Fungi
S072	0.004078693	0.006104715	42.32517242	Fungi
S073	0.004021975	0.00030938	2.175239563	Fungi
S074	0.003976062	0.004264117	30.32706833	Fungi
S075	0.003926475	0.004777294	34.40594864	Fungi
S076	0.00383899	0.004420835	32.56429958	Fungi
S077	0.003765001	0.001364143	10.24587727	Fungi
S078	0.00370969	0.000280936	2.141527176	Fungi
S079	0.003703838	0.004391291	33.52699471	Fungi
S080	0.003598223	0.004537222	35.65794754	Fungi
S081	0.00358268	0.00276395	21.81607151	Fungi
S082	0.003576998	0.001113912	8.806162834	Fungi
S083	0.003574813	0.002912969	23.04288483	Fungi
S084	0.003563078	0.003695953	29.33293438	Fungi
S085	0.003401276	0.002631955	21.88220024	Fungi
S086	0.003349919	0.004061347	34.28390121	Fungi
S087	0.003304601	0.004418361	37.80912495	Fungi
S088	0.003208494	0.003863655	34.05269146	Fungi
S089	0.003150999	0.003119528	27.99594402	Fungi
S090	0.003113424	0.003942448	35.8081646	Fungi
S091	0.003051681	0.004270744	39.57480907	Fungi
S092	0.00303203	0.0034718	32.37990761	Fungi
S093	0.003004163	0.002311536	21.75862885	Fungi
S094	0.003002262	0.005530637	52.09319973	Fungi
S095	0.002958116	0.002930923	28.0184145	Fungi
S096	0.002911436	0.00425358	41.31443214	Fungi
S097	0.002885306	0.003040796	29.80229473	Fungi
S098	0.002854019	0.000223365	2.213161469	Fungi
S099	0.002789016	0.002875542	29.15567684	Fungi
S100	0.00278858	0.003818173	38.71925163	Fungi
S101	0.002739431	0.003159598	32.61563015	Fungi
S102	0.002736847	0.00337548	34.87703133	Fungi
S103	0.002692816	0.001062785	11.16074657	Fungi
S104	0.002660805	0.002196329	23.34203148	Fungi
S105	0.002654129	0.00328605	35.01116467	Fungi
S106	0.002642468	0.001664733	17.81514549	Fungi
S107	0.002552994	0.002265463	25.09352207	Fungi
S108	0.002534435	0.003198445	35.68718147	Fungi
