ID	Taxonomic	Sequence	Genome_size	Kingdom
S201	0.049915142	0.016772398	0.008773804	Viral
S202	0.097641261	0.007792195	0.002083778	Viral
S203	0.025310436	0.1322325	0.136415482	Viral
S204	0.024127187	0.00384474	0.004160881	Viral
S205	0.026254882	0.005350807	0.005321503	Viral
S206	0.019773684	0.001102812	0.001456261	Viral
S207	0.026605415	0.004887796	0.004796982	Viral
S208	0.023744771	0.010864008	0.011946678	Viral
S209	0.010441513	0.004736527	0.011844635	Viral
S210	0.009793396	0.027916372	0.074430466	Viral
S211	0.015937655	0.001656081	0.002713203	Viral
S212	0.011944807	0.001214136	0.002654076	Viral
S213	0.018811446	0.030553736	0.042409897	Viral
S214	0.017266654	0.008250064	0.012475967	Viral
S215	0.010099026	0.010708201	0.027686119	Viral
S216	0.008648452	0.001066389	0.003219604	Viral
S217	0.015928619	0.009048307	0.014832497	Viral
S218	0.012303405	0.077910201	0.165346146	Viral
S219	0.011113324	0.002135846	0.005018234	Viral
S220	0.009745753	0.052338701	0.140227318	Viral
S221	0.007829415	0.001509865	0.0050354	Viral
S222	0.00675332	0.004835698	0.018696785	Viral
S223	0.008925169	0.009778759	0.028608322	Viral
S224	0.006547839	0.003792703	0.015124321	Viral
S225	0.00827494	0.036690008	0.115773201	Viral
S226	0.006323938	0.001178659	0.0048666	Viral
S227	0.007407747	0.013953513	0.049183846	Viral
S228	0.016444426	0.072417546	0.114987373	Viral
S229	0.005116132	0.002820094	0.014392853	Viral
S230	0.017270707	0.027710626	0.041894913	Viral
S231	0.005858359	0.000500688	0.002231598	Viral
S232	0.005116416	0.000874741	0.004464149	Viral
S233	0.005758736	0.000412248	0.001869202	Viral
S234	0.004771526	0.001229328	0.006727219	Viral
S235	0.012263483	0.001574845	0.003353119	Viral
S236	0.004771904	0.002062346	0.011284828	Viral
S237	0.014706002	0.027756642	0.049283028	Viral
S238	0.005735678	0.009482907	0.043169975	Viral
S239	0.003481036	0.000922531	0.006919861	Viral
S240	0.007580414	0.005062752	0.017438889	Viral
S241	0.004593226	0.002251194	0.012797356	Viral
S242	0.004393414	0.001565485	0.009304047	Viral
S243	0.005585117	0.010345927	0.048368454	Viral
S244	0.009131942	0.005504287	0.015738487	Viral
S245	0.006891917	0.011240488	0.042586327	Viral
S246	0.006994194	0.002040311	0.007616997	Viral
S247	0.005306233	0.00824769	0.040585518	Viral
S248	0.003314402	0.000956571	0.007535934	Viral
S249	0.005851479	0.002514603	0.011220932	Viral
S250	0.004979892	0.001147507	0.006016731	Viral
S251	0.004082011	0.001328692	0.008499146	Viral
S252	0.007227207	0.002804359	0.010131836	Viral
S253	0.003465711	0.000748218	0.005637169	Viral
S254	0.006961478	0.000834733	0.003130913	Viral
S255	0.007223938	0.004320727	0.015617371	Viral
S256	0.003090712	0.003254681	0.027496338	Viral
S257	0.005373339	0.001801615	0.00875473	Viral
S258	0.008655752	0.001223147	0.003689766	Viral
S259	0.004847492	0.000930921	0.00501442	Viral
S260	0.003076139	0.005993531	0.05087471	Viral
S261	0.003205272	0.00150632	0.012270927	Viral
S262	0.005208333	0.001400837	0.007022858	Viral
