ID	Distance	Compared_with	Profilers	SampleID	Colour	Matrix
S001	0.0675383	Truth_Sequence_abundance	Bracken	Building1	Building	BC
S002	0.035477	Truth_Sequence_abundance	Bracken	Building2	Building	BC
S003	0.0371553	Truth_Sequence_abundance	Bracken	Building3	Building	BC
S004	0.0246133	Truth_Sequence_abundance	Bracken	Building4	Building	BC
S005	0.0679492	Truth_Sequence_abundance	Bracken	Building5	Building	BC
S006	0.082159	Truth_Sequence_abundance	Bracken	Gut1	Gut	BC
S007	0.0738694	Truth_Sequence_abundance	Bracken	Gut2	Gut	BC
S008	0.0628254	Truth_Sequence_abundance	Bracken	Gut3	Gut	BC
S009	0.0981719	Truth_Sequence_abundance	Bracken	Gut4	Gut	BC
S010	0.0467487	Truth_Sequence_abundance	Bracken	Gut5	Gut	BC
S011	0.0351746	Truth_Sequence_abundance	Bracken	Oral1	Oral	BC
S012	0.0297617	Truth_Sequence_abundance	Bracken	Oral2	Oral	BC
S013	0.0638944	Truth_Sequence_abundance	Bracken	Oral3	Oral	BC
S014	0.0274397	Truth_Sequence_abundance	Bracken	Oral4	Oral	BC
S015	0.0456916	Truth_Sequence_abundance	Bracken	Oral5	Oral	BC
S016	0.029195	Truth_Sequence_abundance	Bracken	Skin1	Skin	BC
S017	0.0284395	Truth_Sequence_abundance	Bracken	Skin2	Skin	BC
S018	0.0243966	Truth_Sequence_abundance	Bracken	Skin3	Skin	BC
S019	0.0332633	Truth_Sequence_abundance	Bracken	Skin4	Skin	BC
S020	0.0218636	Truth_Sequence_abundance	Bracken	Skin5	Skin	BC
S021	0.00340226	Truth_Sequence_abundance	Bracken	Vaginal1	Vaginal	BC
S022	0.0278075	Truth_Sequence_abundance	Bracken	Vaginal2	Vaginal	BC
S023	0.0292291	Truth_Sequence_abundance	Bracken	Vaginal3	Vaginal	BC
S024	0.0242309	Truth_Sequence_abundance	Bracken	Vaginal4	Vaginal	BC
S025	0.0463066	Truth_Sequence_abundance	Bracken	Vaginal5	Vaginal	BC
S026	0.083071	Truth_Sequence_abundance	Kraken2	Building1	Building	BC
S027	0.0471636	Truth_Sequence_abundance	Kraken2	Building2	Building	BC
S028	0.0601322	Truth_Sequence_abundance	Kraken2	Building3	Building	BC
S029	0.0558659	Truth_Sequence_abundance	Kraken2	Building4	Building	BC
S030	0.0898316	Truth_Sequence_abundance	Kraken2	Building5	Building	BC
S031	0.105872	Truth_Sequence_abundance	Kraken2	Gut1	Gut	BC
S032	0.0919543	Truth_Sequence_abundance	Kraken2	Gut2	Gut	BC
S033	0.074109	Truth_Sequence_abundance	Kraken2	Gut3	Gut	BC
S034	0.129273	Truth_Sequence_abundance	Kraken2	Gut4	Gut	BC
S035	0.0651364	Truth_Sequence_abundance	Kraken2	Gut5	Gut	BC
S036	0.0784406	Truth_Sequence_abundance	Kraken2	Oral1	Oral	BC
S037	0.042049	Truth_Sequence_abundance	Kraken2	Oral2	Oral	BC
S038	0.0849362	Truth_Sequence_abundance	Kraken2	Oral3	Oral	BC
S039	0.0867309	Truth_Sequence_abundance	Kraken2	Oral4	Oral	BC
S040	0.099525	Truth_Sequence_abundance	Kraken2	Oral5	Oral	BC
S041	0.0521489	Truth_Sequence_abundance	Kraken2	Skin1	Skin	BC
S042	0.0540646	Truth_Sequence_abundance	Kraken2	Skin2	Skin	BC
S043	0.0899587	Truth_Sequence_abundance	Kraken2	Skin3	Skin	BC
S044	0.0978321	Truth_Sequence_abundance	Kraken2	Skin4	Skin	BC
S045	0.0382653	Truth_Sequence_abundance	Kraken2	Skin5	Skin	BC
S046	0.00817344	Truth_Sequence_abundance	Kraken2	Vaginal1	Vaginal	BC
S047	0.0864058	Truth_Sequence_abundance	Kraken2	Vaginal2	Vaginal	BC
S048	0.0480207	Truth_Sequence_abundance	Kraken2	Vaginal3	Vaginal	BC
S049	0.0710818	Truth_Sequence_abundance	Kraken2	Vaginal4	Vaginal	BC
S050	0.153122	Truth_Sequence_abundance	Kraken2	Vaginal5	Vaginal	BC
S051	0.14341	Truth_Sequence_abundance	mOTUs2	Building1	Building	BC
S052	0.150369	Truth_Sequence_abundance	mOTUs2	Building2	Building	BC
S053	0.146175	Truth_Sequence_abundance	mOTUs2	Building3	Building	BC
S054	0.145753	Truth_Sequence_abundance	mOTUs2	Building4	Building	BC
S055	0.141546	Truth_Sequence_abundance	mOTUs2	Building5	Building	BC
S056	0.120652	Truth_Sequence_abundance	mOTUs2	Gut1	Gut	BC
S057	0.186336	Truth_Sequence_abundance	mOTUs2	Gut2	Gut	BC
S058	0.159771	Truth_Sequence_abundance	mOTUs2	Gut3	Gut	BC
S059	0.183024	Truth_Sequence_abundance	mOTUs2	Gut4	Gut	BC
S060	0.156225	Truth_Sequence_abundance	mOTUs2	Gut5	Gut	BC
S061	0.131225	Truth_Sequence_abundance	mOTUs2	Oral1	Oral	BC
S062	0.132014	Truth_Sequence_abundance	mOTUs2	Oral2	Oral	BC
S063	0.161547	Truth_Sequence_abundance	mOTUs2	Oral3	Oral	BC
S064	0.156116	Truth_Sequence_abundance	mOTUs2	Oral4	Oral	BC
S065	0.169103	Truth_Sequence_abundance	mOTUs2	Oral5	Oral	BC
S066	0.154382	Truth_Sequence_abundance	mOTUs2	Skin1	Skin	BC
S067	0.199225	Truth_Sequence_abundance	mOTUs2	Skin2	Skin	BC
S068	0.194299	Truth_Sequence_abundance	mOTUs2	Skin3	Skin	BC
S069	0.152751	Truth_Sequence_abundance	mOTUs2	Skin4	Skin	BC
S070	0.126933	Truth_Sequence_abundance	mOTUs2	Skin5	Skin	BC
S071	0.15456	Truth_Sequence_abundance	mOTUs2	Vaginal1	Vaginal	BC
S072	0.181358	Truth_Sequence_abundance	mOTUs2	Vaginal2	Vaginal	BC
S073	0.207718	Truth_Sequence_abundance	mOTUs2	Vaginal3	Vaginal	BC
S074	0.124289	Truth_Sequence_abundance	mOTUs2	Vaginal4	Vaginal	BC
S075	0.191478	Truth_Sequence_abundance	mOTUs2	Vaginal5	Vaginal	BC
S076	0.194808	Truth_Sequence_abundance	MPA2	Building1	Building	BC
S077	0.123824	Truth_Sequence_abundance	MPA2	Building2	Building	BC
S078	0.126371	Truth_Sequence_abundance	MPA2	Building3	Building	BC
S079	0.131549	Truth_Sequence_abundance	MPA2	Building4	Building	BC
S080	0.145514	Truth_Sequence_abundance	MPA2	Building5	Building	BC
S081	0.156918	Truth_Sequence_abundance	MPA2	Gut1	Gut	BC
S082	0.176346	Truth_Sequence_abundance	MPA2	Gut2	Gut	BC
S083	0.178606	Truth_Sequence_abundance	MPA2	Gut3	Gut	BC
S084	0.145493	Truth_Sequence_abundance	MPA2	Gut4	Gut	BC
S085	0.153709	Truth_Sequence_abundance	MPA2	Gut5	Gut	BC
S086	0.12283	Truth_Sequence_abundance	MPA2	Oral1	Oral	BC
S087	0.114004	Truth_Sequence_abundance	MPA2	Oral2	Oral	BC
S088	0.14176	Truth_Sequence_abundance	MPA2	Oral3	Oral	BC
S089	0.130071	Truth_Sequence_abundance	MPA2	Oral4	Oral	BC
S090	0.12946	Truth_Sequence_abundance	MPA2	Oral5	Oral	BC
S091	0.156081	Truth_Sequence_abundance	MPA2	Skin1	Skin	BC
S092	0.170654	Truth_Sequence_abundance	MPA2	Skin2	Skin	BC
S093	0.121833	Truth_Sequence_abundance	MPA2	Skin3	Skin	BC
S094	0.159187	Truth_Sequence_abundance	MPA2	Skin4	Skin	BC
S095	0.111078	Truth_Sequence_abundance	MPA2	Skin5	Skin	BC
S096	0.106089	Truth_Sequence_abundance	MPA2	Vaginal1	Vaginal	BC
S097	0.145617	Truth_Sequence_abundance	MPA2	Vaginal2	Vaginal	BC
S098	0.148261	Truth_Sequence_abundance	MPA2	Vaginal3	Vaginal	BC
S099	0.0977246	Truth_Sequence_abundance	MPA2	Vaginal4	Vaginal	BC
S100	0.235632	Truth_Sequence_abundance	MPA2	Vaginal5	Vaginal	BC
S101	0.127028	Truth_Taxonomic_abundance	Bracken	Building1	Building	BC
S102	0.13486	Truth_Taxonomic_abundance	Bracken	Building2	Building	BC
S103	0.133468	Truth_Taxonomic_abundance	Bracken	Building3	Building	BC
S104	0.136527	Truth_Taxonomic_abundance	Bracken	Building4	Building	BC
S105	0.144982	Truth_Taxonomic_abundance	Bracken	Building5	Building	BC
S106	0.161076	Truth_Taxonomic_abundance	Bracken	Gut1	Gut	BC
S107	0.180548	Truth_Taxonomic_abundance	Bracken	Gut2	Gut	BC
S108	0.16829	Truth_Taxonomic_abundance	Bracken	Gut3	Gut	BC
S109	0.16458	Truth_Taxonomic_abundance	Bracken	Gut4	Gut	BC
S110	0.139004	Truth_Taxonomic_abundance	Bracken	Gut5	Gut	BC
S111	0.114192	Truth_Taxonomic_abundance	Bracken	Oral1	Oral	BC
S112	0.113386	Truth_Taxonomic_abundance	Bracken	Oral2	Oral	BC
S113	0.156774	Truth_Taxonomic_abundance	Bracken	Oral3	Oral	BC
S114	0.136175	Truth_Taxonomic_abundance	Bracken	Oral4	Oral	BC
S115	0.138605	Truth_Taxonomic_abundance	Bracken	Oral5	Oral	BC
