SampleID	Distance	Species_num	Matrix
L_10_1	0.159963	10	BC
L_10_2	0.138965	10	BC
L_10_3	0.13933	10	BC
L_10_4	0.168593	10	BC
L_10_5	0.0830946	10	BC
L_10_6	0.142155	10	BC
L_10_7	0.0644116	10	BC
L_10_8	0.0855382	10	BC
L_10_9	0.121831	10	BC
L_10_10	0.142305	10	BC
L_50_1	0.148531	50	BC
L_50_2	0.115879	50	BC
L_50_3	0.181746	50	BC
L_50_4	0.150258	50	BC
L_50_5	0.099395	50	BC
L_50_6	0.125574	50	BC
L_50_7	0.121413	50	BC
L_50_8	0.136482	50	BC
L_50_9	0.128861	50	BC
L_50_10	0.141685	50	BC
L_100_1	0.134683	100	BC
L_100_2	0.136374	100	BC
L_100_3	0.129499	100	BC
L_100_4	0.174964	100	BC
L_100_5	0.170956	100	BC
L_100_6	0.12951	100	BC
L_100_7	0.125008	100	BC
L_100_8	0.131491	100	BC
L_100_9	0.136507	100	BC
L_100_10	0.143756	100	BC
L_150_1	0.11409	150	BC
L_150_2	0.124495	150	BC
L_150_3	0.137787	150	BC
L_150_4	0.143258	150	BC
L_150_5	0.147042	150	BC
L_150_6	0.121735	150	BC
L_150_7	0.16267	150	BC
L_150_8	0.125108	150	BC
L_150_9	0.148568	150	BC
L_150_10	0.118821	150	BC
L_200_1	0.13869	200	BC
L_200_2	0.163595	200	BC
L_200_3	0.147231	200	BC
L_200_4	0.164107	200	BC
L_200_5	0.128879	200	BC
L_200_6	0.141646	200	BC
L_200_7	0.13798	200	BC
L_200_8	0.124037	200	BC
L_200_9	0.168673	200	BC
L_200_10	0.13784	200	BC
L_250_1	0.146047	250	BC
L_250_2	0.147317	250	BC
L_250_3	0.139259	250	BC
L_250_4	0.156137	250	BC
L_250_5	0.137784	250	BC
L_250_6	0.127063	250	BC
L_250_7	0.126262	250	BC
L_250_8	0.128746	250	BC
L_250_9	0.133852	250	BC
L_250_10	0.142127	250	BC
L_300_1	0.126015	300	BC
L_300_2	0.144254	300	BC
L_300_3	0.140471	300	BC
L_300_4	0.145503	300	BC
L_300_5	0.135511	300	BC
L_300_6	0.147529	300	BC
L_300_7	0.143254	300	BC
L_300_8	0.149193	300	BC
L_300_9	0.126226	300	BC
L_300_10	0.140067	300	BC
L_350_1	0.144946	350	BC
L_350_2	0.141353	350	BC
L_350_3	0.14121	350	BC
L_350_4	0.150503	350	BC
L_350_5	0.1337	350	BC
L_350_6	0.1566	350	BC
L_350_7	0.151166	350	BC
L_350_8	0.125091	350	BC
L_350_9	0.141695	350	BC
L_350_10	0.149391	350	BC
L_400_1	0.144906	400	BC
L_400_2	0.179301	400	BC
L_400_3	0.137247	400	BC
L_400_4	0.153361	400	BC
L_400_5	0.139622	400	BC
L_400_6	0.139482	400	BC
L_400_7	0.13938	400	BC
L_400_8	0.153344	400	BC
L_400_9	0.134759	400	BC
L_400_10	0.138051	400	BC
L_450_1	0.137768	450	BC
L_450_2	0.153363	450	BC
L_450_3	0.142784	450	BC
L_450_4	0.153944	450	BC
L_450_5	0.132308	450	BC
L_450_6	0.141352	450	BC
L_450_7	0.148139	450	BC
L_450_8	0.144692	450	BC
L_450_9	0.130073	450	BC
L_450_10	0.157538	450	BC
L_500_1	0.156403	500	BC
L_500_2	0.136343	500	BC
L_500_3	0.154175	500	BC
L_500_4	0.147328	500	BC
L_500_5	0.157555	500	BC
L_500_6	0.15022	500	BC
L_500_7	0.152473	500	BC
L_500_8	0.152459	500	BC
L_500_9	0.147195	500	BC
L_500_10	0.143518	500	BC
L001	0.134545	10	rJSD
L002	0.114493	10	rJSD
L003	0.120811	10	rJSD
L004	0.129309	10	rJSD
L005	0.0657878	10	rJSD
L006	0.116137	10	rJSD
L007	0.073496	10	rJSD
L008	0.0884902	10	rJSD
L009	0.127887	10	rJSD
L010	0.11573	10	rJSD
L011	0.124405	50	rJSD
L012	0.0951105	50	rJSD
L013	0.161938	50	rJSD
L014	0.121957	50	rJSD
L015	0.104318	50	rJSD
L016	0.124867	50	rJSD
L017	0.115979	50	rJSD
L018	0.119207	50	rJSD
L019	0.109786	50	rJSD
L020	0.122662	50	rJSD
L021	0.113362	100	rJSD
L022	0.129573	100	rJSD
L023	0.119613	100	rJSD
L024	0.147857	100	rJSD
L025	0.145591	100	rJSD
L026	0.116279	100	rJSD
L027	0.103427	100	rJSD
L028	0.122153	100	rJSD
L029	0.128737	100	rJSD
L030	0.1193	100	rJSD
L031	0.112103	150	rJSD
L032	0.112113	150	rJSD
L033	0.127233	150	rJSD
L034	0.123208	150	rJSD
L035	0.125785	150	rJSD
L036	0.105788	150	rJSD
L037	0.142252	150	rJSD
L038	0.111172	150	rJSD
L039	0.128957	150	rJSD
L040	0.106333	150	rJSD
L041	0.125126	200	rJSD
L042	0.150476	200	rJSD
L043	0.132259	200	rJSD
L044	0.14425	200	rJSD
L045	0.118992	200	rJSD
L046	0.128524	200	rJSD
L047	0.120446	200	rJSD
L048	0.116165	200	rJSD
L049	0.146764	200	rJSD
L050	0.119713	200	rJSD
L051	0.129921	250	rJSD
L052	0.126909	250	rJSD
L053	0.12664	250	rJSD
L054	0.141014	250	rJSD
L055	0.120569	250	rJSD
L056	0.120046	250	rJSD
L057	0.113325	250	rJSD
L058	0.120439	250	rJSD
L059	0.116886	250	rJSD
L060	0.130908	250	rJSD
L061	0.115207	300	rJSD
L062	0.129179	300	rJSD
L063	0.126129	300	rJSD
L064	0.127405	300	rJSD
L065	0.119319	300	rJSD
L066	0.126468	300	rJSD
L067	0.125294	300	rJSD
L068	0.134896	300	rJSD
L069	0.114889	300	rJSD
L070	0.127646	300	rJSD
L071	0.131259	350	rJSD
L072	0.125659	350	rJSD
L073	0.126827	350	rJSD
L074	0.130808	350	rJSD
L075	0.125417	350	rJSD
L076	0.136925	350	rJSD
L077	0.13874	350	rJSD
L078	0.110415	350	rJSD
L079	0.12628	350	rJSD
L080	0.131203	350	rJSD
L081	0.135833	400	rJSD
L082	0.149272	400	rJSD
L083	0.120895	400	rJSD
L084	0.131163	400	rJSD
L085	0.123434	400	rJSD
L086	0.125377	400	rJSD
L087	0.128031	400	rJSD
L088	0.13511	400	rJSD
L089	0.119891	400	rJSD
L090	0.122113	400	rJSD
L091	0.123923	450	rJSD
L092	0.131538	450	rJSD
L093	0.134691	450	rJSD
L094	0.13759	450	rJSD
L095	0.121084	450	rJSD
L096	0.123475	450	rJSD
L097	0.131194	450	rJSD
L098	0.131332	450	rJSD
L099	0.116425	450	rJSD
L100	0.139518	450	rJSD
L101	0.133944	500	rJSD
L102	0.121743	500	rJSD
L103	0.134885	500	rJSD
L104	0.129287	500	rJSD
L105	0.13736	500	rJSD
L106	0.132712	500	rJSD
L107	0.134395	500	rJSD
L108	0.130174	500	rJSD
L109	0.131416	500	rJSD
L110	0.127361	500	rJSD
L221	0.319925869	10	L1
L222	0.277929875	10	L1
L223	0.278660843	10	L1
L224	0.337185204	10	L1
L225	0.166189184	10	L1
L226	0.284311037	10	L1
L227	0.128823166	10	L1
L228	0.171076367	10	L1
L229	0.243661709	10	L1
L230	0.284609453	10	L1
L231	0.297061974	50	L1
L232	0.231757719	50	L1
L233	0.363492201	50	L1
L234	0.300515332	50	L1
L235	0.198790105	50	L1
L236	0.251147788	50	L1
L237	0.242826924	50	L1
L238	0.272963146	50	L1
L239	0.257721293	50	L1
L240	0.283369344	50	L1
L241	0.269366642	100	L1
L242	0.27274717	100	L1
L243	0.258997812	100	L1
L244	0.349927311	100	L1
L245	0.341911368	100	L1
L246	0.259019951	100	L1
L247	0.250016513	100	L1
L248	0.262982882	100	L1
L249	0.273014296	100	L1
L250	0.287512586	100	L1
L251	0.228180763	150	L1
L252	0.248990301	150	L1
L253	0.275574917	150	L1
L254	0.286515946	150	L1
L255	0.294083229	150	L1
L256	0.243469726	150	L1
L257	0.32533988	150	L1
L258	0.250216721	150	L1
L259	0.297135757	150	L1
L260	0.237641451	150	L1
L261	0.277380718	200	L1
L262	0.327188982	200	L1
L263	0.294462518	200	L1
L264	0.328213943	200	L1
L265	0.25775866	200	L1
L266	0.283291299	200	L1
L267	0.275959832	200	L1
L268	0.248074617	200	L1
L269	0.337345375	200	L1
L270	0.275679771	200	L1
L271	0.292093404	250	L1
L272	0.294634276	250	L1
L273	0.278518559	250	L1
L274	0.31227291	250	L1
L275	0.275568863	250	L1
L276	0.25412573	250	L1
L277	0.252523067	250	L1
L278	0.257492655	250	L1
L279	0.267703939	250	L1
L280	0.284254494	250	L1
L281	0.252030377	300	L1
L282	0.288508305	300	L1
L283	0.280941516	300	L1
L284	0.291006568	300	L1
L285	0.271022499	300	L1
L286	0.295057896	300	L1
L287	0.286507234	300	L1
L288	0.298386521	300	L1
L289	0.25245128	300	L1
L290	0.280133395	300	L1
L291	0.289891954	350	L1
L292	0.282706492	350	L1
L293	0.282420143	350	L1
L294	0.301005151	350	L1
L295	0.267399269	350	L1
L296	0.313199584	350	L1
L297	0.302331744	350	L1
L298	0.250181891	350	L1
L299	0.283389566	350	L1
L300	0.298782518	350	L1
L301	0.289812086	400	L1
L302	0.358602509	400	L1
L303	0.274494504	400	L1
L304	0.306722231	400	L1
L305	0.279243089	400	L1
L306	0.278964982	400	L1
L307	0.278760763	400	L1
L308	0.306688158	400	L1
L309	0.269517773	400	L1
L310	0.276102937	400	L1
L311	0.275536603	450	L1
L312	0.306726156	450	L1
L313	0.285568729	450	L1
L314	0.307887459	450	L1
L315	0.264616853	450	L1
L316	0.282703276	450	L1
L317	0.296277459	450	L1
L318	0.289384007	450	L1
L319	0.26014566	450	L1
L320	0.315075387	450	L1
L321	0.312806192	500	L1
