SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10
Lactococcus_lactis	0.0028550528602287	0.000581876711671178	0	0	0	0.00661795567354528	0	0.000954812751771076	0	0.00134746355183374
Streptococcus_agalactiae	0	0	0.00722782658380173	0	0	0.000931536197231614	0.000455594562334276	0.00224105519716498	0	0
Streptococcus_mutans	0	0	0	0	0.00122985759892226	0.000824649818097163	0	0.000372554538223162	0.000855034413794959	0
Bifidobacterium_longum	0	0	0.00487074152480962	0	0	0.00320453099283184	0	0.000295488871189093	0.000550821523168951	0
Staphylococcus_epidermidis	0	0	0	0.00015650425100828	0.000956349548654927	0.0006438969229166	0	0.00203697543318446	0.00180843225611012	0.0013075550233272
Cutibacterium_acnes	0.00177272492137914	0	0	0.000239689489805348	0	0	0	0.000825361936208947	0	0.00234258815386512
Helicobacter_pylori	0	0.00266223572658892	0.000751956067421863	0.00525881984757005	0.00171424439196393	0.00235282202614122	0	0.00126848318047964	0.000118685042638726	0
Clostridioides_difficile	0.00232073218120148	0	0.00674144674621335	0	0.00199298385381524	0	0	0	0	0
Bacteroides_fragilis	0.00749460365239921	0	0	0	0.00644217981441602	0	0.00923108853684813	0	0	0.00987647370442382
Lactobacillus_fermentum	0	0	0.0016635080046055	0	0.00477865394275754	0	0	0.000614919362987433	0	0.000553335334007281
Finegoldia_magna	0.00690171977918332	0.0023269280474859	0.00224191316713746	0.000981807059652366	0	0	0	0.000584123519304659	0.00229104731236483	0.00061739609416262
Bifidobacterium_adolescentis	0	0	0.000947861987921989	0.00182753412500836	0	0	0	0.002053796693708	0	0
Rothia_mucilaginosa	0	0	0	0.000930199137060869	0	0	0	0.0029004625112375	0	0.00182825514015235
Lactobacillus_acidophilus	0	0	0	0	0.00124975415131264	0	0	0	0	0
Methanosphaera_stadtmanae	0	0	0	0	0.000386669798055704	0	0	0	0	0
Parabacteroides_distasonis	0	0	0	0.00242099976964348	0.00696484415621437	0.00161271171676319	0.00113166461873662	0.00309747008751789	0	0.0056888651414416
Clostridium_perfringens	0	0.00246686768879802	0.0097550596901039	0.00745711411917138	0.0040458798807454	0	0	0	0	0
Streptococcus_sanguinis	0.0125343777059704	0.000919634274204088	0	0	0	0	0	0.00808576253810896	0	0
Leuconostoc_mesenteroides	0.00084910878317317	0	0	0	0.000738018287644729	0.00163074233630532	0	0	0	0
Methanobrevibacter_smithii	0	0.0013945544380064	0	0.00124794042914689	0	0.00151649349276384	0.000677356657767197	0	0.00198586253534015	0.000223909134388728
Lactobacillus_reuteri	0	0	0	0	0.000455452303462251	0.000977555037310153	0	0.00344346943426463	0	0
Streptococcus_gordonii	0	0.00166794085887287	0.00190840669760166	0.00451228843147958	0.00078906949262507	0.000802093020031141	0	0.000903799121480547	0	0.00624965135506119
Campylobacter_hominis	0	0.00174765154641576	0	0	0.00470280735407908	0	0.000596425174719195	0.000559730038828943	0.000259956963590709	0
Clostridium_botulinum	0.0199341963295835	0	0.00740868538491392	0	0	0.00244382552232387	0	0	0	0
Akkermansia_muciniphila	0.00114637156210836	0	0	0.000347802580259766	0	0	0.00407757895850108	0	0	0.00261301157281676
Eubacterium_rectale	0	0.00401591527599021	0	0	0.00373183902984004	0	0	0	0.00541575809898378	0
Bifidobacterium_animalis	0.00233115541147328	0	0.00357012694850432	0.000731274672484653	0	0	0.00244842352646623	0	0	0
Desulfovibrio_desulfuricans	0	0	0	0.00593168573314812	0.00112715454265324	0	0.00809626920683075	0.00277381317469367	0	0
Aggregatibacter_aphrophilus	0	0	0.00995571724732739	0	0	0	0	0	0.00344338212525233	0
Atopobium_parvulum	0	0	0	0.00805466149135559	0	0	0	0	0	0
Eggerthella_lenta	0.0437230243556626	0.00128486495625227	0	0	0	0	0.000682103945342267	0	0.00195017679656265	0
Veillonella_parvula	0.00393524440070135	0.000672145754685271	0	0	0.000512604219507453	0.00113801928437341	0.00121183017851605	0	0	0
Gardnerella_vaginalis	0	0	0.000831236418991372	0	0.00221330636599269	0	0	0.00065588092759717	0	0.0006659525712581
Lactobacillus_casei	0	0	0.0030979103450614	0	0	0	0	0	0	0.005608301667506
Lactobacillus_rhamnosus	0	0.00566218744873245	0	0	0.00379583034590417	0.000444571309857744	0.00465720794098261	0	0	0
Haemophilus_influenzae	0	0.000474130996690765	0	0	0	0	0	0	0	0
Mycoplasma_hominis	0.000269068298185148	0	0.000832783250379885	0.000529045033230411	0.000140573832080763	0.00171438350610418	0	0	0	0.000143846850469382
Lactobacillus_crispatus	0.000963097705610141	0	0	0.00226112227899386	0	0	0	0.00192883662011617	0	0
Prevotella_melaninogenica	0.000108653076459582	0.00290414455900284	0.000826837435259682	0.00536111459212668	0.000349143095314808	0.0124572627806759	0.00220386099909798	0	0.00947104151469512	0.00564024088409578
Clostridium_saccharolyticum	0.00143809015659714	0	0.00548155158788003	0	0.00570629448501487	0	0.0215194224114573	0.00346060768956344	0.00418307060811265	0.00603143304452786
Eubacterium_eligens	0.00188708729228363	0.000730645412752534	0.0034117956553194	0	0	0.00134454882484967	0	0	0	0.00949805639559323
Peptostreptococcus_stomatis	0	0.000212560392422137	0	0	0	0.00148916740183318	0	0	0	0.00412880024989139
Streptococcus_infantis	0	0	0.00087161916539827	0	0.00463510369877089	0	0	0.000701314441115156	0.00409434853555015	0.00388137890171577
Eubacterium_ventriosum	0.00182572295729736	0	0.00342698795776705	0	0	0	0	0.000782010113657671	0	0
Blautia_obeum	0	0	0	0	0	0	0	0.00364447010897495	0.00483821392344242	0.00196643158528746
Ruminococcus_torques	0.00425746893619902	0.0308578182415023	0	0.00106124628811193	0.00382950369385995	0.000478439121369293	0.00452699080183563	0	0	0.00973819552703952
Dorea_longicatena	0	0.000532211626439487	0	0	0	0	0.00226820799181056	0.000660918596453584	0.00436521074272017	0.00400307671468266
Absiella_dolichum	0	0.00779882140572989	0	0	0	0.000412941899940087	0.00151773413857837	0	0.0020737849966792	0
Anaerostipes_caccae	0.00427828188842464	0	0	0.000352713272729438	0	0	0.00558493324653953	0	0.00293708257228975	0
