SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10
Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0
Streptococcus_agalactiae	0.00230292766591058	0	0	0.00932824299527987	0	0	0.0186840843019762	0	0	0
Streptococcus_mutans	0	0	0	0	0	0	0	0.037308051026751	0.0133719701444991	0
Bifidobacterium_longum	0	0	0	0	0	0	0	0	0.0303163478983303	0
Staphylococcus_epidermidis	0	0	0	0	0	0.0136930030118111	0	0	0	0
Cutibacterium_acnes	0	0	0	0	0	0	0	0	0.0114434304651509	0
Helicobacter_pylori	0	0	0	0	0	0	0	0	0.0190158257868787	0
Clostridioides_difficile	0	0	0	0	0	0	0	0	0	0
Bacteroides_fragilis	0	0	0	0	0	0.00862085361918348	0	0	0	0
Lactobacillus_fermentum	0	0	0.00213688726321642	0	0	0	0	0	0	0
Finegoldia_magna	0	0	0	0	0	0	0	0.0216005719045192	0	0
Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0.00229336813292262	0	0	0.00295234833996262	0	0	0	0	0	0
Lactobacillus_acidophilus	0	0	0	0	0	0	0	0	0	0
Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0
Parabacteroides_distasonis	0	0.00539802452119346	0	0	0	0	0	0	0	0
Clostridium_perfringens	0	0	0	0	0	0	0	0	0	0
Streptococcus_sanguinis	0	0	0	0	0	0	0	0	0	0
Leuconostoc_mesenteroides	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter_smithii	0	0	0	0	0	0	0.00513441964412539	0	0	0
Lactobacillus_reuteri	0	0	0	0	0.00785598987428857	0	0	0	0	0
Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0
Campylobacter_hominis	0	0	0	0	0	0	0	0	0	0
Clostridium_botulinum	0.00110004154821169	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	0.00725244333813788	0	0	0	0	0	0	0	0
Eubacterium_rectale	0	0	0	0	0	0	0	0.0148861877097885	0	0
Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0
Desulfovibrio_desulfuricans	0	0	0	0	0	0	0	0.0149089625330758	0	0
Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0
Atopobium_parvulum	0	0	0	0	0	0	0	0.00461451046578095	0	0
Eggerthella_lenta	0	0.00750214785921697	0	0	0	0	0	0	0	0
Veillonella_parvula	0	0	0	0	0	0	0	0	0	0
Gardnerella_vaginalis	0	0	0	0	0	0	0	0	0	0
Lactobacillus_casei	0	0.0140562346480251	0	0	0	0	0	0	0	0
Lactobacillus_rhamnosus	0	0	0	0	0	0	0	0.0179404150096388	0	0
Haemophilus_influenzae	0	0	0	0	0	0.00887116086299487	0	0	0	0
Mycoplasma_hominis	0	0	0	0	0	0	0	0	0	0
Lactobacillus_crispatus	0	0	0	0	0	0	0	0	0	0
Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0
Clostridium_saccharolyticum	0	0	0	0	0	0	0	0	0	0
Eubacterium_eligens	0	0	0	0	0	0	0	0.043782731067136	0	0
Peptostreptococcus_stomatis	0	0	0	0	0	0	0.00800925804135663	0	0	0
Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0
Eubacterium_ventriosum	0	0	0	0	0	0	0	0	0	0
Blautia_obeum	0	0.0037130814926663	0.0515706984447826	0	0	0	0	0	0	0
Ruminococcus_torques	0	0	0	0	0	0	0	0	0	0
Dorea_longicatena	0	0.0152768738908389	0	0	0	0	0	0	0	0.0203134105621044
Absiella_dolichum	0	0	0	0	0	0	0	0	0	0
Anaerostipes_caccae	0	0.0335753928349024	0	0	0	0	0	0	0	0
Clostridium_leptum	0	0	0	0	0	0	0	0	0	0
Coprococcus_eutactus	0	0	0	0	0	0	0	0	0	0
Intestinibacter_bartlettii	0	0	0	0	0	0	0	0	0	0
Alistipes_putredinis	0	0	0	0	0	0	0	0.0218132562720323	0	0
Erysipelatoclostridium_ramosum	0	0	0	0	0	0	0	0.0194099168188272	0	0
Clostridium_scindens	0	0	0	0	0	0	0	0	0	0
Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0
Anaerotruncus_colihominis	0	0	0.0143090411273562	0	0	0	0	0	0.0145666511530927	0
Clostridium_spiroforme	0.0122739115619852	0	0	0	0	0	0	0	0	0
Anaerofustis_stercorihominis	0	0	0	0	0	0	0	0	0	0
Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0
Ruminococcus_lactaris	0	0	0	0	0	0	0	0	0	0
Bacteroides_pectinophilus	0	0	0	0	0	0.0103149685898117	0	0	0	0
Coprococcus_comes	0	0	0	0	0	0	0	0.0163221935894115	0.00856290356427418	0
Mitsuokella_multacida	0	0	0	0.027885056246034	0	0	0	0	0	0
Butyrivibrio_crossotus	0	0	0	0	0	0	0	0	0	0.0112889892334541
Tyzzerella_nexilis	0.00313435106997777	0	0	0	0	0	0	0	0	0
Clostridium_hiranonis	0	0	0	0	0	0.0387002534117191	0	0	0	0
Collinsella_intestinalis	0	0	0	0	0	0	0	0	0	0
Collinsella_stercoris	0	0.0133636885856021	0	0	0	0	0	0	0	0
Clostridium_hylemonae	0	0	0	0	0	0	0	0	0	0.0353896238332702
Roseburia_intestinalis	0	0.0188942131388226	0	0	0	0	0	0	0	0
Anaerococcus_lactolyticus	0	0	0	0	0	0	0	0	0	0
Holdemanella_biformis	0	0	0	0	0	0	0	0	0	0
Blautia_hansenii	0	0	0	0.027541953736953	0	0	0	0	0	0.0737712638737886
Bacteroides_coprophilus	0	0	0	0	0	0	0	0	0	0
Prevotella_copri	0	0	0	0	0	0	0	0	0	0
Blautia_hydrogenotrophica	0	0	0	0	0	0	0	0	0	0
Holdemania_filiformis	0	0	0	0	0	0	0	0	0	0
Clostridium_asparagiforme	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum	0	0	0.00902102378116572	0	0.023293862912491	0	0	0	0	0
Clostridium_methylpentosum	0	0	0	0	0	0	0	0	0	0
Atopobium_vaginae	0	0	0	0	0	0	0	0	0	0
Dialister_invisus	0	0	0	0	0	0	0	0.0071922504873957	0	0
Abiotrophia_defectiva	0	0	0	0	0	0	0	0	0	0
Hungatella_hathewayi	0	0	0	0	0	0	0	0	0	0
Mobiluncus_mulieris	0	0	0	0	0	0	0	0	0	0
Granulicatella_adiacens	0	0	0	0	0.036832940308829	0	0	0	0	0
Lactobacillus_iners	0	0	0	0	0	0	0	0.0212181549147618	0	0
Faecalibacterium_prausnitzii	0	0	0	0	0	0	0	0	0	0
Prevotella_sp_oral_taxon_299_str_F0039	0	0	0	0	0	0	0	0	0	0
Bacteroidetes_oral	0	0	0.00528225676410196	0	0	0.00554456782759543	0.00796166154098544	0	0	0
Streptococcus_parasanguinis	0	0	0.0435885559756296	0	0	0	0	0	0	0
Rothia_dentocariosa	0	0	0	0	0	0	0	0	0	0
Erysipelotrichaceae_bacterium_3_1_53	0	0	0.0618836591224206	0	0	0	0	0	0	0
Megasphaera_micronuciformis	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_bifidum	0	0	0	0	0	0	0	0	0.00665874655940226	0
Collinsella_aerofaciens	0	0	0	0.00548337699863014	0	0	0	0	0	0
Dorea_formicigenerans	0	0	0.0354921715516026	0	0	0	0	0	0	0.0121149529120085
Pseudoflavonifractor_capillosus	0	0	0	0	0	0	0	0	0	0
Gemella_haemolysans	0	0	0	0	0	0	0	0	0	0.0242538996867364
Anaerobutyricum_hallii	0	0	0	0	0	0	0	0	0	0
Roseburia_inulinivorans	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium	0	0	0	0	0	0.00322033172779667	0	0	0	0
Porphyromonas_uenonis	0	0	0	0	0	0	0	0	0	0
Prevotella_buccalis	0	0	0	0	0	0	0	0	0	0
Pyramidobacter_piscolens	0	0	0	0	0	0	0	0	0	0
Turicibacter_sanguinis	0	0	0	0	0	0	0	0	0	0
Veillonella_atypica	0	0	0	0	0	0	0	0	0	0
Peptoniphilus_harei	0	0	0	0	0	0	0.00540028590405526	0	0	0
Lautropia_mirabilis	0	0	0	0	0	0	0	0	0	0
Bacteroides_plebeius	0	0	0	0	0	0.165697042499349	0	0	0	0
Phascolarctobacterium_succinatutens	0	0	0	0	0	0	0	0	0	0.00458819495031487
Odoribacter_splanchnicus	0	0	0	0	0	0	0	0	0	0
Dialister_microaerophilus	0	0	0	0	0	0	0	0	0	0
Lactobacillus_plantarum	0	0	0	0	0	0	0	0	0	0
Parasutterella_excrementihominis	0	0	0	0	0	0	0	0	0	0
Paraprevotella_xylaniphila	0	0	0	0	0	0	0	0	0	0
Ruminococcus_champanellensis	0	0	0.0157496407407795	0	0	0.00214411622703489	0	0	0.00556167827180809	0
Alistipes_shahii	0	0	0	0	0	0	0	0.0275469395406991	0	0
Faecalitalea_cylindroides	0	0	0	0	0	0.0280869422000456	0	0.00729837988944972	0	0
Porphyromonas_asaccharolytica	0	0.00793474324554391	0	0	0	0	0	0	0	0
Isoptericola_variabilis	0	0	0	0	0	0	0	0	0	0
Leuconostoc_sp_C2	0	0	0	0	0	0	0.0010174173259082	0	0	0
Streptococcus_pseudopneumoniae	0	0	0	0	0	0	0	0	0	0
Lactobacillus_ruminis	0	0	0	0	0	0	0	0	0	0
Roseburia_hominis	0	0	0	0	0	0	0	0	0	0
Bacteroides_faecis	0	0	0	0	0	0	0	0	0	0.0166732582119021
Acidaminococcus_intestini	0	0	0.0104803104434475	0	0	0	0	0.0169359811787275	0	0
Alistipes_indistinctus	0	0	0	0	0	0	0	0	0	0
Prevotella_stercorea	0	0	0	0	0	0	0	0	0.0130462303491	0
Senegalimassilia_anaerobia	0	0	0	0	0	0	0	0	0	0
Haemophilus_sputorum	0	0	0	0	0	0	0	0	0	0
Actinomyces_graevenitzii	0	0	0	0	0	0	0	0	0	0
Clostridium_sp_BNL1100	0	0	0	0	0	0	0	0	0	0
Streptococcus_oralis	0	0	0	0	0	0	0	0	0	0
Novosphingobium_sp_PP1Y	0	0	0	0	0	0	0	0	0.00132535358078784	0
Streptococcus_thermophilus	0	0	0	0	0	0	0	0	0	0
Fusobacterium_necrophorum	0	0	0	0	0	0	0	0	0	0
Prevotella_bivia	0	0	0	0	0	0	0	0	0	0
Alistipes_finegoldii	0	0	0	0	0	0.0229874449682697	0	0	0	0
Actinomyces_massiliensis	0	0	0.0630760597768451	0	0	0	0	0	0	0
Eggerthella_sp_YY7918	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0
Actinomyces_sp_ICM39	0	0	0	0.021592524702442	0	0	0	0	0	0
Schaalia_turicensis	0	0	0	0	0	0	0	0	0	0
Oscillibacter_ruminantium	0	0	0	0	0	0	0	0	0	0
Anaerococcus_obesiensis	0	0	0	0	0	0	0	0	0	0
Peptoniphilus_grossensis	0	0	0	0	0	0	0.0338860182283686	0	0	0
Enorma_massiliensis	0	0	0	0	0	0	0	0	0	0.0203597613626558
Alistipes_obesi	0	0	0	0	0	0	0	0	0	0
Alistipes_senegalensis	0	0	0	0	0	0	0	0	0.125219498765542	0
Phocaeicola_abscessus	0	0	0	0	0	0	0	0	0	0
Dielma_fastidiosa	0	0	0	0	0	0	0	0	0	0
Afipia_broomeae	0.0172302362724669	0	0	0	0.00921770462780104	0	0	0	0	0
Clostridium_celatum	0	0	0	0	0	0	0	0	0	0
Alistipes_ihumii	0	0	0	0	0.0148155396681299	0	0.0259051986204536	0	0	0
Holdemania_massiliensis	0	0	0	0	0	0	0	0	0	0
Porphyromonas_somerae	0	0	0	0	0	0	0	0	0	0
Leptotrichia_wadei	0	0	0	0	0	0	0	0.0313323032654813	0	0
Blautia_producta	0.0183124036449909	0	0	0	0	0	0	0	0	0
Porphyromonas_bennonis	0	0	0.0135239267759658	0.0132443912017219	0	0	0.0579069711455789	0	0	0
Peptoniphilus_lacrimalis	0	0	0	0	0	0	0	0	0	0
Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0
Eubacterium_siraeum	0	0	0	0	0	0	0	0	0	0
Streptococcus_cristatus	0	0	0	0	0	0.0150222743898125	0	0	0	0
Candidatus_Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0
Varibaculum_cambriense	0	0	0	0	0	0	0	0	0	0
Faecalicoccus_pleomorphus	0	0.00982557991557414	0	0	0	0	0	0	0	0
Alloscardovia_omnicolens	0.0089782655326552	0	0.0432219291814548	0	0	0	0	0	0	0
Butyrivibrio_sp_AE2015	0	0	0	0	0	0	0	0.00352665554919807	0	0
Dorea_sp_AGR2135	0	0	0	0	0	0	0	0	0	0
Solobacterium_moorei	0	0.0131114445691452	0	0	0	0	0	0	0	0
Dysgonomonas_capnocytophagoides	0	0	0	0	0	0	0	0	0	0
Parabacteroides_gordonii	0	0	0	0	0	0	0	0	0	0
Prevotella_corporis	0	0	0	0	0	0	0	0	0	0
Streptococcus_intermedius	0	0	0	0	0.17188348884483	0	0	0	0	0
Streptococcus_anginosus	0	0.0025481660934341	0	0	0	0.0147093366968263	0	0	0	0
Ruminococcus_callidus	0	0	0	0	0	0	0	0.0481848645470385	0	0
Eubacterium_ramulus	0	0	0	0.00762223825309925	0	0	0	0	0	0.0069780911252192
Bacteroidales_bacterium_CF	0	0	0	0	0	0	0	0	0	0
Adlercreutzia_equolifaciens	0	0	0	0	0	0	0	0	0	0
Eubacterium_brachy	0	0.0561364192956864	0	0	0	0	0	0	0	0
Pseudomonas_sp_VLB120	0	0	0	0	0	0	0	0	0	0
Clostridiales_bacterium_VE202_09	0.0408686621309589	0	0	0	0	0	0	0	0	0
Butyricimonas_virosa	0	0	0	0	0	0	0	0	0	0
Ruminococcus_gnavus	0	0	0	0	0	0	0	0	0	0
Prevotella_disiens	0	0	0	0	0	0.00428811732414235	0	0	0	0
Bacteroides_acidifaciens	0	0	0	0	0	0.00995878646177344	0	0.00851159825334634	0	0
Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0	0
Bacteroides_gallinarum	0	0	0	0	0	0	0	0	0.0412006640956246	0
Prevotella_histicola	0	0	0	0	0	0	0	0	0	0
Bacteroides_rodentium	0	0.0166871136863108	0	0	0	0	0	0	0	0
Bacteroides_sartorii	0	0	0	0	0	0	0	0	0	0
Clostridium_saccharogumia	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_ruminantium	0	0	0	0	0	0	0	0	0	0
Gemella_sanguinis	0	0	0	0	0	0	0	0	0	0
Bilophila_wadsworthia	0	0	0	0	0	0	0	0	0	0
Acidiphilium_sp_JA12_A1	0	0	0	0	0	0	0	0	0	0
Methylobacterium_oryzae	0	0	0	0	0	0	0.0177357856833822	0	0	0
Eubacterium_sp_ER2	0	0.0407926906538099	0	0	0	0	0	0	0	0
Streptococcus_salivarius	0	0	0	0	0.00289806039327152	0	0	0	0	0
Sphingomonas_sp_Ant_H11	0	0	0	0	0	0.00672503936047178	0	0	0	0
Parvimonas_micra	0	0	0	0.033620513720728	0.052646959278968	0.0318131523548472	0.0479695232486506	0	0	0
Bifidobacterium_catenulatum	0	0	0	0	0	0	0	0	0	0
Candidatus_Soleaferrea	0.00241116677026204	0	0	0	0	0	0	0	0	0
Bacillus_sp_OxB_1	0	0	0	0	0	0	0	0	0	0.00529968598856118
Ruthenibacterium_lactatiformans	0.00297531210513245	0	0	0.0187446981143562	0	0	0.00446841911202195	0	0	0
Verrucomicrobia_bacterium_IMCC26134	0	0	0	0	0	0	0	0	0	0
Sneathia_amnii	0	0	0	0	0	0	0	0	0	0.0137027281822725
Catabacter_hongkongensis	0	0	0	0	0	0.00261271399504515	0	0	0.0300347532485267	0
Bifidobacterium_angulatum	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_breve	0	0	0	0	0	0	0	0	0	0
Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0	0
Faecalicatena_fissicatena	0	0	0	0	0	0	0.00946184011863142	0	0	0
Bifidobacterium_dentium	0.00950645249427124	0	0	0	0	0	0	0	0	0
Streptococcus_sp_263_SSPC	0	0	0	0	0.00133916653265552	0	0	0	0	0
Coprobacillus_sp_8_1_38FAA	0	0	0	0	0	0	0	0	0	0
Eubacterium_sulci	0	0.015437477494919	0	0	0.0183319915922351	0	0	0	0	0.0383707667367698
Campylobacter_ureolyticus	0	0	0	0	0	0	0	0	0	0
Campylobacter_concisus	0	0	0	0	0	0	0	0	0	0
Megasphaera_elsdenii	0	0	0.00423942124287235	0	0	0	0	0	0	0
Clostridia_bacterium_UC5_1_1D10	0	0	0	0	0	0.0227191131959059	0	0	0.00784792161174018	0
Weissella_cibaria	0	0	0	0	0	0.0267050209577683	0	0	0	0
Clostridium_glycyrrhizinilyticum	0	0	0	0	0	0	0	0	0	0
Bacteroides_cellulosilyticus	0.0055423582097591	0	0	0.0292768551059125	0	0	0	0	0	0
Intestinimonas_butyriciproducens	0	0	0	0	0	0	0	0	0	0
Anaerococcus_rubeinfantis	0.00471533613850665	0	0.00289044798808968	0	0	0	0.0215038353017705	0	0.0274121803751651	0
Megasphaera_sp_DJF_B143	0	0	0	0	0	0	0	0	0	0
Sneathia_sanguinegens	0	0	0	0	0	0	0	0.00690059898184708	0	0
Fusobacterium_equinum	0	0	0.00954569135272818	0	0	0.0215714375194137	0	0	0	0
Clostridiales_bacterium_KA00274	0	0	0	0	0	0	0	0	0	0
