SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10
Lactococcus_lactis	0	0.00099551705041722	0.0136343398276378	0.00296449636719893	0.000240436770531131	0	0	0.00207651452624796	0.00104956593027751	0.00273578511012484
Streptococcus_agalactiae	0	0	0.00140469254157179	0.00176225929938962	0.00112956016985648	0.00141358744912552	0	0	0.00599977958239522	0.000265970809469189
Streptococcus_mutans	0.00197751933960568	0.00171041023330142	0	0	0.0021057889063389	0	0.00100464476259792	0	0.000617279750300006	0
Bifidobacterium_longum	0.00268681765409322	0	0.00187610387331541	0.00358977059942736	0.000238685912163147	0	0	0.00113589794557498	0	0.000537271415962247
Staphylococcus_epidermidis	0	0	0	0.00417458541364005	0	0.00269858980405936	0.00144351334862739	0.00263375751209502	0.00400398293673363	0.00381122548196948
Cutibacterium_acnes	0	0.000945081866656065	0.00241978199726011	0	0	0	0.000716848403400724	0.00215775019888819	0.00072315083708616	0
Helicobacter_pylori	0.000515470032426392	0.00104416892989641	0	0	0.00175249617812148	0	0	0.00652868579086004	0.000474553635187545	0
Clostridioides_difficile	0	0.00219525315790922	0.00610355225305279	0	0.00253928608459694	0.00601315884192565	0	0	0.00493874712420074	0.00445508879750061
Bacteroides_fragilis	0	0	0	0	0.00488808745107265	0.000334673880114511	0	0	0.000308682884329513	0.00287802973727572
Lactobacillus_fermentum	0.00052198865713893	0	0.00267878235030778	0.000475849012172116	0	0	0.00882711442547758	0.00175778342227048	0	0.0016264840680953
Finegoldia_magna	0	0.000469839056669587	0.00258252488460979	0.00213723196079973	0	0	0	0.000699274436820386	0	0.0053305789305039
Bifidobacterium_adolescentis	0.00688711848931466	0.000380353732774559	0.00140376196316688	0	0	0.00100070412447289	0.00469242073398768	0.00168737241595801	0	0.00559017817760926
Rothia_mucilaginosa	0.00764699320809155	0.00568219781950417	0	0.00260039192711459	0	0.00154726840029864	0.00132648378236412	0	0.00151564899175699	0.00135996189695937
Lactobacillus_acidophilus	0	0.000524616573988022	0	0	0.00494686241767524	0	0	0	0.00151443941576335	0
Methanosphaera_stadtmanae	0	0.0029957676060417	0.0010813322955657	0	0.000328766023579618	0.000831167091148391	0.00192873669371667	0.00187088307459237	0	0.0131044247712668
Parabacteroides_distasonis	0	0.00135285667181755	0	0	0	0	0	0.00337446615542965	0.00102548004275947	0.000305773184822527
Clostridium_perfringens	0.000747794125539384	0	0.00662682098245776	0.0030166522513652	0.00237643273644105	0	0.0035493473574836	0.0024720201918557	0.0317085353346621	0
Streptococcus_sanguinis	0.00586040933616266	0.00254676960278133	0.000423182606538746	0.00110490146311669	0.000710073958155896	0.00326796408629789	0	0.00129190202595375	0	0
Leuconostoc_mesenteroides	0.000247176850217842	0	0	0	0	0	0	0.0011583605690652	0.000389168648231734	0.00625518611540362
Methanobrevibacter_smithii	0.0016865769156027	0.0125347819535286	0	0.00412222528517763	0.0011919209822138	0	0.00194880334825727	0.00114499496694143	0.00270768224385371	0
Lactobacillus_reuteri	0	0	0	0.00250595175886089	0	0	0.00213363475802316	0.000506526256110487	0.00414509908885089	0.00284902002069275
