SampleID	BC	rJSD	L1	L2	rAD
L_10_1	0.159963	0.134545	0.319925869	0.142397	0.239154978
L_10_2	0.138965	0.114493	0.277929875	0.117599	0.160992107
L_10_3	0.13933	0.120811	0.278660843	0.145182	0.2054251
L_10_4	0.168593	0.129309	0.337185204	0.125517	0.430916308
L_10_5	0.0830946	0.0657878	0.166189184	0.0655292	0.154860346
L_10_6	0.142155	0.116137	0.284311037	0.145968	0.19463666
L_10_7	0.0644116	0.073496	0.128823166	0.0555793	0.252532285
L_10_8	0.0855382	0.0884902	0.171076367	0.0641158	0.268833999
L_10_9	0.121831	0.127887	0.243661709	0.118638	0.335061441
L_10_10	0.142305	0.11573	0.284609453	0.109587	0.277773376
L_50_1	0.148531	0.124405	0.297061974	0.0821406	0.866624291
L_50_2	0.115879	0.0951105	0.231757719	0.0546818	0.592636562
L_50_3	0.181746	0.161938	0.363492201	0.127019	0.952049406
L_50_4	0.150258	0.121957	0.300515332	0.0788806	0.781442091
L_50_5	0.099395	0.104318	0.198790105	0.0497299	0.792883009
L_50_6	0.125574	0.124867	0.251147788	0.0586308	1.039170706
L_50_7	0.121413	0.115979	0.242826924	0.052957	0.95410243
L_50_8	0.136482	0.119207	0.272963146	0.0644783	0.821006068
L_50_9	0.128861	0.109786	0.257721293	0.0594376	0.68904684
L_50_10	0.141685	0.122662	0.283369344	0.0730399	0.783086945
L_100_1	0.134683	0.113362	0.269366642	0.0528223	0.945576447
L_100_2	0.136374	0.129573	0.27274717	0.051136	1.230541704
L_100_3	0.129499	0.119613	0.258997812	0.0481701	1.264528666
L_100_4	0.174964	0.147857	0.349927311	0.0655419	1.254420664
L_100_5	0.170956	0.145591	0.341911368	0.0665763	1.168464872
L_100_6	0.12951	0.116279	0.259019951	0.0471507	1.181088168
L_100_7	0.125008	0.103427	0.250016513	0.0432615	0.997542111
L_100_8	0.131491	0.122153	0.262982882	0.0620907	1.16668478
L_100_9	0.136507	0.128737	0.273014296	0.0481312	1.236009997
L_100_10	0.143756	0.1193	0.287512586	0.0508555	1.156897638
L_150_1	0.11409	0.112103	0.228180763	0.0309924	1.368203209
L_150_2	0.124495	0.112113	0.248990301	0.0369182	1.173513216
L_150_3	0.137787	0.127233	0.275574917	0.0477753	1.28570024
L_150_4	0.143258	0.123208	0.286515946	0.0503919	1.171965209
L_150_5	0.147042	0.125785	0.294083229	0.042562	1.307278892
L_150_6	0.121735	0.105788	0.243469726	0.041271	1.180437813
