ID	Index	Abd_type	Method	Env	SampleID
S0001	5.100483378	Taxonomic	Shannon	Building	sample_1
S0002	5.155786811	Taxonomic	Shannon	Building	sample_2
S0003	4.979594081	Taxonomic	Shannon	Building	sample_3
S0004	4.849974978	Taxonomic	Shannon	Building	sample_4
S0005	4.923968361	Taxonomic	Shannon	Building	sample_5
S0006	5.157211476	Taxonomic	Shannon	Building	sample_6
S0007	5.120381824	Taxonomic	Shannon	Building	sample_7
S0008	5.204485182	Taxonomic	Shannon	Building	sample_8
S0009	4.894811927	Taxonomic	Shannon	Building	sample_9
S0010	4.966456773	Taxonomic	Shannon	Building	sample_10
S0011	4.914386724	Taxonomic	Shannon	Building	sample_11
S0012	5.151834134	Taxonomic	Shannon	Building	sample_12
S0013	5.143542935	Taxonomic	Shannon	Building	sample_13
S0014	4.684632107	Taxonomic	Shannon	Building	sample_14
S0015	5.209759184	Taxonomic	Shannon	Building	sample_15
S0016	5.12867488	Taxonomic	Shannon	Building	sample_16
S0017	4.897139552	Taxonomic	Shannon	Building	sample_17
S0018	4.939822991	Taxonomic	Shannon	Building	sample_18
S0019	5.162109097	Taxonomic	Shannon	Building	sample_19
S0020	5.157610703	Taxonomic	Shannon	Building	sample_20
S0021	4.984035807	Taxonomic	Shannon	Building	sample_21
S0022	5.113422583	Taxonomic	Shannon	Building	sample_22
S0023	4.952942952	Taxonomic	Shannon	Building	sample_23
S0024	4.979513926	Taxonomic	Shannon	Building	sample_24
S0025	5.09025416	Taxonomic	Shannon	Building	sample_25
S0026	5.09867708	Taxonomic	Shannon	Building	sample_26
S0027	5.000019055	Taxonomic	Shannon	Building	sample_27
S0028	4.952613273	Taxonomic	Shannon	Building	sample_28
S0029	4.950992804	Taxonomic	Shannon	Building	sample_29
S0030	5.116273866	Taxonomic	Shannon	Building	sample_30
S0031	5.053549712	Taxonomic	Shannon	Building	sample_31
S0032	5.022353813	Taxonomic	Shannon	Building	sample_32
S0033	4.916779897	Taxonomic	Shannon	Building	sample_33
S0034	5.012670199	Taxonomic	Shannon	Building	sample_34
S0035	5.209515642	Taxonomic	Shannon	Building	sample_35
S0036	4.886767724	Taxonomic	Shannon	Building	sample_36
S0037	4.857640541	Taxonomic	Shannon	Building	sample_37
S0038	4.908122611	Taxonomic	Shannon	Building	sample_38
S0039	4.804881922	Taxonomic	Shannon	Building	sample_39
S0040	5.096864436	Taxonomic	Shannon	Building	sample_40
S0041	5.186420397	Taxonomic	Shannon	Building	sample_41
S0042	5.018194004	Taxonomic	Shannon	Building	sample_42
S0043	5.010442428	Taxonomic	Shannon	Building	sample_43
S0044	5.153952684	Taxonomic	Shannon	Building	sample_44
S0045	5.002508284	Taxonomic	Shannon	Building	sample_45
S0046	5.021165527	Taxonomic	Shannon	Building	sample_46
S0047	5.073169908	Taxonomic	Shannon	Building	sample_47
S0048	4.90778516	Taxonomic	Shannon	Building	sample_48
S0049	5.076246858	Taxonomic	Shannon	Building	sample_49
S0050	4.887001526	Taxonomic	Shannon	Building	sample_50
S0051	5.09037022	Taxonomic	Shannon	Building	sample_51
S0052	5.058297121	Taxonomic	Shannon	Building	sample_52
S0053	5.228587533	Taxonomic	Shannon	Building	sample_53
S0054	4.827129523	Taxonomic	Shannon	Building	sample_54
S0055	4.839415124	Taxonomic	Shannon	Building	sample_55
S0056	5.181763445	Taxonomic	Shannon	Building	sample_56
S0057	4.939373797	Taxonomic	Shannon	Building	sample_57
S0058	4.892358462	Taxonomic	Shannon	Building	sample_58
S0059	5.033896386	Taxonomic	Shannon	Building	sample_59
S0060	4.999470896	Taxonomic	Shannon	Building	sample_60
S0061	5.11595478	Taxonomic	Shannon	Building	sample_61
S0062	5.061392395	Taxonomic	Shannon	Building	sample_62
S0063	4.993783602	Taxonomic	Shannon	Building	sample_63
S0064	5.185454642	Taxonomic	Shannon	Building	sample_64
S0065	5.133447811	Taxonomic	Shannon	Building	sample_65
S0066	4.911530987	Taxonomic	Shannon	Building	sample_66
S0067	5.091665274	Taxonomic	Shannon	Building	sample_67
S0068	5.041201658	Taxonomic	Shannon	Building	sample_68
S0069	4.925096165	Taxonomic	Shannon	Building	sample_69
S0070	5.092230954	Taxonomic	Shannon	Building	sample_70
S0071	5.167342911	Taxonomic	Shannon	Building	sample_71
S0072	5.087984773	Taxonomic	Shannon	Building	sample_72
S0073	4.691086707	Taxonomic	Shannon	Building	sample_73
S0074	5.133569259	Taxonomic	Shannon	Building	sample_74
S0075	5.026728448	Taxonomic	Shannon	Building	sample_75
S0076	4.881089178	Taxonomic	Shannon	Building	sample_76
S0077	5.126475488	Taxonomic	Shannon	Building	sample_77
S0078	5.063865498	Taxonomic	Shannon	Building	sample_78
S0079	5.082053345	Taxonomic	Shannon	Building	sample_79
S0080	4.822926157	Taxonomic	Shannon	Building	sample_80
S0081	5.083333087	Taxonomic	Shannon	Building	sample_81
S0082	5.239398847	Taxonomic	Shannon	Building	sample_82
S0083	4.897670919	Taxonomic	Shannon	Building	sample_83
S0084	4.944774419	Taxonomic	Shannon	Building	sample_84
S0085	4.997593318	Taxonomic	Shannon	Building	sample_85
S0086	5.2353977	Taxonomic	Shannon	Building	sample_86
S0087	4.937470746	Taxonomic	Shannon	Building	sample_87
S0088	5.195515808	Taxonomic	Shannon	Building	sample_88
S0089	5.086313037	Taxonomic	Shannon	Building	sample_89
S0090	5.156942691	Taxonomic	Shannon	Building	sample_90
S0091	5.066627573	Taxonomic	Shannon	Building	sample_91
S0092	5.061894768	Taxonomic	Shannon	Building	sample_92
S0093	5.08999656	Taxonomic	Shannon	Building	sample_93
S0094	4.707444006	Taxonomic	Shannon	Building	sample_94
S0095	5.190549687	Taxonomic	Shannon	Building	sample_95
S0096	5.088644223	Taxonomic	Shannon	Building	sample_96
S0097	5.137933362	Taxonomic	Shannon	Building	sample_97
S0098	5.046428799	Taxonomic	Shannon	Building	sample_98
S0099	5.148513863	Taxonomic	Shannon	Building	sample_99
S0100	5.018848039	Taxonomic	Shannon	Building	sample_100
S0101	5.016263923	Sequence	Shannon	Building	sample_1
S0102	5.011318692	Sequence	Shannon	Building	sample_2
S0103	4.852875289	Sequence	Shannon	Building	sample_3
S0104	4.695097101	Sequence	Shannon	Building	sample_4
S0105	4.877307351	Sequence	Shannon	Building	sample_5
S0106	5.116342078	Sequence	Shannon	Building	sample_6
S0107	5.079992845	Sequence	Shannon	Building	sample_7
S0108	5.103332847	Sequence	Shannon	Building	sample_8
S0109	4.9311055	Sequence	Shannon	Building	sample_9
S0110	4.782238951	Sequence	Shannon	Building	sample_10
S0111	4.818079074	Sequence	Shannon	Building	sample_11
S0112	5.032335504	Sequence	Shannon	Building	sample_12
S0113	5.054655255	Sequence	Shannon	Building	sample_13
S0114	4.63664201	Sequence	Shannon	Building	sample_14
S0115	5.200322645	Sequence	Shannon	Building	sample_15
S0116	5.090179962	Sequence	Shannon	Building	sample_16
S0117	4.805297362	Sequence	Shannon	Building	sample_17
S0118	4.795892649	Sequence	Shannon	Building	sample_18
S0119	5.007801104	Sequence	Shannon	Building	sample_19
S0120	5.068876142	Sequence	Shannon	Building	sample_20
S0121	4.954146017	Sequence	Shannon	Building	sample_21
S0122	5.074989331	Sequence	Shannon	Building	sample_22
S0123	4.890913892	Sequence	Shannon	Building	sample_23
S0124	4.893786981	Sequence	Shannon	Building	sample_24
S0125	4.936559933	Sequence	Shannon	Building	sample_25
S0126	5.01396411	Sequence	Shannon	Building	sample_26
S0127	4.963571545	Sequence	Shannon	Building	sample_27
S0128	4.849591099	Sequence	Shannon	Building	sample_28
S0129	4.836518631	Sequence	Shannon	Building	sample_29
S0130	5.011375454	Sequence	Shannon	Building	sample_30
S0131	4.977856795	Sequence	Shannon	Building	sample_31
S0132	4.940766957	Sequence	Shannon	Building	sample_32
S0133	4.901987718	Sequence	Shannon	Building	sample_33
S0134	4.880432352	Sequence	Shannon	Building	sample_34
S0135	5.160798468	Sequence	Shannon	Building	sample_35
S0136	4.778604542	Sequence	Shannon	Building	sample_36
S0137	4.791405838	Sequence	Shannon	Building	sample_37
S0138	4.78623533	Sequence	Shannon	Building	sample_38
S0139	4.755797752	Sequence	Shannon	Building	sample_39
S0140	5.063096905	Sequence	Shannon	Building	sample_40
S0141	5.123529764	Sequence	Shannon	Building	sample_41
S0142	4.945935607	Sequence	Shannon	Building	sample_42
S0143	4.929837665	Sequence	Shannon	Building	sample_43
S0144	5.066124547	Sequence	Shannon	Building	sample_44
S0145	4.943110223	Sequence	Shannon	Building	sample_45
S0146	4.582874564	Sequence	Shannon	Building	sample_46
S0147	5.06809652	Sequence	Shannon	Building	sample_47
S0148	4.800187535	Sequence	Shannon	Building	sample_48
S0149	4.983125895	Sequence	Shannon	Building	sample_49
S0150	4.898739814	Sequence	Shannon	Building	sample_50
S0151	5.034251743	Sequence	Shannon	Building	sample_51
S0152	4.913443078	Sequence	Shannon	Building	sample_52
S0153	5.1477105	Sequence	Shannon	Building	sample_53
S0154	4.755677128	Sequence	Shannon	Building	sample_54
S0155	4.667666657	Sequence	Shannon	Building	sample_55
S0156	5.15690364	Sequence	Shannon	Building	sample_56
S0157	4.909516918	Sequence	Shannon	Building	sample_57
S0158	4.880538511	Sequence	Shannon	Building	sample_58
S0159	5.005270846	Sequence	Shannon	Building	sample_59
S0160	4.94018235	Sequence	Shannon	Building	sample_60
S0161	4.964444939	Sequence	Shannon	Building	sample_61
S0162	5.04257312	Sequence	Shannon	Building	sample_62
S0163	4.944886012	Sequence	Shannon	Building	sample_63
S0164	5.194891085	Sequence	Shannon	Building	sample_64
S0165	5.087724405	Sequence	Shannon	Building	sample_65
S0166	4.813288861	Sequence	Shannon	Building	sample_66
S0167	4.958385449	Sequence	Shannon	Building	sample_67
S0168	4.977516507	Sequence	Shannon	Building	sample_68
S0169	4.834996152	Sequence	Shannon	Building	sample_69
S0170	5.042483682	Sequence	Shannon	Building	sample_70
S0171	5.124633496	Sequence	Shannon	Building	sample_71
S0172	5.003272266	Sequence	Shannon	Building	sample_72
S0173	4.652820737	Sequence	Shannon	Building	sample_73
S0174	5.115626465	Sequence	Shannon	Building	sample_74
S0175	5.031672295	Sequence	Shannon	Building	sample_75
S0176	4.76368873	Sequence	Shannon	Building	sample_76
S0177	5.042712298	Sequence	Shannon	Building	sample_77
S0178	4.996325548	Sequence	Shannon	Building	sample_78
S0179	4.908828979	Sequence	Shannon	Building	sample_79
S0180	4.876887739	Sequence	Shannon	Building	sample_80
S0181	5.017373998	Sequence	Shannon	Building	sample_81
S0182	5.176700235	Sequence	Shannon	Building	sample_82
S0183	4.85941781	Sequence	Shannon	Building	sample_83
S0184	4.926958981	Sequence	Shannon	Building	sample_84
S0185	4.872159772	Sequence	Shannon	Building	sample_85
S0186	5.204042089	Sequence	Shannon	Building	sample_86
S0187	4.880629859	Sequence	Shannon	Building	sample_87
S0188	5.115308814	Sequence	Shannon	Building	sample_88
S0189	4.987913094	Sequence	Shannon	Building	sample_89
S0190	5.118884998	Sequence	Shannon	Building	sample_90
S0191	4.903362898	Sequence	Shannon	Building	sample_91
S0192	4.986275491	Sequence	Shannon	Building	sample_92
S0193	5.001362045	Sequence	Shannon	Building	sample_93
S0194	4.668692169	Sequence	Shannon	Building	sample_94
S0195	5.05079687	Sequence	Shannon	Building	sample_95
S0196	5.034308899	Sequence	Shannon	Building	sample_96
S0197	5.067320649	Sequence	Shannon	Building	sample_97
S0198	4.966123928	Sequence	Shannon	Building	sample_98
S0199	4.950894757	Sequence	Shannon	Building	sample_99
S0200	4.978914417	Sequence	Shannon	Building	sample_100
S0201	4.404498746	Taxonomic	Shannon	Gut	sample_1
S0202	4.014631204	Taxonomic	Shannon	Gut	sample_2
S0203	3.961139746	Taxonomic	Shannon	Gut	sample_3
S0204	4.124976001	Taxonomic	Shannon	Gut	sample_4
S0205	4.226271374	Taxonomic	Shannon	Gut	sample_5
S0206	4.112189512	Taxonomic	Shannon	Gut	sample_6
S0207	4.301976397	Taxonomic	Shannon	Gut	sample_7
S0208	4.335171182	Taxonomic	Shannon	Gut	sample_8
S0209	4.557547536	Taxonomic	Shannon	Gut	sample_9
S0210	4.139324759	Taxonomic	Shannon	Gut	sample_10
S0211	4.086986865	Taxonomic	Shannon	Gut	sample_11
S0212	4.425456935	Taxonomic	Shannon	Gut	sample_12
S0213	4.110623892	Taxonomic	Shannon	Gut	sample_13
S0214	4.242413182	Taxonomic	Shannon	Gut	sample_14
S0215	4.438226771	Taxonomic	Shannon	Gut	sample_15
S0216	4.461785392	Taxonomic	Shannon	Gut	sample_16
S0217	4.24390606	Taxonomic	Shannon	Gut	sample_17
S0218	4.016484569	Taxonomic	Shannon	Gut	sample_18
S0219	4.051416981	Taxonomic	Shannon	Gut	sample_19
S0220	4.469693375	Taxonomic	Shannon	Gut	sample_20
