SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Streptococcus_agalactiae	0.047477726	0	0.01994536	0	0	0.006050162	0	0	0	0	0.012377565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007443721	0	0	0	0	0	0	0	0	0.011666809	0	0	0	0	0	0	0	0.002204921	0.042303881	0	0	0	0	0.014411224	0	0	0	0.010685141	0	0	0	0	0	0	0	0	0	0.017838463	0	0	0	0	0	0	0	0.007393971	0	0	0.050725511	0	0.010232991	0	0	0	0	0	0.005394069	0	0	0.010971831	0.023317671	0	0	0	0	0	0	0	0	0	0	0.026055686	0	0	0
Bifidobacterium_longum	0	0	0	0	0	0	0	0.020943279	0	0.025451051	0	0	0.009504905	0	0	0	0	0	0	0	0	0	0.005437765	0	0	0	0	0	0	0	0	0	0	0	0.016387135	0	0.005121802	0.061012358	0	0	0	0	0	0	0.004164923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235261126	0	0.004447302	0	0	0	0	0.00627081	0	0	0	0	0	0	0	0.017199679	0.029135623	0	0	0	0	0	0	0	0	0	0.024663139	0	0	0	0.052729976	0	0	0.040102792	0	0	0	0	0.028975148	0	0	0
Staphylococcus_epidermidis	0	0	0	0.042156192	0	0.011815604	0	0	0	0	0	0	0	0	0	0.003545413	0	0	0	0	0.089325746	0	0	0	0	0	0	0	0.005443723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181369011	0	0	0	0.31938138	0	0	0	0	0.00996534	0	0	0	0.055019931	0.009638607	0	0	0	0	0	0	0	0	0	0.016557644	0.026193562	0	0	0	0.035374181	0.080961951	0.022788816	0	0	0.027874314	0.021847848	0	0	0	0.001971305	0	0	0	0	0.008355965	0
Cutibacterium_acnes	0	0	0	0	0	0.002327617	0	0.012583616	0.005058322	0	0	0	0	0.070762633	0.027632074	0	0	0	0	0	0.014068804	0.024901713	0.027386785	0	0	0.014053708	0	0	0.005701394	0	0.067290384	0.001810887	0	0.002190608	0.022864156	0	0	0.017402264	0	0	0	0	0.010746535	0	0	0	0	0	0.02592503	0	0	0	0	0	0.245914984	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00790863	0	0	0.026347124	0	0.042627321	0	0	0.011725222	0	0	0.039285576	0	0	0.02054587	0	0	0	0.047716271	0	0	0	0	0	0	0.028019571	0.015939487	0	0	0	0	0.013611519
Helicobacter_pylori	0	0	0.003654134	0	0	0.003808994	0	0	0.067920613	0	0	0	0	0.005951239	0	0	0	0.012610102	0	0	0	0	0	0	0	0.002009343	0	0	0.007615668	0	0	0	0	0.003130424	0	0	0	0	0	0	0	0.010692293	0	0	0	0.003463001	0	0	0	0.003629647	0	0	0	0	0	0	0	0	0	0	0	0	0.030571401	0.020623964	0	0	0	0.008215706	0.005278681	0	0	0	0	0	0.003538225	0	0.005563694	0	0	0	0.035373632	0.023327316	0.002776688	0	0	0	0	0	0.013943727	0	0	0	0	0.040085295	0	0	0	0	0.022631865	0
Finegoldia_magna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072472282	0.033254358	0	0	0	0.000924	0	0	0	0	0	0	0	0.018087586	0	0.007016359	0	0	0.059564047	0	0	0	0	0	0.014224665	0	0	0	0	0.017173118	0.017344827	0.00754369	0	0.031682808	0	0	0.01699902	0	0	0	0	0	0	0	0	0	0.007889971	0	0.067588562	0	0.034900892	0	0	0.00433841	0	0	0	0.00611331	0	0.006715195	0	0	0.077510288	0	0	0.066187187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058145002	0	0	0	0	0.014392845	0	0	0	0	0	0.003427283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010691335	0	0	0	0	0	0	0	0	0.011971992	0.028701824	0	0	0	0	0.010304149	0	0	0	0.016461484	0	0	0	0	0	0	0	0	0	0	0	0	0.011338482	0	0	0	0	0	0	0	0	0.005791549	0.025112382	0	0	0	0	0	0	0	0	0	0	0.004638597	0	0.012103298	0	0	0.005218618	0
Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015135403	0	0	0	0	0	0.027655971	0	0	0.038113232	0	0.041295602	0	0	0	0	0.026476671	0	0.024589989	0	0	0.042119738	0.010049209	0	0	0	0	0	0	0	0	0	0	0.061127003	0	0.01937838	0	0	0	0	0	0	0	0	0	0.01445573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009262983	0	0	0	0.092611321	0	0	0	0	0	0	0	0	0	0
Ureaplasma_parvum	0	0	0	0	0	0	0	0	0.007979528	0	0	0.000739514	0.009457095	0.008875024	0	0	0.00421225	0	0.005333686	0.001616585	0	0	0	0	0.009856954	0	0.007424146	0	0.003449586	0	0	0	0.008996214	0.019931301	0	0	0	0	0	0	0	0	0	0.002908201	0.006815901	0.002028533	0.004448016	0	0	0	0.020378217	0	0	0	0	0.015199349	0	0	0	0	0	0	0	0.004595196	0	0	0.000201493	0	0	0	0.015992701	0	0.002898	0	0.006483187	0	0	0.003894522	0	0	0.025853871	0	0	0.001618388	0.001174529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia_muciniphila	0	0	0	0.145404334	0	0	0	0	0	0	0	0	0.036932784	0	0	0	0	0	0	0	0	0	0.015256785	0	0.014541999	0	0	0	0.01443622	0	0	0	0	0.009279126	0	0	0.015543741	0.006139265	0	0.023517778	0	0.149732755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086764663	0	0	0	0	0	0	0	0.001824853	0	0	0	0	0	0.01070994	0	0	0	0	0	0	0	0.046745154	0	0	0	0	0	0	0	0
