ID	NMDS1	NMDS2	Abd_type	SampleID
S001	-0.027855826188637	-0.0649752918404885	Taxonomic	sample_1
S002	0.0210552974793973	-0.131380269878657	Taxonomic	sample_2
S003	0.116581493890697	0.0828723299074433	Taxonomic	sample_3
S004	-0.120946268011632	-0.0637372718401853	Taxonomic	sample_4
S005	0.0945803368006144	-0.0498148386144882	Taxonomic	sample_5
S006	0.124416701373605	0.0354214756382918	Taxonomic	sample_6
S007	0.00155388788193773	0.113575460970446	Taxonomic	sample_7
S008	-0.103043301967777	0.00568471998813899	Taxonomic	sample_8
S009	-0.0431221772147885	0.0302976456607672	Taxonomic	sample_9
S010	-0.0164751985580484	0.134467478037316	Taxonomic	sample_10
S011	-0.0953156378649539	-0.0920293392365878	Taxonomic	sample_11
S012	0.0215387003273595	-0.0611746970336357	Taxonomic	sample_12
S013	-0.107535403773974	0.0877195537787615	Taxonomic	sample_13
S014	-0.110611790975261	-0.0261462051665312	Taxonomic	sample_14
S015	0.0722325923556781	-0.0258506147577105	Taxonomic	sample_15
S016	-0.0303747782771239	0.0557242742286184	Taxonomic	sample_16
S017	0.0685555561882358	0.0907644328408922	Taxonomic	sample_17
S018	0.0550981474945127	0.132018308121953	Taxonomic	sample_18
S019	-0.0149844237675599	-0.130565058588221	Taxonomic	sample_19
S020	0.0341039469947808	0.040008414046452	Taxonomic	sample_20
S021	-0.00537078466856638	0.0301076244559134	Taxonomic	sample_21
S022	0.00720507203073898	0.0721450169632196	Taxonomic	sample_22
S023	-0.11019374650003	0.0154734575402842	Taxonomic	sample_23
S024	0.0260233267246733	-0.00538270633358904	Taxonomic	sample_24
S025	-0.00163450419321718	0.057514356421862	Taxonomic	sample_25
S026	-0.051144261322577	0.0777758507115499	Taxonomic	sample_26
S027	0.10000621575233	-0.0231341134164917	Taxonomic	sample_27
S028	0.0525551743455564	-0.0454574755199857	Taxonomic	sample_28
S029	-0.069101623293973	0.0996720636067999	Taxonomic	sample_29
S030	-0.125515612960575	-0.0281804358243252	Taxonomic	sample_30
S031	-0.0884033124929594	-0.057698438617694	Taxonomic	sample_31
S032	0.00498517752336633	0.0294903044969559	Taxonomic	sample_32
S033	0.0792553471885987	0.0210082634672697	Taxonomic	sample_33
S034	-0.100874203900908	0.0310273041579905	Taxonomic	sample_34
S035	0.111295218338129	-0.0604554250763106	Taxonomic	sample_35
S036	-0.0254586728603713	-0.107405798968012	Taxonomic	sample_36
S037	-0.00987367784642718	0.00741949536438472	Taxonomic	sample_37
S038	0.124968334438211	-0.0281673058437479	Taxonomic	sample_38
S039	-0.0527441209724497	-0.0955535156399094	Taxonomic	sample_39
S040	-0.0358792167283847	-0.0519243790031045	Taxonomic	sample_40
S041	-0.073382911022381	-0.0536728395313683	Taxonomic	sample_41
S042	0.0760701844440703	-0.0458334036803704	Taxonomic	sample_42
S043	0.0616783269226086	-0.0930612612372841	Taxonomic	sample_43
S044	0.0426792048444733	-0.11473256710953	Taxonomic	sample_44
S045	-0.152802587906568	0.0462558335173747	Taxonomic	sample_45
S046	-0.0878988457442628	0.0835690912056958	Taxonomic	sample_46
S047	-0.0494370955852142	0.0571887132342675	Taxonomic	sample_47
S048	-0.0369360601116873	-0.0914165340813178	Taxonomic	sample_48
S049	-0.0528564611464091	-0.0602234039501653	Taxonomic	sample_49
S050	0.0504433830605978	0.0148417139418265	Taxonomic	sample_50
S051	0.00112295965675167	-0.0324416271855365	Taxonomic	sample_51
S052	0.120444296176434	-0.00421889590620952	Taxonomic	sample_52
S053	0.124999357548966	-0.0480778276026434	Taxonomic	sample_53
S054	0.0234201412773391	0.00851240059414516	Taxonomic	sample_54
S055	0.0407527472526982	0.104440139331784	Taxonomic	sample_55
S056	-0.127790648182857	-0.00540792231754817	Taxonomic	sample_56
S057	0.0411915129404422	-0.0588751582499764	Taxonomic	sample_57
S058	-0.041011355514066	0.132283292918602	Taxonomic	sample_58
S059	0.0386999957452332	-0.0950588028537338	Taxonomic	sample_59
S060	0.0739533282872781	-0.0026442453481454	Taxonomic	sample_60
S061	0.095307905466009	0.0711117899098821	Taxonomic	sample_61
