ID	NMDS1	NMDS2	Abd_type	SampleID
S001	-0.00585373650911719	-0.0227357276098515	Taxonomic	sample_1
S002	0.0446053237097327	0.00685043266167984	Taxonomic	sample_2
S003	0.0726181614403769	-0.095652270744682	Taxonomic	sample_3
S004	-0.109325058378055	0.0948508854513263	Taxonomic	sample_4
S005	-0.103187790671227	-0.118116992327535	Taxonomic	sample_5
S006	0.00911847659409676	-0.0183022856722974	Taxonomic	sample_6
S007	0.00523105376774937	-0.0269578043872623	Taxonomic	sample_7
S008	-0.0135623264672354	-0.00403262576479366	Taxonomic	sample_8
S009	-0.109843421783147	-0.00801881606592862	Taxonomic	sample_9
S010	-0.0385755735620538	0.040655890884726	Taxonomic	sample_10
S011	0.154762398447372	-0.047266863467084	Taxonomic	sample_11
S012	0.00931056615973648	0.0316483363817492	Taxonomic	sample_12
S013	-0.0406840192814858	0.00604638182787287	Taxonomic	sample_13
S014	0.176209748901243	0.0829818763613383	Taxonomic	sample_14
S015	0.0127572502743624	-0.0063371327339772	Taxonomic	sample_15
S016	0.0167664653729132	-0.0310103822170469	Taxonomic	sample_16
S017	0.152525498858021	0.0502928443156463	Taxonomic	sample_17
S018	0.0878889194935816	-0.0639504756282224	Taxonomic	sample_18
S019	-0.0283931828199842	0.0301222343982182	Taxonomic	sample_19
S020	0.015173817943954	-0.00127493409540517	Taxonomic	sample_20
S021	0.0706018646357318	0.0945926230197854	Taxonomic	sample_21
S022	0.026098417323767	0.0169506961886074	Taxonomic	sample_22
S023	0.0758027020062327	0.0744567092771359	Taxonomic	sample_23
S024	0.0958749521300689	0.0651483473474265	Taxonomic	sample_24
S025	-0.0470397958536214	-0.025702091060709	Taxonomic	sample_25
S026	-0.0425769643587417	0.0201330882137071	Taxonomic	sample_26
S027	0.00322380604491304	-0.0596720548635705	Taxonomic	sample_27
S028	-0.144879347018408	-0.00900744972956153	Taxonomic	sample_28
S029	-0.131443466612079	0.0496969703893219	Taxonomic	sample_29
S030	0.0633571123502429	-0.0247909562924421	Taxonomic	sample_30
S031	0.020532037244059	0.0870395459094878	Taxonomic	sample_31
S032	-0.106353209079944	-0.0210826829120786	Taxonomic	sample_32
S033	0.0298928085285576	0.150963511741351	Taxonomic	sample_33
S034	-0.104566472033298	-0.0439730338857029	Taxonomic	sample_34
S035	-0.00830531822088528	0.0167916685267251	Taxonomic	sample_35
S036	-0.0564676466670306	0.154242454423097	Taxonomic	sample_36
S037	-0.0414182298641946	0.156064721307681	Taxonomic	sample_37
