ID	NMDS1	NMDS2	Abd_type	SampleID
S001	0.0301106169553379	0.126479070720553	Taxonomic	sample_1
S002	-0.000350685070285987	0.039243418327236	Taxonomic	sample_2
S003	-0.0579919345015895	0.118451726821159	Taxonomic	sample_3
S004	0.131470580307619	-0.0672099596259678	Taxonomic	sample_4
S005	0.0544551738411061	-0.1208711284548	Taxonomic	sample_5
S006	-0.0491846982555803	0.0749383308223171	Taxonomic	sample_6
S007	0.0167501667953327	0.0248606727554348	Taxonomic	sample_7
S008	0.0808330376758658	0.00152384791630902	Taxonomic	sample_8
S009	-0.0622837739090886	-0.063020000890658	Taxonomic	sample_9
S010	-0.0261600551162173	0.050663637691218	Taxonomic	sample_10
S011	0.0669180714177747	0.0259091105294104	Taxonomic	sample_11
S012	-0.0117487536367538	0.0781438141715918	Taxonomic	sample_12
S013	0.0746123624902034	-0.038976262344639	Taxonomic	sample_13
S014	-0.0657984091164506	-0.0251328641880977	Taxonomic	sample_14
S015	0.0168370189929766	-0.0609314503895783	Taxonomic	sample_15
S016	-0.0133549308201187	-0.0612631377602739	Taxonomic	sample_16
S017	0.0542973772022531	-0.0686605251360602	Taxonomic	sample_17
S018	0.114751960397816	-0.0853509332944809	Taxonomic	sample_18
S019	-0.0169634960288408	0.102100343705931	Taxonomic	sample_19
S020	-0.1347310253081	0.00920166546423335	Taxonomic	sample_20
S021	-0.0404804804789681	-0.129610359976146	Taxonomic	sample_21
S022	0.0513113697906533	0.116061155851072	Taxonomic	sample_22
S023	-0.0119919257108559	-0.00782797319110273	Taxonomic	sample_23
S024	0.0788518972559339	-0.0131551022597975	Taxonomic	sample_24
S025	0.0748033849294782	0.0822919066245402	Taxonomic	sample_25
S026	0.0439826872954365	0.00067795747581086	Taxonomic	sample_26
S027	-0.0683144748609591	-0.0101756055409824	Taxonomic	sample_27
S028	0.0119126981136612	0.106631615672421	Taxonomic	sample_28
S029	-0.000810306462457356	-0.0531765798293224	Taxonomic	sample_29
S030	0.0492374865859591	0.0955849772066119	Taxonomic	sample_30
S031	0.0322760331623403	-0.0806666749198962	Taxonomic	sample_31
S032	-0.105621578182684	0.0711793267835647	Taxonomic	sample_32
S033	-0.0413576232585749	0.00759372155336156	Taxonomic	sample_33
S034	-0.0328459184703474	-0.1166752643103	Taxonomic	sample_34
S035	0.0424420343980795	0.0250571306579124	Taxonomic	sample_35
S036	-0.0964788739916219	0.0764801142671555	Taxonomic	sample_36
S037	-0.102227798527073	-0.0405569857481363	Taxonomic	sample_37
S038	0.0684220489495026	0.0526039059868615	Taxonomic	sample_38
S039	0.0319905587878293	0.0407732991524916	Taxonomic	sample_39
S040	-0.0765743873329194	0.103432081018151	Taxonomic	sample_40
S041	-0.114830262625579	0.0275913471363797	Taxonomic	sample_41
S042	-0.033018491586773	-0.0666050479130887	Taxonomic	sample_42
S043	0.076880749206195	0.117768027681904	Taxonomic	sample_43
S044	0.0547123708941673	0.0289898789673552	Taxonomic	sample_44
S045	0.0556067851038207	0.0689666569940687	Taxonomic	sample_45
S046	0.124551946983346	-0.017414626232019	Taxonomic	sample_46
S047	-0.0396141082505007	-0.0490245480722637	Taxonomic	sample_47
S048	0.0407996600109102	-0.0573801170075469	Taxonomic	sample_48
S049	0.0568892290830345	-0.0516729492556398	Taxonomic	sample_49
S050	-0.00882159204095854	-0.105840017400231	Taxonomic	sample_50
S051	-0.0796521465240572	0.0227731175263631	Taxonomic	sample_51
S052	-0.0112244479879278	0.0258880135642343	Taxonomic	sample_52
S053	-0.0510051141993217	0.0172249926765854	Taxonomic	sample_53
S054	0.114838519630068	0.0799086366112631	Taxonomic	sample_54
S055	0.0911592789762893	0.106249121464373	Taxonomic	sample_55
S056	-0.0173677285555931	0.140781020772871	Taxonomic	sample_56
S057	0.110428827407349	0.0330287973942056	Taxonomic	sample_57
S058	-0.0744722521229531	-0.107308932937734	Taxonomic	sample_58
S059	-0.032588644454605	0.0336855609533916	Taxonomic	sample_59
S060	-0.0182049760688152	-0.0275305771353505	Taxonomic	sample_60
S061	-0.027048405490076	0.00997929223868702	Taxonomic	sample_61
S062	0.0273339540118776	0.0863912227247167	Taxonomic	sample_62
S063	0.0482458575196936	-0.0234592215142183	Taxonomic	sample_63
S064	-0.0374365797542071	-0.0194795986176952	Taxonomic	sample_64
S065	-0.0655438051436871	0.0751372954124825	Taxonomic	sample_65
S066	0.0129831950215374	-0.125069753569811	Taxonomic	sample_66
S067	-0.105927688259541	-2.31134580875135e-05	Taxonomic	sample_67
S068	-0.0945296166775031	-0.0581302064883972	Taxonomic	sample_68
S069	-0.0497446893269356	-0.0887088881138319	Taxonomic	sample_69
S070	0.133858127210962	-0.00743747210952891	Taxonomic	sample_70
S071	-0.00683309223111478	0.0547238463562077	Taxonomic	sample_71
S072	-0.00149536392659577	-0.0871532923217365	Taxonomic	sample_72
S073	-0.0529158633850929	0.0955421422693749	Taxonomic	sample_73
S074	0.0307579931531787	-0.0489618945340106	Taxonomic	sample_74
S075	0.00332544319490536	-0.0424827549859682	Taxonomic	sample_75
S076	0.162522147700111	0.00418871179640312	Taxonomic	sample_76
S077	-0.0586351755091681	0.044559728259365	Taxonomic	sample_77
S078	0.0136789662830917	0.0621982836847126	Taxonomic	sample_78
S079	-0.0918422361445019	-0.107883251846901	Taxonomic	sample_79
S080	-0.103163852031754	0.0157658564445901	Taxonomic	sample_80
S081	0.114031237256088	0.0583055345469022	Taxonomic	sample_81
S082	0.0892016234217818	-0.108380518588229	Taxonomic	sample_82
S083	-0.0311899940532937	0.0885922457795436	Taxonomic	sample_83
S084	-0.0276928988130938	-0.083266092014757	Taxonomic	sample_84
S085	0.0744886898965057	-0.129576665673684	Taxonomic	sample_85
S086	0.0715182059379221	-0.0624364221451597	Taxonomic	sample_86
S087	-0.133769862370935	-0.0134883679822897	Taxonomic	sample_87
S088	0.0236707721571957	-0.0180768890312838	Taxonomic	sample_88
S089	0.105145487120182	0.00839461042717881	Taxonomic	sample_89
S090	-0.107746499347984	0.049851118357193	Taxonomic	sample_90
S091	0.0243000432348158	-0.130924308185645	Taxonomic	sample_91
S092	-0.0840570875315679	0.0536493312029562	Taxonomic	sample_92
S093	-0.10064332376227	-0.0808758778469224	Taxonomic	sample_93
S094	0.0688394799949432	-0.0230781960583104	Taxonomic	sample_94
S095	-0.1055247068923	-0.0251068950108908	Taxonomic	sample_95
S096	0.017421545075512	-0.00184228555815026	Taxonomic	sample_96
S097	-0.131148371375883	-0.0764061071446204	Taxonomic	sample_97
S098	-0.0120588336921779	0.122773239993654	Taxonomic	sample_98
S099	0.105084850571968	-0.0391307228778557	Taxonomic	sample_99
S100	-0.053522712226359	-0.0353740429202132	Taxonomic	sample_100
S0011	0.0981945397967239	-0.0771934903190612	Sequence	sample_1
S0021	-0.00435735497871073	-0.0032714787005879	Sequence	sample_2
S0031	0.129610424130807	0.00327024355761825	Sequence	sample_3
S0041	0.0288577543646175	-0.139789535736884	Sequence	sample_4
S0051	0.082706291302112	-0.109849733192257	Sequence	sample_5
S0061	-0.0608027288407854	0.0549682359534227	Sequence	sample_6
S0071	-0.0784710753456684	-0.0123229117877	Sequence	sample_7
S0081	0.0881452162061126	-0.0508336311653754	Sequence	sample_8
S0091	-0.0171930663898483	-0.0989648526057568	Sequence	sample_9
S0101	-0.028321296266605	0.0286840517732283	Sequence	sample_10
S0111	0.0672710084008521	0.0157896283904789	Sequence	sample_11
S0121	-0.064135866239335	0.0767028618628764	Sequence	sample_12
S0131	0.0462570516934772	-0.0421164994325323	Sequence	sample_13
S0141	-0.0611554766744294	-0.0182999766511419	Sequence	sample_14
S0151	0.0659835298551135	0.0407766618568165	Sequence	sample_15
S0161	0.0198325857974052	-0.0554745397347326	Sequence	sample_16
S0171	0.0603106623214369	-0.0661796492893449	Sequence	sample_17
S0181	0.109223014621442	-0.109575009138355	Sequence	sample_18
S0191	-0.0206324592878887	0.107516828878429	Sequence	sample_19
S0201	-0.0739887174781395	0.118797115827989	Sequence	sample_20
S0211	-0.0175735933927477	-0.132994087768618	Sequence	sample_21
