ID	PCOA1	PCOA2	Abd_type	SampleID
S001	-0.0496970603371614	0.0224024846770482	Taxonomic	sample_1
S002	0.126641007942331	-0.00754629326827711	Taxonomic	sample_2
S003	-0.0537742838110692	-0.0320284212215498	Taxonomic	sample_3
S004	0.0198589872657838	0.0822211478865467	Taxonomic	sample_4
S005	0.0886711237689529	-0.154171444992625	Taxonomic	sample_5
S006	-0.00715234511557512	0.0228675461208739	Taxonomic	sample_6
S007	-0.0968325418516719	-0.0672949030795652	Taxonomic	sample_7
S008	-0.0875617011979338	0.0497940296477891	Taxonomic	sample_8
S009	-0.136137412205365	0.0992268504730327	Taxonomic	sample_9
S010	-0.131488167067911	-0.0987202810987561	Taxonomic	sample_10
S011	-0.00732888497472234	-0.0741109350036894	Taxonomic	sample_11
S012	0.085285647693242	-0.0467251374617077	Taxonomic	sample_12
S013	0.00553180568781768	0.0433419878582174	Taxonomic	sample_13
S014	0.0296673974471807	0.133299122127825	Taxonomic	sample_14
S015	0.0532145567035554	-0.14105338062459	Taxonomic	sample_15
S016	-0.0520042876834987	0.0576313281104032	Taxonomic	sample_16
S017	-0.126970621945235	-0.0483592290240596	Taxonomic	sample_17
S018	-0.0726311085156185	-0.008476718200667	Taxonomic	sample_18
S019	0.0165655168921628	-0.00018972100911999	Taxonomic	sample_19
S020	0.0217815181931252	-0.0749074987818412	Taxonomic	sample_20
S021	0.00929271141891951	0.0593244619975204	Taxonomic	sample_21
S022	0.0369824660345761	0.0563762284848646	Taxonomic	sample_22
S023	0.00033983794112277	0.0421546319910696	Taxonomic	sample_23
S024	0.0428825998248303	-0.0563743554186169	Taxonomic	sample_24
S025	0.00872022689012015	0.0442421833426966	Taxonomic	sample_25
S026	-0.0675829938986169	0.0285284478948067	Taxonomic	sample_26
S027	0.0642307286243152	-0.0153774596119785	Taxonomic	sample_27
S028	0.0200430734924402	-0.0498417989838925	Taxonomic	sample_28
S029	-0.11263435218962	0.0599473812689531	Taxonomic	sample_29
S030	0.0741092827167127	0.14347967222598	Taxonomic	sample_30
S031	0.00255745916506618	0.12714166436441	Taxonomic	sample_31
S032	-0.00562007207655615	-0.0522867700663596	Taxonomic	sample_32
S033	0.0290528980879573	-0.0243606452885401	Taxonomic	sample_33
S034	-0.106604982119536	0.131908696945864	Taxonomic	sample_34
S035	0.0680055890677615	-0.118917850465201	Taxonomic	sample_35
S036	-0.0198432448373313	-0.0783357282728371	Taxonomic	sample_36
S037	-0.00359167985468236	0.0446436134218073	Taxonomic	sample_37
S038	0.0678186805079535	0.0163431313706431	Taxonomic	sample_38
S039	0.121132582289494	0.108068392115326	Taxonomic	sample_39
S040	0.0313246595567456	0.030267128203945	Taxonomic	sample_40
S041	-0.0250063805371798	-0.0399301759557838	Taxonomic	sample_41
S042	0.106393098908731	-0.0810105853776545	Taxonomic	sample_42
S043	0.0759892199919446	-0.0738278694019802	Taxonomic	sample_43
S044	0.00269015339539864	-0.0477870111590256	Taxonomic	sample_44
S045	-0.0420787676395619	0.0655626047118507	Taxonomic	sample_45
S046	-0.0494185406085365	-0.038778512548472	Taxonomic	sample_46
S047	-0.0175849507267502	0.119075650015996	Taxonomic	sample_47
S048	0.019421820960645	0.00619319789444691	Taxonomic	sample_48
