ID	UMAP1	UMAP2	Abd_type	SampleID
S001	-0.246806240392557	-1.48019054325579	Taxonomic	sample_1
S002	0.520374237540136	0.721690083608571	Taxonomic	sample_2
S003	-2.41184473210277	-0.322094848404562	Taxonomic	sample_3
S004	-1.06611002516923	0.982656832052391	Taxonomic	sample_4
S005	1.70438771291738	-0.667956166308878	Taxonomic	sample_5
S006	-0.208342053071525	-1.82092306425272	Taxonomic	sample_6
S007	-2.07138267165148	-0.369488303243174	Taxonomic	sample_7
S008	-0.955862739605593	0.594484463051657	Taxonomic	sample_8
S009	-0.524045860138292	-1.15568307480075	Taxonomic	sample_9
S010	-1.64043864185164	0.145927433174547	Taxonomic	sample_10
S011	0.335569898705268	1.88843110004772	Taxonomic	sample_11
S012	0.854878699738652	0.981564428989548	Taxonomic	sample_12
S013	1.04151678003938	1.551495267878	Taxonomic	sample_13
S014	-0.721795069038852	1.25829802842673	Taxonomic	sample_14
S015	1.55245014231546	-0.974742468780617	Taxonomic	sample_15
S016	-0.848357426692075	-0.127009219915087	Taxonomic	sample_16
S017	-1.79284382477722	-1.69140126199901	Taxonomic	sample_17
S018	-1.75786369579331	-1.29381554945568	Taxonomic	sample_18
S019	2.20049719165301	-0.370369550601666	Taxonomic	sample_19
S020	-0.0614023961529444	-0.89872524579882	Taxonomic	sample_20
S021	-1.08282221728085	-0.260867563083069	Taxonomic	sample_21
S022	-0.638712982145295	-0.675843664433687	Taxonomic	sample_22
S023	1.36496027149798	1.30197347828613	Taxonomic	sample_23
S024	0.303727656653235	-1.09167574336682	Taxonomic	sample_24
S025	-0.022931105689421	-0.0115139067866019	Taxonomic	sample_25
S026	-1.26050681832195	-0.827339235504645	Taxonomic	sample_26
S027	1.28700947351063	-0.3278071062251	Taxonomic	sample_27
S028	0.955720545265347	1.00064801334608	Taxonomic	sample_28
S029	-1.56559144093108	-0.0970444925251408	Taxonomic	sample_29
S030	-0.709519242894075	1.63425579638485	Taxonomic	sample_30
S031	0.959979666858773	0.478846684934691	Taxonomic	sample_31
S032	1.69021587204158	0.389968455421062	Taxonomic	sample_32
