ID	UMAP1	UMAP2	Abd_type	SampleID
S001	1.28198163646763	-0.212730842872694	Taxonomic	sample_1
S002	0.959495435853356	0.931538931007843	Taxonomic	sample_2
S003	1.27709635282655	-1.0298644039683	Taxonomic	sample_3
S004	0.971641360530833	-0.145718539465405	Taxonomic	sample_4
S005	-1.80907101901585	-0.609383378555631	Taxonomic	sample_5
S006	1.67793757735744	-0.955870895261435	Taxonomic	sample_6
S007	0.211031339348966	-0.656681615286273	Taxonomic	sample_7
S008	-1.53660230011601	-0.56295330546125	Taxonomic	sample_8
S009	-0.611728929009527	-1.06807658244386	Taxonomic	sample_9
S010	1.17869772717747	-2.05925596353333	Taxonomic	sample_10
S011	0.786842198417946	0.575380012976344	Taxonomic	sample_11
S012	0.944140975376226	-0.35683117018595	Taxonomic	sample_12
S013	-1.4928034340281	1.76154758516264	Taxonomic	sample_13
S014	1.38551995640036	1.4243009187204	Taxonomic	sample_14
S015	0.490994448577218	0.882517301610535	Taxonomic	sample_15
S016	0.815307382592298	-1.79349993661588	Taxonomic	sample_16
S017	-1.06000061602493	-0.197894996521585	Taxonomic	sample_17
S018	-1.45167557450287	0.672358743992371	Taxonomic	sample_18
S019	1.50535186787836	1.11772090635845	Taxonomic	sample_19
S020	-0.458382085980278	-1.52284416471463	Taxonomic	sample_20
S021	1.37927507628714	0.390214489948551	Taxonomic	sample_21
S022	-1.33233149493776	1.91722776239776	Taxonomic	sample_22
S023	1.83278334476466	0.476721356240673	Taxonomic	sample_23
S024	-0.371620725573018	0.756398756292017	Taxonomic	sample_24
S025	0.500682932472935	-1.43752950803396	Taxonomic	sample_25
S026	-0.576034311145904	0.316215851938012	Taxonomic	sample_26
S027	0.69214611458123	0.75556991651316	Taxonomic	sample_27
S028	-0.20973926584059	1.67277537281605	Taxonomic	sample_28
S029	-0.359972494259494	0.102690290665735	Taxonomic	sample_29
S030	0.860309990865335	-0.735504343667184	Taxonomic	sample_30
S031	-0.379115960789735	-0.649871993110597	Taxonomic	sample_31
S032	0.123949820795885	-0.139745123213196	Taxonomic	sample_32
S033	1.23221772394862	0.7615262877041	Taxonomic	sample_33
S034	-1.30376092047493	-0.18048607530973	Taxonomic	sample_34
S035	-0.713062927611433	0.0795375372621256	Taxonomic	sample_35
S036	-0.12431301226262	0.418142744562452	Taxonomic	sample_36
S037	0.977676887593114	-1.27155000497924	Taxonomic	sample_37
S038	-0.300333814832535	1.2724911468133	Taxonomic	sample_38
S039	0.769960062670066	0.220812843279772	Taxonomic	sample_39
S040	1.26543845278129	1.54140582492014	Taxonomic	sample_40
S041	-0.915264820042522	0.323873831837176	Taxonomic	sample_41
S042	-0.235470194311954	-1.36456930833737	Taxonomic	sample_42
S043	-1.57031852146244	-1.1426991164695	Taxonomic	sample_43
S044	1.68203792432747	0.0332576246623069	Taxonomic	sample_44
S045	0.508807857708721	-0.705167497109081	Taxonomic	sample_45
S046	-0.645007932330552	1.0920826430029	Taxonomic	sample_46
S047	1.13523669341956	0.334358102406713	Taxonomic	sample_47
S048	1.59042151714762	-1.73520298632811	Taxonomic	sample_48
S049	0.580153820872935	-1.10658518986756	Taxonomic	sample_49
S050	0.360752481247004	1.03374767780845	Taxonomic	sample_50
S051	-1.40248774475992	1.46667173461531	Taxonomic	sample_51
S052	-0.0827468311168591	-1.91636685120306	Taxonomic	sample_52
S053	1.80242667800388	-0.279159029361471	Taxonomic	sample_53
S054	0.233872502622184	-1.00622612524052	Taxonomic	sample_54
S055	0.0911288760229532	1.42442381806088	Taxonomic	sample_55
S056	0.366294842287439	-2.27113135825797	Taxonomic	sample_56
S057	0.0967761230831741	0.400585344312992	Taxonomic	sample_57
S058	-0.0822386681322635	-0.912848884533114	Taxonomic	sample_58
S059	1.81802446505012	0.856433787059399	Taxonomic	sample_59
S060	0.404424948093161	0.318988230155566	Taxonomic	sample_60
S061	-0.0505049427489968	2.02187515024739	Taxonomic	sample_61
S062	-1.82646898791588	1.58397285678684	Taxonomic	sample_62
S063	-0.748874751519802	-1.34058578764126	Taxonomic	sample_63
S064	1.42441385673435	-0.45369210295125	Taxonomic	sample_64
S065	0.0196948505327943	-1.34114175056666	Taxonomic	sample_65
S066	-1.27987841626656	1.43006469031099	Taxonomic	sample_66
S067	-1.48797546759494	-1.27222831529636	Taxonomic	sample_67
S068	-1.32419653938776	-1.40757947924148	Taxonomic	sample_68
S069	-0.284385411456372	-0.207545532278924	Taxonomic	sample_69
S070	1.2669374942776	-1.74091422538523	Taxonomic	sample_70
S071	-1.69616186272703	-0.921127911315217	Taxonomic	sample_71
S072	-1.8715204179683	0.925261818536477	Taxonomic	sample_72
S073	0.107781292463198	1.81163592299111	Taxonomic	sample_73
S074	0.501046711474588	-2.07448067679066	Taxonomic	sample_74
S075	-1.54138921437028	0.196876030380396	Taxonomic	sample_75
S076	-0.679072111226135	2.06075137305918	Taxonomic	sample_76
S077	-2.22509796631775	0.177710979093109	Taxonomic	sample_77
S078	-2.07792454666109	0.124134248306226	Taxonomic	sample_78
S079	-1.85672707973612	0.283769427553103	Taxonomic	sample_79
S080	0.255506327798061	0.00382440187732558	Taxonomic	sample_80
S081	-1.7674313743704	1.64359706337648	Taxonomic	sample_81
S082	-0.379785025522857	-1.80529967313806	Taxonomic	sample_82
S083	0.223194728554452	-1.64146412901405	Taxonomic	sample_83
S084	-0.617478592226233	0.536342155175879	Taxonomic	sample_84
S085	0.938933388423716	0.661773295225689	Taxonomic	sample_85
S086	0.439223354881698	1.65178997473224	Taxonomic	sample_86
S087	1.0532388085555	-2.24378380321787	Taxonomic	sample_87
S088	-0.986688921364909	-1.09616032773337	Taxonomic	sample_88
S089	0.730330285535318	1.27434690869274	Taxonomic	sample_89
S090	0.632152579976614	-0.389057981754973	Taxonomic	sample_90
S091	-0.175456793071229	2.11282342550658	Taxonomic	sample_91
S092	1.1981264186209	-1.27451466861271	Taxonomic	sample_92
S093	1.33440263306769	-0.680688902743103	Taxonomic	sample_93
S094	1.68475179222334	1.26856061825556	Taxonomic	sample_94
S095	1.5804825232594	-1.35612128148302	Taxonomic	sample_95
S096	-1.69698557336228	0.471777717262186	Taxonomic	sample_96
S097	-0.858281763637738	1.66887480266068	Taxonomic	sample_97
S098	-1.26731196915868	0.166713976307496	Taxonomic	sample_98
S099	-1.23478796424871	1.03233019550583	Taxonomic	sample_99
S100	-0.222585150408252	0.832311332124473	Taxonomic	sample_100
S001.1	-1.48583204037825	1.06590816964116	Sequence	sample_1
S002.1	1.04308222186028	-1.75604933504117	Sequence	sample_2
S003.1	-1.39759667237382	0.573002172925842	Sequence	sample_3
S004.1	-0.38017789239107	0.748565482381644	Sequence	sample_4
S005.1	-0.507153899394312	-0.872290115982522	Sequence	sample_5
S006.1	-1.22014268928066	-0.231731305279939	Sequence	sample_6
S007.1	0.694489259907357	1.00423407953903	Sequence	sample_7
S008.1	-0.0857627979968849	-0.0735175244813908	Sequence	sample_8
S009.1	1.35347766957231	-0.144626632300387	Sequence	sample_9
S010.1	-1.1232184639896	-0.197736613445406	Sequence	sample_10
