SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Lactococcus_lactis	0	0.013881142	0.009198202	0	0.026957966	0	0	0	0.000976018	0.00123689	0	0	0	0	0	0	0	0	0	0.004035753	0.006216896	0	0	0.005818416	0.0117441	0	0	0	0	0	0.001854714	0	0	0	0	0	0.019045598	0	0	0	0.029639842	0	0.00442629	0	0.000663951	0	0.018398545	0	0	0	0	0	0	0	0	0	0	0.002324507	0	0	0	0.006330464	0.026106001	0.01684813	0	0	0	0	0	0	0	0.001596991	0	0.010727884	0	0	0	0	0	0	0.011402896	0.010039964	0	0.09614759	0.005660693	0	0	0.002442735	0	0	0	0	0	0	0.015397342	0	0	0.00980634	0	0
Streptococcus_agalactiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005242871	0	0	0	0	0	0	0.00881927	0.009215212	0.000941292	0	0.042328213	0	0.000769377	0	0.012291338	0	0.003786758	0	0	0	0	0.00158909	0.000332191	0.002701349	0.00537203	0.043349689	0	0	0.028253475	0	0	0	0	0	0	0	0.045632328	0.005943371	0.003949585	0.001685078	0	0	0	0	0	0	0.005612621	0	0	0	0	0	0	0	0	0	0	0	0	0.002481827	0	0	0	0	0	0	0	0.007215281	0.001823273	0	0	0.02146899	0	0.002750805	0	0	0	0.024094887	0	0.01469944	0
Streptococcus_mutans	0.026492762	0.013326731	0	0.003794442	0	0.002748972	0.000572199	0	0	0	0	0	0.001867761	0	0	0.004200729	0	0.038487317	0.004616934	0	0	0.0164732	0	0	0.009893897	0.0011103	0.003948835	0.009624109	0	0	0.007175908	0.015026994	0.003855261	0	0	0	0	0	0.016890298	0	0	0.006398989	0	0.0028906	0	0	0	0	0	0	0.005250109	0.003788235	0.004663925	0.018111202	0	0	0.004268641	0	0.001824704	0	0.004824523	0	0.002416782	0	0	0.002609362	0	0	0.011215122	0.000410446	0	0.010298303	0	0.00717667	0.006277638	0	0	0.002680846	0	0.011897434	0	0	0	0.003756953	0	0.002838922	0	0	0.024767785	0	0	0	0	0.000464088	0	0	0	0	0	0
Bifidobacterium_longum	0	0	0.001740457	0.002131483	0	0	0	0.003298254	0.003316577	0	0	0.005991757	0	0.004249802	0	0.004870005	0.011423051	0	0.002467689	0.02459674	0	0.015115582	0.020548907	0.011346516	0	0	0.00456994	0.000717155	0	0.001025471	0	0.000902451	0	0	0.011221273	0	0.00494149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001906815	0	0.00220743	0	0	0.008249921	0	0	0	0	0.015343128	0	0.005231042	0	0	0	0	0	0	0	0	0	0.001261952	0	0.003460388	0	0.007239298	0	0.050685478	0	0	0	0.001637034	0	0.005574336	0	0	0.018938045	0.014865186	0.04138454	0	0	0	0	0.001027874	0	0	0.001442704	0
Staphylococcus_epidermidis	0	0	0	0	0	0	0	0	0	0	0	0.001388968	0	0.002879599	0	0	0	0	0	0	0	0	0.005651519	0	0	0	0.001976744	0	0	0	0	0.003423213	0.003858725	0	0	0.004781875	0.00887548	0.001967348	0.018207248	0	0	0.00110163	0	0	0	0	0	0	0	0	0.001014148	0.015430645	0	0	0.001647381	0	0	0	0	0	0	0	0	0.00679413	0.004512411	0.001292521	0	0.00389639	0	0	0.007398653	0.005555326	0.005632217	0	0	0	0	0.004854756	0	0.007201022	0.01301542	0	0	0.001601629	0	0	0	0.008256508	0.011268492	0.019796717	0	0	0	0.005112477	0	0	0.002244147	0	0	0.007768
Cutibacterium_acnes	0	0.005361886	0.070280627	0	0.011057885	0	0	0.003030977	0	0	0	0.00135657	0	0	0.074451616	0	0	0.00151902	0.018615387	0.0019052	0	0	0	0.002523366	0	0.010070424	0	0.030065492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00501224	0.009039398	0	0.001066311	0.002189635	0	0	0	0	0	0.00309996	0	0	0.00349172	0	0	0	0.011376066	0	0.011669961	0	0	0	0	0	0	0	0.005931995	0.000408925	0.00186505	0	0.000950407	0	0.002478377	0.002585299	0	0.004763907	0	0	0.011484342	0.019749594	0.002329732	0.016843433	0	0	0	0	0	0.003866725	0	0.001993756	0	0.00847486	0
Helicobacter_pylori	0	0	0	0	0	0	0	0	0	0	0.006666262	0.004234365	0	0.000835855	0	0	0	0.004498679	0	0	0	0.002608877	0	0	0	0.01153245	0	0	0.003247708	0	0.006690652	0	0	0	0	0.004764467	0.001081239	0.028354292	0.005625269	0	0.003928418	0	0	0.001693378	0	0.014067871	0	0	0	0	0	0	0	0	0	0.002518924	0	0	0	0	0	0.001613316	0	0.001049429	0.002247671	0	0.00086988	0	0.001569346	0	0	0.001907729	0	0	0	0	0.007362075	0.000451531	0	0.005965942	0	0	0	0	0	0	0	0	0	0.030047968	0	0.000842162	0	0.096736985	7.09E-05	0.003599437	0	0	0	0.006283183
Clostridioides_difficile	0.006569323	0	0.001257175	0.018096248	0	0	0.041534974	0	0.011958386	0	0.001005206	0	0	0.015122265	0	0	0.010590668	0	0	0	0.00315176	0	0	0	0	0	0.001125305	0	0	0.004690376	0	0	0	0	0	0	0	0.002681301	0	0.005036849	0	0.009071109	0	0	0	0	0	0	0	0	0.003804765	0.003063538	0	0.000639492	0.012760526	0.002463528	0.004928931	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006574329	0	0	0	0	0	0	0	0.013987585	0	0	0.004191377	0	0	0	0	0	0.003411024	0	0	0	0	0	0	0	0	0	0.002409922	0.002194974	0
Bacteroides_fragilis	0.0038816	0.018638828	0	0	0	0	0	0	0.002703391	0.008404932	0	0	0	0	0.005473713	0.008459003	0	0	0	0.001753321	0	0	0	0	0.01629515	0	0	0	0	0	0	0.015348316	0	0	0	0	0	0	0	0.019976772	0.020252144	0.012089256	0	0	0	0.005433282	0	0	0	0	0.006660784	0.00243354	0	0	0	0	0.001233677	0	0	0.002263129	0	0.026601813	0	0	0	0	0	0.002702909	0.002160046	0	0.006614494	0	0	0	0	0	0.00261937	0	0.012806338	0	0.002990409	0.002116682	0.000515368	0	0.009552988	0	0	0.020996421	0.000743156	0	0	0.006009498	0	0	0	0	0	0	0	0
Lactobacillus_fermentum	0	0	0	0	0	0	0.012177509	0	0	0	0	0.000969104	0.002225052	0	0	0	0	0	0	0.004432693	0	0	0	0	0.002334923	0	0	0.001508487	0	0.005801599	0	0.001697093	0	0.002772025	0	0	0.005538365	0	0	0	0.002648308	0	0.017079424	0	0	0.004828592	0.003029178	0	0	0.006483479	0	0	0	0	0	0	0	0.002274585	0	0	0.003669085	0	0	0	0.00748302	0.002519755	0	0	0	0	0.003821087	0.015149037	0.008206993	0	0.000949986	0.001055855	0.006183947	0	0	0	0	0	0	0.008300352	0	0	0	0.000370447	0	0	0	0	0	0	0	0	0	0.003430386	0	0.004685042
