SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Lactococcus_lactis	0.00667343	0	0	0	0.017873096	0	0.011749595	0	0	0.008896113	0.003634692	0.016902096	0	0	0	0	0	0	0	0	0	0.001730408	0	0	0	0	0.001927557	0	0	0.003754806	0	0	0	0	0.003942978	0	0	0	0	0.013105361	0	0	0	0	0.003204789	0	0	0.017917226	0.019984947	0	0	0	0.008495518	0	0	0	0	0.000995105	0	0.016048683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001439172	0	0	0	0	0.011541287	0	0	0	0	0	0	0	0	0.005996308	0	0.01308542	0	0	0	0	0	0	0	0
Xanthomonas_campestris	0.025128635	0	0	0	0	0.00167134	0	0	0	0.012808544	0.007109447	0	0	0	0	0	0	0.003596857	0.000891497	0	0	0	0	0	0	0	0.069288026	0.03269068	0	0.000804849	0.002198054	0	0	0	0	0	0	0	0.002592581	0.003649694	0	0	0.017111913	0.024457917	0	0	0	0	0	0.029906992	0	0	0	0	0.001662417	0	0	0	0	0	0.036756317	0	0	0.012603333	0.017650411	0.002530022	0	0	0	0	0	0.003839016	0.076657894	0.022495803	0	0	0	0	0	0.018535271	0	0.038408171	0.05932714	0	0.014041643	0.067538463	0.039737902	0	0	0	0	0	0	0	0	0	0	0.006924606	0	0
Streptococcus_agalactiae	0	0.017397414	0.004577258	0.005935185	0	0	0.013211454	0	0	0	0	0.02417789	0	0	0.006810099	0	0	0	0	0	0	0	0	0.000859945	0	0	0	0.027026942	0	0	0	0	0	0	0.015551202	0	0	0	0	0.008306843	0	0	0	0.001492466	0.014621296	0	0	0	0.004421527	0	0	0	0	0	0	0	0.01307101	0	0	0.026939033	0	0.002666747	0	0.020352615	0.025403752	0	0	0.009109391	0	0	0	0.024680715	0	0	0	0	0.035070589	0	0	0	0.006650723	0	0	0	0.008328821	0.02977571	0	0	0.002155343	0.017882442	0	0	0.014837348	0.002435908	0.001687378	0	0.007116134	0	0	0
Streptococcus_mutans	0.001112784	0.002366451	0.003931942	0	0	0.004307667	0	0.094300543	0	0.004489912	0	0	0.021198018	0.015319293	0	0.012111845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006184868	0.004057358	0.003231109	0	0	0	0	0	0	0.003408159	0	0.038873067	0	0	0.012857326	0	0.006674244	0.001334127	0	0	0.002529527	0.027347735	0.003199453	0	0	0	0.002985224	0.003567646	0.024300637	0.025635664	0.013609118	0.008229482	0.013235818	0	0.012399265	0	0	0	0	0.006282254	0.004976161	0	0	0	0	0	0	0	0.024596421	0	0.002255672	0	0.014904665	0.003481256	0	0.011149627	0	0	0	0	0	0	0	0	0.050774647	0	0.061617861	0.003512878	0	0	0
Bifidobacterium_longum	0	0	0	0	0	0.000869605	0	0.008318882	0	0	0.004472459	0	0	0.01064942	0.023384534	0	0	0	0	0.001717987	0.012428414	0	0	0	0	0.009307948	0	0	0	0	0	0	0	0.013499334	0.015817078	0	0	0.051167902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003927361	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007678539	0	0	0	0	0	0.007485733	0	0	0.008423587	0	0.015496539	0	0.002562361	0	0	0	0	0	0.013831876	0	0.020702687	0.008349123	0	0	0	0.010269264	0	0.023379088	0	0	0.01066994	0	0
Staphylococcus_epidermidis	0	0	0	0.003329715	0	0.006374325	0.007632667	0	0	0	0	0	0	0.004511796	0	0.003829113	0.033264124	0	0.026903623	0	0.002047823	0	0	0.012274151	0.017049351	0	0	0	0	0.011707452	0	0.004533866	0	0	0	0	0	0	0	0.011150475	0.008056968	0.004303721	0	0	0.00892808	0	0	0	0.00517518	0	0	0	0	0	0.003933952	0	0.018494092	0.018064584	0	0	0	0	0.006769816	0.001896401	0.006507989	0	0	0	0	0	0	0.021592089	0	0	0	0	0	0.045371514	0.001947038	0.009332871	0	0.004874195	0	0.000656082	0	0.013664985	0	0	0	0	0	0	0	0.002746023	0	0	0.006097563	0	0	0
Cutibacterium_acnes	0	0	0	0	0	0.004280575	0	0	0	0.03452505	0	0	0	0	0	0	0	0	0	0.013447718	0	0	0	0	0	0	0.001463995	0.00305977	0	0	0	0	0	0	0	0.003266436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007530126	0.01677235	0.003693738	0	0	0	0	0	0	0	0	0	0.008216328	0	0	0	0	0	0	0	0	0	0	0	0.007049367	0.006581849	0	0	0	0	0	0.012808273	0	0.004521048	0	0.028736254	0	0	0	0	0	0.004712775	0	0.017906453	0	0	0.001928259	0.0252974	0	0
Helicobacter_pylori	0.006231249	0	0	0.0027444	0	0	0	0.009927611	0	0.014585364	0.01970023	0	0	0	0	0	0	0	0.094535277	0.00122403	0.000631343	0	0	0	0	0	0	0.003686757	0	0.001511042	0.01816969	0	0	0	0	0	0.024241851	0	0.021468553	0.005377504	0.04009202	0.005442269	0	0.003936265	0	0	0.000686069	0	0.012451243	0	0	0.002158323	0.01926715	0	0	0	0	0	0	0.028504061	0.002855246	0.003946667	0	0	0	0	0.005292612	0	0.01380698	0	0	0	0	0.003059088	0	0.000378761	0	0	0	0.005370221	0	0.011334117	0	0	0	0	0	0	0.001333952	0	0	0	0	0	0	0	0	0	0	0
Neisseria_meningitidis	0	0	0	0	0	0.004494905	0	0.005970938	0	0	0.0016191	0.01111244	0.00105228	0	0	0	0	0	0	0.0101802	0	0	0	0	0	0	0.001093489	0.013788132	0.002886206	0	0	0.037217636	0	0	0	0	0	0	0.005411771	0	0	0	0.037626403	0	0	0.016704717	0	0	0	0.00595614	0	0	0	0.004600936	0	0	0	0.001973892	0	0	0	0	0	0	0	0	0	0	0	0	0.016144658	0	0	0	0.030599652	0.008060826	0	0	0	0	0	0.015839981	0	0	0	0.00698853	0	0	0	0	0	0.002940968	0.004068276	0	0.023483617	0.019667048	0	0.009703427	0.006888735	0
Staphylococcus_saprophyticus	0.020136071	0	0	0.008264181	0	0	0.0035061	0.007507995	0	0	0	0	0	0	0.005648225	0	0	0.016091415	0	0	0	0	0	0	0	0.006104915	0	0	0	0	0	0	0	0	0.007901805	0	0	0	0.028496863	0.029383366	0	0	0	0	0.004415419	0.003920082	0.003883249	0	0.05460624	0.038684036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014379056	0	0.004388556	0	0.002729596	0.01871054	0.013239477	0	0.029978369	0	0	0.003975667	0.005200054	0.011226764	0.004825305	0	0.005324823	0	0	0	0	0.017868698	0	0	0	0.028162316	0.003147918	0.012825006	0	0.005710292	0	0	0	0	0	0	0.010788728
