ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	0.729631034214769	-0.929997930591456	Taxonomic	sample_1
S002 	-0.319433678171072	-0.870894463423804	Taxonomic	sample_2
S003 	-1.4794883199879	-2.16418028087352	Taxonomic	sample_3
S004 	-2.89504446361953	1.18392448600833	Taxonomic	sample_4
S005 	-3.25033750742049	1.29544703081339	Taxonomic	sample_5
S006 	1.33971738839752	-0.904198175423449	Taxonomic	sample_6
S007 	1.30454401337712	0.0856881635483029	Taxonomic	sample_7
S008 	2.29464099088798	-1.0756998224676	Taxonomic	sample_8
S009 	-3.46825340571674	0.873288186277006	Taxonomic	sample_9
S010 	0.554231919794542	0.0376764367490641	Taxonomic	sample_10
S011 	-1.93479116915688	0.594756758477798	Taxonomic	sample_11
S012 	2.23167222670178	-1.73128162037424	Taxonomic	sample_12
S013 	0.787976150475414	-1.14605388263011	Taxonomic	sample_13
S014 	-2.16384642971246	3.25173742555305	Taxonomic	sample_14
S015 	1.90740064508715	-0.618872473989031	Taxonomic	sample_15
S016 	1.66033381500309	-1.10938581094819	Taxonomic	sample_16
S017 	-1.78171645434087	3.24155861100577	Taxonomic	sample_17
S018 	-1.29748681898111	-0.0778320432648749	Taxonomic	sample_18
S019 	0.917120470224055	0.125421498475943	Taxonomic	sample_19
S020 	1.4943868205198	-0.999149661073076	Taxonomic	sample_20
S021 	-0.358493890578316	1.90219122811014	Taxonomic	sample_21
S022 	0.321812643997515	0.303111144829417	Taxonomic	sample_22
S023 	-0.372568233935425	1.38135132941318	Taxonomic	sample_23
S024 	-1.32227736483162	1.13978602940075	Taxonomic	sample_24
S025 	0.117421700767249	-1.78454942127992	Taxonomic	sample_25
S026 	0.583143125211269	-0.145422314041291	Taxonomic	sample_26
S027 	0.769703404244528	0.570706794695985	Taxonomic	sample_27
S028 	-1.56092977327152	1.64331546213353	Taxonomic	sample_28
S029 	-2.23256450847357	2.03701472500226	Taxonomic	sample_29
S030 	-1.02973081972592	-0.336243128511104	Taxonomic	sample_30
S031 	2.13642364111531	0.715140790718345	Taxonomic	sample_31
S032 	-0.653600072763984	0.553485502552092	Taxonomic	sample_32
S033 	-3.45969490839607	-0.624843462469171	Taxonomic	sample_33
S034 	-0.976106727705455	0.685341258069241	Taxonomic	sample_34
S035 	1.87420387920312	-0.660832480772075	Taxonomic	sample_35
S036 	-3.54704486037158	-0.70580047147098	Taxonomic	sample_36
