ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	0.634596833142189	0.95432068746186	Taxonomic	sample_1
S002 	-2.81596454782049	2.32829792020595	Taxonomic	sample_2
S003 	0.0592954781234241	4.04852574653709	Taxonomic	sample_3
S004 	-3.79212545508841	-3.09148430019248	Taxonomic	sample_4
S005 	2.43103237177365	-2.08415775188946	Taxonomic	sample_5
S006 	-4.11311880481376	3.31439004727155	Taxonomic	sample_6
S007 	0.0868817599585455	2.60915770916019	Taxonomic	sample_7
S008 	4.38448522581447	2.81698922379954	Taxonomic	sample_8
S009 	4.46755389122875	0.150619926425751	Taxonomic	sample_9
S010 	0.346601680403522	0.137442471917307	Taxonomic	sample_10
S011 	-1.33875456855376	0.369109128745891	Taxonomic	sample_11
S012 	0.37969515387458	-2.29683350683005	Taxonomic	sample_12
S013 	-0.0317192366973445	-1.12638497318878	Taxonomic	sample_13
S014 	-2.65542751399069	3.92496416903475	Taxonomic	sample_14
S015 	-2.40788430695058	1.59759695307336	Taxonomic	sample_15
S016 	-0.392073244311443	0.805631201883939	Taxonomic	sample_16
S017 	4.27428803905181	1.57760951560662	Taxonomic	sample_17
S018 	-2.4952707459867	-4.60600221654025	Taxonomic	sample_18
S019 	-2.63627734760048	3.70996328657833	Taxonomic	sample_19
S020 	0.759286187360151	1.88994597993186	Taxonomic	sample_20
S021 	1.45776119950699	2.47632969026055	Taxonomic	sample_21
S022 	-0.408175475849229	-1.66640405290208	Taxonomic	sample_22
S023 	-1.13830813208743	1.45837133539352	Taxonomic	sample_23
S024 	2.55813125559514	1.09063796977213	Taxonomic	sample_24
S025 	4.47713868898525	-1.13141760907363	Taxonomic	sample_25
S026 	2.17618156626528	1.72089899796075	Taxonomic	sample_26
S027 	-3.03888654986382	-1.21799993409593	Taxonomic	sample_27
S028 	-4.17641531845975	-0.362377793629205	Taxonomic	sample_28
S029 	2.73389622595015	0.805324210249671	Taxonomic	sample_29
S030 	0.00816988031297414	3.27792491001283	Taxonomic	sample_30
S031 	2.23410973225063	4.25003726730849	Taxonomic	sample_31
S032 	-0.609625132910729	3.14796848675109	Taxonomic	sample_32
S033 	-4.38502178756431	1.8002502728623	Taxonomic	sample_33
