ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	4.1296603283384	-2.75328311110391	Taxonomic	sample_1
S002 	-4.63787483092999	4.30200985527556	Taxonomic	sample_2
S003 	4.5700975465626	0.212297216949248	Taxonomic	sample_3
S004 	2.41473037467923	6.38921000291461	Taxonomic	sample_4
S005 	-2.44293070989317	7.38254881635831	Taxonomic	sample_5
S006 	0.985666163762905	3.88624200255333	Taxonomic	sample_6
S007 	0.467374104112942	-7.15980162004937	Taxonomic	sample_7
S008 	-0.591491533736504	1.45898435847296	Taxonomic	sample_8
S009 	4.95860365565947	4.42721687618576	Taxonomic	sample_9
S010 	-5.83111176404295	2.90426988675024	Taxonomic	sample_10
S011 	-3.13032477486542	3.47425230722127	Taxonomic	sample_11
S012 	-2.75357226641805	2.28666977406695	Taxonomic	sample_12
S013 	4.4449739910342	4.53834196413899	Taxonomic	sample_13
S014 	1.96771274601693	5.77059266632939	Taxonomic	sample_14
S015 	5.62646926664304	1.50450457684064	Taxonomic	sample_15
S016 	-5.35163166096401	-3.04489604291616	Taxonomic	sample_16
S017 	-8.36869668721871	-0.579119741857829	Taxonomic	sample_17
S018 	4.59579437660457	-3.83720927563986	Taxonomic	sample_18
S019 	-3.23500635734922	0.773938999358736	Taxonomic	sample_19
S020 	0.82719443199116	-4.73976299451485	Taxonomic	sample_20
S021 	-6.23572742903117	0.901968289185955	Taxonomic	sample_21
S022 	6.79658629805251	-0.410164302135517	Taxonomic	sample_22
S023 	-1.91815296754877	-2.76508415671549	Taxonomic	sample_23
S024 	2.72205587159039	2.31056787569655	Taxonomic	sample_24
S025 	1.93022245669852	-3.33109660875921	Taxonomic	sample_25
S026 	-0.960442759817454	2.14687496473687	Taxonomic	sample_26
S027 	-4.5312499396706	1.22423954241297	Taxonomic	sample_27
S028 	-2.58024154099243	-2.89957299064637	Taxonomic	sample_28
S029 	-4.96062087894225	3.22793874893394	Taxonomic	sample_29
S030 	6.19171784136279	-0.407515778388934	Taxonomic	sample_30
S031 	7.89900993568262	1.91789380778187	Taxonomic	sample_31
S032 	-3.67102494587691	3.03588245369022	Taxonomic	sample_32
S033 	3.62896064034029	-1.30570366510374	Taxonomic	sample_33
S034 	-0.652147905732013	5.02295839598346	Taxonomic	sample_34
S035 	-0.82945470707223	-3.20868595143608	Taxonomic	sample_35
S036 	1.06249470780419	1.07100661115855	Taxonomic	sample_36
S037 	5.42473296741672	-4.04416680963592	Taxonomic	sample_37
S038 	0.170038437819077	0.925158459840338	Taxonomic	sample_38
S039 	-4.01842925681342	-5.68714378689485	Taxonomic	sample_39
S040 	6.21084071306922	4.79079807844373	Taxonomic	sample_40
S041 	-0.877120570950192	-0.410503764662448	Taxonomic	sample_41
S042 	2.75266133785485	6.72946783569199	Taxonomic	sample_42
S043 	-5.20403296567583	-2.61527910291399	Taxonomic	sample_43
S044 	-1.89193252202978	4.56799746061727	Taxonomic	sample_44
S045 	0.506220978291206	-1.17232987440625	Taxonomic	sample_45
S046 	-3.36674091407196	1.35538383513779	Taxonomic	sample_46
S047 	-3.43352097932673	-0.766784570717115	Taxonomic	sample_47
S048 	6.21426536470086	-2.49834422520601	Taxonomic	sample_48
S049 	0.0645836167187588	-0.0114165837090885	Taxonomic	sample_49
S050 	4.2032156001704	-1.54396037692388	Taxonomic	sample_50
S051 	-4.50554670639192	-0.181021090959508	Taxonomic	sample_51
S052 	-2.51304231781455	-0.843757809618453	Taxonomic	sample_52
S053 	3.93311544577552	0.149746394184949	Taxonomic	sample_53
S054 	-5.5697612978282	1.13999273666136	Taxonomic	sample_54
S055 	8.08485304979576	2.35702685635748	Taxonomic	sample_55
S056 	3.93234873102834	3.25841038344179	Taxonomic	sample_56
S057 	2.57278243003694	3.01101869815089	Taxonomic	sample_57
S058 	-8.3906271130925	-0.601089756655788	Taxonomic	sample_58
S059 	8.4086816232646	2.98670815827627	Taxonomic	sample_59
S060 	5.73859970774057	-5.44569592719198	Taxonomic	sample_60
S061 	0.678696351515574	3.00562476124098	Taxonomic	sample_61
S062 	6.38472151892735	-4.97602151442864	Taxonomic	sample_62
S063 	2.95690534917291	-4.77093016366485	Taxonomic	sample_63
S064 	-0.152287925486958	-3.9830021020377	Taxonomic	sample_64
S065 	2.10025145293121	3.46518734548962	Taxonomic	sample_65
S066 	-5.67811974928683	-3.5289131102181	Taxonomic	sample_66
S067 	-1.92462904642359	-4.58699926576923	Taxonomic	sample_67
S068 	-0.69349819392626	-1.35378510453841	Taxonomic	sample_68
S069 	-0.130885130489629	-7.0262125958062	Taxonomic	sample_69
S070 	-3.03023331185923	5.43692716723599	Taxonomic	sample_70
S071 	-4.4199689928679	-1.13391301190606	Taxonomic	sample_71
S072 	2.28884954256795	0.546047642140464	Taxonomic	sample_72
S073 	3.51246848158349	-4.72983928618783	Taxonomic	sample_73
S074 	-0.955240754010588	-2.5687171612228	Taxonomic	sample_74
S075 	-3.64307760700866	-4.10607114077306	Taxonomic	sample_75
S076 	-2.60445953154218	0.358223924757758	Taxonomic	sample_76
S077 	0.925614227186404	-1.94675837404671	Taxonomic	sample_77
S078 	-2.57969200811496	-2.21800159196102	Taxonomic	sample_78
S079 	-3.74949917583374	-3.40059019163832	Taxonomic	sample_79
S080 	-1.78599625101984	0.548990964177794	Taxonomic	sample_80
S081 	-0.292008245485931	5.96282138560637	Taxonomic	sample_81
S082 	-3.95070988692597	-2.00033267969302	Taxonomic	sample_82
S083 	-6.00859362247998	-0.793669869736406	Taxonomic	sample_83
S084 	-5.83353952504015	-3.89158907215488	Taxonomic	sample_84
S085 	-5.29981177008921	2.97833982989948	Taxonomic	sample_85
S086 	-4.06471245883306	-5.83945307429714	Taxonomic	sample_86
S087 	5.89028914175315	1.79468694701419	Taxonomic	sample_87
S088 	7.25713860361655	-5.09117995235436	Taxonomic	sample_88
S089 	-1.0630657175263	-5.87766585119056	Taxonomic	sample_89
S090 	-3.54696803579359	-5.0845349073821	Taxonomic	sample_90
S091 	6.10501567014488	-3.352228257152	Taxonomic	sample_91
S092 	-2.91884371056045	6.63080327207616	Taxonomic	sample_92
S093 	0.103812208460458	7.99117800932602	Taxonomic	sample_93
S094 	0.531060906380874	-4.31641797296096	Taxonomic	sample_94
S095 	1.31198860314915	-0.654904485386276	Taxonomic	sample_95
S096 	4.14590198833522	5.49267048025368	Taxonomic	sample_96
S097 	-1.43360020092179	4.6333738969533	Taxonomic	sample_97
S098 	1.70803902630789	-1.53161221059336	Taxonomic	sample_98
S099 	-0.221208326506646	-2.15342265171186	Taxonomic	sample_99
S100 	-0.90391033052224	2.89316100160246	Taxonomic	sample_100
S101	-8.54500143453579	1.54935473178332	Sequence	sample_1
S102	-1.75340385270014	-6.29469993093448	Sequence	sample_2
S103	-4.97658345168559	-3.38073262259662	Sequence	sample_3
S104	-0.598834668738421	-4.51773306646231	Sequence	sample_4
S105	-5.54768419504001	2.21772665856022	Sequence	sample_5
S106	0.596678990027175	-2.37719116149054	Sequence	sample_6
S107	-7.26191168924914	-1.01439646176049	Sequence	sample_7
S108	-1.02480643365826	0.805216229131429	Sequence	sample_8
S109	3.44093501617245	5.337017485096	Sequence	sample_9
S110	2.00886936156958	3.66631436563399	Sequence	sample_10
S111	0.826736489061086	-6.46577234256138	Sequence	sample_11
S112	-2.55739974442909	-0.0125718582545264	Sequence	sample_12
S113	2.99361892082798	5.62404565510298	Sequence	sample_13
S114	1.05752127409271	-4.053757580672	Sequence	sample_14
S115	-5.04415062989544	-3.15065393567445	Sequence	sample_15
S116	0.916207313192078	0.773605475205556	Sequence	sample_16
S117	-3.4039480137661	5.36027655206885	Sequence	sample_17
S118	-8.54949862422739	1.59315300631575	Sequence	sample_18
S119	3.30401893073521	-1.64334788792749	Sequence	sample_19
S120	5.45085145706455	-2.56053569630113	Sequence	sample_20
S121	4.5942525234641	-4.72284085948789	Sequence	sample_21
S122	-3.86756098187045	0.645768495710648	Sequence	sample_22
S123	-0.00502370561542619	3.42938474808056	Sequence	sample_23
S124	6.41798998712431	-2.67622477370377	Sequence	sample_24
S125	-4.94191695469107	5.16118371904748	Sequence	sample_25
S126	-2.33813962971591	0.866008059262105	Sequence	sample_26
S127	2.95377875545146	-2.04120780330473	Sequence	sample_27
S128	-0.834435415918209	3.84518941319595	Sequence	sample_28
S129	2.56361293650219	2.00715005206848	Sequence	sample_29
S130	-6.80820494612515	-2.59723845040448	Sequence	sample_30
S131	-0.851203257386967	7.38748952353216	Sequence	sample_31
S132	2.73287191419901	1.68538085878192	Sequence	sample_32
S133	-3.43046921867175	0.279323426327402	Sequence	sample_33
S134	5.17101209160134	2.52028602540552	Sequence	sample_34
S135	0.37496493960768	4.51136667523735	Sequence	sample_35
S136	-1.11959402291233	-2.79579022162207	Sequence	sample_36
S137	-7.72218644962141	4.41126914418274	Sequence	sample_37
S138	-2.19649851073827	0.0697849423025777	Sequence	sample_38
S139	4.5443269219311	0.687124858156434	Sequence	sample_39
S140	3.71527462966535	-7.53844160284448	Sequence	sample_40
S141	4.36327660915974	2.33625798550227	Sequence	sample_41
S142	-0.855691055717034	-4.21089716340346	Sequence	sample_42
S143	1.04296600407249	0.464617556529115	Sequence	sample_43
S144	5.46668123809057	3.69270887044324	Sequence	sample_44
S145	-5.69291647324514	-0.331277447445539	Sequence	sample_45
S146	-1.10622294914628	-0.316559218965842	Sequence	sample_46
S147	0.561211175268828	-1.56783312961574	Sequence	sample_47
S148	5.91831344144466	0.771840944312674	Sequence	sample_48
S149	-1.25526186917377	-1.56866619109757	Sequence	sample_49
S150	-6.81819833795553	-3.29199298785526	Sequence	sample_50
S151	5.51231585845756	-5.15766258833001	Sequence	sample_51
S152	1.72857613049319	-1.07065608893019	Sequence	sample_52
S153	-3.97804574568674	-3.46709247432879	Sequence	sample_53
S154	2.37449951634706	0.333337235246483	Sequence	sample_54
S155	-0.246099408241151	7.49706814501754	Sequence	sample_55
S156	5.1682568199054	4.850501606423	Sequence	sample_56
S157	7.72360705199246	-1.61266347696325	Sequence	sample_57
S158	-4.95546521054539	5.33695051931254	Sequence	sample_58
S159	0.420229368255659	7.86137933012615	Sequence	sample_59
S160	0.511597038658529	-6.46938912997001	Sequence	sample_60
S161	1.5100349547772	-3.50414292217268	Sequence	sample_61
S162	-7.19716626275037	5.05365406585228	Sequence	sample_62
S163	-5.11276733149864	-6.37737006257624	Sequence	sample_63
S164	1.33392612136795	4.90017023512205	Sequence	sample_64
S165	7.54387422000273	-1.2980195570541	Sequence	sample_65
S166	1.3420533542577	1.59329572305738	Sequence	sample_66
S167	6.6393585363876	-1.15048152424333	Sequence	sample_67
S168	-0.864925231085783	2.11813528257309	Sequence	sample_68
S169	-7.0795228584782	-0.923003953097852	Sequence	sample_69
S170	6.06515194476474	3.60048343716709	Sequence	sample_70
S171	0.509298743780134	-0.78299458299385	Sequence	sample_71
S172	-2.58383044889213	-3.50905682903936	Sequence	sample_72
S173	-4.75755114317925	-6.41010534684884	Sequence	sample_73
S174	-1.22447305556582	3.30945280467078	Sequence	sample_74
S175	2.394648835752	-5.94155879088044	Sequence	sample_75
S176	2.72858325939615	-1.14968258970334	Sequence	sample_76
S177	-3.00035135408964	2.79442773078374	Sequence	sample_77
S178	-1.66314570419927	4.5721591088245	Sequence	sample_78
S179	2.58350397858384	-4.8550622335518	Sequence	sample_79
S180	1.94168687645902	-2.29189944997939	Sequence	sample_80
S181	1.49623327345318	-7.26966358208801	Sequence	sample_81
S182	3.61527768161075	-3.60726348343723	Sequence	sample_82
