ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	-5.57101591228897	-3.5887422227075	Taxonomic	sample_1
S002 	-5.7569008106444	1.77623787109497	Taxonomic	sample_2
S003 	-0.581434043650624	-2.35687681369364	Taxonomic	sample_3
S004 	-6.7763776776379	2.87685534414292	Taxonomic	sample_4
S005 	-0.874689408278301	5.27434094016918	Taxonomic	sample_5
S006 	4.03871644516683	4.00884324024424	Taxonomic	sample_6
S007 	-2.04992366430377	0.837955299785425	Taxonomic	sample_7
S008 	-2.52807279732841	1.33605941537315	Taxonomic	sample_8
S009 	7.1641501678363	2.22147491594654	Taxonomic	sample_9
S010 	-0.991317490966048	2.30902131675901	Taxonomic	sample_10
S011 	-3.10862349379958	0.28005211761379	Taxonomic	sample_11
S012 	2.6091386673779	3.48935416916186	Taxonomic	sample_12
S013 	0.381339038061962	5.50734864745399	Taxonomic	sample_13
S014 	-6.01585831393778	0.926384657960011	Taxonomic	sample_14
S015 	3.95526482317254	-0.449883652230976	Taxonomic	sample_15
S016 	3.47102204242551	3.04223495546602	Taxonomic	sample_16
S017 	3.16102245628098	4.13240023217487	Taxonomic	sample_17
S018 	1.25266989806194	-0.708531175275751	Taxonomic	sample_18
S019 	-3.36160401340518	1.3554973708673	Taxonomic	sample_19
S020 	2.41402724260925	-5.52198434785753	Taxonomic	sample_20
S021 	-5.1699723239448	1.44014634327128	Taxonomic	sample_21
S022 	2.14031902095442	-5.04772789880978	Taxonomic	sample_22
S023 	4.69764077729119	2.54307800802978	Taxonomic	sample_23
S024 	-6.07236049256659	0.234988186353538	Taxonomic	sample_24
S025 	-1.86648561785358	1.32848184427616	Taxonomic	sample_25
S026 	-1.49115669699644	0.0816356987334417	Taxonomic	sample_26
S027 	-7.74091099619708	1.59941412185877	Taxonomic	sample_27
S028 	-1.82300067770593	6.17939209772432	Taxonomic	sample_28
S029 	5.7075540380981	1.27660932235658	Taxonomic	sample_29
S030 	3.93311126275188	-1.14095850502508	Taxonomic	sample_30
S031 	-3.91282977228484	-5.82679939823588	Taxonomic	sample_31
S032 	-4.12865554300534	-0.247564099981341	Taxonomic	sample_32
S033 	2.07133052393466	2.18399820783499	Taxonomic	sample_33
S034 	4.48402358799564	0.508492934916541	Taxonomic	sample_34
S035 	3.49071302255212	1.2130316336079	Taxonomic	sample_35
S036 	-5.12779419769343	-2.58718520493382	Taxonomic	sample_36
S037 	-2.46490689776637	-5.37546329760965	Taxonomic	sample_37
S038 	-1.29390107108467	6.74315441062492	Taxonomic	sample_38
S039 	-2.10071172118615	-0.450929791518054	Taxonomic	sample_39
S040 	2.58236876552632	-0.795985859584539	Taxonomic	sample_40
S041 	-3.86106311190683	0.339490385127951	Taxonomic	sample_41
S042 	3.96191808017213	1.24655185591898	Taxonomic	sample_42
S043 	-0.73037136105991	-3.23256484967418	Taxonomic	sample_43
S044 	1.74720905553836	-3.91139757799287	Taxonomic	sample_44
S045 	6.73123825064503	1.5041801387666	Taxonomic	sample_45
S046 	-4.68799633605763	-2.28470211962468	Taxonomic	sample_46
S047 	4.47439800196971	2.17335045426708	Taxonomic	sample_47
S048 	1.37900688793628	-5.3249164328402	Taxonomic	sample_48
S049 	3.7825676033383	2.07264614648927	Taxonomic	sample_49
S050 	-3.90919911309246	2.25267579371435	Taxonomic	sample_50
S051 	1.43217850523988	0.97024829907719	Taxonomic	sample_51
S052 	2.01190359865593	4.43445068758317	Taxonomic	sample_52
S053 	1.71433205408311	-4.5079752348375	Taxonomic	sample_53
S054 	2.46395659804695	-1.20921292996842	Taxonomic	sample_54
S055 	-4.34995200054309	-1.83814807326957	Taxonomic	sample_55
S056 	-0.297453763345902	0.38333793330296	Taxonomic	sample_56
S057 	4.6548159129892	0.17133796161353	Taxonomic	sample_57
S058 	7.24598147341179	0.697136153175283	Taxonomic	sample_58
S059 	-3.52084674898906	-0.325679213460621	Taxonomic	sample_59
S060 	2.22712076289136	-3.7158887253525	Taxonomic	sample_60
S061 	1.52428423126023	-3.21714974859407	Taxonomic	sample_61
S062 	-0.627052367754027	1.32857700015907	Taxonomic	sample_62
S063 	3.05399946582842	-1.92196420930492	Taxonomic	sample_63
S064 	-6.34963875184622	1.7568015927554	Taxonomic	sample_64
S065 	0.381109686580742	-1.13224214118748	Taxonomic	sample_65
S066 	-7.4765389118526	0.835537525674435	Taxonomic	sample_66
S067 	6.14653954317813	-0.0646914498913677	Taxonomic	sample_67
S068 	2.08853311327002	0.428913524140496	Taxonomic	sample_68
S069 	-4.24644131244188	-4.16701763584807	Taxonomic	sample_69
S070 	-1.36217477342798	6.14122102718267	Taxonomic	sample_70
S071 	1.45009756713729	3.6632278399348	Taxonomic	sample_71
S072 	3.96951129641983	-4.46584672577754	Taxonomic	sample_72
S073 	-2.91722586646561	-5.65757127769123	Taxonomic	sample_73
S074 	2.52989523353579	-2.36024974596876	Taxonomic	sample_74
S075 	3.27457776332974	0.0855333373397826	Taxonomic	sample_75
