ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	-3.06446012948926	-1.1741975552685	Taxonomic	sample_1
S002 	3.35878829206731	-2.67821959041423	Taxonomic	sample_2
S003 	-3.14229450757017	2.39152362018619	Taxonomic	sample_3
S004 	-0.489492221690674	3.96122512808055	Taxonomic	sample_4
S005 	1.51618134274954	-0.876110641019174	Taxonomic	sample_5
S006 	-2.66917752482033	-0.154054585382911	Taxonomic	sample_6
S007 	-0.566125552402763	3.30338358935145	Taxonomic	sample_7
S008 	-2.79173375014793	1.04382851127527	Taxonomic	sample_8
S009 	-2.79328770125348	-1.03654486913674	Taxonomic	sample_9
S010 	1.83935946943252	1.62352325541083	Taxonomic	sample_10
S011 	2.57294249098868	-4.96455364943348	Taxonomic	sample_11
S012 	1.1980493623535	-2.44956128308	Taxonomic	sample_12
S013 	-3.46683005923361	-3.41015111171971	Taxonomic	sample_13
S014 	0.987786465759401	4.06086914995712	Taxonomic	sample_14
S015 	0.888440626040758	-1.33243948590852	Taxonomic	sample_15
S016 	0.861751636487598	1.35061002076758	Taxonomic	sample_16
S017 	3.80650968639933	2.25243377513053	Taxonomic	sample_17
S018 	-0.421778782276665	-5.54474917309681	Taxonomic	sample_18
S019 	-2.48343189588822	3.85940348716637	Taxonomic	sample_19
S020 	-0.924465835488339	0.000848198592990204	Taxonomic	sample_20
S021 	-0.208838647739407	0.809480835071557	Taxonomic	sample_21
S022 	-1.62636173276101	-1.28193972864728	Taxonomic	sample_22
S023 	1.88270601993278	-3.422349377616	Taxonomic	sample_23
S024 	-1.46161412336294	0.201751874309943	Taxonomic	sample_24
S025 	1.91623141777242	0.841314908174119	Taxonomic	sample_25
S026 	2.13130593197847	2.46648278133655	Taxonomic	sample_26
S027 	-1.73456904991409	-3.87696816511903	Taxonomic	sample_27
S028 	0.738186658949347	-2.46962262499416	Taxonomic	sample_28
S029 	-4.67158220742135	0.1960653383746	Taxonomic	sample_29
S030 	1.08136567112687	4.21528925483802	Taxonomic	sample_30
S031 	3.17946498635333	-2.73349771382961	Taxonomic	sample_31
S032 	2.4441150989001	-0.728620247887418	Taxonomic	sample_32
S033 	3.20777443513857	0.246118684824593	Taxonomic	sample_33
S034 	-3.52965785905492	-1.49333359667504	Taxonomic	sample_34
S035 	4.07613615691444	0.651869446429546	Taxonomic	sample_35
S036 	-0.153923396750609	-1.62670391011311	Taxonomic	sample_36
S037 	-1.76249996030387	0.0966334020155667	Taxonomic	sample_37
S038 	-2.62864666444945	-3.0848705149142	Taxonomic	sample_38
S039 	-1.52819171903303	-3.81236795888035	Taxonomic	sample_39
S040 	-0.0485984540654534	-0.195250708369371	Taxonomic	sample_40
S041 	-3.491669183979	1.60783806412492	Taxonomic	sample_41
S042 	1.77507942919598	-0.96598593424711	Taxonomic	sample_42
S043 	1.82521878743423	-1.79909725950195	Taxonomic	sample_43
S044 	1.85070116197947	-3.12256130343253	Taxonomic	sample_44
S045 	0.0881839272048274	5.81452857030518	Taxonomic	sample_45
S046 	-4.70867833175337	1.83932247758879	Taxonomic	sample_46
S047 	-4.36513941276194	-0.300607750238666	Taxonomic	sample_47
S048 	-0.245361235297148	-3.93613534956147	Taxonomic	sample_48
S049 	4.43039685804713	-0.646499287653409	Taxonomic	sample_49
S050 	1.08254544365514	0.327343500386953	Taxonomic	sample_50
S051 	0.799937605461103	0.137017040788031	Taxonomic	sample_51
S052 	0.203143295066505	-4.07970623481664	Taxonomic	sample_52
S053 	4.4012001556079	-0.680594715245357	Taxonomic	sample_53
S054 	-2.39156459503561	-0.455988314837648	Taxonomic	sample_54
S055 	-1.37823697156225	2.5996413633393	Taxonomic	sample_55
S056 	0.0638082704231972	5.7009201222769	Taxonomic	sample_56
S057 	-0.0425725193396799	-0.305636764412729	Taxonomic	sample_57
S058 	2.54155728615563	2.60453218950426	Taxonomic	sample_58
S059 	0.487461810446994	-1.19371770815144	Taxonomic	sample_59
S060 	2.14694138822151	-1.19485749820747	Taxonomic	sample_60
S061 	2.80243576333209	2.65947834278868	Taxonomic	sample_61
S062 	-1.26963338704171	1.56650162051579	Taxonomic	sample_62
S063 	-2.63398150607757	0.769508633775482	Taxonomic	sample_63
S064 	-2.19240172179648	3.37347612734596	Taxonomic	sample_64
S065 	-0.284503165168943	1.14957325950178	Taxonomic	sample_65
S066 	0.0399980388315737	-2.9601067484432	Taxonomic	sample_66
S067 	0.410849197885142	2.38864286233185	Taxonomic	sample_67
S068 	-2.49694995915215	3.98067977455977	Taxonomic	sample_68
S069 	3.8072682517631	2.19333027071205	Taxonomic	sample_69
S070 	0.754442296746711	2.619574613445	Taxonomic	sample_70
S071 	0.248920725620655	0.863604214594172	Taxonomic	sample_71
S072 	3.15426036734125	-1.66714506995051	Taxonomic	sample_72
S073 	-0.424537594036815	-1.44761597660975	Taxonomic	sample_73
S074 	0.0315075939077217	-0.895093518156776	Taxonomic	sample_74
S075 	-1.11549989678601	-3.1433682045385	Taxonomic	sample_75
S076 	3.00671090440082	-0.209324601278634	Taxonomic	sample_76
S077 	-3.87389585786145	1.6759816995889	Taxonomic	sample_77
S078 	-1.7578487550706	0.542603522788422	Taxonomic	sample_78
S079 	1.4566458779347	-3.47189164113635	Taxonomic	sample_79
S080 	-1.27308622559424	-1.44293676384649	Taxonomic	sample_80
S081 	4.37785344829038	-2.55280112311305	Taxonomic	sample_81
S082 	2.02368371360671	0.929658399286648	Taxonomic	sample_82
S083 	0.222645929944416	-2.41753220667817	Taxonomic	sample_83
S084 	-4.38757898699779	-0.402581592558684	Taxonomic	sample_84
S085 	0.727004837836052	1.77211284897632	Taxonomic	sample_85
S086 	2.82243187670105	0.908264131968091	Taxonomic	sample_86
S087 	-1.44963196616076	5.00507407646425	Taxonomic	sample_87
S088 	-1.28540286974197	1.90829085629784	Taxonomic	sample_88
S089 	-1.13921679988493	-1.60907283743975	Taxonomic	sample_89
S090 	-0.516435198368105	2.21756520692272	Taxonomic	sample_90
