SampleID	building_1	building_2	building_3	building_4	building_5	building_6	building_7	building_8	building_9	building_10	building_11	building_12	building_13	building_14	building_15	building_16	building_17	building_18	building_19	building_20	building_21	building_22	building_23	building_24	building_25	building_26	building_27	building_28	building_29	building_30	building_31	building_32	building_33	building_34	building_35	building_36	building_37	building_38	building_39	building_40	building_41	building_42	building_43	building_44	building_45	building_46	building_47	building_48	building_49	building_50	building_51	building_52	building_53	building_54	building_55	building_56	building_57	building_58	building_59	building_60	building_61	building_62	building_63	building_64	building_65	building_66	building_67	building_68	building_69	building_70	building_71	building_72	building_73	building_74	building_75	building_76	building_77	building_78	building_79	building_80	building_81	building_82	building_83	building_84	building_85	building_86	building_87	building_88	building_89	building_90	building_91	building_92	building_93	building_94	building_95	building_96	building_97	building_98	building_99	building_100
building_1	0	0.622995	0.619698	0.665152	0.655782	0.619792	0.609206	0.594579	0.637848	0.639955	0.695755	0.602016	0.644337	0.689655	0.635346	0.644104	0.674634	0.653054	0.654802	0.595241	0.641547	0.631342	0.666542	0.674974	0.59406	0.607871	0.630312	0.675799	0.64845	0.6078	0.663788	0.632444	0.712201	0.682316	0.59564	0.6867	0.684094	0.662777	0.717047	0.637931	0.606613	0.642333	0.661643	0.677735	0.661122	0.64995	0.619698	0.672151	0.649109	0.656189	0.658245	0.63572	0.633631	0.681313	0.696518	0.63106	0.639635	0.697032	0.639486	0.640891	0.636171	0.668449	0.654124	0.631009	0.652262	0.695006	0.624244	0.620203	0.678111	0.607579	0.648349	0.639831	0.703315	0.656337	0.677502	0.677873	0.582032	0.617921	0.638687	0.68631	0.61181	0.607793	0.635611	0.664215	0.655335	0.618964	0.646129	0.631484	0.627094	0.603802	0.651804	0.638232	0.617343	0.679486	0.587956	0.632571	0.629687	0.63821	0.651088	0.662093
building_2	0.622995	0	0.635309	0.693025	0.640775	0.626776	0.647385	0.603372	0.652399	0.621527	0.686001	0.667062	0.633857	0.689864	0.606062	0.610909	0.683984	0.648487	0.626574	0.608728	0.623094	0.602937	0.65102	0.649296	0.618275	0.605995	0.653203	0.642092	0.677211	0.63892	0.630139	0.63576	0.66097	0.678113	0.623858	0.707255	0.687658	0.701364	0.677305	0.622025	0.604466	0.660521	0.659041	0.661971	0.639106	0.66828	0.59962	0.680168	0.594758	0.654269	0.612294	0.620302	0.60349	0.680503	0.72385	0.614682	0.647772	0.66559	0.592121	0.672555	0.613672	0.647608	0.660275	0.601726	0.651566	0.711202	0.605903	0.63584	0.655635	0.624248	0.630011	0.639011	0.65875	0.627194	0.663936	0.686109	0.610803	0.6872	0.660887	0.659353	0.585116	0.603672	0.663503	0.617645	0.655716	0.591829	0.643726	0.619259	0.620945	0.594213	0.668437	0.687469	0.575182	0.673069	0.639034	0.655998	0.631522	0.620501	0.612955	0.609173
building_3	0.619698	0.635309	0	0.693536	0.681824	0.638684	0.684272	0.628551	0.670135	0.691714	0.702679	0.62797	0.665198	0.715833	0.628889	0.60415	0.729468	0.727109	0.649206	0.611826	0.682051	0.663623	0.664017	0.698997	0.653221	0.643958	0.696671	0.68771	0.700104	0.631117	0.669802	0.629736	0.67544	0.700484	0.606247	0.699448	0.699667	0.696005	0.716621	0.651133	0.655915	0.678829	0.671596	0.658998	0.624359	0.691842	0.650565	0.702839	0.642984	0.664244	0.654352	0.688769	0.624127	0.696821	0.705531	0.62506	0.63631	0.656557	0.667657	0.686452	0.658612	0.66524	0.67816	0.680043	0.693412	0.703257	0.67468	0.692149	0.655785	0.676616	0.650621	0.657182	0.693462	0.629246	0.661275	0.69305	0.651376	0.634803	0.653482	0.693981	0.646923	0.62892	0.714525	0.675109	0.671583	0.633825	0.695678	0.634843	0.599361	0.64655	0.669316	0.676884	0.667428	0.728568	0.627066	0.646328	0.655585	0.670633	0.610429	0.667846
building_4	0.665152	0.693025	0.693536	0	0.662637	0.677382	0.670812	0.675923	0.684701	0.654322	0.692258	0.649544	0.670982	0.783582	0.653874	0.665484	0.720662	0.654447	0.635445	0.667318	0.716725	0.64496	0.721708	0.72737	0.680325	0.69034	0.687864	0.696942	0.675738	0.702711	0.657674	0.69725	0.672241	0.684037	0.648462	0.697808	0.691669	0.689174	0.721102	0.706074	0.667735	0.701074	0.652721	0.67519	0.694426	0.715251	0.695994	0.636696	0.670613	0.729563	0.646066	0.653409	0.645485	0.728729	0.735149	0.677646	0.679534	0.7186	0.67671	0.676664	0.666759	0.690405	0.703057	0.642584	0.665302	0.726191	0.647509	0.67548	0.714635	0.694161	0.663092	0.685247	0.767112	0.662332	0.716483	0.725334	0.717623	0.712307	0.673854	0.692381	0.652588	0.666486	0.712963	0.673297	0.741483	0.654101	0.73482	0.703981	0.697339	0.695369	0.688271	0.684747	0.705602	0.739061	0.617906	0.678682	0.672292	0.685811	0.67571	0.659763
building_5	0.655782	0.640775	0.681824	0.662637	0	0.674477	0.642817	0.613042	0.707788	0.677621	0.737853	0.664989	0.663951	0.729399	0.679621	0.66725	0.688239	0.70164	0.691978	0.683554	0.68418	0.671129	0.716429	0.694466	0.660775	0.635884	0.663747	0.695231	0.69432	0.705665	0.704132	0.675779	0.710102	0.668199	0.619984	0.715035	0.677754	0.740412	0.728548	0.672662	0.691357	0.719261	0.654735	0.669421	0.69534	0.735225	0.691642	0.728578	0.670858	0.701793	0.662713	0.67365	0.66583	0.741929	0.734392	0.678343	0.670839	0.718146	0.659769	0.72331	0.646939	0.680096	0.672055	0.660653	0.66072	0.728684	0.671141	0.605022	0.711606	0.677337	0.681201	0.678032	0.741839	0.678036	0.723234	0.668192	0.676206	0.658863	0.68613	0.725083	0.663941	0.647727	0.664538	0.660276	0.712916	0.658558	0.665397	0.681919	0.696225	0.63577	0.702539	0.674576	0.705434	0.732983	0.668222	0.652924	0.681353	0.675014	0.631784	0.681895
building_6	0.619792	0.626776	0.638684	0.677382	0.674477	0	0.575106	0.648176	0.641511	0.633164	0.663445	0.624431	0.577172	0.69395	0.613993	0.608007	0.655614	0.637995	0.64599	0.555997	0.665721	0.618061	0.647376	0.682984	0.624584	0.606893	0.605525	0.673763	0.667457	0.607087	0.659889	0.628412	0.638102	0.643921	0.597978	0.667329	0.668625	0.641447	0.646455	0.600654	0.58671	0.648936	0.638252	0.615204	0.655574	0.618338	0.611158	0.681045	0.617393	0.658626	0.638311	0.650135	0.600799	0.661054	0.632326	0.587938	0.62222	0.649228	0.646595	0.645771	0.616243	0.588193	0.626191	0.581966	0.61512	0.659429	0.582344	0.612437	0.645936	0.600292	0.580931	0.627366	0.711911	0.631371	0.625787	0.642562	0.590098	0.621335	0.637929	0.686036	0.644248	0.616297	0.651206	0.655216	0.611526	0.578488	0.61074	0.613407	0.63877	0.590057	0.626054	0.643588	0.630912	0.666492	0.605832	0.662838	0.603628	0.603618	0.606164	0.630615
building_7	0.609206	0.647385	0.684272	0.670812	0.642817	0.575106	0	0.573588	0.643181	0.643684	0.703881	0.623085	0.623104	0.682022	0.609999	0.629665	0.665852	0.670547	0.624594	0.624621	0.685038	0.635533	0.638033	0.689957	0.612395	0.625129	0.604972	0.677359	0.639711	0.588921	0.668857	0.604024	0.675048	0.580059	0.607272	0.648063	0.675282	0.672674	0.696803	0.676221	0.574759	0.669197	0.631382	0.626172	0.665321	0.632623	0.604799	0.668441	0.644425	0.672082	0.643386	0.649287	0.58446	0.678904	0.691681	0.609821	0.651547	0.663365	0.666358	0.68155	0.628853	0.655647	0.643244	0.598761	0.641822	0.656171	0.633565	0.641796	0.682942	0.622072	0.63634	0.6147	0.668397	0.667901	0.625953	0.674564	0.606219	0.612763	0.647494	0.708569	0.635846	0.561478	0.664491	0.640885	0.683502	0.586013	0.612512	0.648431	0.640507	0.630569	0.65796	0.606095	0.616317	0.673409	0.602159	0.641066	0.592824	0.614822	0.645897	0.638926
building_8	0.594579	0.603372	0.628551	0.675923	0.613042	0.648176	0.573588	0	0.638261	0.619233	0.701123	0.595115	0.591443	0.672483	0.622498	0.625901	0.676517	0.653864	0.611383	0.577086	0.652865	0.596739	0.669055	0.648967	0.589638	0.608069	0.601916	0.648497	0.673941	0.624189	0.621112	0.630749	0.682477	0.65007	0.569844	0.667478	0.581249	0.667946	0.635471	0.650827	0.567936	0.616024	0.626418	0.607869	0.633429	0.654897	0.620419	0.676667	0.648799	0.642276	0.641929	0.607637	0.551048	0.695784	0.68999	0.580285	0.688909	0.66257	0.658939	0.678761	0.641395	0.638027	0.579014	0.592205	0.632537	0.629394	0.597605	0.592485	0.615242	0.561906	0.627439	0.615542	0.683439	0.629149	0.659402	0.664108	0.611579	0.629837	0.639297	0.659487	0.612197	0.572636	0.657744	0.642125	0.634231	0.620851	0.619927	0.629538	0.627568	0.594723	0.631908	0.615183	0.631913	0.66632	0.591194	0.62215	0.600138	0.653764	0.609758	0.596014
building_9	0.637848	0.652399	0.670135	0.684701	0.707788	0.641511	0.643181	0.638261	0	0.653273	0.678079	0.616508	0.657439	0.691009	0.621405	0.615649	0.680218	0.690735	0.633153	0.640632	0.700008	0.657906	0.67101	0.664245	0.643593	0.644364	0.625961	0.685568	0.664904	0.609745	0.675803	0.666163	0.699672	0.665873	0.653356	0.702145	0.726305	0.674352	0.687022	0.661811	0.609544	0.693759	0.668799	0.640282	0.673746	0.713321	0.608075	0.660407	0.640862	0.681928	0.644422	0.647736	0.62983	0.716649	0.697288	0.627204	0.649727	0.662442	0.626782	0.663538	0.678159	0.64914	0.618791	0.63187	0.656612	0.692717	0.634664	0.679147	0.678303	0.630419	0.642703	0.643958	0.722135	0.664102	0.635732	0.593582	0.605878	0.639241	0.674694	0.684804	0.640217	0.602457	0.663384	0.697971	0.688366	0.633647	0.687728	0.639605	0.627239	0.656447	0.646802	0.672964	0.673004	0.701053	0.633417	0.653691	0.640899	0.671617	0.624141	0.65724
building_10	0.639955	0.621527	0.691714	0.654322	0.677621	0.633164	0.643684	0.619233	0.653273	0	0.696636	0.63856	0.644078	0.707337	0.622961	0.627663	0.712435	0.640386	0.587099	0.628246	0.668876	0.610422	0.685391	0.64607	0.634012	0.608044	0.647044	0.669402	0.659062	0.639621	0.672951	0.644053	0.686576	0.703986	0.606909	0.681639	0.659158	0.684752	0.693512	0.626766	0.625221	0.705873	0.638088	0.661731	0.647682	0.691117	0.636853	0.67217	0.640854	0.689823	0.671255	0.647592	0.635449	0.697718	0.706463	0.632316	0.659746	0.668628	0.687186	0.65615	0.682806	0.644273	0.637501	0.623582	0.642973	0.69921	0.66922	0.611121	0.70789	0.617834	0.637389	0.667122	0.697677	0.631155	0.673241	0.65423	0.647789	0.685536	0.674734	0.676658	0.661531	0.631898	0.683941	0.650548	0.685261	0.613596	0.682278	0.668077	0.680052	0.613443	0.66362	0.634456	0.663067	0.731632	0.664084	0.665311	0.604841	0.647785	0.656681	0.669356
