SampleID	gut_1	gut_2	gut_3	gut_4	gut_5	gut_6	gut_7	gut_8	gut_9	gut_10	gut_11	gut_12	gut_13	gut_14	gut_15	gut_16	gut_17	gut_18	gut_19	gut_20	gut_21	gut_22	gut_23	gut_24	gut_25	gut_26	gut_27	gut_28	gut_29	gut_30	gut_31	gut_32	gut_33	gut_34	gut_35	gut_36	gut_37	gut_38	gut_39	gut_40	gut_41	gut_42	gut_43	gut_44	gut_45	gut_46	gut_47	gut_48	gut_49	gut_50	gut_51	gut_52	gut_53	gut_54	gut_55	gut_56	gut_57	gut_58	gut_59	gut_60	gut_61	gut_62	gut_63	gut_64	gut_65	gut_66	gut_67	gut_68	gut_69	gut_70	gut_71	gut_72	gut_73	gut_74	gut_75	gut_76	gut_77	gut_78	gut_79	gut_80	gut_81	gut_82	gut_83	gut_84	gut_85	gut_86	gut_87	gut_88	gut_89	gut_90	gut_91	gut_92	gut_93	gut_94	gut_95	gut_96	gut_97	gut_98	gut_99	gut_100
gut_1	0	0.858762	0.850083	0.854591	0.867339	0.867659	0.855779	0.857151	0.74339	0.870741	0.90385	0.830868	0.862572	0.868637	0.830504	0.852401	0.892864	0.898438	0.848337	0.881877	0.841147	0.823262	0.899509	0.85457	0.880541	0.84579	0.784024	0.835063	0.883459	0.898548	0.836272	0.841463	0.830153	0.814887	0.857599	0.817504	0.773116	0.902602	0.80756	0.833595	0.859171	0.851465	0.852232	0.906673	0.87158	0.853921	0.814065	0.87705	0.849057	0.811925	0.809991	0.887975	0.907311	0.754346	0.855626	0.86681	0.858924	0.859001	0.858247	0.879063	0.843893	0.881215	0.880761	0.87532	0.809743	0.886257	0.878493	0.843177	0.840466	0.863265	0.865742	0.836393	0.802222	0.864422	0.825105	0.861586	0.865333	0.862181	0.831865	0.863014	0.880391	0.886145	0.876658	0.827583	0.827172	0.865626	0.873559	0.833184	0.843294	0.885402	0.883629	0.862637	0.873061	0.888072	0.847655	0.897293	0.832124	0.81793	0.875947	0.893802
gut_2	0.858762	0	0.870617	0.884064	0.889873	0.905056	0.897274	0.862839	0.858369	0.844905	0.893804	0.808391	0.939498	0.863923	0.881908	0.868971	0.915734	0.876892	0.93573	0.845118	0.883313	0.839484	0.832852	0.840966	0.784984	0.898585	0.831449	0.848516	0.934017	0.90807	0.835081	0.788723	0.863735	0.881365	0.879453	0.851563	0.818187	0.897697	0.811187	0.860386	0.78443	0.862776	0.876626	0.860018	0.88055	0.899096	0.896177	0.855746	0.871949	0.898589	0.822592	0.86449	0.834907	0.844683	0.891561	0.877303	0.849133	0.866425	0.896868	0.848527	0.907219	0.833748	0.828659	0.876439	0.864111	0.855508	0.902331	0.889761	0.871822	0.905212	0.832649	0.855885	0.874139	0.855785	0.85152	0.864018	0.905386	0.90448	0.840587	0.856145	0.827278	0.868783	0.84612	0.845604	0.841214	0.850967	0.900235	0.859589	0.818371	0.888534	0.872584	0.871278	0.90682	0.885965	0.870646	0.880367	0.860392	0.916256	0.844081	0.890144
gut_3	0.850083	0.870617	0	0.89108	0.886341	0.86439	0.892449	0.872648	0.843917	0.891015	0.925125	0.859258	0.897106	0.886837	0.856397	0.888757	0.873526	0.910916	0.897154	0.869682	0.848541	0.897362	0.890836	0.87248	0.878542	0.904259	0.879091	0.860516	0.886657	0.89254	0.863525	0.866506	0.880525	0.926608	0.90111	0.899664	0.908917	0.909466	0.893182	0.884348	0.799128	0.894731	0.897223	0.897537	0.895569	0.892186	0.84369	0.884195	0.918299	0.887085	0.856124	0.879342	0.88922	0.859474	0.904635	0.873127	0.917723	0.835956	0.876193	0.869064	0.872307	0.866428	0.892038	0.851698	0.846025	0.910277	0.913066	0.904178	0.869746	0.844959	0.889688	0.915669	0.893202	0.875796	0.897909	0.903121	0.884926	0.884636	0.881127	0.864679	0.868538	0.918434	0.912199	0.901579	0.884545	0.831385	0.905948	0.919521	0.904778	0.900231	0.924965	0.916294	0.855968	0.920093	0.87928	0.885196	0.873861	0.876713	0.833445	0.824015
gut_4	0.854591	0.884064	0.89108	0	0.895225	0.91031	0.818105	0.823673	0.823981	0.903171	0.891328	0.869385	0.915985	0.851075	0.896518	0.903952	0.907295	0.873574	0.940422	0.820396	0.870688	0.854457	0.852416	0.877631	0.885302	0.865504	0.891767	0.823459	0.910155	0.873613	0.88002	0.870934	0.892107	0.883752	0.914344	0.87258	0.852133	0.851836	0.835352	0.885985	0.857693	0.858897	0.879466	0.889717	0.898066	0.8932	0.868349	0.835262	0.874646	0.834156	0.887543	0.859855	0.884245	0.874527	0.84375	0.793338	0.872646	0.927002	0.843804	0.88673	0.916995	0.885177	0.869381	0.85695	0.924794	0.869949	0.897859	0.908262	0.887467	0.936213	0.861962	0.896951	0.862748	0.879478	0.877039	0.859744	0.896816	0.875021	0.823062	0.845854	0.910663	0.887387	0.870059	0.877598	0.821361	0.887124	0.915591	0.869671	0.835672	0.875561	0.892357	0.891677	0.89767	0.906356	0.897582	0.86458	0.868016	0.815295	0.862236	0.882915
gut_5	0.867339	0.889873	0.886341	0.895225	0	0.897769	0.883713	0.858176	0.874269	0.872268	0.868437	0.877636	0.84968	0.926474	0.792979	0.822361	0.897315	0.91103	0.811874	0.810952	0.859001	0.821565	0.870618	0.832366	0.858811	0.863226	0.852217	0.861599	0.882609	0.8844	0.878395	0.841593	0.881913	0.885942	0.844389	0.872405	0.844506	0.875841	0.871101	0.868934	0.844596	0.8183	0.852982	0.878009	0.903041	0.8575	0.885528	0.872503	0.82978	0.850459	0.805258	0.861367	0.861087	0.888624	0.907327	0.908477	0.816678	0.895423	0.861242	0.826298	0.888857	0.84776	0.85052	0.834809	0.879685	0.879329	0.855153	0.896632	0.856499	0.874982	0.836992	0.912909	0.872096	0.860499	0.870338	0.827048	0.841467	0.883977	0.869744	0.852302	0.903498	0.903777	0.864798	0.835889	0.871386	0.844637	0.863127	0.836009	0.831794	0.902186	0.866355	0.884187	0.843106	0.865031	0.872374	0.825627	0.893158	0.884598	0.880281	0.872539
gut_6	0.867659	0.905056	0.86439	0.91031	0.897769	0	0.875095	0.905623	0.849115	0.919646	0.873998	0.837385	0.848566	0.880616	0.90162	0.875771	0.87139	0.879127	0.887377	0.852884	0.859514	0.861571	0.860079	0.819649	0.840538	0.873991	0.86557	0.88902	0.896825	0.859248	0.8911	0.892759	0.865469	0.842709	0.876454	0.870992	0.865611	0.874048	0.90217	0.847658	0.865178	0.853854	0.875181	0.849327	0.849599	0.867962	0.845862	0.88304	0.836275	0.847673	0.827223	0.863117	0.85776	0.74366	0.869107	0.882081	0.863912	0.898258	0.868875	0.890547	0.862188	0.839939	0.874128	0.876686	0.877907	0.873159	0.925427	0.861116	0.854925	0.862615	0.865308	0.915127	0.843916	0.866226	0.857676	0.826469	0.906457	0.829046	0.873345	0.844512	0.875584	0.897119	0.83674	0.841335	0.851351	0.864	0.876646	0.855018	0.866019	0.842638	0.902617	0.912067	0.839428	0.867592	0.874617	0.803752	0.908036	0.901013	0.811386	0.833445
gut_7	0.855779	0.897274	0.892449	0.818105	0.883713	0.875095	0	0.897473	0.857149	0.857609	0.87036	0.87106	0.860132	0.879143	0.875293	0.880271	0.890401	0.919016	0.867418	0.853992	0.85519	0.87648	0.852416	0.868758	0.865033	0.845843	0.86503	0.864957	0.821486	0.878571	0.883657	0.858584	0.838711	0.817476	0.8518	0.878089	0.857825	0.864048	0.899239	0.82822	0.876997	0.860973	0.825345	0.892134	0.856361	0.841331	0.883423	0.878631	0.874789	0.827808	0.836342	0.860881	0.904377	0.840882	0.806101	0.887991	0.877253	0.908633	0.813764	0.863138	0.824298	0.897935	0.875909	0.831801	0.887543	0.864763	0.82479	0.854375	0.868629	0.801249	0.857268	0.89108	0.844256	0.837431	0.864549	0.889733	0.86014	0.873531	0.806639	0.865865	0.893043	0.888787	0.852386	0.908092	0.84769	0.906114	0.943366	0.893576	0.853762	0.865936	0.876384	0.872021	0.859418	0.835688	0.8618	0.864612	0.861485	0.896723	0.843152	0.82753
gut_8	0.857151	0.862839	0.872648	0.823673	0.858176	0.905623	0.897473	0	0.830258	0.860134	0.852185	0.841489	0.864561	0.840282	0.840733	0.835792	0.878975	0.847879	0.892571	0.888324	0.859247	0.837771	0.883034	0.867714	0.888256	0.889497	0.909092	0.81701	0.872615	0.884891	0.826196	0.883256	0.925938	0.832276	0.870149	0.871485	0.856106	0.901633	0.879115	0.864275	0.799047	0.907083	0.913134	0.911481	0.889726	0.856668	0.855597	0.880821	0.825536	0.892598	0.872148	0.895952	0.916486	0.893175	0.847908	0.858315	0.871853	0.873155	0.832913	0.890001	0.872841	0.860599	0.776075	0.837339	0.784179	0.886923	0.83458	0.87471	0.84398	0.890817	0.891993	0.837487	0.864229	0.844645	0.858765	0.873152	0.877823	0.81049	0.893528	0.896555	0.859072	0.864785	0.844124	0.867474	0.850216	0.899439	0.875943	0.829975	0.866595	0.844982	0.857747	0.870874	0.888706	0.859632	0.896964	0.826559	0.84727	0.876252	0.835785	0.847866
gut_9	0.74339	0.858369	0.843917	0.823981	0.874269	0.849115	0.857149	0.830258	0	0.814524	0.847862	0.80458	0.845634	0.806309	0.850148	0.804017	0.814864	0.807689	0.822447	0.88565	0.833683	0.809071	0.803611	0.837416	0.856735	0.84076	0.885	0.865005	0.822912	0.856955	0.831845	0.829376	0.84324	0.815326	0.881764	0.829674	0.807812	0.884223	0.870453	0.826508	0.880514	0.835699	0.884954	0.827825	0.863865	0.843192	0.77373	0.828799	0.869292	0.79317	0.813331	0.856388	0.899525	0.792021	0.83439	0.834558	0.854068	0.839199	0.882427	0.841546	0.833543	0.825976	0.816455	0.859073	0.864178	0.798216	0.859588	0.833231	0.811174	0.836963	0.853523	0.804821	0.850816	0.839292	0.83807	0.848381	0.853126	0.814707	0.831694	0.81633	0.859408	0.797929	0.791283	0.858729	0.833205	0.853189	0.876454	0.841827	0.827099	0.860116	0.838985	0.849674	0.863682	0.802672	0.811242	0.799832	0.808035	0.785769	0.816704	0.899952
gut_10	0.870741	0.844905	0.891015	0.903171	0.872268	0.919646	0.857609	0.860134	0.814524	0	0.90052	0.850931	0.870829	0.934971	0.813284	0.860454	0.87284	0.905023	0.901388	0.809371	0.856805	0.834667	0.884519	0.870269	0.845714	0.820976	0.907779	0.870898	0.876295	0.921744	0.878529	0.82635	0.86613	0.854481	0.897184	0.853432	0.848189	0.897736	0.931974	0.86498	0.848032	0.867534	0.878759	0.854196	0.918623	0.85618	0.848539	0.839908	0.882252	0.789867	0.844512	0.856625	0.907447	0.893847	0.889358	0.876406	0.919157	0.859963	0.924026	0.876398	0.871855	0.870583	0.803442	0.881985	0.820502	0.889202	0.872275	0.846481	0.857147	0.871365	0.84777	0.906083	0.860031	0.884659	0.891298	0.894234	0.890381	0.907728	0.867968	0.869006	0.839756	0.806648	0.827229	0.903122	0.830144	0.845035	0.901028	0.880055	0.839835	0.90562	0.877071	0.876643	0.873616	0.829723	0.871957	0.858974	0.846875	0.889904	0.835485	0.881294
