SampleID	gut_1	gut_2	gut_3	gut_4	gut_5	gut_6	gut_7	gut_8	gut_9	gut_10	gut_11	gut_12	gut_13	gut_14	gut_15	gut_16	gut_17	gut_18	gut_19	gut_20	gut_21	gut_22	gut_23	gut_24	gut_25	gut_26	gut_27	gut_28	gut_29	gut_30	gut_31	gut_32	gut_33	gut_34	gut_35	gut_36	gut_37	gut_38	gut_39	gut_40	gut_41	gut_42	gut_43	gut_44	gut_45	gut_46	gut_47	gut_48	gut_49	gut_50	gut_51	gut_52	gut_53	gut_54	gut_55	gut_56	gut_57	gut_58	gut_59	gut_60	gut_61	gut_62	gut_63	gut_64	gut_65	gut_66	gut_67	gut_68	gut_69	gut_70	gut_71	gut_72	gut_73	gut_74	gut_75	gut_76	gut_77	gut_78	gut_79	gut_80	gut_81	gut_82	gut_83	gut_84	gut_85	gut_86	gut_87	gut_88	gut_89	gut_90	gut_91	gut_92	gut_93	gut_94	gut_95	gut_96	gut_97	gut_98	gut_99	gut_100
gut_1	0	0.856205	0.855216	0.848007	0.856284	0.864767	0.846267	0.859466	0.739716	0.865925	0.896936	0.835586	0.859277	0.886749	0.8297	0.859018	0.893297	0.888156	0.842499	0.868143	0.837661	0.841518	0.900881	0.838387	0.876657	0.829545	0.799262	0.821358	0.870262	0.895573	0.860226	0.835702	0.822539	0.801583	0.841678	0.811888	0.770157	0.8938	0.812917	0.833629	0.856484	0.854886	0.840566	0.895715	0.866924	0.843632	0.810007	0.872124	0.858845	0.824327	0.811522	0.888811	0.900715	0.758743	0.850741	0.883012	0.853071	0.846396	0.860396	0.866533	0.828724	0.87411	0.877027	0.885139	0.82775	0.881991	0.881632	0.843507	0.841742	0.861405	0.862813	0.838728	0.805102	0.862651	0.816046	0.850249	0.853645	0.856561	0.837121	0.852191	0.881432	0.867213	0.881674	0.824947	0.843085	0.870081	0.868054	0.816579	0.833031	0.886227	0.882904	0.855452	0.862196	0.877994	0.858706	0.8726	0.818461	0.829601	0.861557	0.892483
gut_2	0.856205	0	0.883417	0.894933	0.88147	0.916407	0.902636	0.863116	0.867772	0.84062	0.891589	0.804527	0.937365	0.87741	0.867981	0.874636	0.909703	0.887659	0.931357	0.856035	0.883548	0.86371	0.843951	0.834002	0.796878	0.899805	0.83114	0.839636	0.929801	0.912681	0.829457	0.813482	0.870053	0.887601	0.89007	0.83301	0.836913	0.89086	0.840785	0.877104	0.799592	0.863634	0.859973	0.858033	0.878803	0.902298	0.903292	0.855235	0.880828	0.899227	0.836153	0.866946	0.83333	0.850586	0.890743	0.884708	0.843202	0.884689	0.884254	0.844735	0.901623	0.856666	0.82781	0.878078	0.846215	0.867086	0.916142	0.897262	0.882674	0.901435	0.845381	0.865047	0.867036	0.848661	0.858524	0.850803	0.898265	0.884477	0.856918	0.864525	0.841195	0.854619	0.858223	0.854084	0.856547	0.876395	0.906175	0.879261	0.831147	0.886184	0.890109	0.874993	0.90141	0.883687	0.846079	0.866524	0.848339	0.901958	0.849635	0.892846
gut_3	0.855216	0.883417	0	0.892371	0.868649	0.878435	0.892625	0.873734	0.845806	0.879526	0.923337	0.864782	0.890491	0.879087	0.826168	0.883822	0.862495	0.904608	0.877234	0.86486	0.824572	0.89089	0.882621	0.860335	0.890035	0.894403	0.86904	0.84456	0.853788	0.877109	0.869066	0.852869	0.867291	0.92225	0.893158	0.895402	0.913187	0.902544	0.887054	0.875012	0.802571	0.886633	0.881176	0.87944	0.893092	0.896921	0.819484	0.866443	0.907613	0.871714	0.854604	0.863264	0.876794	0.861827	0.879631	0.854717	0.900686	0.88146	0.874212	0.843912	0.855449	0.866535	0.891161	0.842676	0.832016	0.89559	0.925279	0.888238	0.872676	0.826218	0.887112	0.907248	0.884262	0.867916	0.881059	0.88052	0.874109	0.858651	0.878748	0.845925	0.870303	0.899024	0.894629	0.895294	0.887224	0.861265	0.893025	0.917872	0.894322	0.911395	0.928588	0.89442	0.833294	0.910356	0.871818	0.885028	0.87287	0.860831	0.838765	0.823045
gut_4	0.848007	0.894933	0.892371	0	0.892601	0.902513	0.809003	0.802634	0.81711	0.907987	0.892987	0.861316	0.903454	0.853581	0.890339	0.884965	0.903195	0.880172	0.934595	0.83754	0.852341	0.859671	0.859746	0.876765	0.878669	0.865026	0.880152	0.829554	0.903963	0.871495	0.88316	0.864591	0.887642	0.86904	0.910578	0.8772	0.846252	0.826677	0.836892	0.881256	0.854222	0.863003	0.874792	0.904374	0.903151	0.886525	0.857398	0.851303	0.86337	0.818323	0.875678	0.881469	0.882551	0.875519	0.834135	0.810822	0.868494	0.914487	0.842921	0.888758	0.910597	0.88782	0.854663	0.854895	0.908304	0.865327	0.901687	0.896578	0.882231	0.922628	0.850314	0.888659	0.852279	0.868598	0.863741	0.854085	0.890008	0.874711	0.829024	0.854309	0.911122	0.877038	0.879301	0.882128	0.843972	0.883566	0.911045	0.852481	0.818864	0.870815	0.890498	0.896065	0.888703	0.906206	0.887781	0.850935	0.874793	0.817757	0.861423	0.885808
gut_5	0.856284	0.88147	0.868649	0.892601	0	0.882489	0.889428	0.84426	0.856761	0.868738	0.870222	0.867856	0.838817	0.922022	0.774588	0.817487	0.88602	0.902217	0.80463	0.812062	0.867145	0.843063	0.878345	0.828075	0.848199	0.859881	0.855165	0.855585	0.873251	0.89129	0.881985	0.838879	0.872041	0.895956	0.844276	0.841811	0.846629	0.87974	0.878244	0.871785	0.835945	0.802839	0.831369	0.88077	0.913718	0.849191	0.887928	0.861784	0.830578	0.841931	0.808887	0.861652	0.856588	0.885144	0.908463	0.905772	0.801796	0.893578	0.863475	0.826208	0.871974	0.851614	0.835128	0.839924	0.873445	0.882532	0.847477	0.885485	0.854805	0.8717	0.840936	0.910174	0.871349	0.86588	0.876615	0.800799	0.819794	0.877471	0.861716	0.863674	0.890504	0.889209	0.863916	0.834219	0.872535	0.832354	0.839664	0.832816	0.829222	0.90091	0.871833	0.874576	0.826451	0.878431	0.8598	0.818074	0.889786	0.864504	0.88342	0.867396
gut_6	0.864767	0.916407	0.878435	0.902513	0.882489	0	0.877531	0.882185	0.857475	0.933385	0.8782	0.858154	0.86948	0.888765	0.895268	0.875106	0.87483	0.879044	0.88456	0.851597	0.865114	0.864485	0.868459	0.817761	0.850621	0.877374	0.863113	0.885133	0.887223	0.863303	0.891014	0.897603	0.86172	0.862175	0.874412	0.880827	0.872104	0.879609	0.890794	0.869036	0.8677	0.851462	0.868183	0.852301	0.872504	0.844199	0.864555	0.887326	0.840789	0.860907	0.849014	0.873289	0.871727	0.752747	0.871929	0.868905	0.875589	0.905313	0.877931	0.885132	0.862526	0.857106	0.878283	0.879546	0.872007	0.86467	0.921119	0.863466	0.856115	0.872427	0.89803	0.91316	0.845679	0.867443	0.835659	0.803758	0.894596	0.827224	0.874705	0.838393	0.891563	0.891217	0.832525	0.847482	0.862983	0.857228	0.885464	0.847611	0.872643	0.87367	0.895716	0.896846	0.838635	0.871697	0.891747	0.810239	0.898805	0.900826	0.833666	0.832291
gut_7	0.846267	0.902636	0.892625	0.809003	0.889428	0.877531	0	0.878557	0.843225	0.850367	0.87463	0.856894	0.861426	0.876128	0.877287	0.881728	0.895339	0.917134	0.848785	0.840448	0.850465	0.865916	0.857935	0.858657	0.857155	0.823114	0.861858	0.869893	0.839696	0.869011	0.887177	0.855311	0.838668	0.802404	0.842662	0.879478	0.851024	0.853171	0.901293	0.824447	0.880158	0.847324	0.829684	0.880365	0.857792	0.847516	0.877587	0.879882	0.873089	0.825481	0.851412	0.867845	0.900494	0.840639	0.804778	0.902503	0.872926	0.892332	0.839106	0.868805	0.823884	0.891682	0.879147	0.807639	0.882235	0.858983	0.828193	0.850686	0.869866	0.795971	0.864993	0.881318	0.84988	0.840304	0.863357	0.881044	0.841051	0.869886	0.811066	0.859505	0.878095	0.874896	0.846903	0.904124	0.850536	0.907155	0.93026	0.893531	0.8515	0.872777	0.874181	0.854364	0.837517	0.851562	0.862645	0.853903	0.84943	0.890973	0.850844	0.832188
gut_8	0.859466	0.863116	0.873734	0.802634	0.84426	0.882185	0.878557	0	0.821268	0.854183	0.871683	0.838563	0.866311	0.827233	0.83819	0.823614	0.871265	0.861059	0.886043	0.879605	0.852247	0.834943	0.881309	0.865175	0.875795	0.881208	0.90453	0.814402	0.869591	0.885057	0.852963	0.88734	0.914951	0.824754	0.861992	0.864709	0.853647	0.869976	0.889623	0.845984	0.780892	0.899052	0.909024	0.913327	0.890826	0.855109	0.873566	0.867739	0.824261	0.876644	0.859777	0.898999	0.901896	0.883963	0.836545	0.855783	0.841966	0.866028	0.825312	0.888934	0.855277	0.846368	0.75849	0.834793	0.812169	0.878331	0.832958	0.871956	0.830093	0.872737	0.889655	0.866519	0.863161	0.836938	0.84263	0.856953	0.876925	0.826775	0.89156	0.88313	0.864103	0.85864	0.843493	0.855756	0.849667	0.897309	0.878776	0.840797	0.858768	0.842296	0.860871	0.850389	0.881653	0.869411	0.896328	0.813657	0.854965	0.868066	0.818738	0.839033
gut_9	0.739716	0.867772	0.845806	0.81711	0.856761	0.857475	0.843225	0.821268	0	0.811405	0.84815	0.833051	0.843598	0.80731	0.842359	0.790719	0.810956	0.827462	0.810505	0.882455	0.830948	0.812227	0.808231	0.817956	0.847679	0.823665	0.892958	0.866142	0.815123	0.869068	0.831261	0.817448	0.851777	0.807676	0.872274	0.821481	0.782812	0.887427	0.878408	0.834911	0.889667	0.850023	0.880146	0.832246	0.880177	0.840649	0.77142	0.835399	0.853824	0.797479	0.821525	0.86864	0.902879	0.802384	0.845266	0.847754	0.862977	0.830069	0.87987	0.823501	0.843295	0.823086	0.820632	0.854626	0.869677	0.812814	0.842898	0.843	0.821283	0.847699	0.854391	0.808234	0.861551	0.854631	0.827986	0.840593	0.850405	0.820967	0.839476	0.822475	0.866406	0.805835	0.792709	0.8591	0.824781	0.866731	0.880819	0.846461	0.833415	0.869291	0.839544	0.847856	0.861534	0.821365	0.836294	0.799295	0.806344	0.789569	0.82512	0.895784
gut_10	0.865925	0.84062	0.879526	0.907987	0.868738	0.933385	0.850367	0.854183	0.811405	0	0.897946	0.856349	0.861262	0.939988	0.825242	0.861424	0.873715	0.927479	0.898249	0.829959	0.849768	0.843382	0.885461	0.86154	0.85279	0.816346	0.903694	0.8808	0.871078	0.919519	0.87196	0.838017	0.868067	0.863184	0.896275	0.84498	0.851804	0.895156	0.933348	0.872369	0.869518	0.869258	0.878783	0.859784	0.918362	0.862363	0.84071	0.862381	0.886415	0.799773	0.852514	0.868019	0.915403	0.900718	0.886381	0.88192	0.918042	0.858699	0.91609	0.877413	0.866024	0.876083	0.830261	0.901128	0.811725	0.889738	0.875923	0.844373	0.852629	0.875817	0.838399	0.900802	0.86384	0.878462	0.900011	0.893361	0.886102	0.898861	0.868118	0.887292	0.840438	0.809055	0.831471	0.902255	0.848563	0.854605	0.898097	0.868818	0.83007	0.899452	0.884943	0.874077	0.873158	0.834591	0.879181	0.854311	0.847712	0.893737	0.834961	0.887227
