SampleID	oral_1	oral_2	oral_3	oral_4	oral_5	oral_6	oral_7	oral_8	oral_9	oral_10	oral_11	oral_12	oral_13	oral_14	oral_15	oral_16	oral_17	oral_18	oral_19	oral_20	oral_21	oral_22	oral_23	oral_24	oral_25	oral_26	oral_27	oral_28	oral_29	oral_30	oral_31	oral_32	oral_33	oral_34	oral_35	oral_36	oral_37	oral_38	oral_39	oral_40	oral_41	oral_42	oral_43	oral_44	oral_45	oral_46	oral_47	oral_48	oral_49	oral_50	oral_51	oral_52	oral_53	oral_54	oral_55	oral_56	oral_57	oral_58	oral_59	oral_60	oral_61	oral_62	oral_63	oral_64	oral_65	oral_66	oral_67	oral_68	oral_69	oral_70	oral_71	oral_72	oral_73	oral_74	oral_75	oral_76	oral_77	oral_78	oral_79	oral_80	oral_81	oral_82	oral_83	oral_84	oral_85	oral_86	oral_87	oral_88	oral_89	oral_90	oral_91	oral_92	oral_93	oral_94	oral_95	oral_96	oral_97	oral_98	oral_99	oral_100
oral_1	0	0.800207	0.803702	0.859172	0.833913	0.804114	0.832577	0.819353	0.850487	0.818455	0.829643	0.836978	0.784995	0.845637	0.831677	0.820504	0.804176	0.820422	0.834109	0.866871	0.802785	0.777869	0.792143	0.818377	0.833063	0.798095	0.833902	0.814511	0.790935	0.831331	0.857421	0.807143	0.816176	0.812335	0.813748	0.778616	0.843169	0.827152	0.820967	0.85579	0.793158	0.870024	0.846386	0.801862	0.834133	0.776192	0.83565	0.794088	0.80111	0.840631	0.770855	0.818369	0.75161	0.833143	0.803727	0.823614	0.85396	0.866819	0.827049	0.804489	0.806595	0.815101	0.776479	0.77069	0.813441	0.809322	0.837034	0.855856	0.867777	0.84715	0.814289	0.837335	0.830137	0.780222	0.777444	0.859514	0.84777	0.835627	0.874183	0.851421	0.848653	0.833036	0.812899	0.805787	0.810877	0.818683	0.771382	0.798224	0.86008	0.806784	0.858478	0.821928	0.842842	0.748454	0.806117	0.809647	0.862365	0.836186	0.863836	0.788644
oral_2	0.800207	0	0.75307	0.767557	0.824714	0.815363	0.794517	0.790694	0.821472	0.764094	0.755149	0.793387	0.807683	0.769972	0.79289	0.786824	0.807116	0.785538	0.770431	0.798241	0.807848	0.800607	0.794379	0.762389	0.808892	0.815473	0.792972	0.808337	0.769106	0.781057	0.826898	0.809522	0.797471	0.774481	0.786552	0.748408	0.78671	0.760951	0.777733	0.788362	0.784903	0.774927	0.800481	0.763086	0.74255	0.82654	0.791154	0.778988	0.806798	0.804662	0.773794	0.759911	0.757258	0.766861	0.823907	0.800717	0.742797	0.755102	0.791078	0.794215	0.789061	0.779074	0.798043	0.737831	0.788079	0.771464	0.794587	0.803798	0.813612	0.827141	0.762679	0.829001	0.775544	0.776292	0.751104	0.85036	0.801832	0.770998	0.810864	0.814002	0.790278	0.819371	0.762445	0.772785	0.842814	0.828269	0.78533	0.788372	0.782407	0.81088	0.80307	0.771188	0.82472	0.763187	0.758484	0.734899	0.828328	0.815277	0.784323	0.768551
oral_3	0.803702	0.75307	0	0.856805	0.814305	0.796141	0.800047	0.845212	0.815299	0.822401	0.794018	0.80914	0.800775	0.794097	0.818343	0.799572	0.841769	0.878228	0.806993	0.84144	0.79543	0.863015	0.818198	0.819447	0.82593	0.793935	0.822926	0.849932	0.810282	0.786939	0.831689	0.849451	0.806437	0.823712	0.850259	0.815032	0.833169	0.825721	0.834815	0.811501	0.800312	0.822454	0.815304	0.811431	0.851175	0.770935	0.82892	0.840694	0.800872	0.823314	0.837093	0.796666	0.842057	0.804517	0.79185	0.839701	0.852343	0.834996	0.779918	0.834971	0.790451	0.840229	0.773065	0.800009	0.786655	0.769886	0.826553	0.784708	0.82349	0.842273	0.7685	0.785929	0.829514	0.819371	0.812661	0.848106	0.81606	0.785761	0.80331	0.776481	0.797231	0.792724	0.802797	0.82821	0.87303	0.834916	0.845965	0.815415	0.799221	0.838476	0.870637	0.802946	0.822487	0.834806	0.832589	0.784001	0.858582	0.800465	0.825629	0.810221
oral_4	0.859172	0.767557	0.856805	0	0.867969	0.866229	0.863882	0.840527	0.825648	0.828277	0.832619	0.839774	0.790515	0.82103	0.830351	0.784232	0.823218	0.861312	0.798121	0.860373	0.8357	0.828127	0.840063	0.832752	0.835376	0.766981	0.806354	0.812704	0.779813	0.879535	0.799067	0.866529	0.813451	0.83192	0.821515	0.802154	0.851229	0.862379	0.828588	0.863571	0.808412	0.811737	0.814727	0.869351	0.823986	0.842517	0.807061	0.754347	0.797994	0.832639	0.824446	0.817931	0.788288	0.807908	0.86278	0.837605	0.826569	0.838351	0.820192	0.848833	0.817249	0.842125	0.801469	0.749806	0.846986	0.821389	0.803787	0.821688	0.819507	0.857899	0.821057	0.857289	0.837149	0.82565	0.795543	0.89534	0.833645	0.853909	0.843999	0.813584	0.840118	0.884046	0.827275	0.833646	0.843116	0.835062	0.848912	0.848082	0.796316	0.84745	0.859472	0.860738	0.885507	0.784611	0.824278	0.825339	0.853232	0.848892	0.812076	0.820839
oral_5	0.833913	0.824714	0.814305	0.867969	0	0.815587	0.820941	0.830382	0.820211	0.790435	0.8142	0.846599	0.785892	0.780926	0.818148	0.809454	0.785453	0.833297	0.877605	0.847316	0.861661	0.870147	0.83252	0.756852	0.803623	0.802844	0.809545	0.848003	0.80253	0.821283	0.820939	0.805042	0.809004	0.848628	0.793898	0.863016	0.833136	0.82009	0.809047	0.846636	0.838983	0.81913	0.833077	0.805687	0.822757	0.868796	0.815758	0.797228	0.770533	0.817685	0.857911	0.847505	0.826835	0.87127	0.836882	0.826829	0.838443	0.848676	0.79573	0.821195	0.842425	0.81538	0.809348	0.786263	0.837238	0.818526	0.851302	0.839033	0.852305	0.795822	0.777929	0.889361	0.869654	0.830149	0.822705	0.832151	0.808579	0.86096	0.810759	0.843279	0.861983	0.87903	0.870878	0.797236	0.81569	0.761041	0.840668	0.786986	0.834902	0.859839	0.843328	0.83994	0.854502	0.795882	0.859966	0.825769	0.844424	0.836143	0.843013	0.755594
oral_6	0.804114	0.815363	0.796141	0.866229	0.815587	0	0.787211	0.800998	0.798274	0.783082	0.86199	0.781046	0.777376	0.783202	0.847796	0.822578	0.810727	0.863553	0.823137	0.843837	0.807124	0.836801	0.775507	0.820636	0.794556	0.853774	0.818279	0.821898	0.83322	0.793701	0.800057	0.788225	0.738306	0.778502	0.786398	0.81719	0.839809	0.792682	0.796221	0.782241	0.783705	0.795264	0.826682	0.844333	0.7821	0.819776	0.817981	0.86007	0.82462	0.769742	0.778898	0.786693	0.735402	0.851521	0.777893	0.792057	0.786062	0.807607	0.774352	0.810837	0.80323	0.794243	0.786732	0.791323	0.808107	0.831558	0.837606	0.801215	0.843224	0.794256	0.751473	0.849958	0.822728	0.794924	0.766935	0.838694	0.813959	0.80912	0.834926	0.829592	0.794409	0.835197	0.770899	0.799631	0.807473	0.714167	0.83092	0.784635	0.808443	0.766385	0.821088	0.804603	0.795587	0.814062	0.810673	0.826644	0.827024	0.787928	0.80756	0.789932
oral_7	0.832577	0.794517	0.800047	0.863882	0.820941	0.787211	0	0.786078	0.814134	0.784433	0.738945	0.804039	0.789342	0.770519	0.825508	0.7828	0.798391	0.845987	0.821468	0.812152	0.797592	0.790797	0.781332	0.784257	0.792006	0.761584	0.789849	0.766581	0.795981	0.799854	0.824222	0.813639	0.82139	0.830293	0.748913	0.760306	0.843125	0.788324	0.769246	0.792883	0.818015	0.811529	0.838858	0.811771	0.813648	0.804141	0.832713	0.830919	0.797637	0.841761	0.811418	0.789686	0.809687	0.817629	0.830494	0.808189	0.817228	0.771004	0.790983	0.786504	0.763408	0.767206	0.83881	0.797565	0.778621	0.798995	0.763174	0.805448	0.796371	0.810648	0.756318	0.770378	0.852391	0.826517	0.798897	0.840355	0.766716	0.808061	0.804067	0.80073	0.852987	0.815199	0.824972	0.797618	0.845621	0.80661	0.813062	0.708017	0.78988	0.772946	0.788407	0.806552	0.861653	0.719465	0.829368	0.809816	0.821537	0.856072	0.800612	0.805434
oral_8	0.819353	0.790694	0.845212	0.840527	0.830382	0.800998	0.786078	0	0.840496	0.811099	0.827661	0.839055	0.816792	0.792435	0.804555	0.775584	0.830443	0.802038	0.809506	0.807642	0.813435	0.805521	0.826175	0.794454	0.803067	0.825401	0.797456	0.814002	0.803975	0.790545	0.794186	0.819784	0.799674	0.818099	0.804781	0.816125	0.829677	0.794423	0.790856	0.830403	0.865915	0.791607	0.818564	0.797587	0.813774	0.833992	0.739513	0.755874	0.774839	0.84278	0.812984	0.780196	0.769973	0.840411	0.807157	0.808167	0.809351	0.811911	0.776202	0.806886	0.779992	0.816947	0.819912	0.78488	0.823548	0.787775	0.831681	0.839259	0.765103	0.815261	0.812554	0.812904	0.818892	0.796423	0.81076	0.828515	0.809726	0.786676	0.841965	0.804495	0.837094	0.828671	0.795892	0.779521	0.775374	0.782523	0.854278	0.791821	0.846708	0.801499	0.793629	0.822014	0.841398	0.76844	0.81598	0.778098	0.871116	0.772253	0.805732	0.815891
oral_9	0.850487	0.821472	0.815299	0.825648	0.820211	0.798274	0.814134	0.840496	0	0.797174	0.814114	0.812588	0.820082	0.792997	0.758459	0.786182	0.800566	0.843277	0.758523	0.812359	0.825113	0.852035	0.761578	0.813899	0.827186	0.81735	0.800777	0.866119	0.758414	0.828458	0.812082	0.787466	0.810027	0.842156	0.797465	0.790332	0.837602	0.809632	0.837301	0.824046	0.80316	0.778529	0.858693	0.804266	0.82534	0.841647	0.795392	0.810467	0.773668	0.781201	0.793896	0.785516	0.797972	0.831196	0.860488	0.839701	0.787819	0.806028	0.774711	0.792623	0.8108	0.79071	0.800641	0.802588	0.842347	0.798421	0.820231	0.793604	0.813886	0.843571	0.775798	0.812724	0.816569	0.813728	0.778333	0.826838	0.808778	0.842335	0.806192	0.784475	0.81291	0.861861	0.800649	0.796536	0.826352	0.813523	0.867829	0.812463	0.787971	0.823672	0.843955	0.798666	0.836053	0.816953	0.84631	0.784479	0.83089	0.814636	0.78766	0.795864
oral_10	0.818455	0.764094	0.822401	0.828277	0.790435	0.783082	0.784433	0.811099	0.797174	0	0.772154	0.729505	0.789384	0.779228	0.789955	0.807945	0.796355	0.8458	0.768021	0.794626	0.85201	0.793238	0.758386	0.807284	0.827034	0.774238	0.781158	0.800414	0.783928	0.821645	0.785757	0.761823	0.798837	0.787946	0.750606	0.779668	0.830196	0.789102	0.801785	0.812187	0.82255	0.799006	0.80052	0.789652	0.785255	0.790995	0.820551	0.821648	0.787473	0.794642	0.7835	0.742911	0.749862	0.807748	0.813783	0.800686	0.837004	0.806734	0.772611	0.820621	0.803755	0.828618	0.818539	0.782416	0.780578	0.796445	0.847253	0.800371	0.783728	0.814378	0.793134	0.832149	0.781447	0.809663	0.778721	0.836239	0.772484	0.769497	0.805947	0.811671	0.866969	0.835459	0.825389	0.786346	0.777688	0.790555	0.790511	0.793568	0.816248	0.825585	0.827636	0.794989	0.799965	0.798086	0.844824	0.768169	0.823748	0.824798	0.801436	0.807784
