SampleID	oral_1	oral_2	oral_3	oral_4	oral_5	oral_6	oral_7	oral_8	oral_9	oral_10	oral_11	oral_12	oral_13	oral_14	oral_15	oral_16	oral_17	oral_18	oral_19	oral_20	oral_21	oral_22	oral_23	oral_24	oral_25	oral_26	oral_27	oral_28	oral_29	oral_30	oral_31	oral_32	oral_33	oral_34	oral_35	oral_36	oral_37	oral_38	oral_39	oral_40	oral_41	oral_42	oral_43	oral_44	oral_45	oral_46	oral_47	oral_48	oral_49	oral_50	oral_51	oral_52	oral_53	oral_54	oral_55	oral_56	oral_57	oral_58	oral_59	oral_60	oral_61	oral_62	oral_63	oral_64	oral_65	oral_66	oral_67	oral_68	oral_69	oral_70	oral_71	oral_72	oral_73	oral_74	oral_75	oral_76	oral_77	oral_78	oral_79	oral_80	oral_81	oral_82	oral_83	oral_84	oral_85	oral_86	oral_87	oral_88	oral_89	oral_90	oral_91	oral_92	oral_93	oral_94	oral_95	oral_96	oral_97	oral_98	oral_99	oral_100
oral_1	0	0.797013	0.792722	0.863216	0.846241	0.808194	0.839681	0.809342	0.848942	0.81225	0.821455	0.839554	0.806999	0.840984	0.822793	0.821256	0.820552	0.803853	0.831199	0.862469	0.800411	0.791963	0.798891	0.81365	0.83185	0.79796	0.821806	0.815663	0.789929	0.824902	0.846006	0.796803	0.817527	0.838491	0.804814	0.784021	0.839549	0.823794	0.824433	0.849881	0.804276	0.864049	0.839246	0.809563	0.828301	0.757942	0.832242	0.787471	0.801743	0.829436	0.763448	0.811027	0.753041	0.825534	0.802374	0.805302	0.849746	0.859188	0.819969	0.810043	0.799109	0.832326	0.791138	0.788327	0.810771	0.812176	0.844765	0.85168	0.85653	0.841187	0.801014	0.828464	0.827832	0.794272	0.769438	0.845909	0.843998	0.829364	0.869997	0.848458	0.837962	0.843883	0.814765	0.813865	0.823425	0.826886	0.800306	0.795008	0.857497	0.821964	0.840013	0.82433	0.86484	0.761008	0.801326	0.813573	0.86509	0.816147	0.854914	0.794742
oral_2	0.797013	0	0.755227	0.772217	0.824787	0.831283	0.793215	0.794885	0.816616	0.764108	0.7682	0.789161	0.816294	0.769849	0.78985	0.780293	0.810023	0.783855	0.771234	0.790452	0.806171	0.803649	0.79465	0.776535	0.809347	0.820883	0.797897	0.797558	0.764738	0.788853	0.825347	0.804329	0.789027	0.784749	0.793054	0.752758	0.802821	0.772372	0.781633	0.799949	0.797435	0.787767	0.806329	0.777414	0.748105	0.835796	0.799126	0.784175	0.814729	0.821298	0.78831	0.766726	0.777765	0.783424	0.840677	0.808608	0.751215	0.767678	0.797132	0.79141	0.790404	0.785052	0.809493	0.737633	0.78554	0.7789	0.794701	0.781854	0.827625	0.820273	0.766877	0.82996	0.79467	0.797865	0.753427	0.851055	0.793289	0.782451	0.814117	0.816053	0.789427	0.827403	0.76796	0.773861	0.856308	0.8321	0.802208	0.78878	0.795797	0.819382	0.806563	0.763427	0.828456	0.771206	0.779263	0.736352	0.824423	0.819875	0.791331	0.757751
oral_3	0.792722	0.755227	0	0.851386	0.824585	0.792269	0.798172	0.834584	0.809935	0.806398	0.799066	0.821304	0.810152	0.802335	0.81565	0.783916	0.841168	0.865808	0.802896	0.832268	0.790005	0.858425	0.824014	0.817805	0.815896	0.803302	0.822714	0.84117	0.817714	0.777477	0.833484	0.849956	0.80849	0.83106	0.84633	0.813071	0.839054	0.825277	0.831391	0.813231	0.795947	0.832557	0.821889	0.818697	0.848358	0.778952	0.824159	0.834143	0.784207	0.815837	0.849828	0.789319	0.838035	0.805736	0.795191	0.852931	0.850366	0.826735	0.778911	0.850608	0.791155	0.831952	0.795456	0.79562	0.791778	0.794717	0.830985	0.785766	0.811802	0.827123	0.779483	0.792859	0.817223	0.827416	0.818908	0.844106	0.824808	0.80633	0.797049	0.783234	0.804986	0.791375	0.802816	0.825489	0.851273	0.82471	0.862274	0.814716	0.802878	0.823461	0.871566	0.791992	0.813671	0.839727	0.826694	0.785941	0.859904	0.822673	0.825358	0.811167
oral_4	0.863216	0.772217	0.851386	0	0.865413	0.877406	0.852096	0.851256	0.820822	0.845149	0.839212	0.833031	0.794706	0.820028	0.83156	0.790899	0.834569	0.847091	0.803237	0.865362	0.839652	0.825056	0.841281	0.8349	0.831166	0.770905	0.791706	0.811575	0.776363	0.879786	0.80448	0.858061	0.812553	0.837993	0.81465	0.805431	0.856549	0.859894	0.819655	0.857139	0.816807	0.804572	0.817742	0.869585	0.824382	0.845585	0.809536	0.771549	0.801723	0.844454	0.826583	0.829123	0.799279	0.816615	0.872711	0.854015	0.832204	0.85604	0.825332	0.845721	0.828052	0.841704	0.81227	0.755774	0.847668	0.826213	0.807577	0.81178	0.830744	0.854516	0.825133	0.851369	0.826975	0.832312	0.81801	0.890063	0.8312	0.858254	0.846211	0.8265	0.846875	0.891839	0.822696	0.83452	0.849354	0.840509	0.843279	0.834334	0.811666	0.850002	0.862932	0.86161	0.884369	0.788562	0.828524	0.831121	0.855407	0.85764	0.819589	0.804925
oral_5	0.846241	0.824787	0.824585	0.865413	0	0.816685	0.822618	0.81886	0.824398	0.787745	0.805371	0.85165	0.801354	0.779375	0.806531	0.80639	0.79743	0.814494	0.865624	0.841227	0.859527	0.856043	0.836205	0.762003	0.782618	0.812308	0.798502	0.851798	0.789428	0.826355	0.826415	0.812018	0.803994	0.847672	0.795144	0.868312	0.821452	0.819293	0.81329	0.853892	0.836316	0.810437	0.835358	0.8129	0.819065	0.866732	0.792022	0.799384	0.782878	0.819145	0.858289	0.825749	0.823519	0.862133	0.834509	0.830594	0.842078	0.850409	0.789943	0.814423	0.833965	0.824714	0.81004	0.79833	0.822987	0.811727	0.852748	0.837038	0.838316	0.790858	0.777091	0.884379	0.862908	0.838599	0.810928	0.831877	0.796213	0.862426	0.811508	0.841617	0.855969	0.878981	0.872931	0.796211	0.820635	0.757071	0.851471	0.792552	0.833445	0.858787	0.831778	0.832835	0.842925	0.811291	0.861031	0.824202	0.844256	0.840732	0.84112	0.77769
oral_6	0.808194	0.831283	0.792269	0.877406	0.816685	0	0.775235	0.804722	0.795462	0.771219	0.855785	0.769107	0.773376	0.779319	0.839606	0.822323	0.804761	0.857012	0.815288	0.82827	0.811696	0.834474	0.786418	0.829024	0.783194	0.847254	0.812606	0.820296	0.8262	0.788376	0.809583	0.783968	0.725706	0.792637	0.777643	0.813208	0.840736	0.813232	0.798847	0.775114	0.779915	0.792788	0.820415	0.836199	0.772992	0.8047	0.81375	0.861038	0.827309	0.767581	0.787118	0.77967	0.7418	0.869015	0.801069	0.801456	0.791528	0.801545	0.765682	0.817259	0.793402	0.805108	0.787707	0.789868	0.80689	0.83629	0.825183	0.795043	0.838267	0.80576	0.737369	0.836871	0.81365	0.814266	0.786843	0.834095	0.804457	0.800873	0.828972	0.831519	0.810162	0.841079	0.782965	0.804242	0.819459	0.707942	0.835213	0.78383	0.810185	0.767386	0.824194	0.797885	0.788935	0.818931	0.807083	0.824146	0.830946	0.786078	0.807175	0.783245
oral_7	0.839681	0.793215	0.798172	0.852096	0.822618	0.775235	0	0.778472	0.809387	0.778597	0.747854	0.802269	0.795528	0.766944	0.817845	0.778726	0.791351	0.830302	0.827098	0.798452	0.799726	0.792036	0.785501	0.793677	0.805637	0.763629	0.791893	0.763072	0.796652	0.816225	0.816633	0.810846	0.815629	0.83496	0.754478	0.775226	0.834807	0.78691	0.777016	0.784678	0.805178	0.810715	0.847739	0.816171	0.807828	0.809269	0.840489	0.831087	0.798175	0.826502	0.811375	0.787037	0.812607	0.828016	0.820169	0.811204	0.82526	0.767978	0.792683	0.794802	0.773509	0.768793	0.836592	0.795717	0.771476	0.796736	0.771468	0.800476	0.794775	0.802221	0.759433	0.773631	0.844443	0.839803	0.787884	0.831333	0.766837	0.801542	0.786301	0.797472	0.840582	0.805923	0.838542	0.799361	0.838939	0.813145	0.81366	0.725655	0.788632	0.772986	0.78059	0.810656	0.85508	0.734037	0.827814	0.818962	0.8178	0.856022	0.810822	0.797862
oral_8	0.809342	0.794885	0.834584	0.851256	0.81886	0.804722	0.778472	0	0.834047	0.817793	0.829272	0.825244	0.810224	0.788968	0.791319	0.77687	0.818961	0.805371	0.806006	0.795896	0.810089	0.788928	0.835362	0.793895	0.803274	0.818433	0.789263	0.802702	0.788926	0.780719	0.791297	0.810955	0.794018	0.814754	0.791054	0.830136	0.823305	0.788402	0.781652	0.839124	0.860462	0.785347	0.804673	0.783181	0.815842	0.825514	0.771463	0.757791	0.773323	0.838884	0.791187	0.781356	0.76665	0.841145	0.825582	0.817896	0.801412	0.824778	0.772499	0.806149	0.783822	0.798495	0.823256	0.769221	0.816142	0.78003	0.832954	0.841705	0.77207	0.808701	0.799633	0.815105	0.827462	0.798589	0.811695	0.814769	0.795373	0.7892	0.835297	0.813759	0.834587	0.813183	0.799613	0.777751	0.774512	0.787787	0.850403	0.792468	0.837778	0.79958	0.797461	0.808617	0.83599	0.7578	0.811645	0.771779	0.871645	0.769799	0.800325	0.807196
oral_9	0.848942	0.816616	0.809935	0.820822	0.824398	0.795462	0.809387	0.834047	0	0.799612	0.812098	0.808985	0.835867	0.782937	0.757695	0.777985	0.796542	0.826164	0.747095	0.807043	0.817357	0.834656	0.75784	0.823219	0.827172	0.81153	0.801858	0.859551	0.755105	0.828676	0.803872	0.786254	0.809758	0.838443	0.790421	0.78585	0.830658	0.797054	0.830432	0.825008	0.799373	0.790357	0.850741	0.78476	0.826306	0.850844	0.78206	0.803408	0.774014	0.783753	0.805317	0.789233	0.801365	0.833247	0.848241	0.853897	0.790677	0.793851	0.767512	0.793822	0.797812	0.785636	0.789764	0.806215	0.83998	0.809471	0.815205	0.777125	0.811854	0.834508	0.779594	0.812375	0.808792	0.823158	0.776501	0.82235	0.800951	0.845672	0.793181	0.780351	0.795635	0.853634	0.798614	0.788271	0.817916	0.828469	0.857363	0.803256	0.797528	0.814687	0.836588	0.78784	0.835227	0.824351	0.842556	0.780489	0.831862	0.813276	0.77395	0.794009
oral_10	0.81225	0.764108	0.806398	0.845149	0.787745	0.771219	0.778597	0.817793	0.799612	0	0.76763	0.729346	0.7837	0.777657	0.797512	0.798125	0.797753	0.830965	0.757746	0.807802	0.826743	0.787396	0.775866	0.813722	0.825455	0.772658	0.784334	0.794843	0.792961	0.818377	0.784259	0.756691	0.802118	0.783417	0.752964	0.788034	0.822147	0.787824	0.795373	0.808414	0.819789	0.804009	0.808823	0.787788	0.786474	0.8046	0.817167	0.823872	0.787774	0.793833	0.792457	0.7375	0.758414	0.813955	0.80957	0.812106	0.832892	0.810382	0.768473	0.813656	0.806976	0.824165	0.824624	0.781737	0.77572	0.801296	0.847623	0.802951	0.785173	0.812225	0.779114	0.826404	0.778372	0.818488	0.792209	0.841113	0.778251	0.771013	0.801158	0.814398	0.856141	0.838768	0.821699	0.78707	0.810564	0.789697	0.80907	0.786364	0.806506	0.828581	0.820363	0.80368	0.806843	0.791463	0.84268	0.767881	0.839218	0.825363	0.817495	0.797235
