SampleID	skin_1	skin_2	skin_3	skin_4	skin_5	skin_6	skin_7	skin_8	skin_9	skin_10	skin_11	skin_12	skin_13	skin_14	skin_15	skin_16	skin_17	skin_18	skin_19	skin_20	skin_21	skin_22	skin_23	skin_24	skin_25	skin_26	skin_27	skin_28	skin_29	skin_30	skin_31	skin_32	skin_33	skin_34	skin_35	skin_36	skin_37	skin_38	skin_39	skin_40	skin_41	skin_42	skin_43	skin_44	skin_45	skin_46	skin_47	skin_48	skin_49	skin_50	skin_51	skin_52	skin_53	skin_54	skin_55	skin_56	skin_57	skin_58	skin_59	skin_60	skin_61	skin_62	skin_63	skin_64	skin_65	skin_66	skin_67	skin_68	skin_69	skin_70	skin_71	skin_72	skin_73	skin_74	skin_75	skin_76	skin_77	skin_78	skin_79	skin_80	skin_81	skin_82	skin_83	skin_84	skin_85	skin_86	skin_87	skin_88	skin_89	skin_90	skin_91	skin_92	skin_93	skin_94	skin_95	skin_96	skin_97	skin_98	skin_99	skin_100
skin_1	0	0.7787	0.816537	0.900518	0.89358	0.836953	0.815703	0.84818	0.874968	0.806247	0.842749	0.795271	0.873633	0.892448	0.831153	0.810742	0.905594	0.890424	0.824581	0.878495	0.839433	0.881202	0.815523	0.797587	0.840983	0.845409	0.826868	0.831354	0.890259	0.85126	0.864721	0.811183	0.82781	0.901165	0.911016	0.813857	0.828669	0.882069	0.868218	0.814769	0.913443	0.833403	0.853573	0.75639	0.795049	0.801815	0.831354	0.85081	0.766502	0.820562	0.865061	0.814616	0.807748	0.801432	0.808355	0.776735	0.873069	0.805197	0.836083	0.800173	0.878735	0.81553	0.861041	0.789468	0.786132	0.819959	0.864807	0.889787	0.845524	0.854896	0.92461	0.843808	0.777279	0.774482	0.894862	0.843916	0.836505	0.842142	0.853965	0.852145	0.818974	0.809289	0.82839	0.879717	0.891039	0.781954	0.755636	0.865598	0.810286	0.823838	0.837452	0.857469	0.891088	0.8473	0.886197	0.889546	0.829393	0.89392	0.875912	0.758309
skin_2	0.7787	0	0.846245	0.866132	0.888402	0.880917	0.844945	0.836759	0.846322	0.823316	0.800221	0.850632	0.811991	0.830788	0.789094	0.822193	0.911122	0.903531	0.786322	0.815685	0.785153	0.836126	0.846508	0.8367	0.825154	0.882397	0.771793	0.888138	0.869818	0.863145	0.933352	0.824701	0.762313	0.881744	0.885585	0.818153	0.851004	0.893516	0.827902	0.70488	0.888925	0.848084	0.824563	0.786542	0.85343	0.834092	0.746002	0.881109	0.858098	0.88133	0.868168	0.819901	0.87797	0.893332	0.886258	0.85691	0.853749	0.866668	0.795286	0.751387	0.824646	0.844449	0.918096	0.820414	0.798849	0.806765	0.872916	0.842763	0.877586	0.827326	0.876819	0.854484	0.879846	0.821267	0.852332	0.837084	0.903539	0.887352	0.909027	0.840832	0.813511	0.895893	0.80902	0.812048	0.836299	0.802244	0.878023	0.822653	0.798909	0.902467	0.785667	0.822462	0.853588	0.812099	0.877925	0.847066	0.845725	0.877665	0.863548	0.781047
skin_3	0.816537	0.846245	0	0.906906	0.900389	0.78932	0.80693	0.869541	0.917505	0.85516	0.85805	0.886307	0.87238	0.880669	0.842607	0.876459	0.854946	0.83281	0.879721	0.859521	0.847744	0.815356	0.85623	0.866551	0.839684	0.87513	0.858252	0.886292	0.859791	0.797385	0.883239	0.893746	0.886467	0.887148	0.922075	0.896873	0.804167	0.877012	0.869191	0.863649	0.897624	0.897878	0.917158	0.795668	0.863312	0.865499	0.874476	0.839373	0.833542	0.827408	0.883808	0.865153	0.796846	0.900453	0.856676	0.822312	0.824562	0.824676	0.865328	0.844396	0.89753	0.875677	0.884416	0.793389	0.816113	0.876744	0.93385	0.869903	0.909062	0.885042	0.905262	0.827273	0.839344	0.83248	0.866868	0.893725	0.850052	0.903088	0.931579	0.916964	0.842739	0.950356	0.865739	0.900352	0.916588	0.810179	0.791969	0.814954	0.844196	0.846297	0.851946	0.802564	0.915652	0.873482	0.876442	0.91	0.919841	0.878221	0.882435	0.878106
skin_4	0.900518	0.866132	0.906906	0	0.920742	0.882186	0.842245	0.920907	0.941436	0.836974	0.861388	0.899687	0.88685	0.861973	0.863309	0.879443	0.912095	0.938101	0.87495	0.883048	0.857368	0.893731	0.805661	0.91684	0.885184	0.851556	0.890866	0.879614	0.904754	0.869843	0.880872	0.82702	0.922966	0.869299	0.862601	0.864413	0.937491	0.904369	0.822013	0.872044	0.89999	0.903689	0.864801	0.897134	0.824985	0.878469	0.915697	0.878489	0.93654	0.903225	0.924502	0.909612	0.877655	0.860266	0.888718	0.809231	0.928665	0.90324	0.872806	0.889473	0.832588	0.863209	0.859604	0.857873	0.863732	0.843208	0.887947	0.887029	0.911158	0.865431	0.916406	0.866638	0.867208	0.889432	0.869708	0.912105	0.899463	0.870326	0.892232	0.881308	0.882446	0.913013	0.886177	0.89826	0.902244	0.901045	0.893922	0.871734	0.882889	0.926245	0.925597	0.835982	0.883751	0.888623	0.872743	0.829901	0.845188	0.914496	0.934447	0.843907
skin_5	0.89358	0.888402	0.900389	0.920742	0	0.890234	0.905327	0.895015	0.872463	0.865212	0.857136	0.892217	0.907672	0.884258	0.866473	0.90696	0.83026	0.862261	0.935834	0.909867	0.880254	0.789099	0.878523	0.909002	0.932359	0.855741	0.907605	0.854826	0.898829	0.86843	0.896076	0.908005	0.918761	0.93635	0.939858	0.864585	0.917883	0.925385	0.932399	0.80491	0.902437	0.91755	0.904009	0.897899	0.930115	0.888225	0.8995	0.898165	0.887746	0.863693	0.856227	0.894993	0.875816	0.863733	0.896692	0.909391	0.884498	0.903917	0.890424	0.888106	0.913663	0.907738	0.920543	0.90419	0.859191	0.887445	0.842552	0.845116	0.942641	0.750669	0.859898	0.889064	0.842243	0.901198	0.853824	0.932611	0.939656	0.943021	0.94941	0.902359	0.847915	0.869445	0.909986	0.863779	0.901387	0.914211	0.850151	0.848881	0.883071	0.916131	0.845226	0.872391	0.867316	0.879616	0.862145	0.940108	0.857258	0.924831	0.92047	0.858275
skin_6	0.836953	0.880917	0.78932	0.882186	0.890234	0	0.856869	0.860954	0.899209	0.857298	0.888812	0.852073	0.8905	0.881919	0.895686	0.814136	0.864831	0.900949	0.769503	0.85933	0.82004	0.884559	0.805792	0.870414	0.85416	0.893356	0.867376	0.881723	0.824244	0.84434	0.903808	0.87091	0.880315	0.872049	0.84735	0.878059	0.838116	0.874565	0.912615	0.810217	0.887578	0.890575	0.836788	0.780615	0.837078	0.847772	0.87838	0.855619	0.842537	0.897941	0.893841	0.844055	0.838166	0.87988	0.85232	0.8332	0.870642	0.832096	0.874603	0.869944	0.88503	0.824458	0.874141	0.788929	0.828366	0.842942	0.871021	0.88375	0.861003	0.784397	0.853676	0.88548	0.792237	0.871114	0.887555	0.819823	0.907817	0.905477	0.911004	0.857207	0.845397	0.90298	0.907002	0.883041	0.889045	0.859066	0.794643	0.816118	0.823858	0.854918	0.890989	0.851787	0.722295	0.806124	0.823825	0.923314	0.882307	0.861049	0.897237	0.895577
skin_7	0.815703	0.844945	0.80693	0.842245	0.905327	0.856869	0	0.840814	0.905815	0.838197	0.832461	0.840774	0.87922	0.861822	0.785009	0.811951	0.876702	0.838517	0.868953	0.731461	0.772143	0.880263	0.856348	0.869934	0.846873	0.849087	0.825965	0.81184	0.848996	0.757348	0.835882	0.789342	0.883687	0.882489	0.883135	0.861959	0.825402	0.840361	0.865237	0.860919	0.887531	0.804006	0.894611	0.782866	0.78774	0.866776	0.807367	0.789301	0.879247	0.811111	0.892999	0.784863	0.840363	0.818811	0.809062	0.838769	0.851277	0.797395	0.863137	0.81642	0.86301	0.828369	0.920982	0.73518	0.8343	0.867904	0.891262	0.86268	0.870574	0.818119	0.926573	0.856831	0.812038	0.819425	0.888681	0.852991	0.849686	0.866829	0.854849	0.831609	0.815182	0.841538	0.842402	0.901899	0.816594	0.780263	0.781961	0.867897	0.796987	0.892124	0.846669	0.792043	0.830021	0.800435	0.812471	0.871105	0.810227	0.899586	0.932642	0.861317
skin_8	0.84818	0.836759	0.869541	0.920907	0.895015	0.860954	0.840814	0	0.912666	0.878025	0.893789	0.93909	0.846376	0.893115	0.860005	0.877538	0.899418	0.870773	0.841823	0.90991	0.820487	0.91658	0.906154	0.826902	0.90656	0.808543	0.823786	0.886112	0.86361	0.892387	0.899137	0.876425	0.886397	0.780517	0.910472	0.873935	0.862915	0.815947	0.847231	0.794339	0.87503	0.923042	0.80483	0.813739	0.868101	0.86288	0.854545	0.847707	0.888263	0.882588	0.886679	0.871517	0.84704	0.858595	0.877387	0.847963	0.889705	0.820946	0.817272	0.874629	0.882351	0.851119	0.916288	0.88713	0.848734	0.876116	0.83815	0.911117	0.909288	0.864661	0.923413	0.823385	0.883314	0.912843	0.838373	0.878931	0.87362	0.853542	0.905968	0.864759	0.874384	0.909156	0.905272	0.853148	0.862469	0.844786	0.801947	0.839177	0.827611	0.887315	0.885898	0.912804	0.865814	0.757159	0.903445	0.863564	0.918997	0.850723	0.918865	0.864656
skin_9	0.874968	0.846322	0.917505	0.941436	0.872463	0.899209	0.905815	0.912666	0	0.855715	0.864507	0.897958	0.926686	0.899555	0.909229	0.842612	0.840591	0.804072	0.912206	0.789981	0.910574	0.882734	0.903002	0.918367	0.914446	0.923136	0.894165	0.956015	0.896053	0.92921	0.911268	0.922508	0.919647	0.904391	0.878803	0.912639	0.911576	0.894209	0.856157	0.844531	0.945659	0.835499	0.945204	0.894539	0.865695	0.846461	0.93208	0.896451	0.835003	0.845767	0.889155	0.885703	0.884121	0.895036	0.827967	0.924747	0.947985	0.812545	0.851821	0.865444	0.954178	0.86543	0.849616	0.896816	0.918696	0.855994	0.937551	0.926836	0.832407	0.879225	0.935531	0.879942	0.904911	0.875829	0.84308	0.878251	0.888218	0.872016	0.830931	0.87917	0.875786	0.876725	0.833757	0.844804	0.90711	0.863596	0.915151	0.832045	0.886628	0.908184	0.899987	0.907162	0.885289	0.893281	0.902716	0.901244	0.944478	0.872945	0.885573	0.817791
skin_10	0.806247	0.823316	0.85516	0.836974	0.865212	0.857298	0.838197	0.878025	0.855715	0	0.864287	0.834102	0.898915	0.810182	0.837544	0.844998	0.83178	0.89232	0.839096	0.812227	0.858296	0.883118	0.823988	0.841023	0.795579	0.922197	0.887288	0.883104	0.858077	0.838274	0.858438	0.856507	0.903609	0.925469	0.857173	0.850044	0.859024	0.899806	0.866744	0.816413	0.894211	0.901506	0.84679	0.802423	0.867905	0.878316	0.851545	0.824136	0.838306	0.871262	0.791312	0.81467	0.784129	0.85954	0.879973	0.794227	0.93933	0.845421	0.857144	0.820391	0.846372	0.809895	0.922301	0.805907	0.815982	0.800781	0.88749	0.819463	0.882171	0.788029	0.935277	0.854258	0.826011	0.808164	0.863112	0.876038	0.90766	0.9006	0.856363	0.851936	0.77234	0.853735	0.893954	0.896217	0.896337	0.837144	0.787405	0.872859	0.8417	0.932387	0.869891	0.823608	0.906693	0.829795	0.869861	0.890537	0.85037	0.835949	0.867132	0.850121
