SampleID	vaginal_1	vaginal_2	vaginal_3	vaginal_4	vaginal_5	vaginal_6	vaginal_7	vaginal_8	vaginal_9	vaginal_10	vaginal_11	vaginal_12	vaginal_13	vaginal_14	vaginal_15	vaginal_16	vaginal_17	vaginal_18	vaginal_19	vaginal_20	vaginal_21	vaginal_22	vaginal_23	vaginal_24	vaginal_25	vaginal_26	vaginal_27	vaginal_28	vaginal_29	vaginal_30	vaginal_31	vaginal_32	vaginal_33	vaginal_34	vaginal_35	vaginal_36	vaginal_37	vaginal_38	vaginal_39	vaginal_40	vaginal_41	vaginal_42	vaginal_43	vaginal_44	vaginal_45	vaginal_46	vaginal_47	vaginal_48	vaginal_49	vaginal_50	vaginal_51	vaginal_52	vaginal_53	vaginal_54	vaginal_55	vaginal_56	vaginal_57	vaginal_58	vaginal_59	vaginal_60	vaginal_61	vaginal_62	vaginal_63	vaginal_64	vaginal_65	vaginal_66	vaginal_67	vaginal_68	vaginal_69	vaginal_70	vaginal_71	vaginal_72	vaginal_73	vaginal_74	vaginal_75	vaginal_76	vaginal_77	vaginal_78	vaginal_79	vaginal_80	vaginal_81	vaginal_82	vaginal_83	vaginal_84	vaginal_85	vaginal_86	vaginal_87	vaginal_88	vaginal_89	vaginal_90	vaginal_91	vaginal_92	vaginal_93	vaginal_94	vaginal_95	vaginal_96	vaginal_97	vaginal_98	vaginal_99	vaginal_100
vaginal_1	0	0.856666	0.918958	1	0.981391	0.877079	0.965616	0.924525	0.94204	0.921999	0.946348	0.904815	0.97392	0.912469	0.984622	0.92574	0.973246	0.648314	0.910886	0.945475	0.913966	1	0.757513	0.93397	0.890888	0.917449	0.855006	0.780553	0.868402	1	0.957342	0.922769	0.940109	0.900867	0.943142	0.899584	0.936938	0.947044	0.964667	1	0.958737	0.989333	0.953131	0.900729	0.954876	0.795114	0.863392	0.948097	0.952512	0.81962	0.875345	0.921821	0.748143	0.904953	0.926221	0.992879	0.968438	0.97568	0.956718	0.881299	0.900685	0.881931	0.819002	0.910624	0.946605	0.973563	0.897801	0.926764	0.923404	0.806965	0.85634	0.846135	0.981381	0.79938	0.926419	0.932095	0.967839	0.930335	0.889184	0.929577	0.989333	0.940366	0.967387	0.968612	0.872957	0.873698	0.948291	0.982198	0.88015	0.948602	0.832385	0.971167	1	0.980997	0.961284	1	0.949036	0.883475	0.957806	0.917734
vaginal_2	0.856666	0	0.893959	0.988419	0.903113	0.914687	0.93591	0.93125	0.971656	0.901209	0.813072	0.875283	0.970427	0.860075	0.848308	0.866491	0.853235	0.974797	0.902175	0.922871	0.878353	0.876533	0.896431	0.997701	0.968468	0.930264	0.883845	0.896998	0.781998	1	0.892886	0.792584	0.973365	0.916107	0.922104	0.917826	0.935642	0.965982	0.832233	0.984027	0.93973	0.981667	0.892564	0.949687	0.802672	0.910758	0.884922	0.952998	0.907663	0.972289	0.923389	0.916847	0.933037	0.872079	0.954709	0.963661	0.91303	0.932644	0.978379	0.81003	0.907688	0.980321	0.933634	0.948327	0.947254	0.883556	0.923743	0.943307	0.979421	0.864321	0.894656	0.912148	0.799227	0.884655	0.930991	0.919276	0.801572	0.915799	0.858768	0.954629	0.918102	0.938395	0.930318	0.916837	0.922376	0.910452	0.942974	1	0.861757	0.746278	0.967802	0.964937	1	0.898195	0.887249	0.974086	0.959085	0.911478	0.917713	0.860835
vaginal_3	0.918958	0.893959	0	1	0.985437	0.8761	0.941645	0.930707	0.875119	0.916588	0.842732	0.87562	0.893414	0.860641	0.727531	0.897913	0.878323	0.973736	0.911961	0.956163	0.897085	0.971228	0.922055	0.97554	0.930928	0.950251	0.886119	0.9187	0.874951	0.749058	0.921817	0.871456	0.972222	0.930767	0.90339	0.951724	0.796915	0.936728	0.952449	0.983158	0.906814	0.947054	0.896211	0.902119	0.885008	0.875357	0.927033	0.946415	0.900786	0.875018	0.916337	0.904649	0.747444	0.896447	0.981153	0.851803	0.953469	0.972589	0.966786	0.947662	0.88998	0.973796	0.933917	0.900047	0.969946	0.899211	0.883456	0.94126	0.881209	0.885374	0.826003	0.894157	0.884641	0.924006	0.938472	0.843619	0.819025	0.923018	0.918898	0.927538	0.975908	0.844275	0.851799	0.928975	0.855003	0.93643	0.983045	1	0.914566	0.93913	0.971808	0.924099	0.955411	0.823496	0.919193	0.870153	0.96863	0.872328	0.959728	0.839362
vaginal_4	1	0.988419	1	0	0.956423	0.977169	0.988985	0.979068	0.940376	0.978708	0.988985	0.959617	0.947655	0.792558	1	0.984511	0.840463	0.995936	0.851893	0.910174	0.946829	1	0.96573	0.947222	0.962195	0.908925	0.852072	0.940164	0.880954	0.975856	1	0.904302	0.910096	0.940034	0.883013	0.89892	0.984456	0.991496	0.980314	0.963953	0.849035	0.753613	0.949742	0.911459	0.963007	0.971493	0.959378	0.858878	0.985656	1	0.924491	0.967701	0.981079	0.997084	0.947905	0.884161	0.97392	0.898345	0.883718	0.971258	0.851467	0.97535	0.962822	0.914248	0.938376	0.872329	0.931597	0.900516	0.963745	0.777517	0.896681	0.98829	0.994993	0.912904	1	0.910268	0.951527	0.927893	0.962433	0.973807	1	0.972203	0.942289	0.92239	0.93746	0.837677	0.947222	0.947222	0.952208	0.952053	1	0.953255	0.893001	0.840696	0.948537	0.773186	1	0.994944	0.977986	0.914208
vaginal_5	0.981391	0.903113	0.985437	0.956423	0	0.924691	1	0.955157	0.957486	0.990363	0.86572	0.976886	0.970247	1	1	0.955709	0.935048	0.942439	0.940673	0.937087	0.957434	1	0.981809	0.841368	0.983575	0.970566	0.964556	0.954177	0.940801	0.978852	1	0.97413	1	0.966006	0.946834	0.882496	0.984448	0.984547	0.965603	0.941696	0.90982	0.985908	0.912137	0.986634	0.993639	0.986634	0.949109	0.994489	0.968398	0.995873	0.940542	0.965602	0.939333	0.911386	0.994972	1	0.92629	1	1	0.863243	0.981022	0.984889	0.984703	0.979945	0.980175	0.90726	0.922175	0.990513	0.896857	0.990936	0.895091	0.983814	0.956309	0.981642	0.872929	0.951915	0.970265	0.76782	0.908113	0.95243	0.844863	0.926904	0.941018	0.934275	0.937085	0.983604	1	0.944665	0.982378	0.880428	1	0.910868	0.954384	0.986634	0.946248	0.919807	0.921687	0.98814	0.970923	0.946951
vaginal_6	0.877079	0.914687	0.8761	0.977169	0.924691	0	0.963128	0.872809	0.904823	0.921226	0.835431	0.908584	0.924196	0.831274	0.791524	0.883829	0.953021	0.909984	0.906224	0.895311	0.938289	0.965233	0.836648	0.929648	0.92373	0.973101	0.830331	0.857076	0.839853	0.9476	0.906762	0.85071	0.917565	0.870574	0.919095	0.885431	0.950712	0.916961	0.868369	0.961285	0.821852	0.896056	0.949629	0.869386	0.840403	0.889757	0.771748	0.912027	0.905954	0.90585	0.963232	0.849109	0.922186	0.951846	0.877431	0.957232	0.899595	0.908212	0.986049	0.870611	0.84665	0.937677	0.948889	0.89164	0.819654	0.879367	0.885121	0.853233	0.799242	0.932037	0.896949	0.941676	0.970264	0.895479	0.877246	0.844064	0.912274	0.900158	0.849816	0.797271	0.828504	0.897955	0.939691	0.907006	0.852471	0.874755	0.959565	0.922122	0.934228	0.913159	0.95886	0.9957	0.913211	0.937582	0.868666	0.973546	0.883209	0.942596	0.923574	0.971024
vaginal_7	0.965616	0.93591	0.941645	0.988985	1	0.963128	0	0.888008	0.922752	0.884016	0.963225	0.94133	0.903712	0.941184	0.899286	0.900127	0.973754	0.924974	0.905911	0.996982	0.87163	0.952992	0.951306	0.950562	0.967272	0.983274	0.939374	0.872005	0.913266	0.813488	0.938601	0.975646	0.902669	1	0.938793	0.950712	0.984274	0.883163	0.950709	0.934788	0.922567	0.961888	0.957547	0.974882	0.733638	0.926217	0.992844	0.960524	0.94204	0.984693	0.923737	0.98348	0.930712	0.865293	0.930961	0.887495	0.898663	0.980501	0.959271	0.873122	0.956275	0.972736	0.966775	0.944567	0.869297	0.960358	0.831385	0.922744	0.59727	0.929571	0.988096	0.969353	0.863114	0.946923	0.940176	0.97468	0.823369	0.915844	0.938015	0.967011	0.914729	0.871609	0.89121	0.921869	0.890125	0.862097	1	0.978575	0.792685	0.953344	0.949505	1	1	0.8976	0.894868	0.874485	0.914504	0.775197	0.918497	0.953893
vaginal_8	0.924525	0.93125	0.930707	0.979068	0.955157	0.872809	0.888008	0	0.83429	0.777026	0.855985	0.773484	0.894191	0.913737	0.899205	0.867314	0.932907	0.928506	0.873205	0.952731	0.966319	0.902219	0.818444	0.90376	0.88573	0.753942	0.852088	0.913513	0.844644	0.931089	0.968739	0.817168	0.830309	0.747312	0.876134	0.83566	0.962096	0.735601	0.813474	0.953406	0.81912	0.818603	0.797123	0.857617	0.91125	0.769661	0.941507	0.868553	0.895968	0.872064	0.956794	0.857044	0.949585	0.842462	0.913975	0.932229	0.857437	0.903396	0.883062	0.842608	0.906145	0.882926	0.844271	0.826436	0.887505	0.832376	0.956903	0.827964	0.928908	0.855219	0.913561	0.966303	0.961869	0.827785	0.799729	0.873552	0.834941	0.829979	0.910683	0.756392	0.854239	0.926951	0.821593	0.747687	0.832602	0.919132	0.940138	0.930828	0.869238	0.86553	0.931322	0.961038	0.968385	0.853987	0.849451	0.921378	0.848245	0.894331	0.860352	0.963561
vaginal_9	0.94204	0.971656	0.875119	0.940376	0.957486	0.904823	0.922752	0.83429	0	0.866289	0.96147	0.891509	0.745209	0.809199	0.944423	0.902066	0.957256	0.88095	0.91018	0.9325	0.922434	0.946498	0.893586	0.971596	0.896595	0.831717	0.881946	0.861865	0.813015	0.958	0.987896	0.843154	0.952615	0.908517	0.895224	0.901029	0.95414	0.873784	0.83952	0.808852	0.804074	0.89837	0.854288	0.831108	0.942876	0.789323	0.899505	0.808436	0.936494	0.863577	0.895629	0.890063	0.902398	0.88088	0.952577	0.805255	0.843889	0.967866	0.869828	0.887528	0.881909	0.945133	0.870098	0.88173	0.8365	0.851447	0.821681	0.933452	0.824983	0.896634	0.882904	0.912589	0.963494	0.878048	0.949249	0.866303	0.826495	0.868497	0.857642	0.79949	0.883899	0.830597	0.917715	0.855137	0.857915	0.834716	0.952503	0.906287	0.930716	0.954442	0.927298	0.981866	0.989539	0.886013	0.894279	0.727117	0.954711	0.921143	0.797204	0.939735
vaginal_10	0.921999	0.901209	0.916588	0.978708	0.990363	0.921226	0.884016	0.777026	0.866289	0	0.870585	0.970821	0.80415	0.87985	0.965388	0.921717	0.918624	0.96685	0.932923	0.886467	0.859333	1	0.897906	0.96221	0.909249	0.868989	0.839256	0.969467	0.794133	0.889735	1	0.856782	0.935763	0.910223	0.781668	0.85416	0.991415	0.854712	0.923481	0.965472	0.94773	0.848118	0.858402	0.893692	0.888119	0.871523	0.922214	0.901498	0.906849	0.864081	0.893023	0.840953	0.963192	0.830893	0.882964	1	0.974953	0.96829	0.925187	0.927985	0.871628	0.983576	0.933061	0.775644	0.888495	0.893871	0.859411	0.858907	0.92765	0.903094	0.911134	0.855283	0.962336	0.859051	0.89592	0.78542	0.882364	0.961714	0.842893	0.92136	0.971446	0.823384	0.894383	0.926054	0.744197	0.921393	0.914227	0.994166	0.941281	0.88383	0.890423	0.936053	0.870229	0.899469	0.918411	0.870095	0.852365	0.847048	0.871801	0.851522
