SampleID	vaginal_1	vaginal_2	vaginal_3	vaginal_4	vaginal_5	vaginal_6	vaginal_7	vaginal_8	vaginal_9	vaginal_10	vaginal_11	vaginal_12	vaginal_13	vaginal_14	vaginal_15	vaginal_16	vaginal_17	vaginal_18	vaginal_19	vaginal_20	vaginal_21	vaginal_22	vaginal_23	vaginal_24	vaginal_25	vaginal_26	vaginal_27	vaginal_28	vaginal_29	vaginal_30	vaginal_31	vaginal_32	vaginal_33	vaginal_34	vaginal_35	vaginal_36	vaginal_37	vaginal_38	vaginal_39	vaginal_40	vaginal_41	vaginal_42	vaginal_43	vaginal_44	vaginal_45	vaginal_46	vaginal_47	vaginal_48	vaginal_49	vaginal_50	vaginal_51	vaginal_52	vaginal_53	vaginal_54	vaginal_55	vaginal_56	vaginal_57	vaginal_58	vaginal_59	vaginal_60	vaginal_61	vaginal_62	vaginal_63	vaginal_64	vaginal_65	vaginal_66	vaginal_67	vaginal_68	vaginal_69	vaginal_70	vaginal_71	vaginal_72	vaginal_73	vaginal_74	vaginal_75	vaginal_76	vaginal_77	vaginal_78	vaginal_79	vaginal_80	vaginal_81	vaginal_82	vaginal_83	vaginal_84	vaginal_85	vaginal_86	vaginal_87	vaginal_88	vaginal_89	vaginal_90	vaginal_91	vaginal_92	vaginal_93	vaginal_94	vaginal_95	vaginal_96	vaginal_97	vaginal_98	vaginal_99	vaginal_100
vaginal_1	0	0.815163	0.909719	1	0.975035	0.882573	0.972463	0.920517	0.947905	0.893475	0.930831	0.895169	0.971381	0.940861	0.977206	0.920961	0.972579	0.769929	0.900922	0.944084	0.877086	1	0.810059	0.92339	0.891022	0.917237	0.81041	0.823823	0.8187	1	0.958344	0.898386	0.949551	0.905185	0.9251	0.891665	0.944219	0.93942	0.961256	1	0.94569	0.989445	0.946052	0.893814	0.955577	0.846477	0.849381	0.964217	0.940339	0.807701	0.88524	0.909841	0.781205	0.86956	0.932782	0.98734	0.96137	0.976683	0.954772	0.893478	0.924094	0.940862	0.848872	0.923603	0.944296	0.973578	0.879791	0.923097	0.927478	0.787679	0.869489	0.871829	0.971441	0.784226	0.929917	0.916001	0.96598	0.932351	0.906352	0.937635	0.989445	0.941829	0.964777	0.959683	0.884041	0.86137	0.951832	0.969435	0.897132	0.960908	0.833667	0.956054	1	0.970355	0.944924	1	0.945071	0.869127	0.956104	0.878121
vaginal_2	0.815163	0	0.920038	0.994718	0.918383	0.909895	0.916828	0.926929	0.980482	0.868092	0.802625	0.868769	0.975974	0.887556	0.841769	0.853987	0.841728	0.974578	0.901749	0.908792	0.831398	0.869675	0.913165	0.99625	0.979367	0.942665	0.83957	0.91149	0.749308	1	0.883019	0.785717	0.965191	0.92106	0.936915	0.922733	0.914164	0.954732	0.849734	0.979915	0.93429	0.965945	0.900972	0.937567	0.814753	0.903835	0.852337	0.961568	0.904941	0.981633	0.935211	0.916065	0.900804	0.860833	0.943126	0.960145	0.911518	0.927316	0.977104	0.825634	0.932163	0.988145	0.930841	0.941753	0.933204	0.906516	0.919529	0.954499	0.981048	0.854933	0.906673	0.871694	0.835744	0.883856	0.937466	0.939164	0.79447	0.921878	0.89467	0.946985	0.891025	0.913157	0.93459	0.913276	0.899186	0.913865	0.936442	1	0.843776	0.805787	0.961499	0.934877	1	0.887257	0.878327	0.965491	0.954391	0.881791	0.921834	0.852114
vaginal_3	0.909719	0.920038	0	1	0.982973	0.871495	0.947158	0.919053	0.861561	0.884375	0.853607	0.897099	0.884389	0.916153	0.7985	0.906372	0.89375	0.946079	0.927936	0.947011	0.900687	0.981183	0.920998	0.959424	0.940371	0.949689	0.894248	0.927281	0.899357	0.781269	0.94307	0.844304	0.979589	0.938776	0.910879	0.946547	0.787834	0.937889	0.945009	0.977046	0.890068	0.951118	0.895492	0.901441	0.910561	0.855333	0.912486	0.917295	0.88624	0.868261	0.905035	0.879373	0.759204	0.910709	0.965341	0.857036	0.960658	0.947179	0.956339	0.929439	0.928594	0.957271	0.918786	0.895961	0.959404	0.918466	0.878885	0.952954	0.880334	0.886424	0.844189	0.895276	0.89275	0.914976	0.915792	0.848957	0.822294	0.92976	0.893274	0.916876	0.967826	0.841556	0.814628	0.937398	0.860395	0.924003	0.983333	1	0.931015	0.933467	0.955616	0.947082	0.935733	0.842879	0.934107	0.868956	0.961817	0.867988	0.969079	0.89848
vaginal_4	1	0.994718	1	0	0.976216	0.97166	0.983089	0.988367	0.973462	0.97068	0.983089	0.949038	0.938666	0.702034	1	0.987392	0.870457	0.995905	0.90364	0.913502	0.936671	1	0.964518	0.971959	0.977181	0.906786	0.872362	0.933789	0.928842	0.959238	1	0.955139	0.926073	0.967697	0.921922	0.897545	0.984226	0.987125	0.986347	0.967265	0.88607	0.745686	0.938704	0.958151	0.951192	0.968973	0.967143	0.917306	0.978072	1	0.944533	0.974728	0.979234	0.997505	0.937739	0.934543	0.968816	0.885758	0.908357	0.973341	0.854412	0.98139	0.961234	0.916818	0.938954	0.914744	0.909607	0.900688	0.963093	0.822032	0.925865	0.987783	0.992642	0.901838	1	0.928363	0.967999	0.953236	0.957719	0.972399	1	0.944093	0.960361	0.908825	0.935839	0.863944	0.971959	0.971959	0.933217	0.943654	1	0.942695	0.920567	0.833718	0.933089	0.809892	1	0.989515	0.974348	0.865325
vaginal_5	0.975035	0.918383	0.982973	0.976216	0	0.928743	1	0.963845	0.949081	0.986574	0.883981	0.97916	0.958705	1	1	0.936608	0.964093	0.948876	0.962521	0.933294	0.941976	1	0.982468	0.82105	0.979882	0.959745	0.948286	0.93347	0.943983	0.973139	1	0.977905	1	0.952656	0.934317	0.874037	0.987501	0.97986	0.971581	0.934317	0.911643	0.987639	0.895481	0.983252	0.990436	0.983252	0.952295	0.994914	0.972634	0.993536	0.955293	0.966703	0.934943	0.898864	0.992922	1	0.910833	1	1	0.901503	0.98066	0.979654	0.980188	0.972992	0.977713	0.902945	0.925297	0.986861	0.862661	0.994092	0.911215	0.979882	0.944933	0.975191	0.901798	0.921117	0.971847	0.756778	0.91897	0.921081	0.884278	0.897391	0.959468	0.93136	0.944384	0.97804	1	0.902952	0.975444	0.867173	1	0.851342	0.976216	0.983252	0.933334	0.888758	0.898524	0.985044	0.95717	0.915686
vaginal_6	0.882573	0.909895	0.871495	0.97166	0.928743	0	0.948754	0.871294	0.927429	0.900274	0.849677	0.891151	0.904726	0.806749	0.797914	0.900659	0.954703	0.907227	0.906962	0.885951	0.927249	0.969048	0.86511	0.920402	0.92687	0.961767	0.809228	0.893321	0.852306	0.954305	0.889897	0.84097	0.891847	0.838299	0.905026	0.88298	0.960323	0.898087	0.864541	0.956806	0.835919	0.896134	0.942908	0.858724	0.824017	0.878989	0.802062	0.935719	0.894471	0.889972	0.95724	0.843118	0.914472	0.945305	0.866536	0.951927	0.89879	0.923709	0.986469	0.875089	0.808407	0.95401	0.933059	0.882613	0.757194	0.89903	0.877565	0.863321	0.790145	0.914293	0.895011	0.94726	0.953268	0.89913	0.889478	0.859599	0.909623	0.891243	0.838576	0.80939	0.838871	0.867163	0.92946	0.911405	0.847284	0.886644	0.944064	0.925896	0.906045	0.914365	0.967647	0.99482	0.895554	0.919647	0.844778	0.972765	0.863156	0.931849	0.931257	0.965814
vaginal_7	0.972463	0.916828	0.947158	0.983089	1	0.948754	0	0.882416	0.920809	0.857624	0.955085	0.919657	0.916825	0.954716	0.943108	0.888508	0.970918	0.939905	0.930839	0.995542	0.852851	0.928157	0.958122	0.938671	0.983386	0.973009	0.927688	0.886646	0.916509	0.885636	0.935012	0.976156	0.866597	1	0.933468	0.929229	0.97749	0.860329	0.93597	0.922871	0.907599	0.956292	0.95032	0.977408	0.780285	0.925664	0.994207	0.965976	0.92796	0.978926	0.914139	0.973861	0.942665	0.872163	0.932871	0.885909	0.90342	0.979101	0.966224	0.847774	0.943676	0.985123	0.973553	0.931624	0.86811	0.942925	0.815011	0.906542	0.706158	0.938325	0.984717	0.952493	0.906829	0.947392	0.932441	0.971904	0.793055	0.928577	0.936583	0.968764	0.87513	0.852439	0.889431	0.916601	0.918754	0.85741	1	0.979139	0.834906	0.943021	0.931834	1	1	0.876977	0.878796	0.915948	0.912212	0.788747	0.907259	0.939499
vaginal_8	0.920517	0.926929	0.919053	0.988367	0.963845	0.871294	0.882416	0	0.882577	0.774886	0.857557	0.799646	0.910611	0.92518	0.872838	0.86592	0.934012	0.938514	0.875644	0.954317	0.956617	0.920437	0.822376	0.903831	0.861732	0.760345	0.872822	0.912607	0.867552	0.92441	0.96415	0.838014	0.847802	0.748181	0.867373	0.849976	0.95395	0.757918	0.83992	0.942775	0.825906	0.863611	0.819891	0.874734	0.901956	0.807629	0.940982	0.871863	0.901265	0.84209	0.94905	0.876323	0.929752	0.861265	0.911772	0.922606	0.854	0.901539	0.899709	0.860665	0.895603	0.911168	0.863554	0.826126	0.883373	0.85567	0.952583	0.845858	0.931264	0.847821	0.897486	0.958697	0.954857	0.81995	0.781795	0.870516	0.822424	0.805406	0.902278	0.796289	0.868251	0.930194	0.828566	0.774904	0.873188	0.919015	0.946533	0.938773	0.845696	0.822475	0.907456	0.944567	0.955905	0.856077	0.887847	0.93491	0.840545	0.865441	0.841052	0.928889
vaginal_9	0.947905	0.980482	0.861561	0.973462	0.949081	0.927429	0.920809	0.882577	0	0.892485	0.978666	0.923288	0.770652	0.851862	0.940054	0.911657	0.948276	0.858454	0.918323	0.931375	0.933755	0.964817	0.901865	0.966995	0.879579	0.845224	0.887311	0.87544	0.847955	0.958102	0.98531	0.872724	0.946505	0.914125	0.889023	0.924622	0.919008	0.885259	0.843007	0.771642	0.837136	0.926317	0.911398	0.86845	0.918654	0.81064	0.892795	0.827745	0.927027	0.867813	0.859669	0.902683	0.907293	0.925357	0.949191	0.822213	0.858884	0.970132	0.908795	0.872426	0.910166	0.904731	0.832437	0.859481	0.856509	0.899718	0.794641	0.925727	0.813694	0.920951	0.875206	0.913165	0.934986	0.878944	0.951039	0.890764	0.84001	0.856659	0.88165	0.834407	0.846711	0.816884	0.91558	0.919983	0.895524	0.871955	0.930255	0.904193	0.931006	0.94173	0.886236	0.986487	0.988151	0.862995	0.912997	0.799822	0.963759	0.920959	0.822888	0.94425
vaginal_10	0.893475	0.868092	0.884375	0.97068	0.986574	0.900274	0.857624	0.774886	0.892485	0	0.896062	0.964244	0.844428	0.890274	0.959283	0.933487	0.910073	0.962601	0.941087	0.894309	0.855604	1	0.877473	0.948463	0.905627	0.877925	0.788404	0.957016	0.754017	0.892391	1	0.86799	0.91609	0.90837	0.810723	0.858889	0.988805	0.861925	0.895098	0.961314	0.938597	0.858175	0.877164	0.911386	0.904832	0.861335	0.924198	0.899661	0.920936	0.869027	0.92053	0.860177	0.959287	0.822697	0.905646	1	0.966609	0.953066	0.935441	0.932349	0.852334	0.981527	0.92766	0.800677	0.88237	0.886694	0.858969	0.857039	0.913508	0.890241	0.902902	0.864717	0.964869	0.861185	0.896	0.81338	0.880461	0.958243	0.866643	0.911495	0.964982	0.829882	0.892417	0.946264	0.756329	0.898611	0.939163	0.990827	0.923624	0.856176	0.914367	0.938131	0.883446	0.874924	0.905204	0.909071	0.82867	0.821422	0.879215	0.832342
