	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	1.71752407	1.700166342	1.709181999	1.73467869	1.735317527	1.711557459	1.714302486	1.486779912	1.741483084	1.807700363	1.661736141	1.725143927	1.737273287	1.661007262	1.704802906	1.785728641	1.796876274	1.696673456	1.763753983	1.682293163	1.646524212	1.799017574	1.70914028	1.761081496	1.691580158	1.568047651	1.670126586	1.766918675	1.797095835	1.672544432	1.682926191	1.660306625	1.629773404	1.715197577	1.635008175	1.546232028	1.805204725	1.615120097	1.667188845	1.71834161	1.702929357	1.70446491	1.813347528	1.743160096	1.70784344	1.628130693	1.754100145	1.698114547	1.623849431	1.619981084	1.775949582	1.814621938	1.508692553	1.711251182	1.733620529	1.717847436	1.718002011	1.716493802	1.75812571	1.687785441	1.762430263	1.761520706	1.750639459	1.619485448	1.772513276	1.756985297	1.68635387	1.680932978	1.726529178	1.731483013	1.672786916	1.604443502	1.728844072	1.650210093	1.72317333	1.730666712	1.724361597	1.663731306	1.726027713	1.76078123	1.772290574	1.7533158	1.655166191	1.654343024	1.731251598	1.747118098	1.666367177	1.686588919	1.770802933	1.767258521	1.725274393	1.746122214	1.77614396	1.69531086	1.794585458	1.66424848	1.635860544	1.751894336	1.787604462
S002	1.71752407	0	1.74123349	1.768127395	1.779745972	1.810111587	1.794547829	1.725678556	1.716738426	1.689809584	1.787607833	1.616781531	1.878995097	1.727845253	1.763815988	1.73794276	1.831467377	1.753783162	1.871459808	1.690235363	1.766626267	1.678967502	1.665704318	1.681932332	1.569968038	1.797170504	1.662898557	1.697032894	1.868034661	1.816139901	1.670161458	1.577446935	1.727469535	1.762728936	1.758905779	1.703126455	1.63637429	1.795394457	1.622374907	1.720771571	1.568860356	1.725552747	1.753252274	1.7200369	1.76109975	1.79819286	1.792354911	1.711491399	1.743898551	1.797178651	1.645183998	1.728979766	1.66981365	1.689365649	1.78312099	1.754606457	1.69826618	1.732849721	1.793734784	1.697054364	1.814437391	1.667496795	1.6573179	1.752876993	1.728222188	1.711014908	1.804662129	1.779522682	1.743644142	1.810424956	1.665298853	1.71176988	1.74827724	1.711569454	1.703038865	1.728036768	1.810772028	1.808959551	1.681173512	1.712289871	1.654556332	1.737565638	1.692239178	1.691208343	1.682427968	1.70193484	1.80047015	1.719178125	1.636742009	1.777068759	1.745168489	1.742556273	1.813639848	1.771929422	1.741293338	1.760733266	1.720784304	1.832511536	1.688161894	1.780288004
S003	1.700166342	1.74123349	0	1.782160311	1.772681132	1.728779505	1.784898393	1.74529536	1.687833824	1.782030552	1.850249431	1.718516917	1.794212279	1.773674155	1.712794244	1.777515292	1.747052611	1.821830996	1.79430839	1.739364401	1.697082057	1.794722966	1.781671024	1.744959518	1.757084094	1.808518054	1.758181057	1.721031436	1.773313569	1.785079853	1.72704969	1.733011967	1.761050407	1.853217068	1.802219789	1.799327785	1.817833988	1.818932247	1.786364815	1.768696693	1.598255446	1.789461099	1.79444618	1.795074662	1.791138686	1.784371588	1.687380483	1.768390205	1.836598257	1.774169895	1.712247706	1.758683118	1.778439052	1.718948225	1.80927027	1.746253543	1.835445284	1.671911795	1.75238517	1.738129336	1.744614233	1.732855873	1.784075896	1.703395757	1.692049438	1.82055483	1.826131905	1.808355828	1.739492164	1.689918414	1.779376045	1.831338934	1.786404638	1.751592576	1.795818853	1.806243014	1.769852206	1.769271249	1.76225355	1.729358049	1.737076234	1.836868558	1.824398654	1.803157889	1.769090308	1.662769878	1.811896176	1.839041805	1.809557115	1.800462535	1.849930109	1.832587065	1.711937242	1.84018611	1.758560194	1.77039172	1.747722672	1.753426544	1.666891038	1.648029112
S004	1.709181999	1.768127395	1.782160311	0	1.790449211	1.82062016	1.636210152	1.647346079	1.647960823	1.806342005	1.782655078	1.73876997	1.83197031	1.702150292	1.793037219	1.807904939	1.814589884	1.747147941	1.880845131	1.640792464	1.741375632	1.708914487	1.704832061	1.755261461	1.770603383	1.731006765	1.783532928	1.646917415	1.820310392	1.747226142	1.760039767	1.741868682	1.784214496	1.767504163	1.82868679	1.74516099	1.704266527	1.703671582	1.670703566	1.771970252	1.715385335	1.717794308	1.758932423	1.779432743	1.796132785	1.786399943	1.736698218	1.67052311	1.749292964	1.668312134	1.775086073	1.719710663	1.768489043	1.749053804	1.687500553	1.58667633	1.745292503	1.854003776	1.687608897	1.773459399	1.833989758	1.770353286	1.738761969	1.713900138	1.849588407	1.739898631	1.795718978	1.816523997	1.774934793	1.872426909	1.723924554	1.793901135	1.725495111	1.758955821	1.754078436	1.719488313	1.793631981	1.750040882	1.646122913	1.691707778	1.821326067	1.774773383	1.740119003	1.755195436	1.642721817	1.774247705	1.831181077	1.739342008	1.671344364	1.751122674	1.784713386	1.783354172	1.795340337	1.812712281	1.795163801	1.729159937	1.736032221	1.630589165	1.724472329	1.765830863
S005	1.73467869	1.779745972	1.772681132	1.790449211	0	1.795537765	1.767426491	1.716351306	1.748538606	1.744536282	1.736874385	1.755271779	1.699360625	1.852948893	1.585957632	1.644721428	1.794630291	1.822059436	1.623746836	1.621903329	1.718001387	1.64313019	1.74123667	1.664731636	1.71762228	1.726450848	1.704434477	1.72319889	1.765217227	1.768801089	1.75678961	1.683186099	1.763825373	1.77188483	1.688777953	1.744811263	1.68901222	1.751682075	1.742203175	1.737867771	1.689191862	1.636600381	1.70596409	1.756017746	1.806081492	1.714999684	1.771056133	1.745006411	1.659559679	1.700918945	1.610515524	1.722733752	1.722172832	1.777248881	1.814654334	1.816953359	1.633354784	1.790844991	1.722483228	1.652596484	1.777713097	1.695521153	1.701040026	1.669617177	1.75937082	1.758657274	1.710306255	1.793264132	1.7129988	1.74996363	1.673984039	1.825818288	1.744192614	1.720997658	1.740677473	1.65409532	1.68293357	1.767954385	1.73948861	1.704603035	1.806996034	1.807553912	1.729595368	1.671778893	1.742772066	1.689274736	1.72625425	1.672017925	1.663587699	1.804371499	1.732710393	1.768373223	1.6862126	1.73006171	1.744748462	1.651254638	1.786315996	1.769196418	1.760561984	1.745077584
S006	1.735317527	1.810111587	1.728779505	1.82062016	1.795537765	0	1.750189962	1.811245367	1.698230855	1.839292525	1.74799565	1.674771022	1.697132616	1.76123097	1.803240191	1.751542695	1.7427803	1.758254911	1.774753287	1.705768196	1.719028146	1.723141173	1.720158653	1.639298315	1.681076859	1.747981025	1.731139988	1.778040087	1.793649588	1.718496414	1.782199631	1.785518246	1.730937672	1.685419019	1.752908698	1.74198317	1.731221773	1.748096172	1.804338842	1.695315432	1.730355149	1.707708132	1.750362551	1.698653981	1.699198161	1.735924207	1.6917247	1.766078766	1.672550184	1.695345482	1.654445885	1.726233525	1.715520105	1.487320488	1.738214757	1.76416237	1.727823929	1.796516576	1.737750019	1.781093763	1.72437705	1.679879034	1.748256237	1.753370764	1.755813715	1.746317735	1.850854816	1.722232299	1.709850891	1.725229949	1.730615098	1.830254787	1.687831399	1.732451517	1.715351682	1.652938487	1.812914461	1.658092532	1.746691117	1.689024274	1.751167023	1.794237499	1.673478805	1.68267085	1.702703001	1.728000757	1.753291911	1.71003687	1.73203901	1.685275354	1.805233472	1.82413267	1.678855853	1.735183611	1.749233887	1.607504795	1.816071353	1.802026037	1.622772651	1.666889883
S007	1.711557459	1.794547829	1.784898393	1.636210152	1.767426491	1.750189962	0	1.794945011	1.714298375	1.715218705	1.740720672	1.742119762	1.720263452	1.758285154	1.750584863	1.760541813	1.780802228	1.838032637	1.734836987	1.70798398	1.710380856	1.752960351	1.704832463	1.737517389	1.730066043	1.691685671	1.730058988	1.729914007	1.64297273	1.757142504	1.767313573	1.717168612	1.677421768	1.634950913	1.703600586	1.756178168	1.715649789	1.72809689	1.79847834	1.656441166	1.753994193	1.721946634	1.650690789	1.784269319	1.712722037	1.682662421	1.766845442	1.757261956	1.749577566	1.65561711	1.672684267	1.721761873	1.808754285	1.681765286	1.612202383	1.775982842	1.754506025	1.817266502	1.627527889	1.726275277	1.6485954	1.795869618	1.751818651	1.663602858	1.775085371	1.729526297	1.649580148	1.708750527	1.737258945	1.602497579	1.714534754	1.782160579	1.688511239	1.674862205	1.729098562	1.779464847	1.720279351	1.747061478	1.613278241	1.731730998	1.786085093	1.777574513	1.704773165	1.81618402	1.695379975	1.812227939	1.886731907	1.78715114	1.707524418	1.731871114	1.752767366	1.74404259	1.718835127	1.671376167	1.723599265	1.729223083	1.722969595	1.793445217	1.686303479	1.655059209
S008	1.714302486	1.725678556	1.74529536	1.647346079	1.716351306	1.811245367	1.794945011	0	1.660514946	1.7202667	1.704369459	1.682977301	1.729121409	1.680563567	1.681467534	1.671584102	1.757949531	1.69575856	1.78514235	1.776647541	1.718494349	1.675543034	1.766067768	1.735429258	1.776511918	1.778993414	1.818183653	1.634019722	1.745230103	1.769782475	1.65239158	1.766512543	1.851876531	1.664551724	1.740299095	1.742970447	1.71221251	1.803265891	1.758229589	1.728549755	1.598093954	1.814165689	1.826268358	1.822961354	1.779451304	1.713336698	1.711192879	1.761642555	1.651072813	1.785196327	1.744296198	1.791904976	1.832971714	1.786350241	1.69581689	1.716629129	1.74370769	1.746309971	1.665826288	1.780001622	1.745680929	1.721199157	1.552150646	1.674677795	1.568358482	1.773846358	1.669159689	1.74941989	1.687960022	1.781634308	1.783986271	1.67497467	1.728458582	1.689289872	1.717530943	1.746305372	1.755645724	1.620980091	1.787055656	1.793110371	1.718143302	1.729569704	1.688247164	1.734948949	1.70043253	1.798877152	1.75188583	1.659950925	1.733189599	1.689964395	1.715494925	1.741746967	1.777411838	1.719264728	1.79392864	1.653119214	1.694539668	1.752504534	1.67157059	1.69573307
S009	1.486779912	1.716738426	1.687833824	1.647960823	1.748538606	1.698230855	1.714298375	1.660514946	0	1.6290475	1.695724235	1.609160315	1.691268529	1.612616821	1.700297086	1.60803481	1.629726813	1.615378882	1.644893932	1.771299451	1.667365809	1.618141248	1.607220816	1.67483068	1.71347042	1.681520696	1.769999061	1.730010522	1.645824563	1.713910547	1.663689662	1.658752967	1.686480557	1.63065143	1.763528129	1.659347945	1.615624908	1.768445637	1.740906737	1.653016471	1.761027352	1.671398855	1.769906814	1.655649958	1.727729574	1.686383568	1.547459335	1.657596597	1.738583489	1.586339799	1.626661926	1.712774906	1.799049132	1.584041711	1.668779928	1.669116037	1.708135448	1.678398971	1.764854446	1.683092972	1.667086085	1.651951653	1.632909568	1.718146371	1.728355202	1.596433384	1.719176309	1.66646225	1.622349124	1.673926388	1.707045431	1.60964144	1.701632222	1.678585108	1.676140803	1.696761366	1.70625276	1.629412841	1.663388244	1.632659921	1.718816894	1.595857158	1.58256716	1.717458839	1.666411018	1.70637724	1.752908962	1.683654117	1.654198813	1.720231531	1.677970331	1.699348547	1.727363022	1.605344896	1.622484254	1.599663626	1.616070548	1.571537034	1.633408352	1.799903986
S010	1.741483084	1.689809584	1.782030552	1.806342005	1.744536282	1.839292525	1.715218705	1.7202667	1.6290475	0	1.801039859	1.701861433	1.741658239	1.869941099	1.626567256	1.720907154	1.745680325	1.810046138	1.80277581	1.618741615	1.713609007	1.669334498	1.769038006	1.74053769	1.691427328	1.641952994	1.815557861	1.741796314	1.752591021	1.843487371	1.757059088	1.652699027	1.732260615	1.70896089	1.794368399	1.706864389	1.69637841	1.795471035	1.863948509	1.729959849	1.696064486	1.735067029	1.757518484	1.708391484	1.837245296	1.712358922	1.697077751	1.679815179	1.764503161	1.579734197	1.689023148	1.713249774	1.814892974	1.787693457	1.778716612	1.752810603	1.838314014	1.719925235	1.848051136	1.75279652	1.743708967	1.741165937	1.60688415	1.763969827	1.641005194	1.778404224	1.744550109	1.692961716	1.714294438	1.742729574	1.695539843	1.812165768	1.720061872	1.769318592	1.782596069	1.788467472	1.780762666	1.815455235	1.735934984	1.738012811	1.679512798	1.613296974	1.654458692	1.806243333	1.660288954	1.690068774	1.802055446	1.760110421	1.679669079	1.811240081	1.754141499	1.753286221	1.747231942	1.6594452	1.743913482	1.7179478	1.693749652	1.779808658	1.670968464	1.762587638
