	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	1.594025852	1.585444122	1.726432162	1.692482489	1.616389319	1.679362485	1.618684282	1.697884063	1.624500223	1.642910385	1.679108069	1.613998764	1.681968009	1.645585552	1.642512396	1.641102795	1.607706107	1.662397681	1.724938344	1.60082189	1.583924323	1.597781648	1.62729872	1.663700568	1.595920945	1.643612187	1.631325172	1.579857038	1.649803669	1.692011723	1.59360631	1.635054017	1.676981737	1.609626517	1.568041163	1.679096873	1.647587816	1.648865557	1.699761337	1.608551741	1.728098075	1.678492663	1.619125536	1.656602415	1.515883386	1.664484703	1.574942614	1.603485278	1.658871629	1.526896862	1.622053883	1.506081519	1.651067814	1.604746961	1.610603121	1.699491723	1.718376239	1.639937775	1.620086914	1.598216446	1.664651748	1.582275445	1.57665339	1.621542043	1.624352052	1.689530432	1.703359078	1.713059413	1.682374042	1.602028602	1.656928282	1.655664051	1.588543979	1.538875816	1.691817519	1.6879969	1.658727376	1.739993717	1.696916303	1.675923252	1.687766222	1.629529883	1.627730295	1.646850497	1.653772246	1.600611229	1.590016071	1.714993901	1.643927548	1.680026385	1.648660619	1.72967962	1.522015039	1.602652505	1.627145353	1.730179334	1.632294774	1.709828197	1.589484582
S002	1.594025852	0	1.510454346	1.54443446	1.649574667	1.662566821	1.586430225	1.589770328	1.633232757	1.528216191	1.536399517	1.578322549	1.632588362	1.539696919	1.57969905	1.5605852	1.620045683	1.567710383	1.542468923	1.580903628	1.612343034	1.607298021	1.589300556	1.553070888	1.618693148	1.641764595	1.595794233	1.595115786	1.529476448	1.577705503	1.650693277	1.608658828	1.578053937	1.569497469	1.586109171	1.505515235	1.605642825	1.544744706	1.563265315	1.599897597	1.594870379	1.575534889	1.612658377	1.554829126	1.496208945	1.671591096	1.598252705	1.56835041	1.62945812	1.642596883	1.576620818	1.533452659	1.555530277	1.566848754	1.681354579	1.617215299	1.502430107	1.535355017	1.594264477	1.582820224	1.580809062	1.570103746	1.618986603	1.47526635	1.571079415	1.557800306	1.589401512	1.563707158	1.655250907	1.640547078	1.533754256	1.659920428	1.589340021	1.595729357	1.50685376	1.702110609	1.586577748	1.564902534	1.628234513	1.632105015	1.578853556	1.654805844	1.535920805	1.547722561	1.712616373	1.664200654	1.604416591	1.577558847	1.591593845	1.638763512	1.613125155	1.526852695	1.656912646	1.542413023	1.558525175	1.472703807	1.648845816	1.639749218	1.582662721	1.515501452
S003	1.585444122	1.510454346	0	1.70277212	1.649169283	1.584537929	1.596344705	1.669168236	1.619870785	1.612795553	1.598132301	1.642607269	1.620304702	1.604669947	1.63129993	1.567832446	1.682337163	1.731616629	1.605792067	1.664535264	1.580010274	1.716850477	1.648028038	1.635610432	1.631791756	1.606603423	1.645427195	1.682339634	1.635428046	1.554954157	1.666967335	1.699911878	1.616980059	1.662121063	1.692660067	1.626143039	1.678108611	1.650554444	1.662782143	1.626462719	1.591893491	1.665114267	1.643777563	1.637393868	1.696716793	1.55790309	1.648317713	1.668286248	1.568413312	1.631675233	1.699656522	1.578638681	1.676069603	1.611470954	1.590381689	1.705861727	1.700733181	1.653469585	1.557822597	1.701217276	1.582309206	1.66390352	1.590911515	1.591240956	1.583557063	1.589434016	1.661971564	1.571532594	1.623603573	1.654244946	1.558965396	1.58571883	1.634445561	1.654832227	1.637816102	1.688212743	1.6496154	1.612659706	1.594099225	1.566467731	1.609971506	1.582750546	1.605631767	1.650978971	1.702546387	1.649418898	1.724548633	1.629432761	1.605756477	1.64692147	1.743132829	1.583984233	1.627342618	1.679454921	1.653387463	1.571881961	1.719806786	1.645346278	1.650715461	1.622333256
S004	1.726432162	1.54443446	1.70277212	0	1.730826341	1.754812697	1.704191083	1.702513226	1.641644711	1.690297623	1.678422621	1.666062489	1.589411886	1.640056197	1.663120748	1.581797874	1.669137363	1.694182475	1.606474509	1.73072429	1.679304842	1.650111907	1.682562466	1.66979898	1.662332304	1.541809521	1.583411387	1.623150554	1.55272682	1.759572415	1.608960163	1.716122124	1.625105173	1.675986359	1.629299389	1.610861903	1.713098267	1.719789004	1.639309959	1.714278217	1.633613583	1.609144757	1.635484395	1.739170502	1.648763937	1.69116934	1.619071999	1.543097858	1.603444526	1.688907893	1.65316709	1.658245831	1.598559065	1.633230456	1.745422141	1.708030793	1.664407269	1.712080329	1.650664153	1.691442676	1.656103194	1.683407032	1.624539915	1.51154863	1.695335767	1.652426246	1.615154082	1.623560824	1.661489599	1.709032128	1.650265974	1.702738188	1.653950201	1.664624889	1.63601889	1.780126763	1.662400126	1.716508712	1.692422347	1.652999847	1.693749626	1.78367794	1.645392883	1.669039065	1.698708405	1.681019006	1.686558225	1.668667813	1.623332071	1.70000463	1.725864227	1.723219999	1.768739018	1.577124717	1.657047215	1.662241685	1.710814798	1.715278888	1.639178485	1.609850306
S005	1.692482489	1.649574667	1.649169283	1.730826341	0	1.633369906	1.645235876	1.637720801	1.64879735	1.575490572	1.610741042	1.703300188	1.602709109	1.558749884	1.613061933	1.612779669	1.594860132	1.628988328	1.731247952	1.682452909	1.719054551	1.7120855	1.672409505	1.524004449	1.565236445	1.624615834	1.5970044	1.703596381	1.578856203	1.652710282	1.652830278	1.624036345	1.607987518	1.695344746	1.590287578	1.73662296	1.642903064	1.638586735	1.626579422	1.707784068	1.672632562	1.62087383	1.670714808	1.625801317	1.638129642	1.733463851	1.584044552	1.598768613	1.565754861	1.638290308	1.716577161	1.651497632	1.647038576	1.724266437	1.66901804	1.661188554	1.684156148	1.700817966	1.579885882	1.628846747	1.667929255	1.649427101	1.620081266	1.596658895	1.645973732	1.623453977	1.705495783	1.674076925	1.676632226	1.581716995	1.554181923	1.768756923	1.725815434	1.677196664	1.621856485	1.663752956	1.592426123	1.724851577	1.623016298	1.683233898	1.711937005	1.757962799	1.745861918	1.592421854	1.641269456	1.514142569	1.70294134	1.58510395	1.666889394	1.717574259	1.663555942	1.665670634	1.685849205	1.62258215	1.722061532	1.648404338	1.688510457	1.681464329	1.682239602	1.555380121
S006	1.616389319	1.662566821	1.584537929	1.754812697	1.633369906	0	1.550469178	1.609443823	1.590923634	1.542436602	1.711568562	1.538213748	1.546751855	1.558638334	1.679211741	1.644646199	1.609520772	1.71402371	1.63057583	1.656540329	1.623391691	1.668947458	1.572835145	1.658047533	1.566387843	1.694507682	1.625211932	1.640591379	1.652399735	1.576751426	1.61916589	1.567935821	1.45141228	1.585275448	1.555286276	1.626414996	1.681471702	1.626464927	1.597694742	1.550227698	1.559829474	1.585576654	1.64082976	1.672397823	1.545984074	1.609399395	1.627499458	1.722076591	1.654617207	1.535162646	1.574236619	1.55933883	1.483599652	1.738029713	1.60213749	1.602911986	1.583056964	1.603090258	1.531363224	1.634517879	1.586804165	1.610216241	1.575414078	1.579735947	1.613781264	1.672579623	1.650365711	1.590086775	1.676534546	1.611520161	1.474737335	1.673741841	1.627300566	1.628530716	1.573686437	1.668189068	1.608914005	1.601745225	1.657944878	1.663038222	1.620323353	1.682158213	1.565930146	1.608484534	1.638917776	1.415883187	1.670425594	1.56766012	1.620369272	1.534770777	1.648386616	1.59577029	1.577871241	1.637861412	1.614165334	1.648292174	1.661891715	1.572156189	1.614349378	1.566488673
S007	1.679362485	1.586430225	1.596344705	1.704191083	1.645235876	1.550469178	0	1.556943291	1.618773782	1.557194462	1.49570744	1.604538854	1.591055629	1.533888842	1.635688561	1.557451265	1.58270247	1.660603856	1.654196466	1.596905587	1.599452259	1.584072038	1.571002989	1.587354335	1.611275127	1.527256736	1.583784718	1.526144207	1.593303065	1.632450804	1.63326586	1.621691783	1.631258826	1.669920034	1.50895568	1.550451052	1.669613342	1.573819817	1.554033444	1.569355604	1.610354942	1.62143023	1.69547827	1.632342409	1.615655396	1.618537315	1.680977868	1.662173693	1.596348911	1.653005034	1.622750147	1.574073406	1.625213478	1.656032791	1.640337774	1.622407592	1.650519744	1.53595498	1.58536642	1.589604497	1.547018653	1.537585821	1.673184016	1.591433405	1.542952528	1.593471413	1.542936705	1.600952461	1.589549602	1.604442331	1.518866719	1.547261873	1.688886298	1.679606366	1.575766895	1.662665328	1.533673809	1.603084067	1.572602236	1.594943982	1.681162727	1.611846749	1.677083266	1.598721078	1.67787735	1.626289301	1.627318624	1.45130976	1.577264534	1.545972321	1.561178742	1.621311888	1.710159723	1.468073718	1.655627778	1.637922708	1.635599513	1.712044835	1.621642966	1.595724551
S008	1.618684282	1.589770328	1.669168236	1.702513226	1.637720801	1.609443823	1.556943291	0	1.668093193	1.635585089	1.658543753	1.650487821	1.62044832	1.577935967	1.5826379	1.553739814	1.637921731	1.610740607	1.612012157	1.591791746	1.620178552	1.577855727	1.670724246	1.587791488	1.606547558	1.636865813	1.578526103	1.60540362	1.577851532	1.561439049	1.582594269	1.621911016	1.588035309	1.629508071	1.582107661	1.660271045	1.646609533	1.576803892	1.563303845	1.678248071	1.720922721	1.570693941	1.609346163	1.566362622	1.631682843	1.651028092	1.542924875	1.51558295	1.54664562	1.677767855	1.582372854	1.562710817	1.533300149	1.682288684	1.651163257	1.635791609	1.602823795	1.649555877	1.544998705	1.612297148	1.567644674	1.59698934	1.646512233	1.53844161	1.632283581	1.560059328	1.665907524	1.68340903	1.544140995	1.617400662	1.599265124	1.630210786	1.654923393	1.597177661	1.623390104	1.629538495	1.59074478	1.578400754	1.670593323	1.627517061	1.669174102	1.626365772	1.599226169	1.555502255	1.549024307	1.575574206	1.700805559	1.584936821	1.675556377	1.599159522	1.594922251	1.617232879	1.671980608	1.515600431	1.623289393	1.543558545	1.743288936	1.539597484	1.600649623	1.614391716
S009	1.697884063	1.633232757	1.619870785	1.641644711	1.64879735	1.590923634	1.618773782	1.668093193	0	1.599224312	1.624196166	1.617969846	1.671734333	1.565874418	1.515390265	1.555968617	1.593083682	1.652328414	1.494190112	1.614087235	1.634714635	1.66931242	1.515679711	1.646437517	1.654344261	1.623059112	1.603715502	1.719102729	1.510210303	1.65735205	1.60774422	1.572508333	1.619516852	1.676885898	1.580841464	1.571701068	1.661316968	1.594107719	1.660863732	1.650016758	1.598746196	1.580714578	1.701481318	1.569519949	1.65261146	1.701688265	1.564120738	1.606816227	1.548029675	1.567505904	1.610633871	1.578465764	1.602730516	1.666493267	1.696481698	1.707793332	1.581354884	1.587701458	1.535024326	1.587644119	1.595623765	1.571271771	1.579527274	1.612429557	1.679959376	1.618941653	1.630409791	1.554249503	1.62370809	1.669016281	1.559188325	1.624749505	1.617584082	1.64631581	1.553003495	1.644700366	1.601901547	1.691344757	1.586362444	1.56070195	1.591270065	1.707267247	1.597226518	1.576541704	1.63583147	1.656938849	1.714726214	1.606512146	1.59505541	1.629373285	1.673175156	1.575679664	1.670454191	1.648702352	1.685112986	1.560979394	1.663724247	1.626551039	1.54789917	1.588018893
S010	1.624500223	1.528216191	1.612795553	1.690297623	1.575490572	1.542436602	1.557194462	1.635585089	1.599224312	0	1.535260626	1.45869185	1.567399381	1.555314652	1.595024101	1.596250415	1.595506462	1.661930566	1.515492104	1.615604807	1.653485609	1.574792716	1.551732845	1.627443689	1.650911095	1.545315756	1.568667852	1.589685299	1.585922069	1.63675492	1.568517976	1.513381719	1.604236616	1.566835154	1.505928468	1.576069018	1.644294796	1.575647461	1.590746466	1.616827452	1.639578098	1.60801937	1.617645088	1.575574891	1.57294839	1.609200509	1.634334676	1.647744823	1.575548201	1.58766498	1.584914489	1.475001314	1.516828366	1.627908943	1.61914033	1.624211106	1.665784004	1.620763342	1.536946546	1.627312183	1.613951373	1.648329363	1.64924721	1.563473969	1.551440818	1.602591837	1.695245393	1.605901679	1.570345852	1.624450595	1.558227915	1.652808697	1.556744536	1.636976076	1.584417645	1.682225956	1.556502673	1.542026209	1.602316458	1.628794842	1.712281633	1.677537067	1.643398146	1.57413999	1.62112699	1.579395205	1.618139542	1.572727616	1.61301149	1.657161737	1.640726138	1.607359606	1.613685525	1.582926602	1.6853604	1.535761576	1.678436673	1.650725871	1.634990174	1.594469491
