	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	1.557399687	1.633073233	1.801035939	1.787160871	1.67390539	1.631405478	1.69636111	1.749936831	1.612494599	1.685497655	1.590541233	1.747266167	1.784895612	1.6623061	1.621485128	1.811186884	1.780847117	1.649161691	1.756989265	1.67886566	1.762404643	1.63104626	1.595173867	1.681966301	1.690818356	1.653734971	1.662708107	1.780518171	1.702520601	1.729441772	1.622367187	1.6556206	1.802330656	1.822031962	1.627713137	1.657337184	1.764138413	1.73643564	1.629538114	1.826886425	1.666805865	1.707146814	1.512779301	1.590097933	1.60362914	1.662707257	1.701619685	1.533004201	1.64112329	1.730123037	1.629231913	1.61549568	1.602863696	1.616709656	1.55346938	1.746137469	1.610393832	1.672167023	1.60034618	1.757469789	1.631059514	1.722082354	1.578935435	1.572263662	1.639917378	1.729613713	1.779573634	1.691047523	1.709791404	1.849220863	1.687616845	1.554558712	1.54896366	1.78972394	1.687831447	1.673008857	1.684284553	1.707929177	1.704290882	1.637948115	1.618577571	1.656781141	1.759433352	1.782077668	1.563908958	1.511272391	1.731197038	1.620571349	1.647675697	1.674904107	1.714938321	1.782175543	1.694600142	1.772393853	1.779091716	1.658786797	1.787840236	1.751822919	1.516617506
S002	1.557399687	0	1.692491	1.732263376	1.776805448	1.761833133	1.689890437	1.673517373	1.692643572	1.646632388	1.600442182	1.701264402	1.623982328	1.661575555	1.578189187	1.644385249	1.822243415	1.807061494	1.572643662	1.631371442	1.570304909	1.672252412	1.693015113	1.673398974	1.650308058	1.764793627	1.543586336	1.776276488	1.73963541	1.726290016	1.866703847	1.649402684	1.524626761	1.763488087	1.771170855	1.6363056	1.702007113	1.787032566	1.655803067	1.409759269	1.777849598	1.696168314	1.649126593	1.573084706	1.706860116	1.668183355	1.492004804	1.76221704	1.716196994	1.762660027	1.73633606	1.639801932	1.755939547	1.786663103	1.772516087	1.713819551	1.707497452	1.733336081	1.59057343	1.502773753	1.649291728	1.688896711	1.836191305	1.640828328	1.597697723	1.613529589	1.745831914	1.685527517	1.755172196	1.654651641	1.753637756	1.70896842	1.759692547	1.642534341	1.704663595	1.674167682	1.807077622	1.774704176	1.81805464	1.681663701	1.627022994	1.791785684	1.618041178	1.624096461	1.672597407	1.604487973	1.756044864	1.645306639	1.597818114	1.80493414	1.57133442	1.644923828	1.707177324	1.624197611	1.755849972	1.694133039	1.691449638	1.755329805	1.727095926	1.562094271
S003	1.633073233	1.692491	0	1.813812752	1.80077748	1.578640509	1.613859505	1.739081489	1.835009244	1.71031964	1.71609925	1.772613164	1.744759686	1.761339227	1.685213685	1.752918607	1.709892133	1.665619834	1.759441218	1.719042594	1.695488697	1.630712272	1.712460055	1.733102364	1.679368738	1.750258741	1.716504778	1.772585096	1.71958124	1.594769956	1.766478291	1.787492942	1.772934469	1.774296717	1.844150689	1.7937457	1.608334987	1.754023312	1.738381001	1.727297587	1.795247952	1.795755606	1.834316427	1.591335424	1.7266233	1.730999117	1.748951932	1.67874591	1.667085004	1.654815647	1.76761613	1.73030549	1.593692519	1.800905451	1.713351121	1.644623365	1.649123684	1.649352027	1.730656158	1.688791391	1.795060622	1.751353043	1.768831459	1.586777966	1.632225155	1.753487451	1.867700166	1.739804761	1.818124398	1.770084457	1.810524658	1.654546462	1.678689177	1.664961269	1.733736107	1.787450572	1.700103216	1.806175628	1.863157442	1.833928563	1.685477476	1.900711354	1.731479384	1.800703219	1.833175925	1.620358309	1.58393707	1.629907613	1.688392102	1.692593628	1.703892646	1.605127212	1.831303884	1.746963617	1.752883134	1.819999763	1.839682322	1.756440971	1.764870034	1.756211503
S004	1.801035939	1.732263376	1.813812752	0	1.841483246	1.764371895	1.684489947	1.841814707	1.882872526	1.673948754	1.722776922	1.799373294	1.77370015	1.723945881	1.726617377	1.758885453	1.824190807	1.87620279	1.749899452	1.766094746	1.714736319	1.787462458	1.611321963	1.833680488	1.770368968	1.703112175	1.781731914	1.759227944	1.809507162	1.739686212	1.761743903	1.65403946	1.845931827	1.738597325	1.725201515	1.728827088	1.874982215	1.808738642	1.644026707	1.744087969	1.799979722	1.807378754	1.729602679	1.794269326	1.649969882	1.756937597	1.831393564	1.756978004	1.873078986	1.806450639	1.849003684	1.81922295	1.755310431	1.720532543	1.777436731	1.618461795	1.857330708	1.806480087	1.745611154	1.778945461	1.665175456	1.726419031	1.719206979	1.715746932	1.727463159	1.686415203	1.775893454	1.774057553	1.822314796	1.730862301	1.832812028	1.73327613	1.734416895	1.778863127	1.739416229	1.824209562	1.798927026	1.740652392	1.784463488	1.762615205	1.764892344	1.826025264	1.772353626	1.796519027	1.804489159	1.802090923	1.787843004	1.743466997	1.76577776	1.852490178	1.851195032	1.671964702	1.767502674	1.777245551	1.745486306	1.659802757	1.690376782	1.828991583	1.868893818	1.687813125
S005	1.787160871	1.776805448	1.80077748	1.841483246	0	1.780468603	1.810654815	1.790030231	1.744925908	1.730424658	1.71427144	1.78443433	1.815344882	1.768516271	1.732945357	1.813918957	1.660520055	1.72452254	1.871666978	1.819734928	1.760508661	1.578198058	1.757046121	1.818003176	1.864718116	1.711481969	1.815210526	1.709651528	1.797658286	1.736860286	1.792151119	1.816011098	1.837521261	1.872700297	1.879714693	1.729170032	1.835766051	1.850770332	1.864798819	1.609819487	1.804874134	1.835099768	1.808017047	1.795797522	1.860230402	1.776450509	1.799000464	1.796330818	1.77549256	1.727385845	1.712453208	1.789985576	1.751631497	1.727465403	1.793383255	1.818781263	1.768995318	1.807834599	1.780847626	1.776213021	1.827327092	1.815476413	1.841085883	1.80837972	1.718381069	1.774891009	1.685104704	1.690231175	1.88528185	1.501337487	1.719795446	1.778128138	1.684485737	1.802396295	1.707647939	1.865221748	1.879312772	1.886041734	1.898819888	1.804718893	1.695829666	1.73888916	1.81997222	1.727558889	1.802774283	1.828421137	1.700300904	1.697760787	1.766140956	1.832262924	1.690452658	1.744782928	1.734631586	1.759232229	1.724290922	1.880215583	1.714515476	1.849662463	1.840939228	1.716548997
S006	1.67390539	1.761833133	1.578640509	1.764371895	1.780468603	0	1.71373881	1.721908126	1.798418663	1.714596117	1.777623301	1.704145751	1.781000215	1.763838522	1.79137337	1.62827241	1.729661408	1.801897957	1.539006479	1.718661111	1.640081308	1.769117875	1.61158332	1.740828255	1.708320903	1.786710906	1.734751031	1.763446183	1.648487767	1.688679541	1.807616068	1.741819581	1.760630304	1.744098498	1.69470087	1.756119101	1.676232128	1.749130823	1.82522986	1.62043356	1.775155867	1.781149399	1.673576368	1.561230433	1.674156517	1.695544704	1.756760117	1.711238673	1.685072833	1.795881732	1.787682241	1.688110751	1.676331642	1.759759498	1.70463995	1.66640002	1.741283951	1.664192894	1.749205087	1.739888778	1.770059339	1.648915132	1.748280964	1.577858071	1.656732342	1.68588464	1.742041745	1.767500884	1.722005407	1.56879465	1.707351109	1.770960567	1.584475062	1.742229046	1.775110182	1.639647185	1.815634207	1.810955009	1.822007923	1.714414202	1.690792991	1.805959077	1.814003955	1.766080658	1.778090458	1.718132346	1.589285691	1.632236932	1.647717131	1.709835803	1.781978663	1.703572881	1.444589883	1.612247088	1.647650633	1.846627838	1.764613855	1.722098116	1.794473439	1.791154414
S007	1.631405478	1.689890437	1.613859505	1.684489947	1.810654815	1.71373881	0	1.681628702	1.811629079	1.676393807	1.664922175	1.681546673	1.758439513	1.72364341	1.570017986	1.623901882	1.753403662	1.677033541	1.737906711	1.462922371	1.544285772	1.760526617	1.7126959	1.739868287	1.693744997	1.698174236	1.651930411	1.623679825	1.697992471	1.514695161	1.67176342	1.578684759	1.767373682	1.764978294	1.766269934	1.723917391	1.65080321	1.680721349	1.730473594	1.721837548	1.775061751	1.608012695	1.78922168	1.565731055	1.575480567	1.733551232	1.614734925	1.578601847	1.758493467	1.622222314	1.785997647	1.569726535	1.680725138	1.637622548	1.61812357	1.677537724	1.702553979	1.59478996	1.726274707	1.632840176	1.726018789	1.656739276	1.841963466	1.470359145	1.66859972	1.735807416	1.782524323	1.725360806	1.741147889	1.636237104	1.853145191	1.713661181	1.624075236	1.63885129	1.777361934	1.705981809	1.699372373	1.733659021	1.709697289	1.663218924	1.630364547	1.683076035	1.684803979	1.803798134	1.633188804	1.56052616	1.563921121	1.73579473	1.593973351	1.784248871	1.693337645	1.584086875	1.660041857	1.60087076	1.624941991	1.742209902	1.620455191	1.799171544	1.865285163	1.722633342
S008	1.69636111	1.673517373	1.739081489	1.841814707	1.790030231	1.721908126	1.681628702	0	1.825331739	1.756050007	1.787578139	1.878180637	1.692751679	1.786229034	1.720010332	1.755076212	1.798836332	1.741545145	1.683646609	1.819819473	1.640973076	1.833160349	1.812308168	1.653803515	1.813121019	1.617086354	1.647572127	1.772223653	1.727219849	1.784775299	1.79827439	1.752849265	1.77279468	1.561033708	1.820943578	1.747869751	1.725830224	1.631894061	1.694462534	1.588678922	1.750059417	1.846084055	1.60966069	1.627477741	1.736201211	1.725759932	1.709089765	1.695413529	1.776526017	1.765175578	1.773357769	1.743034555	1.69408071	1.717189152	1.754774454	1.69592577	1.779409699	1.64189127	1.634543589	1.749257512	1.764701635	1.702237646	1.832575944	1.774260757	1.697468576	1.7522323	1.676299037	1.822234234	1.818576815	1.729321796	1.846826577	1.646769679	1.766627832	1.825686852	1.676746622	1.757861625	1.747240437	1.707083995	1.811935577	1.729518742	1.748768663	1.818312057	1.810544083	1.70629666	1.724937184	1.689571928	1.603893243	1.678354116	1.655222595	1.774629223	1.771794963	1.825606577	1.731627353	1.51431853	1.806890439	1.727127664	1.837992827	1.70144527	1.837729217	1.729310992
S009	1.749936831	1.692643572	1.835009244	1.882872526	1.744925908	1.798418663	1.811629079	1.825331739	0	1.711429818	1.729014612	1.795916872	1.853372652	1.799110181	1.818458123	1.685224337	1.681182063	1.608143384	1.824411208	1.579961672	1.821148627	1.765467514	1.806004721	1.836734584	1.828892354	1.846272739	1.78833013	1.91202996	1.79210591	1.858420856	1.822535361	1.84501527	1.839293983	1.808781159	1.757605245	1.82527865	1.823151823	1.78841882	1.712313813	1.689061479	1.891318202	1.670998758	1.890407441	1.789077156	1.731391252	1.692920955	1.864160366	1.79290153	1.670005972	1.691533885	1.778309204	1.771406762	1.768243065	1.790072477	1.655933215	1.849493767	1.89596991	1.625089727	1.703641996	1.730887115	1.908355718	1.730859729	1.699231713	1.793631352	1.837391761	1.711988115	1.87510278	1.853671131	1.664814016	1.758450137	1.871062416	1.759883644	1.809822017	1.751658821	1.686159435	1.7565016	1.776436748	1.744031478	1.661863088	1.758340075	1.751572644	1.753449736	1.667514792	1.689608423	1.814220565	1.727192343	1.830302728	1.664090065	1.773255698	1.816367238	1.799973266	1.814323854	1.770577886	1.786561987	1.805431006	1.802487293	1.88895652	1.745888817	1.771145186	1.635582053
S010	1.612494599	1.646632388	1.71031964	1.673948754	1.730424658	1.714596117	1.676393807	1.756050007	1.711429818	0	1.72857401	1.668202766	1.797830554	1.620364353	1.675087811	1.689995631	1.663559333	1.784640208	1.678190944	1.624453932	1.716591459	1.766235486	1.647975381	1.682045182	1.591157886	1.844394579	1.774576504	1.766209034	1.716153548	1.676547686	1.716874947	1.71301488	1.807218979	1.850937543	1.714346605	1.700088528	1.718047985	1.799611806	1.733488369	1.632826553	1.788422496	1.803012126	1.693579465	1.604845308	1.735809076	1.756632375	1.70309126	1.648270796	1.676611722	1.742524795	1.582624458	1.62934048	1.568257345	1.719080047	1.759946493	1.588453175	1.878659538	1.690841653	1.714287982	1.640782561	1.69274379	1.619790659	1.844601791	1.611814484	1.631964639	1.601562167	1.774979208	1.638926389	1.7643421	1.576058695	1.870555156	1.708517174	1.652021615	1.616328871	1.726223865	1.752074886	1.815320642	1.801199658	1.712725986	1.703873127	1.544680594	1.707470122	1.78790881	1.792434517	1.792674165	1.674287679	1.574809846	1.745718565	1.683400024	1.864773654	1.739782434	1.647216776	1.813386326	1.659590379	1.73972197	1.781073795	1.700740172	1.671898087	1.734264572	1.700242735
