	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	1.713332342	1.83791671	2.000000001	1.962782877	1.754158132	1.931231016	1.84904926	1.884079011	1.843998345	1.892695879	1.809630867	1.94784065	1.824938949	1.969243182	1.851479119	1.946492213	1.2966283	1.821772415	1.890950683	1.827932913	2.000000001	1.515025773	1.867939396	1.781776581	1.83489722	1.710011625	1.561106452	1.736803809	2	1.914683379	1.84553881	1.880217448	1.801733183	1.886283322	1.799167267	1.873876452	1.894087231	1.92933441	2	1.917473122	1.978665266	1.90626142	1.801457716	1.909752906	1.590228709	1.726783792	1.89619335	1.905024416	1.639239359	1.750689386	1.843642649	1.496286201	1.809905264	1.852441783	1.985758273	1.936875526	1.951360398	1.913436352	1.762598696	1.801369854	1.76386279	1.638004269	1.821248787	1.89321033	1.947126184	1.795601667	1.853529193	1.846808177	1.613929831	1.712678949	1.692269457	1.962761671	1.598759238	1.852837699	1.864189053	1.935678654	1.860670919	1.778368177	1.859153768	1.978665264	1.88073185	1.934774059	1.93722392	1.745914392	1.747395689	1.896582297	1.964396153	1.760300784	1.897204851	1.664769628	1.942334095	2.000000001	1.961993554	1.922567306	2.000000001	1.898071733	1.766950181	1.915611291	1.835468208
S002	1.713332342	0	1.787918656	1.976838107	1.806224877	1.829374846	1.87182078	1.862500322	1.943312113	1.802417925	1.626144493	1.750565267	1.940853346	1.720149707	1.696616624	1.732981117	1.706469391	1.949593004	1.804349389	1.845741877	1.756706169	1.753066727	1.792861763	1.995402858	1.936936985	1.860528842	1.767690519	1.793996378	1.563995329	1.999999998	1.785771005	1.585167736	1.94673028	1.832214035	1.84420733	1.835652571	1.871283078	1.931963257	1.664465296	1.968052988	1.879459128	1.963333264	1.785127086	1.899374356	1.605343478	1.821515839	1.769843596	1.90599624	1.815326608	1.944577281	1.846778102	1.833694281	1.866073813	1.744157812	1.909417159	1.927322897	1.826060548	1.865288758	1.95675743	1.62005911	1.815376516	1.960641974	1.867267815	1.896655001	1.894508574	1.767112162	1.847487093	1.886614897	1.958842865	1.728642977	1.789311971	1.824296761	1.598453131	1.769310782	1.861981721	1.838551817	1.603143932	1.831597951	1.717536035	1.909257166	1.836205114	1.876788964	1.860636937	1.833673574	1.844751804	1.820903443	1.885947777	1.999999999	1.723513784	1.492555053	1.935603342	1.929874657	1.999999999	1.796390552	1.77449722	1.948171671	1.918170145	1.822955361	1.835426323	1.721669076
S003	1.83791671	1.787918656	0	2.000000001	1.970873655	1.752199504	1.883290852	1.8614145	1.750238665	1.833175857	1.685464597	1.751240839	1.786827884	1.721282689	1.455062816	1.795826027	1.756646001	1.947471178	1.823921399	1.912326543	1.794170115	1.942456271	1.844109133	1.95108055	1.861855907	1.900501744	1.772238293	1.837400744	1.749901005	1.498116732	1.843634243	1.742912788	1.944443388	1.861534301	1.806779696	1.903447475	1.593829174	1.873455079	1.904897282	1.966315626	1.81362822	1.894107804	1.792421054	1.804237794	1.770016562	1.750713053	1.854065932	1.89282965	1.801570886	1.750035421	1.832674344	1.809296999	1.494888027	1.79289488	1.962305273	1.703606827	1.90693777	1.945178862	1.933571928	1.89532303	1.779960448	1.947592502	1.867833353	1.800094877	1.939891176	1.798422076	1.766912915	1.882520637	1.762417161	1.770747773	1.652005447	1.788313965	1.769282529	1.848012092	1.876944661	1.687237459	1.638050068	1.846035793	1.837796779	1.855076514	1.951816126	1.688549422	1.703597523	1.857950862	1.71000547	1.872860337	1.966089909	2.000000001	1.829132754	1.878260627	1.943616344	1.848198431	1.910822867	1.646991406	1.838386366	1.740305805	1.937260121	1.744656491	1.919456695	1.67872432
S004	2.000000001	1.976838107	2.000000001	0	1.912845238	1.954338791	1.977969999	1.958135663	1.880752128	1.957415424	1.977970002	1.91923368	1.895310443	1.585116464	2.000000003	1.969022442	1.680925714	1.991871247	1.703784886	1.820347638	1.893657616	2	1.931460238	1.894443395	1.924389258	1.817850545	1.704144278	1.880327593	1.761908624	1.951712115	2	1.808604343	1.820192309	1.880067954	1.766026779	1.79784053	1.968912517	1.982992292	1.960628133	1.927906527	1.698069205	1.507225663	1.899484565	1.822918117	1.926013203	1.94298533	1.918755989	1.717756675	1.971311495	1.999999998	1.848981579	1.93540232	1.962157708	1.994167965	1.89580987	1.768321614	1.947839015	1.796689141	1.767435231	1.942516055	1.702933343	1.950699227	1.925643618	1.828496608	1.876752343	1.744657859	1.863193602	1.801031576	1.927489896	1.555034826	1.793361088	1.976580762	1.989986002	1.825808569	2	1.820535852	1.903054137	1.855786268	1.924866856	1.947612875	1.999999999	1.944406045	1.88457761	1.844779709	1.874919691	1.675353614	1.894443394	1.894443394	1.904415051	1.90410537	2.000000001	1.906509692	1.78600295	1.681392049	1.897074929	1.546372584	2	1.989888558	1.955971032	1.828415553
S005	1.962782877	1.806224877	1.970873655	1.912845238	0	1.849381205	1.999999999	1.910314921	1.914972336	1.980726614	1.73144051	1.953771714	1.940493425	1.999999998	2.000000003	1.911418198	1.870096924	1.884877335	1.881345032	1.87417416	1.914867174	2	1.963618766	1.682736535	1.96715052	1.941131593	1.929111068	1.908353587	1.88160159	1.957704055	2	1.948259739	1.999999999	1.932012216	1.893667935	1.764992848	1.968896209	1.969093204	1.931205369	1.883391423	1.819639621	1.971814909	1.824273499	1.973267325	1.987278939	1.973267328	1.898217909	1.988978511	1.936796611	1.99174628	1.881083645	1.931203522	1.878665986	1.822771325	1.98994447	2	1.852580255	2.000000001	2.000000001	1.726485041	1.962044265	1.969776951	1.969406776	1.95988965	1.960349909	1.814519291	1.84434897	1.981026832	1.793713416	1.981871982	1.790181428	1.967628838	1.912618598	1.963283409	1.745858456	1.903829256	1.940529235	1.535639682	1.816226436	1.904859391	1.689726761	1.853807713	1.8820364	1.868550545	1.874169971	1.967208106	2	1.889330646	1.964756497	1.760855894	2.000000001	1.821735418	1.908769074	1.973267327	1.892495959	1.839613268	1.8433751	1.976279146	1.941846198	1.893902007
S006	1.754158132	1.829374846	1.752199504	1.954338791	1.849381205	0	1.926255016	1.745618394	1.809646029	1.842451431	1.670862705	1.817166955	1.848391884	1.662547601	1.583048688	1.767657471	1.906041349	1.819968868	1.812447625	1.790622471	1.876577919	1.930466135	1.673295957	1.85929602	1.847460475	1.946200982	1.660662795	1.71415244	1.679705583	1.895200342	1.813523951	1.7014206	1.835129466	1.741146911	1.838189346	1.770861691	1.901423276	1.833923261	1.73673785	1.922570754	1.64370404	1.79211183	1.899257228	1.738770978	1.68080628	1.779514651	1.543496094	1.824054886	1.811908098	1.811699279	1.926463806	1.698218229	1.844372367	1.903691272	1.754860927	1.914463185	1.79918924	1.816424518	1.972098406	1.74122217	1.693300714	1.875353402	1.897778567	1.783280705	1.639307158	1.75873288	1.770242891	1.706465925	1.598483821	1.864074311	1.793898349	1.883351841	1.940527503	1.790958076	1.754492793	1.688128449	1.824547434	1.800314903	1.699632811	1.59454267	1.657008414	1.79590917	1.879382909	1.814012184	1.704942816	1.749510169	1.919130163	1.844243003	1.868456628	1.826318441	1.91772024	1.991400041	1.826420879	1.875163208	1.737332544	1.947092915	1.766417263	1.885191813	1.847147903	1.94204764
S007	1.931231016	1.87182078	1.883290852	1.977969999	1.999999999	1.926255016	0	1.776015384	1.845504005	1.768031909	1.926450257	1.882660091	1.807424828	1.882368889	1.79857239	1.800254715	1.947508191	1.849947506	1.811822055	1.993964579	1.743260387	1.905984399	1.902611301	1.901123062	1.934544749	1.966548108	1.878747513	1.744011048	1.826532139	1.626976916	1.877202317	1.951291552	1.805338214	1.999999999	1.877585396	1.901424151	1.96854835	1.766325391	1.901417936	1.869575734	1.845132798	1.923776336	1.91509305	1.949763352	1.4672764	1.852433397	1.985687194	1.921048652	1.884080444	1.969386563	1.847474884	1.966959069	1.861424751	1.73058617	1.861922419	1.774989173	1.797325938	1.961001616	1.918541076	1.746242916	1.912550166	1.945472742	1.933549735	1.889133093	1.738594214	1.920716734	1.662770775	1.845487621	1.194539841	1.859142371	1.976192873	1.938705369	1.726228975	1.893846668	1.880351563	1.949359017	1.646737228	1.831687689	1.876030073	1.934022066	1.8294588	1.743218508	1.782419503	1.84373793	1.780250854	1.724193873	1.999999999	1.957149049	1.585370352	1.906687957	1.89901093	1.999999999	1.999999999	1.795199174	1.789735128	1.748969261	1.829007535	1.550393967	1.836993609	1.907786838
S008	1.84904926	1.862500322	1.8614145	1.958135663	1.910314921	1.745618394	1.776015384	0	1.668579973	1.554051501	1.711969289	1.546968765	1.788382066	1.827473641	1.79840993	1.734628911	1.865814785	1.857012718	1.746409395	1.905462053	1.932637489	1.804438737	1.636887251	1.80752078	1.771459501	1.50788444	1.704175909	1.827026114	1.689288433	1.86217716	1.937477829	1.634336274	1.66061752	1.494623787	1.752268662	1.671320249	1.924191026	1.471201515	1.626947258	1.906812454	1.638239808	1.637206648	1.594246078	1.71523445	1.822499646	1.539321085	1.883013112	1.737105968	1.791935304	1.744127797	1.913586968	1.714088005	1.899170269	1.684923498	1.827950575	1.864458577	1.714874462	1.806791954	1.766123288	1.68521652	1.812289584	1.765852876	1.688542729	1.652871875	1.775009394	1.664752434	1.913805581	1.655927025	1.857816833	1.710438609	1.827121455	1.932607175	1.923737135	1.655569076	1.599458695	1.747104535	1.66988165	1.659957393	1.821365267	1.512784394	1.708478458	1.85390167	1.643186479	1.49537309	1.665204508	1.838264423	1.880276923	1.861655175	1.73847531	1.731060941	1.862644472	1.922076343	1.936769349	1.707974588	1.698902212	1.842755445	1.696490461	1.788661695	1.720703607	1.92712146
S009	1.884079011	1.943312113	1.750238665	1.880752128	1.914972336	1.809646029	1.845504005	1.668579973	0	1.732578096	1.922939796	1.783018676	1.490417019	1.61839806	1.888846073	1.80413236	1.914512916	1.761900105	1.82035998	1.864999382	1.844867956	1.892996644	1.787170962	1.943191901	1.793190846	1.663434173	1.76389262	1.723730453	1.62603033	1.915999811	1.97579095	1.686308293	1.905230399	1.817033226	1.790448903	1.802057466	1.908279579	1.747568756	1.679039111	1.617703895	1.608149167	1.796740747	1.708575195	1.662216053	1.885752101	1.578646254	1.799010101	1.616871823	1.872988263	1.72715342	1.791259021	1.780125024	1.804795194	1.761759491	1.905153142	1.610509086	1.687777703	1.935732191	1.739656183	1.775056135	1.763817589	1.890266207	1.740195932	1.763458894	1.672999993	1.702893491	1.643361958	1.866904644	1.64996615	1.793267342	1.76580718	1.825177718	1.926988554	1.756096211	1.898496962	1.732606544	1.652989989	1.736994364	1.715283776	1.598980385	1.767797227	1.661193077	1.835430066	1.710272879	1.715830295	1.669432818	1.905006382	1.812573394	1.861432087	1.90888438	1.854596365	1.963730936	1.979077184	1.772025973	1.788558745	1.454234478	1.90942238	1.842285952	1.594407004	1.879470157
S010	1.843998345	1.802417925	1.833175857	1.957415424	1.980726614	1.842451431	1.768031909	1.554051501	1.732578096	0	1.741169652	1.941642988	1.608300367	1.759700342	1.930775929	1.843434102	1.837247358	1.933700347	1.865845228	1.77293497	1.718665108	2	1.795811498	1.924419997	1.818498744	1.737978859	1.678512738	1.938933613	1.588266114	1.779469699	2	1.713564675	1.871526683	1.820445274	1.563335757	1.708319964	1.982830607	1.709424612	1.846962721	1.930943093	1.895459043	1.696235835	1.716804359	1.787383349	1.776237171	1.743045304	1.844427213	1.802995361	1.813698313	1.728161204	1.786045459	1.681905842	1.926385074	1.661785125	1.765927942	2	1.949905627	1.936580557	1.850374367	1.855969563	1.743256495	1.967151403	1.86612156	1.551288818	1.776990147	1.787742563	1.718821294	1.717814072	1.8553001	1.806187482	1.822267684	1.710566666	1.924672518	1.718102871	1.791840128	1.570840164	1.764727555	1.923428462	1.68578646	1.842719619	1.942892423	1.646768665	1.788765942	1.852108133	1.488393667	1.842785448	1.828453934	1.988331372	1.882561459	1.767660154	1.780845301	1.872105154	1.740458282	1.798938583	1.836822213	1.740190362	1.704729162	1.6940966	1.74360286	1.703044785
