	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	0.176585	0.184063	0.195107	0.189676	0.182218	0.182029	0.188054	0.19769	0.186075	0.186194	0.181823	0.169412	0.179204	0.184071	0.179154	0.177487	0.269463	0.183809	0.189164	0.191298	0.175298	0.18018	0.196846	0.204597	0.178029	0.19039	0.204584	0.180197	0.18532	0.189848	0.184487	0.180257	0.176724	0.199377	0.181472	0.187555	0.194103	0.207692	0.203201	0.1955	0.183949	0.229639	0.187949	0.178949	0.186279	0.194189	0.19604	0.174326	0.184506	0.177809	0.175681	0.170244	0.198304	0.16832	0.192222	0.191256	0.199298	0.180827	0.182142	0.185465	0.175748	0.173576	0.176349	0.189126	0.175593	0.183086	0.200879	0.201626	0.193073	0.184909	0.189221	0.201378	0.174119	0.176433	0.249681	0.185362	0.185997	0.184367	0.181977	0.22985	0.181709	0.18183	0.185085	0.191774	0.196297	0.17123	0.180251	0.184797	0.180945	0.195389	0.182487	0.185408	0.171646	0.185275	0.170122	0.260559	0.193051	0.191674	0.184985
S002	0.176585	0	0.13683	0.151392	0.153448	0.140664	0.137857	0.14864	0.151934	0.137576	0.135262	0.134718	0.135733	0.131968	0.136283	0.141634	0.151719	0.23626	0.135899	0.148217	0.14931	0.144141	0.139359	0.150044	0.162111	0.140095	0.143666	0.166387	0.13497	0.135723	0.143315	0.139767	0.132817	0.133276	0.158556	0.141687	0.136646	0.147744	0.163367	0.155083	0.163391	0.132599	0.19122	0.16278	0.126936	0.151056	0.144991	0.149161	0.135385	0.135964	0.140301	0.122413	0.125787	0.1511	0.15194	0.14962	0.134717	0.138939	0.133248	0.145124	0.13963	0.134086	0.146474	0.139593	0.138037	0.134281	0.143499	0.158387	0.155299	0.14825	0.132139	0.148919	0.159056	0.128386	0.130481	0.216008	0.133451	0.133913	0.136568	0.141525	0.189392	0.14511	0.136981	0.135965	0.164761	0.159139	0.142725	0.13505	0.137142	0.149389	0.150312	0.136046	0.153486	0.134547	0.14171	0.128937	0.230026	0.152736	0.139115	0.144334
S003	0.184063	0.13683	0	0.173163	0.161875	0.151441	0.147061	0.163759	0.164284	0.15824	0.153168	0.146827	0.147622	0.148917	0.149836	0.149972	0.16341	0.253763	0.151965	0.163763	0.163327	0.163164	0.152622	0.166149	0.176804	0.150175	0.157434	0.182735	0.148728	0.15032	0.152703	0.155817	0.144784	0.151048	0.17479	0.158821	0.15291	0.165686	0.17515	0.169526	0.173695	0.147064	0.199651	0.175877	0.151582	0.144456	0.165206	0.168189	0.147771	0.150049	0.153449	0.136074	0.145002	0.160671	0.155817	0.156403	0.160807	0.165555	0.145531	0.155337	0.150551	0.150071	0.151438	0.154632	0.154256	0.145004	0.15743	0.169754	0.163956	0.163738	0.144474	0.151121	0.174204	0.143831	0.149091	0.22854	0.148292	0.144144	0.149617	0.140126	0.195815	0.152057	0.152675	0.156178	0.177383	0.166166	0.158712	0.150621	0.151887	0.164541	0.168484	0.152176	0.165869	0.154081	0.163191	0.144614	0.238225	0.155028	0.157297	0.153877
S004	0.195107	0.151392	0.173163	0	0.182595	0.175186	0.173142	0.177784	0.181252	0.17116	0.170859	0.166904	0.161233	0.167446	0.167023	0.165974	0.169172	0.262503	0.162982	0.174849	0.181322	0.17024	0.168334	0.182538	0.193084	0.160059	0.17083	0.191856	0.161409	0.172368	0.16451	0.17213	0.163471	0.164242	0.184333	0.174559	0.172326	0.178529	0.195515	0.189424	0.189781	0.160623	0.213146	0.193926	0.161374	0.177033	0.170917	0.162243	0.162503	0.160589	0.172272	0.155955	0.153679	0.179886	0.17801	0.179567	0.170614	0.180675	0.162775	0.174824	0.170112	0.166893	0.172519	0.161513	0.175931	0.170301	0.167778	0.181937	0.180912	0.175737	0.169679	0.177183	0.183641	0.157959	0.161143	0.24347	0.165847	0.16967	0.17022	0.167919	0.207895	0.17563	0.167609	0.171441	0.186882	0.180237	0.175912	0.168808	0.160313	0.179893	0.180766	0.168279	0.18437	0.166313	0.173962	0.1641	0.247055	0.18058	0.164773	0.175921
S005	0.189676	0.153448	0.161875	0.182595	0	0.158019	0.158964	0.171406	0.171497	0.157426	0.164381	0.161511	0.15232	0.15058	0.159343	0.159063	0.154307	0.257407	0.168932	0.170629	0.175774	0.173282	0.162686	0.161917	0.186411	0.155995	0.169588	0.187361	0.154494	0.157855	0.161414	0.15836	0.154613	0.16385	0.16173	0.173008	0.164753	0.174345	0.184311	0.178793	0.187332	0.157437	0.212566	0.159489	0.159219	0.172145	0.171867	0.15961	0.146726	0.155855	0.168618	0.156834	0.157077	0.180225	0.172163	0.171257	0.171968	0.175765	0.149601	0.168812	0.166395	0.153833	0.164775	0.160756	0.169695	0.163201	0.167346	0.179102	0.178029	0.159754	0.157786	0.173945	0.186263	0.151828	0.157484	0.232596	0.158524	0.164065	0.154788	0.162843	0.21254	0.172219	0.169004	0.16472	0.17871	0.162518	0.167679	0.150235	0.160446	0.176769	0.177019	0.166305	0.176196	0.153071	0.173918	0.158165	0.242712	0.173655	0.165305	0.155636
S006	0.182218	0.140664	0.151441	0.175186	0.158019	0	0.148549	0.156485	0.166452	0.15031	0.160186	0.14319	0.14186	0.146233	0.150661	0.153409	0.157731	0.242955	0.153228	0.162214	0.158435	0.159996	0.14462	0.161843	0.174774	0.152072	0.157452	0.177982	0.152993	0.147363	0.14385	0.148752	0.135376	0.142162	0.169771	0.153632	0.15517	0.149255	0.168239	0.160997	0.167548	0.145811	0.202264	0.174904	0.140311	0.159149	0.158603	0.16908	0.149167	0.14627	0.147219	0.134665	0.137021	0.165951	0.148452	0.163931	0.152731	0.16405	0.145328	0.159036	0.153963	0.144318	0.153594	0.15334	0.159363	0.157659	0.158367	0.167035	0.169625	0.150905	0.14193	0.15944	0.165897	0.139071	0.143415	0.227623	0.149156	0.150719	0.152192	0.151263	0.189156	0.155401	0.142717	0.152606	0.165759	0.152739	0.156554	0.145319	0.148257	0.152895	0.162293	0.155747	0.156845	0.152281	0.15919	0.148313	0.235605	0.161879	0.151325	0.153047
S007	0.182029	0.137857	0.147061	0.173142	0.158964	0.148549	0	0.16011	0.16346	0.151849	0.134691	0.139505	0.141271	0.141519	0.14795	0.145472	0.154448	0.248542	0.145693	0.156751	0.157874	0.154853	0.144853	0.158614	0.165291	0.14418	0.152892	0.1714	0.14655	0.145018	0.150986	0.15076	0.144147	0.150283	0.158271	0.148388	0.153669	0.157183	0.174265	0.164862	0.174272	0.143916	0.203847	0.164112	0.1377	0.152869	0.156702	0.163086	0.143905	0.151456	0.150202	0.136269	0.139016	0.16255	0.159432	0.158829	0.15338	0.16152	0.137823	0.149397	0.143988	0.141294	0.159924	0.151309	0.152265	0.150872	0.142752	0.167736	0.160827	0.156283	0.145491	0.146133	0.173578	0.141672	0.145771	0.226479	0.13663	0.147062	0.145658	0.148324	0.203988	0.149398	0.150924	0.15421	0.174437	0.15192	0.152253	0.127251	0.147858	0.14422	0.155639	0.148976	0.164409	0.137216	0.157656	0.143555	0.233813	0.164894	0.146987	0.154576
S008	0.188054	0.14864	0.163759	0.177784	0.171406	0.156485	0.16011	0	0.178893	0.160347	0.165777	0.160675	0.1616	0.157856	0.158792	0.15906	0.172874	0.253792	0.1599	0.164795	0.173665	0.170465	0.163849	0.170809	0.186034	0.16392	0.165698	0.190975	0.160706	0.162318	0.162083	0.160384	0.155436	0.161917	0.182447	0.168139	0.165985	0.166085	0.182026	0.17952	0.191855	0.157282	0.211025	0.184653	0.156549	0.169659	0.131449	0.168889	0.156304	0.163211	0.166185	0.147811	0.14777	0.17652	0.166207	0.167537	0.17121	0.161335	0.158713	0.170265	0.160784	0.161142	0.169171	0.168521	0.170862	0.157588	0.167114	0.18358	0.168766	0.16815	0.161976	0.162294	0.180533	0.150181	0.153714	0.232261	0.160829	0.162026	0.16187	0.15888	0.203426	0.16594	0.162577	0.159791	0.16503	0.167967	0.16754	0.159774	0.161403	0.170169	0.172044	0.166139	0.174371	0.158775	0.171552	0.158481	0.245429	0.17006	0.166653	0.168612
S009	0.19769	0.151934	0.164284	0.181252	0.171497	0.166452	0.16346	0.178893	0	0.155633	0.167953	0.160752	0.164479	0.162507	0.15416	0.160334	0.168362	0.256982	0.158768	0.170594	0.175698	0.17272	0.154086	0.175913	0.187116	0.164886	0.164696	0.195926	0.152392	0.163408	0.166412	0.165336	0.160732	0.167292	0.172713	0.170899	0.166297	0.173084	0.19323	0.181908	0.184154	0.159001	0.216963	0.183829	0.162193	0.170623	0.176839	0.169601	0.158133	0.153669	0.167815	0.151096	0.153378	0.178702	0.17559	0.175225	0.165176	0.176647	0.15792	0.170845	0.161339	0.155768	0.163868	0.156519	0.170106	0.152772	0.163702	0.179766	0.175366	0.174434	0.160542	0.168879	0.18304	0.155459	0.155081	0.236821	0.162871	0.166385	0.159488	0.160582	0.211798	0.173117	0.167018	0.165935	0.184108	0.178921	0.171304	0.162365	0.160023	0.172359	0.177735	0.165355	0.178715	0.161314	0.172944	0.158591	0.243967	0.174196	0.155542	0.167865
S010	0.186075	0.137576	0.15824	0.17116	0.157426	0.15031	0.151849	0.160347	0.155633	0	0.155768	0.142311	0.14546	0.148537	0.147975	0.152401	0.16206	0.248995	0.149623	0.157724	0.167248	0.158446	0.1446	0.162995	0.176692	0.149849	0.154743	0.177694	0.148919	0.153922	0.15072	0.147831	0.142819	0.147162	0.163096	0.159535	0.157117	0.156765	0.180213	0.165039	0.176963	0.143342	0.201869	0.177042	0.145171	0.157107	0.159022	0.168267	0.147149	0.147557	0.153341	0.136538	0.139698	0.166279	0.162788	0.164091	0.16136	0.16279	0.145557	0.15968	0.153596	0.151658	0.16024	0.151355	0.15297	0.150846	0.158741	0.172025	0.16512	0.149784	0.150922	0.160545	0.168419	0.14584	0.148194	0.226681	0.147092	0.146167	0.152521	0.152369	0.205108	0.160198	0.155854	0.156977	0.149174	0.157415	0.153654	0.149271	0.154747	0.163774	0.164991	0.15127	0.156491	0.151735	0.164117	0.147909	0.235886	0.166853	0.15603	0.156341
