	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	0.195722	0.192549	0.259348	0.235074	0.212729	0.18891	0.231202	0.228762	0.188321	0.195513	0.241496	0.238629	0.216488	0.197532	0.233862	0.252305	0.234032	0.196299	0.195771	0.189997	0.230085	0.205516	0.204782	0.247201	0.202886	0.221287	0.202939	0.221297	0.205639	0.286282	0.195294	0.253465	0.271183	0.254909	0.221748	0.218403	0.212364	0.244899	0.182787	0.270666	0.233107	0.206833	0.171801	0.216195	0.216773	0.331128	0.21182	0.197941	0.208381	0.206081	0.208103	0.185896	0.224728	0.20525	0.194481	0.2538	0.196293	0.19306	0.195985	0.25016	0.224999	0.231044	0.179119	0.181787	0.192624	0.241708	0.233714	0.250755	0.238632	0.249041	0.232874	0.197643	0.183532	0.214055	0.272454	0.262253	0.22136	0.212185	0.218872	0.183601	0.200848	0.203801	0.268412	0.235569	0.198537	0.172757	0.205066	0.199758	0.273733	0.220911	0.234937	0.214398	0.210575	0.210015	0.233901	0.236058	0.24829	0.272664	0.200932
S002	0.195722	0	0.211281	0.260357	0.250808	0.231	0.198898	0.235085	0.237466	0.218629	0.203466	0.253721	0.229818	0.221105	0.18464	0.24411	0.259797	0.236006	0.204691	0.205454	0.191675	0.218008	0.217879	0.208638	0.254698	0.205518	0.211527	0.241342	0.229216	0.217851	0.294835	0.202823	0.242363	0.272652	0.252781	0.216919	0.227138	0.213857	0.241744	0.182667	0.273886	0.236493	0.215752	0.187607	0.238357	0.22903	0.33072	0.22755	0.22282	0.220168	0.213931	0.207466	0.207847	0.251989	0.229561	0.218305	0.257136	0.20896	0.203636	0.177365	0.258715	0.237827	0.248002	0.200815	0.223494	0.202832	0.248402	0.241948	0.249324	0.234682	0.236791	0.248988	0.246982	0.213535	0.215899	0.222916	0.275858	0.226704	0.227391	0.231745	0.203629	0.241493	0.223227	0.267667	0.242262	0.224928	0.214246	0.204362	0.204949	0.293838	0.206927	0.232447	0.221267	0.213194	0.218389	0.227031	0.25102	0.23756	0.288854	0.184816
S003	0.192549	0.211281	0	0.266515	0.257673	0.225312	0.194644	0.243935	0.248895	0.205391	0.220926	0.260432	0.25476	0.231608	0.207147	0.250279	0.255911	0.24248	0.20821	0.212793	0.205217	0.234116	0.224201	0.220399	0.263064	0.219502	0.247014	0.243604	0.221742	0.203809	0.299118	0.223527	0.269985	0.278276	0.263866	0.241407	0.223914	0.231141	0.247993	0.208887	0.282786	0.250522	0.234903	0.195224	0.241847	0.239207	0.318956	0.227414	0.226292	0.221093	0.225932	0.223138	0.195738	0.254352	0.231533	0.209453	0.250198	0.20934	0.21297	0.208489	0.276791	0.235609	0.249788	0.206725	0.22445	0.217085	0.259552	0.24398	0.258955	0.250347	0.252684	0.237302	0.247918	0.207713	0.219605	0.276455	0.257909	0.238052	0.236028	0.243398	0.2066	0.250833	0.239278	0.279993	0.255747	0.234949	0.204657	0.200855	0.203255	0.288552	0.237705	0.231195	0.232123	0.223238	0.21825	0.245884	0.260308	0.258017	0.295171	0.222777
S004	0.259348	0.260357	0.266515	0	0.296762	0.280836	0.24944	0.286045	0.293576	0.260249	0.258136	0.295017	0.293377	0.264155	0.250414	0.285186	0.293106	0.29364	0.255615	0.259538	0.25081	0.279918	0.254848	0.270504	0.301365	0.261762	0.29085	0.282833	0.278347	0.260754	0.324705	0.257795	0.308835	0.311461	0.284342	0.275179	0.280756	0.27106	0.268478	0.255593	0.308586	0.288665	0.258386	0.255709	0.280803	0.277803	0.374306	0.265795	0.277715	0.276325	0.273793	0.256806	0.262281	0.292595	0.276661	0.248629	0.306406	0.261524	0.25598	0.260509	0.286936	0.281358	0.271746	0.258316	0.269423	0.249393	0.268001	0.266751	0.301532	0.284202	0.293232	0.28918	0.285141	0.275226	0.261392	0.323001	0.316888	0.268375	0.274729	0.277524	0.257025	0.267148	0.277829	0.31407	0.295549	0.284568	0.263885	0.253685	0.26022	0.330953	0.281888	0.254319	0.269755	0.26929	0.26256	0.275064	0.2915	0.292047	0.331024	0.258002
S005	0.235074	0.250808	0.257673	0.296762	0	0.256881	0.247171	0.276623	0.277604	0.257931	0.252656	0.286351	0.291563	0.260866	0.242742	0.284001	0.264704	0.2746	0.257383	0.25857	0.244942	0.261617	0.257706	0.261631	0.29919	0.248771	0.285456	0.257429	0.266987	0.238431	0.328022	0.257613	0.288039	0.311385	0.291831	0.270479	0.270755	0.265188	0.291639	0.232281	0.303418	0.280186	0.261904	0.24637	0.278061	0.26826	0.365861	0.270131	0.264137	0.257009	0.250915	0.258503	0.253651	0.270137	0.268393	0.261172	0.289563	0.253747	0.251007	0.253166	0.301571	0.270145	0.283974	0.246106	0.25773	0.25157	0.266776	0.271911	0.298343	0.204596	0.266319	0.281861	0.266473	0.266571	0.248115	0.318313	0.310689	0.275259	0.269844	0.269227	0.237242	0.25799	0.273812	0.298093	0.290014	0.273722	0.252049	0.246997	0.25563	0.323715	0.255856	0.27318	0.246139	0.258944	0.239568	0.282238	0.271896	0.287784	0.319369	0.253568
S006	0.212729	0.231	0.225312	0.280836	0.256881	0	0.220067	0.255529	0.257281	0.234503	0.236492	0.272619	0.273034	0.245687	0.232267	0.250202	0.266325	0.263386	0.203401	0.229769	0.216573	0.25573	0.228562	0.239637	0.271843	0.233509	0.264315	0.2582	0.23831	0.228355	0.308632	0.231778	0.279983	0.289249	0.266162	0.251309	0.223887	0.238514	0.273612	0.222741	0.291001	0.259571	0.237477	0.202675	0.251687	0.246652	0.319597	0.242621	0.240978	0.246833	0.236032	0.235481	0.226432	0.261418	0.241414	0.234054	0.276286	0.222082	0.22845	0.230464	0.286222	0.249305	0.248289	0.213743	0.239709	0.228288	0.258197	0.251802	0.274412	0.251912	0.262281	0.26304	0.249877	0.247437	0.241401	0.290936	0.292472	0.248024	0.246985	0.228654	0.216923	0.249989	0.258846	0.290441	0.262841	0.250107	0.221783	0.227449	0.226429	0.286334	0.248779	0.253868	0.172364	0.231757	0.218601	0.261416	0.271732	0.268089	0.303286	0.237071
S007	0.18891	0.198898	0.194644	0.24944	0.247171	0.220067	0	0.223435	0.233697	0.214356	0.200519	0.242956	0.243096	0.212756	0.181898	0.227333	0.239933	0.224721	0.196658	0.162246	0.165228	0.226842	0.197515	0.207218	0.243771	0.196047	0.222693	0.218971	0.214906	0.18924	0.273665	0.191899	0.257404	0.261639	0.246631	0.219232	0.211002	0.203718	0.241822	0.193815	0.26844	0.229359	0.214766	0.182807	0.216749	0.219335	0.316203	0.212228	0.216573	0.203188	0.211781	0.201123	0.198926	0.224627	0.202802	0.201486	0.249773	0.189183	0.188834	0.197391	0.257827	0.222942	0.240879	0.18073	0.211322	0.19825	0.241083	0.231891	0.233509	0.231545	0.243031	0.237452	0.231995	0.203851	0.212724	0.270169	0.259098	0.220363	0.204053	0.214074	0.187159	0.220993	0.22118	0.263923	0.232913	0.217234	0.18831	0.200096	0.194195	0.282758	0.216472	0.225444	0.204662	0.204039	0.195742	0.227609	0.240536	0.242455	0.278806	0.209691
S008	0.231202	0.235085	0.243935	0.286045	0.276623	0.255529	0.223435	0	0.267524	0.253297	0.244104	0.283131	0.262091	0.248877	0.235624	0.269336	0.279629	0.269969	0.231481	0.245142	0.229142	0.263597	0.246378	0.229811	0.287741	0.230884	0.246347	0.263355	0.256428	0.244592	0.318985	0.232284	0.287414	0.280736	0.279355	0.23807	0.257591	0.217318	0.277782	0.225454	0.295341	0.272346	0.240187	0.224588	0.259659	0.251224	0.35414	0.24751	0.252048	0.254828	0.247506	0.248697	0.233023	0.261176	0.254254	0.246524	0.273787	0.228528	0.221966	0.240143	0.290905	0.254387	0.266605	0.234628	0.255351	0.241173	0.24494	0.265867	0.275176	0.269602	0.277145	0.263918	0.269785	0.259958	0.236242	0.301939	0.291924	0.245042	0.25755	0.252966	0.236212	0.259447	0.265997	0.283844	0.274925	0.257606	0.226368	0.237918	0.236855	0.312261	0.258135	0.2696	0.248258	0.231606	0.247533	0.258475	0.279897	0.264835	0.315364	0.238707
S009	0.228762	0.237466	0.248895	0.293576	0.277604	0.257281	0.233697	0.267524	0	0.249557	0.248671	0.266766	0.286769	0.253822	0.236603	0.263731	0.277688	0.258388	0.227464	0.214532	0.240903	0.267747	0.24747	0.251165	0.290281	0.245396	0.276394	0.272292	0.259569	0.247392	0.311573	0.246111	0.291041	0.302586	0.281698	0.259537	0.264068	0.247903	0.255619	0.216505	0.300904	0.259599	0.261848	0.236366	0.247802	0.253656	0.362396	0.255345	0.230286	0.245989	0.246987	0.251023	0.238513	0.263963	0.249893	0.252287	0.290557	0.222086	0.22809	0.240159	0.300199	0.263425	0.228233	0.238013	0.261642	0.227834	0.281038	0.27352	0.267787	0.263743	0.278482	0.266286	0.276245	0.259972	0.241602	0.286028	0.285565	0.250591	0.234993	0.252194	0.23336	0.24412	0.24678	0.261863	0.267226	0.257772	0.239193	0.235453	0.234374	0.304896	0.26424	0.271356	0.250941	0.249333	0.247395	0.271887	0.284242	0.270036	0.307021	0.234731
S010	0.188321	0.218629	0.205391	0.260249	0.257931	0.234503	0.214356	0.253297	0.249557	0	0.231366	0.263211	0.267252	0.223499	0.221611	0.25395	0.250238	0.258622	0.215111	0.217923	0.219037	0.250719	0.228782	0.219196	0.265246	0.226818	0.253663	0.245407	0.237251	0.22118	0.309059	0.227175	0.274712	0.29025	0.253285	0.225776	0.246713	0.241254	0.257754	0.200644	0.289557	0.255989	0.233765	0.208822	0.251673	0.245425	0.348078	0.227305	0.23565	0.235133	0.215605	0.229015	0.19119	0.256176	0.244053	0.217333	0.278654	0.22585	0.22097	0.218147	0.274345	0.232748	0.263106	0.210519	0.21823	0.209462	0.263793	0.236618	0.269513	0.243356	0.267472	0.259138	0.244984	0.224347	0.23653	0.289356	0.288849	0.240367	0.239712	0.242893	0.202446	0.240491	0.240906	0.292427	0.267912	0.233194	0.208191	0.226785	0.21898	0.302259	0.244766	0.245791	0.238967	0.226551	0.230301	0.254487	0.263643	0.253717	0.292614	0.225605
