	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0	0.330907	0.3691	0.4406	0.470755	0.347647	0.420972	0.328866	0.394039	0.337361	0.368538	0.38855	0.367911	0.415906	0.388534	0.336563	0.42542	0.390639	0.356522	0.382293	0.332223	0.523562	0.314331	0.409367	0.359504	0.365732	0.292942	0.332366	0.281358	0.455045	0.438893	0.324263	0.450938	0.336141	0.413501	0.360629	0.439792	0.344897	0.372489	0.48899	0.330481	0.421474	0.351568	0.385833	0.338516	0.321213	0.320661	0.4367	0.352404	0.349754	0.344355	0.342608	0.302211	0.341053	0.449297	0.421438	0.412263	0.4144	0.536052	0.393473	0.380138	0.629934	0.389445	0.370781	0.392591	0.355386	0.353819	0.345759	0.387764	0.319488	0.318738	0.348943	0.484695	0.31129	0.370524	0.340511	0.339598	0.351288	0.316594	0.341845	0.456028	0.33055	0.359963	0.356654	0.361231	0.31025	0.436917	0.501125	0.350901	0.349513	0.419244	0.513772	0.503601	0.375655	0.358926	0.386896	0.391648	0.341774	0.347709	0.36275
S002	0.330907	0	0.367343	0.432276	0.449349	0.339114	0.399505	0.326856	0.39219	0.330198	0.321306	0.373949	0.359463	0.403002	0.35584	0.312778	0.381419	0.433803	0.34529	0.369156	0.317517	0.47176	0.332938	0.412091	0.361197	0.360066	0.291276	0.342453	0.26776	0.448117	0.407099	0.287008	0.441096	0.340385	0.402949	0.361869	0.437125	0.336979	0.341094	0.478991	0.324704	0.409195	0.339233	0.376328	0.305883	0.322388	0.33212	0.4319	0.336563	0.396436	0.34455	0.336396	0.365612	0.339876	0.440377	0.410487	0.39543	0.395371	0.53549	0.369957	0.375463	0.63179	0.406103	0.375257	0.386294	0.337114	0.358128	0.346415	0.383831	0.36411	0.319888	0.347752	0.450995	0.322986	0.367284	0.332263	0.294945	0.340003	0.316255	0.328337	0.428706	0.31038	0.339609	0.346776	0.359236	0.325339	0.437423	0.497572	0.311228	0.29896	0.431008	0.505892	0.49735	0.354497	0.336816	0.373758	0.382077	0.338891	0.328869	0.356676
S003	0.3691	0.367343	0	0.43082	0.464669	0.329036	0.395859	0.318295	0.366045	0.343776	0.349946	0.391669	0.333104	0.40986	0.335431	0.323574	0.382572	0.423949	0.346079	0.37437	0.349331	0.513319	0.325819	0.406204	0.357024	0.355813	0.314772	0.340868	0.305454	0.371264	0.424032	0.298756	0.443608	0.343285	0.403748	0.359521	0.351024	0.329432	0.354341	0.475842	0.305263	0.402624	0.324037	0.379925	0.314761	0.315225	0.356664	0.419827	0.33295	0.368798	0.329681	0.314051	0.324903	0.357931	0.443324	0.37483	0.409175	0.378091	0.531287	0.378543	0.369059	0.601809	0.400585	0.359579	0.386276	0.334363	0.341042	0.345208	0.35304	0.378462	0.311615	0.348232	0.463552	0.318855	0.363473	0.325805	0.299213	0.33851	0.291173	0.319459	0.443535	0.301424	0.319793	0.339023	0.355204	0.325753	0.441434	0.49529	0.339	0.335022	0.422957	0.469424	0.477842	0.349355	0.346917	0.342844	0.385546	0.342169	0.338837	0.368629
S004	0.4406	0.432276	0.43082	0	0.510453	0.406801	0.462348	0.391119	0.437434	0.410882	0.425909	0.449621	0.3955	0.322061	0.432562	0.390202	0.443573	0.483814	0.401152	0.403207	0.413369	0.55621	0.390399	0.454474	0.412846	0.397608	0.371597	0.384419	0.378594	0.479844	0.480857	0.384729	0.484979	0.398649	0.449676	0.38232	0.493164	0.392647	0.421021	0.515784	0.367106	0.371169	0.397474	0.43831	0.386477	0.389215	0.415833	0.466903	0.403056	0.447419	0.39987	0.399147	0.424986	0.423421	0.472645	0.447781	0.456765	0.43568	0.542715	0.451206	0.402789	0.661559	0.454061	0.412729	0.417994	0.388692	0.399024	0.389425	0.433374	0.391701	0.379857	0.425528	0.52157	0.354804	0.428289	0.388766	0.386197	0.400892	0.373657	0.395614	0.494689	0.362034	0.404152	0.389652	0.420202	0.36215	0.485017	0.535729	0.397145	0.385429	0.481632	0.535863	0.526526	0.361318	0.401795	0.389621	0.440646	0.408771	0.395535	0.389764
S005	0.470755	0.449349	0.464669	0.510453	0	0.438356	0.498365	0.421028	0.460312	0.453336	0.441518	0.484675	0.448983	0.501721	0.468496	0.41708	0.495634	0.500663	0.444037	0.4534	0.43238	0.584592	0.43329	0.437069	0.444497	0.44204	0.417329	0.4133	0.424962	0.515367	0.513422	0.424052	0.524721	0.419139	0.48534	0.423337	0.526441	0.429186	0.453618	0.53721	0.402274	0.494305	0.417099	0.476126	0.43237	0.431253	0.452487	0.511725	0.439253	0.48044	0.443168	0.436624	0.45676	0.413525	0.52072	0.495665	0.469287	0.491059	0.601593	0.46023	0.463689	0.684338	0.489791	0.459298	0.470693	0.422612	0.440199	0.442429	0.435799	0.477777	0.420534	0.458586	0.545576	0.427563	0.445717	0.421679	0.423735	0.333642	0.404083	0.41399	0.503766	0.407809	0.444461	0.431127	0.45925	0.430227	0.521325	0.549152	0.436996	0.402637	0.514148	0.523751	0.564853	0.458816	0.428686	0.423865	0.440681	0.445201	0.424141	0.455078
S006	0.347647	0.339114	0.329036	0.406801	0.438356	0	0.385784	0.279698	0.357064	0.317602	0.326264	0.371629	0.312273	0.347801	0.314928	0.29102	0.389904	0.389387	0.317577	0.3361	0.335027	0.494236	0.290225	0.373638	0.327174	0.332625	0.26859	0.300556	0.287616	0.416999	0.388889	0.27243	0.403255	0.277285	0.376692	0.327138	0.415255	0.295872	0.318051	0.450905	0.274522	0.378288	0.31531	0.347355	0.273114	0.285656	0.303271	0.398723	0.303884	0.351879	0.318795	0.296282	0.331864	0.334316	0.402707	0.383081	0.371717	0.374806	0.510177	0.363347	0.267299	0.611684	0.380191	0.340663	0.305351	0.302903	0.327817	0.298241	0.334963	0.349655	0.290241	0.344118	0.454841	0.288598	0.340316	0.299256	0.290272	0.306615	0.26687	0.269499	0.40559	0.281797	0.318616	0.309521	0.333942	0.28572	0.409368	0.458734	0.311182	0.302542	0.409444	0.492905	0.462591	0.332181	0.293717	0.347324	0.336241	0.31575	0.307722	0.359992
S007	0.420972	0.399505	0.395859	0.462348	0.498365	0.385784	0	0.352986	0.412782	0.374764	0.404658	0.424216	0.380101	0.448903	0.387619	0.351452	0.448867	0.45658	0.358742	0.416945	0.378879	0.515362	0.375959	0.430828	0.393284	0.397859	0.359779	0.353666	0.36558	0.426317	0.448353	0.370957	0.456928	0.390867	0.430587	0.39582	0.482031	0.358077	0.395346	0.502923	0.351145	0.442655	0.385025	0.427026	0.290327	0.365484	0.403825	0.45299	0.372765	0.430233	0.376022	0.384701	0.386838	0.386645	0.471713	0.404254	0.419682	0.439721	0.555485	0.413749	0.40772	0.653217	0.44004	0.397088	0.401644	0.370689	0.365774	0.379655	0.290711	0.414512	0.3709	0.403678	0.470625	0.358321	0.401402	0.382689	0.319679	0.373007	0.361211	0.374032	0.459687	0.341154	0.370642	0.375574	0.390074	0.355339	0.475406	0.521216	0.313965	0.373489	0.454946	0.53984	0.524858	0.379415	0.365925	0.369964	0.415969	0.336909	0.364674	0.421598
S008	0.328866	0.326856	0.318295	0.391119	0.421028	0.279698	0.352986	0	0.336924	0.27068	0.298515	0.323444	0.303083	0.370355	0.320371	0.262521	0.369204	0.388175	0.291211	0.325528	0.320833	0.469884	0.267071	0.356429	0.289633	0.27352	0.262482	0.283885	0.270473	0.398019	0.390081	0.255056	0.370023	0.23138	0.347919	0.298787	0.407001	0.248376	0.307221	0.439657	0.247563	0.34801	0.277636	0.316796	0.271937	0.253749	0.310554	0.379098	0.283016	0.330857	0.296859	0.271322	0.319797	0.308295	0.389773	0.347343	0.325914	0.354376	0.482826	0.340498	0.315076	0.596671	0.355183	0.283226	0.330897	0.273556	0.317124	0.264015	0.335494	0.312573	0.262776	0.323058	0.441873	0.258575	0.291231	0.27134	0.255791	0.264579	0.262319	0.25545	0.37403	0.264258	0.27593	0.264741	0.318867	0.272718	0.395621	0.446344	0.284422	0.264584	0.376988	0.472581	0.457478	0.304313	0.290537	0.318012	0.313142	0.292882	0.272446	0.341889
S009	0.394039	0.39219	0.366045	0.437434	0.460312	0.357064	0.412782	0.336924	0	0.365784	0.384467	0.409369	0.341223	0.414085	0.387434	0.338741	0.426002	0.429158	0.363328	0.388525	0.372935	0.523225	0.345276	0.419667	0.34614	0.355063	0.339879	0.348283	0.333189	0.453255	0.441762	0.334646	0.454038	0.355122	0.404814	0.37211	0.450791	0.343121	0.343661	0.395511	0.322433	0.415353	0.353995	0.399472	0.341676	0.32823	0.363101	0.409697	0.356335	0.386002	0.341896	0.344971	0.36966	0.374217	0.44852	0.388563	0.395208	0.414806	0.53659	0.367286	0.386828	0.574841	0.377276	0.36814	0.387101	0.354808	0.347923	0.357001	0.377289	0.39857	0.33132	0.368314	0.477503	0.335032	0.383814	0.351221	0.325069	0.345226	0.329349	0.332387	0.432137	0.290526	0.357068	0.356013	0.379087	0.319167	0.427505	0.490093	0.356207	0.341271	0.417	0.520228	0.504115	0.35615	0.355218	0.353348	0.398662	0.363741	0.33538	0.396067
S010	0.337361	0.330198	0.343776	0.410882	0.453336	0.317602	0.374764	0.27068	0.365784	0	0.348333	0.388134	0.312027	0.384256	0.356467	0.31135	0.385207	0.42464	0.331098	0.358051	0.317373	0.506552	0.30669	0.393289	0.338803	0.330523	0.272548	0.331803	0.26475	0.410042	0.422433	0.303692	0.429018	0.322397	0.309137	0.332631	0.440995	0.30762	0.348465	0.465303	0.304117	0.375076	0.323636	0.36484	0.297912	0.30089	0.345147	0.395721	0.329473	0.36041	0.327987	0.292511	0.356209	0.310259	0.415161	0.400663	0.394606	0.378219	0.508289	0.381937	0.340829	0.621561	0.385049	0.303409	0.36442	0.323041	0.326909	0.304951	0.365408	0.369309	0.303343	0.344598	0.461333	0.290848	0.340361	0.294592	0.298484	0.332437	0.294257	0.311489	0.433854	0.295678	0.324157	0.332199	0.322937	0.308405	0.421267	0.485048	0.329044	0.311091	0.411668	0.495185	0.470568	0.339094	0.323965	0.350049	0.349282	0.324645	0.300182	0.343198
