	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200
S101	0.0	2.2238287341392287	3.1659655484155587	2.720882000876465	1.825607869731063	3.8293194574698304	1.2374705405137134	1.2070101015805184	1.576989837197149	3.335319099356094	3.620778582250093	2.5568300000017143	2.177325363187041	0.9726605637177657	2.499588805613493	3.6838097139494255	2.1697789000136045	2.556755025445719	2.160273905515283	2.750308035525357	2.1650681585203917	1.5914596425367082	3.021250138104595	3.79437421078362	0.48180991515640054	2.42634194317947	1.086230114480426	3.2333324540296657	3.431809467092968	1.9695443938193689	2.856113790276195	1.2949852280819243	3.021450351604524	1.5455183601402713	2.2478261521937357	1.9737307047310408	1.0806817594931644	4.204426271433887	2.1142358422274445	4.562681975437683	1.6895622745461298	2.500438174177731	4.428767740770214	2.869441150721599	3.487764870499029	0.9693056671373935	1.066756197971232	3.177916258193754	1.943325913879748	0.8912644085201671	3.236173547753742	2.1454053034810134	2.737532073681028	2.2246362634987453	3.585814109968515	1.9682266507165354	3.1307503112583195	3.339007019103245	2.2721127985889624	3.2797645234598907	3.332018457373568	3.6274380085038493	1.8541878005119659	1.4117825918460014	4.077930491046898	1.3800982303271414	2.9467266605984017	3.078776205772516	2.674625633794809	2.3247187512091587	3.190780525097278	2.7752446588223982	2.6212578117501923	2.868093463784951	3.6743521891718283	1.3428265800161645	2.400381075249103	0.981480812937753	2.816966957257866	1.97381346389833	0.5682690700118017	1.4403784392936358	3.0016996780039125	2.311798646093901	2.1272245829184144	2.9786914157923583	1.8439708085031208	3.0836021276231564	2.376621705544818	2.4184931429401146	3.1556016037446533	3.4978543839265988	2.6022200938671993	2.329500998884002	1.9534582001007998	2.6889013913100914	1.8636135111510106	2.13798656464058	2.6423959744195953	0.9228994061416071
S102	2.2238287341392287	0.0	2.7862496324776598	3.8924014062302645	2.7632453449063	3.524736999870873	2.9816887225649737	3.427286991940149	2.2071045006396983	3.3090967481724736	1.9524321835082352	3.8018476504575256	2.4686132429580074	1.3939543738890552	1.7810856605195613	3.2010023829748926	0.8543582857645797	2.303374469549852	2.9827564952534464	1.5605277681833958	1.3410799429766518	2.713660461071108	2.0251940940382713	3.314393945778089	1.9739652824151666	1.8087890667774924	1.802391485059509	3.0839320365677105	2.8571870442576515	1.6426643099695137	2.325308573930474	1.2006376093155007	3.2007963711636855	2.4407160459385735	3.739917096923067	1.5490231337161542	1.9485938967179663	4.807505241880922	1.4758656636676757	3.1859002887402172	0.5936113409321649	1.3842212720496707	5.292486895133557	3.344138365415586	2.6805410454289396	1.2565600396533028	1.8878893020101004	2.9337501746178862	1.055455295089643	1.933532667128829	2.436700824233493	2.6590255182594467	3.4148143449152197	2.1505791650585544	2.858974746172463	2.328922081196497	2.1982581042274947	3.7462084803669464	0.13103158457835914	3.1216776524371137	2.663244842930049	3.5323885349890403	3.7443455121247013	1.945897865457793	3.232744595306857	2.7427513642457657	3.8692623968530873	2.6125498435169283	1.6028300997952525	2.2157311354414273	2.1286297442103796	3.0960508793636152	0.6748486109636643	1.5343470406431678	3.4741290338303927	2.7904458689361844	1.3390203785927095	1.6940558995384012	1.5718758831719324	1.8095962082063959	1.6608048938416902	1.9768869020787891	2.614523956267891	2.1098463064072948	0.9055416540712614	2.0278686324262516	2.769785495216821	1.882079853911692	3.619800956434974	3.5385946639848114	1.7728886092742027	3.6065281979572985	0.4536134997173154	2.284316836093322	1.17397692768203	2.1810358943567305	2.128439678149804	2.5922079916658256	3.097702001719095	1.9902205366305337
S103	3.1659655484155587	2.7862496324776598	0.0	2.2900561721921653	1.8532323290131067	0.9657967837999011	2.7557621463075037	3.9310046901777267	1.702428092769481	0.9608809729846637	1.937459897070053	2.3170719595955083	1.1812976071243873	3.0129212566262393	1.2021958985307089	0.8438094579600567	1.934608409088126	0.6239270457924307	1.5958289415524782	1.3980275106909774	1.4839306080277204	2.245507644597243	0.9509586220402843	0.819204145598182	2.694208409054258	1.04096765406552	2.150251667191644	0.6437663635670771	0.5515236585257189	1.3912838592275345	0.4694662886745254	2.222493024548907	1.2323870724536414	1.931890946076712	2.6335689782940643	1.408835055277696	2.144070324570668	2.365746187625352	1.472179655643095	1.9738592962696977	2.935880321718194	1.4694315839008638	2.980509499179067	1.3510859217061022	0.712971052036453	2.8126949394909935	2.2493381237432186	0.37720802153103755	1.8837198646558992	2.3326177640217214	0.9198135595843798	1.247119614802245	1.5305757016453718	0.9549038165710024	0.6330285159027662	1.3854961935869363	0.8705916016217445	1.433735499976487	2.7863461722085554	0.7098532879997467	0.5432227309446321	1.204773961336339	3.4112933725973744	2.128837815749491	1.1073867457833515	2.336987657330959	1.9538624283777353	0.4704398414583553	1.2352799660241132	0.9323816545796348	1.0073376530351636	1.0066345081379855	2.4727023384818563	1.5650221421206032	0.9805079286405723	2.355356206821883	1.5937668185624685	2.242243511472497	1.4526582994172346	1.5465367247857582	2.961676483839174	1.8374394341358335	0.36948984688849	1.0764624412928958	1.8867008201257491	1.0686381663107367	1.847680142885075	1.2769276570326984	2.26961141643475	2.1277823563780975	1.4304410283571085	1.0895370548492773	2.716252545931364	0.9059786718242323	1.7228505284877764	0.8577770794274986	1.3567740486012205	1.223940458186744	1.1730991331535212	2.3735162221570856
S104	2.720882000876465	3.8924014062302645	2.2900561721921653	0.0	1.176927937051628	2.395531350465326	1.5665649179636925	2.7071020994050947	1.6955153132862395	1.8656231889128894	3.951484843313538	0.22993754037586223	1.573026882099574	3.181577002146894	2.619397491876013	2.5539443354009164	3.2074544559897364	2.1000182895997797	0.9341009451765925	3.0946141910517464	2.766083465020365	1.4670474733595418	2.944091928056558	2.5923403795374864	2.464733094003297	2.503570731229678	2.20260030326798	1.9790883933995769	2.561876891682885	2.3606617744412945	2.4081929331902505	2.7503374745445757	1.596204830833877	1.5329223611159368	0.644770613212214	2.509308197488829	2.0670992935036954	1.644062390879365	2.6141071394397137	4.1502034337091125	3.680441402409464	2.999636558381054	1.724654309198152	1.1182772522446982	2.8622211220284997	3.1115050147999037	2.186992332273872	2.088623474770562	2.923380772931779	2.1851340344282097	2.7864582800767073	1.3517942961281575	0.8132444058534328	1.9796648570108297	2.8068197199397753	1.6432250182237909	2.894537469443888	1.2846451611922138	3.905811483195227	2.004984572712739	2.6439246775014817	2.0881460393767384	1.6975273215720046	2.161742534582129	3.1833913735041897	1.421543002266652	0.46215458318706487	2.3402070128306405	2.98134816778405	1.9709527984225197	3.0590946685529183	1.3197935440790547	3.8449941024141707	3.274159381058315	2.2022978148754677	1.3863568174516305	2.9711865089279224	2.3459948358185803	3.1662019270004484	2.2682069498697355	2.953039653238757	1.9513247854063958	2.2351922554926986	2.097989190968688	3.142324943029685	2.8880217118605276	1.1752071351524735	3.1820067787750146	0.35102430690004693	0.4167247111625357	3.4143992544333037	1.7284493680643291	4.035607031002631	1.895342617306523	2.804350155285509	2.370725192568118	1.8071705704804162	1.4018321303035433	1.1558661819462706	2.164750935083312
S105	1.825607869731063	2.7632453449063	1.8532323290131067	1.176927937051628	0.0	2.2273699192369416	0.987468239194508	2.2504578880226687	0.5639357690101242	1.6568158153002772	3.065662321496811	1.121913995651854	0.7138513260412829	2.066121154078263	1.6613310026110022	2.1961793673460224	2.131765800666786	1.389826352810631	0.47828224578321804	2.1415969751474893	1.7340697907598026	0.47795798085417585	2.150218144573253	2.2991071421676987	1.4974077700327777	1.582361218647405	1.072951441087427	1.6555709524667153	2.077405290803709	1.3097786688479038	1.7350632161355426	1.6177952283271648	1.2962695314372417	0.3660635025823437	1.0976952991658926	1.5357386678130482	0.95065503573107	2.41702683646768	1.5557002559964626	3.548861881369148	2.5539080140587864	1.9995200953402479	2.718423673339504	1.0682220487292515	2.2870779450677787	2.0236688883887743	1.046620877797615	1.7018080564274645	1.8062514217263497	1.0961301645645243	2.080798185237543	0.7138753801253608	0.9486535354520255	1.130159407850721	2.315849716724326	0.621141674645927	2.143625075495519	1.5393207084228926	2.76803096935102	1.6893386386345712	2.07844957124899	1.936871424504086	1.575120199013571	0.9910824113577168	2.765721178865142	0.5477866302837678	1.2849619581214375	1.7558610264197245	2.075294906361727	1.1171773135480474	2.2874633006719507	1.084843623603962	2.7331026950485118	2.3071983290239526	2.0338980055601286	0.6404765930572346	1.9269703926069948	1.2424863254748675	2.2122685500423587	1.172141078957904	1.9251384262542932	0.7914357842066002	1.6691756196816023	1.1719686629935702	2.0740949223455134	2.050534575811862	0.025445951520971413	2.3164003797829458	0.8942193926358672	0.7876233890264552	2.549942156047115	1.7665250563922172	2.913669357050107	1.075396573372787	1.7149933037111225	1.5538207328410871	0.7834287616474434	0.657557980475557	0.9192536230431754	1.0631529150970638
S106	3.8293194574698304	3.524736999870873	0.9657967837999011	2.395531350465326	2.2273699192369416	0.0	3.208788444916644	4.466195294218709	2.2600734683985575	0.603033308769732	2.3865070882620456	2.5101205462145897	1.6602383513554633	3.67307197934839	1.7706537895116417	0.39230868665912727	2.6851599559775914	1.4158935173182592	1.9716588494308367	2.0195396864958903	2.2241570959876626	2.588603951898054	1.6075110639355683	0.3262334330818958	3.3885060567696077	1.7473039035022484	2.7840729786625316	0.5992441696247538	0.7120051564534354	2.077762072884046	1.2879503733626108	2.941538682693466	1.0533325200680603	2.3865779893095085	2.882102834990097	2.244381295517303	2.759490705809946	1.8744241696763793	2.1298235339391787	1.9753889277067176	3.6960810627830583	2.1468249640163184	2.551152480257223	1.3361959225616675	1.0206710560755112	3.5556390106983504	2.831786169085148	0.713654358021359	2.566316296047158	2.9548994622041707	1.1807132398393312	1.8114622819959139	1.6198525699085533	1.680873661457961	0.8744820824111503	1.8734279230519546	1.423099346518933	1.1642739220706328	3.4985773986343234	0.5530298563676691	0.9268493811507976	0.5182758380270376	3.6987107863992885	2.614244081268795	0.9336401245628508	2.770125273460351	2.0164880155669014	0.920643939394839	1.9997674927810332	1.546977447442981	1.5676600160673018	1.2261645795948282	3.1061825078574232	2.1267273029143796	0.2317274408387157	2.8353875423518815	2.2098808947950106	2.9201902279312018	2.0411731743075316	2.0631818792781242	3.680429906255225	2.4135399519506233	0.9590545382732485	1.611055751049623	2.653127439872597	1.5581082536499873	2.212515354198456	1.8095521643520476	2.470951737304551	2.282433512967344	2.074645507848571	0.6871499605120359	3.3941041389261293	1.5270149519673855	2.4425279339791697	1.37153080388647	1.9717732049832721	1.7546939170960618	1.41030246919655	2.9562942055570183
S107	1.2374705405137134	2.9816887225649737	2.7557621463075037	1.5665649179636925	0.987468239194508	3.208788444916644	0.0	1.2775305950919453	1.1789686409735551	2.639165600757488	3.7935758772815165	1.413947333557312	1.6381106675038914	1.8880359896894487	2.4266397170181238	3.1758068185215027	2.5786246672353488	2.2385186495890657	1.2961331249489836	2.8475881278927297	2.3227844756028717	0.7922481552014247	2.955015794202045	3.275289702515688	1.153896946321241	2.340916384392227	1.2133472521268263	2.6330624261779803	3.0284141238580657	1.9496166617408948	2.5949299486910986	1.7941863267413833	2.2701352395913443	0.9436995901266783	1.041394139633169	2.0779022969923893	1.0764928981749873	3.1364759217249403	2.183758753827166	4.443299371301884	2.5891588394030958	2.6485217145001085	3.2703924301665093	1.9938445443128212	3.204878262337562	1.8939402546440818	1.1440801082554137	2.6566449366773988	2.2613213116008195	1.050444709894581	2.98501625040317	1.5294857075076593	1.7901318444795467	1.930607233303329	3.2475169585374104	1.4852383690060287	2.9924216082436974	2.4266583787630602	3.0066758097466386	2.6711003234606756	3.0042838245057153	2.9160245633106845	0.8482272627029389	1.3172394975443045	3.7187774280281696	0.47210032984626965	1.8822704524220195	2.692184280601007	2.7653400110351027	1.980474569911267	3.1124249769503485	2.027386799614041	3.152966471358663	3.0031067255235557	3.017037154389628	0.40210240958011717	2.555583961396981	1.296102003077731	2.9210595393082324	1.8479515971929439	1.6122566150135285	1.2510888378060971	2.5990841774853415	2.018463830032967	2.521170460728435	2.8771192512045602	1.0046963070469732	3.0955123244807594	1.220255217810136	1.2924524266271638	3.2729268593897896	2.7157500963374046	3.2517339343439993	1.9487344732133447	2.208935560926254	2.4282564590919202	1.5297302421456511	1.536243704764427	1.8486807262019467	1.013107520820115
S108	1.2070101015805184	3.427286991940149	3.9310046901777267	2.7071020994050947	2.2504578880226687	4.466195294218709	1.2775305950919453	0.0	2.299479168969806	3.906217961103208	4.715248917024457	2.5304800686340316	2.8458468767980456	2.1095820258772706	3.4595688383208625	4.407136701899283	3.316595838280183	3.3729653163636364	2.551365775187842	3.799137672093601	3.221848102491793	1.9761594650069034	3.9993899885544817	4.5093473059611275	1.5520382676765783	3.379636538510656	2.0371044439329014	3.8799782210541003	4.223465407793782	2.936335354216955	3.717551021679942	2.432681534931121	3.5374536734790842	2.1226300425328044	2.0815980491835653	2.9847239950017874	1.9587933156344166	4.337150396006031	3.1288061522299233	5.5379813272322265	2.8887101880308035	3.564160443093894	4.374709367035017	3.270486352030961	4.356477155724521	2.1754665749279183	1.9688772179228031	3.8785044087237317	3.049054096944142	1.8143725165796858	4.11935370155571	2.728473060152586	3.0553774273498218	3.046311302542155	4.41962436594732	2.6655172119699366	4.075506135204758	3.6960683161425765	3.47043031649082	3.9213967534917598	4.170308127671929	4.185165747894824	1.3032536963381713	2.237670608845481	4.907083387326237	1.7094824875590495	3.071383433902237	3.8755084846815824	3.7157680533008004	3.1273209931798283	4.1675480863426735	3.287106049754248	3.794221094248269	3.93320821065111	4.280547120556446	1.635239448205611	3.4595094419756203	2.011962463551459	3.86949851114283	2.872105199636982	1.7735395784122852	2.2697335567827213	3.7837624642808674	3.1448889529222526	3.2681851614113313	3.939034866493936	2.2681033487934483	4.102243948338987	2.391599046864154	2.5118439826778713	4.220260944978817	3.988119360989164	3.7959907633664467	3.1078714588885217	3.0406150440574073	3.55465576792025	2.648446759651534	2.7479102097092207	3.1121659987917005	1.7968663885918736
S109	1.576989837197149	2.2071045006396983	1.702428092769481	1.6955153132862395	0.5639357690101242	2.2600734683985575	1.1789686409735551	2.299479168969806	0.0	1.75905170487653	2.6368558505121467	1.6192548220415695	0.6031608846028345	1.6349656535596764	1.258869481131498	2.140139794560043	1.581878479114361	1.1231775907616541	0.8284616021116658	1.6924951467801523	1.2166341729196173	0.7187262014874339	1.7802254363447927	2.2507860376126922	1.165859347691209	1.1655873675709054	0.6080007061686208	1.664735621117197	1.9328401897607292	0.8064024893824636	1.4583592122893951	1.077580209869588	1.4696085371960668	0.32825939417148936	1.5926983418078522	1.0195462143496512	0.5293899463976568	2.8232013514448795	1.0592261255514064	3.2738454424836436	2.0180640769643756	1.5156395514748384	3.1949955908783867	1.371986772020604	2.063806908638232	1.545319396534806	0.6463069706754163	1.6382865982110155	1.2652640599838036	0.7200624333423776	1.8326689528738038	0.711212893055928	1.3313995036495823	0.7958174507263667	2.1313944836408623	0.39605416036560165	1.8176818483065305	1.844369743484764	2.2163045813308675	1.7079954429623516	1.8764485418045629	2.0553676874425393	1.9251542474221752	0.63463258782056	2.611831282497944	0.7543266249929206	1.732911955842308	1.5820268170598963	1.6174904730527877	0.8328493757102051	1.9351162875626284	1.24331636405246	2.2008130207642513	1.8582958200607145	2.0986552977699615	0.823680248995808	1.44325459439032	0.7716861935577903	1.7675362779147636	0.744378405851702	1.5253623663243145	0.27524407051298927	1.5015656156526815	0.8572631271755438	1.5227736736364845	1.7010268221353109	0.5726701567655657	1.9209623253006778	1.4210281537198342	1.3319706197689805	2.114154099187018	1.941129471072277	2.36653426439398	0.8211073873050858	1.1709688914049057	1.2663859960263992	0.366346720617311	0.6292687319962391	1.1383664215292533	0.7266213149881725
S110	3.335319099356094	3.3090967481724736	0.9608809729846637	1.8656231889128894	1.6568158153002772	0.603033308769732	2.639165600757488	3.906217961103208	1.75905170487653	0.0	2.509394138236728	1.9798893420110848	1.1644252413506873	3.2516800915214428	1.5491321340536894	0.7141397445602683	2.477837810157638	1.156800042363369	1.4263100458631681	1.9272196103545773	1.9864507497746922	2.0109930280878325	1.6122229881734267	0.7865414751644707	2.9166209585013796	1.5229646417145326	2.3174558307298945	0.3210166000035811	0.8695247011269722	1.7405547950267757	1.1839347398341042	2.564669385397497	0.4617728668197158	1.8406920608733919	2.318877437825302	1.9660959344645912	2.274824564316101	1.6712631477687747	1.844129919477734	2.376552920906203	3.3956637162753327	1.9908069932312324	2.2952797987836915	0.7630730378986943	1.2176033353198306	3.162196646830525	2.345761213519867	0.5868212271191878	2.2843646739856447	2.4685948252644807	1.2041209864781834	1.337570808356497	1.0717738887337116	1.3272876986073767	1.1381055569137226	1.3731116457629848	1.4555252207655949	0.7262054108203826	3.2854433362563458	0.2681821751620385	1.0379507944758686	0.34381947837687626	3.101635712408871	2.1249753615805096	1.3900898273388904	2.2021721470305535	1.5366753369781565	0.8336379462391051	1.9084913023491197	1.1722556472608459	1.6289267534110414	0.7158030950377976	2.9586039345140636	2.0595570234071183	0.38509263659194454	2.278701139157307	2.01051080323916	2.471088621469691	1.9640107329932417	1.6654133739329655	3.241127386098138	1.933265874354732	0.8267650800529157	1.2396951481968623	2.4388173748130657	1.5098773409853836	1.6402420299433391	1.8173460261290304	1.910616873096056	1.7095938585360402	2.1203175822290414	0.3927488396668506	3.2385864587136215	1.1399551729340893	2.163553325212142	1.1447240547596897	1.5211004886622648	1.2636642882935143	0.876339313341464	2.457445620180174
