	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200
S101	0.0	0.3612308196686873	1.3594835835842882	1.7568861782207346	1.7948661745973968	1.252664773625052	3.7646027493121714	1.5325280447264436	2.0982120741857178	1.0929385221555201	2.073966637439398	0.9861198806168353	1.680313982944243	2.5111946669457472	2.8772527668586005	0.3748049317758534	1.426570290691528	0.20552733135975654	2.1794020356956874	1.113091621306707	1.316024712814044	0.8878140024469002	1.2845344270161259	1.4928729663237117	0.2980604286863911	2.4556232371845246	1.2108729332364423	2.774797768463311	0.7839066395108832	2.2018840814445158	1.38779633289197	2.895300030723327	2.132809528832882	2.1355957024644012	1.8726078263294996	0.6192979437658237	1.103508800881365	1.5662005923618738	0.6615020331988971	1.7238541863124535	0.706023296663606	2.7438794262839488	2.6578722352936324	2.8223110708518795	1.6554053504137096	2.2850735022486797	0.946655562758638	2.7469108355336553	1.658956938161753	3.377531875498022	1.873629215748865	3.2195800872213676	1.102608488258274	2.4892554774686504	1.0641927720540028	0.8887604494000975	1.4908033873467714	1.5730864458352407	3.0536366141178437	1.8702641707186416	2.6064981083570107	0.32881320675665343	1.3730061991217664	1.535172498518751	0.10592585552566529	2.5510197886487194	0.8296707440838412	0.841332914115558	2.3098244871978855	2.9937557953808036	1.7285203253191597	0.5040123724026357	1.6068532955488715	3.224575491460868	1.9336871588349225	1.188997896455807	1.1819140303912297	1.7064417821359463	0.9047859924399755	1.0308001079946059	1.8861928116373528	0.9389689134998017	2.0190357499288383	1.9937338433669232	1.4916033738606826	1.6983034094877556	2.9254558745143173	0.5168905245541354	1.5379925952302798	1.1605549689968329	1.8580463572122445	0.4654273320094223	1.0530832699642363	3.367831091936799	2.1199752380757118	2.465982035825023	1.3879132578641022	1.9731436359153305	0.21547938808147246	1.143663199170763
S102	0.3612308196686873	0.0	1.559068418354375	1.9008512335818435	2.100906801407278	1.3648581889540472	3.8557479283750196	1.4665912777385441	2.316279953026725	1.4318692164865918	2.408693656002263	1.1238871231485208	1.8987683800017463	2.5050088770221204	3.0777800168989797	0.7186520247893442	1.4045254020073485	0.17697989430674677	2.48330613673129	1.2458403577576125	1.482411047019784	0.7979411461581661	1.3264636980366507	1.6929712740847607	0.39321466488867785	2.676891790380324	1.5437941469878116	3.0762779299507512	0.8269250831593711	2.2322121988038965	1.0694767076247698	3.1984188361534818	2.07533936319026	2.1397647975409573	2.1204547156227784	0.9034195051329633	1.359449720814322	1.8011889497905045	0.8611931606193407	1.780115629119062	1.0005309330390655	3.02947877817528	2.95681634116467	2.6474247302288734	1.9230360623302736	2.1700207570142758	1.1310820764857406	2.602887148988064	1.78531899337724	3.337192605309368	2.152633377273868	3.3029165171938897	1.2796634848818844	2.678160764523863	1.362244157838595	0.8358988636943514	1.421836879811981	1.5858355558946022	3.284767329435403	2.0139531599393607	2.8200582032510475	0.6347526412371904	1.5331273757882231	1.6818776771043344	0.3600567016551275	2.732138110911517	0.9332622143017623	0.8642889317527298	2.378707748656694	3.057050846787408	2.0161846873482263	0.2510097818908425	1.9389284721265176	3.4196659293884766	1.657171505594542	1.03286680710521	1.240289356988484	1.6939827252073736	1.0678468476382035	1.288854218871639	2.095873257033422	0.7629456562045774	2.1602800134555338	1.8487422352969152	1.7989791026532247	1.7044451137238836	3.1564607382800767	0.5295162130318641	1.8697421439861959	1.3861040785243781	2.0365241533270537	0.5571955610811196	1.2953338503598912	3.361370070418455	1.9021595415990658	2.4723334656797107	1.0730461025649602	1.9880487133715607	0.5395407998401756	1.2646698547648256
S103	1.3594835835842882	1.559068418354375	0.0	2.600380235839507	0.9473612108295449	1.9472992517757544	4.191979125781877	2.6086505442719887	2.3650853018704177	1.143630639463479	1.3985773729778699	2.1238912717075102	2.3693607641993375	3.525399859526428	2.8774501432605937	1.1374335308755779	2.421846676568384	1.4651563353203492	1.8766471445866049	2.1177587591427343	2.1123759743310417	1.8675018147629607	2.4132376764509416	1.8165805119164442	1.5257639425450518	2.812051680339618	1.1282359541382851	2.237205467712408	1.961239452470506	2.8930257858634327	2.567617065237579	1.8071776133802817	3.1547151914743394	3.0554604085038295	1.9851635322682295	1.660258500880757	1.6298100265998539	1.8841942844705106	1.5250705285464277	2.6908797671493	0.8992468405737979	2.033955983467696	1.7350611667350888	4.007649650546075	1.4290533356462112	3.2802941012164193	1.9666347291433168	3.805477797014965	2.2840926013730285	4.293258148519245	1.6737195699466452	3.675603460553876	2.055174959484673	2.639793762331858	1.531574702761889	2.1368523410081193	2.52005234765391	2.361385961604535	2.8140783987026294	1.8194684722641978	2.457215692253152	1.0480846294448098	2.0024484966477165	2.0939647775378623	1.349376509479546	2.5147919570473385	1.913412141086307	2.1267359424568464	2.9636608639138946	3.3220976539502947	0.9683833377968545	1.4832373389220541	0.9998251199645619	3.335905199266834	3.203020266417417	2.5030110284559464	2.0404860193708827	2.703792883355306	1.448474653462284	1.4739587989709317	2.113219900546395	2.284602864491142	2.4187243237363334	3.0689296551344314	1.745284740179025	2.8215782684216406	2.7140962770930996	1.130193972833733	1.2319246452918806	1.3027685100976012	2.0748511681849697	1.7375765207534903	1.0697952748174415	4.015914710634277	3.145544357414232	3.35046217240382	2.4667784321941495	2.642989531464561	1.4292232186743372	1.9982103043971025
S104	1.7568861782207346	1.9008512335818435	2.600380235839507	0.0	2.403775437741439	0.8400420161717781	2.2380185338335603	1.0274627759857462	1.0259947714156858	1.6097572210968647	2.8006532866635454	0.8895169546630424	0.4350991609817395	1.139406595393482	1.8178704348025552	1.8382719815694668	0.8942407760878531	1.7806168901462052	1.8621001967917685	0.6577896990562798	0.5006010796193077	2.456292382335492	0.7310119772441293	1.0109851165493746	1.5347269757384712	1.0692267755335927	1.6652625383894977	2.453257363905659	1.095173672228247	1.0143346531065105	2.4507957128670026	3.490254621001359	1.1405663567784152	0.8682336010897445	1.2049117406666077	1.3181297374109506	0.9818314211523169	0.952476944048576	1.1838234125386744	0.4598879259231687	2.1448314914082056	2.631696973658952	2.8996167076679886	2.206321739969572	1.6291534186016536	1.5260307823905488	0.8346735759638341	1.9580119470296184	0.6240889497773694	2.0049270457160624	1.617264939737484	1.7646264916306353	0.6642355796016813	1.3954886158847102	1.1245133360438806	1.2182633503918237	1.063614949460487	0.9141794226303748	2.221796782744646	1.624796765634708	1.8444378947068554	1.8550607845270557	0.694318683597802	0.7355536940724103	1.8527704253265047	1.715736072183064	0.9680750511279584	1.1960989081111968	0.9230174579981548	1.8355138741984813	2.8681100060375817	2.142887372430119	2.236104961494151	1.9283395054526709	2.370992066992687	1.513315681536075	0.8636727884485389	0.8017874784238785	2.4623387877432736	1.133883634593925	1.0637627906773752	1.7125616804445933	0.950845613760686	1.5069095940063622	1.1698100194578838	0.753660794233588	2.0991396083057445	2.245152703962772	1.8332084047994055	1.3940853705449952	1.1396347147255073	1.821652901606067	1.5821498733092125	2.0322652033366237	3.3512939772932557	1.0760064355916796	2.6609188419414687	1.0604964371468006	1.6555797711367024	0.721828675421827
S105	1.7948661745973968	2.100906801407278	0.9473612108295449	2.403775437741439	0.0	1.9481988559821357	3.821581677358748	2.7723863841231235	1.906924424863177	0.8988677191720966	0.8688211068850108	2.180592516492926	2.0608348408201995	3.4705823226831303	2.3247399649430482	1.4923522949931851	2.5470962156307326	1.9502684043501675	1.0940946765596076	2.1226192837259434	1.998970995026859	2.450811757414156	2.4843853064430665	1.5901550169421723	1.9004120348165228	2.2877534562145474	0.789393982769186	1.368505099212984	2.1679645708362605	2.8121241421544236	3.168112484540914	1.1785846798224937	3.227269784371086	3.023328233141193	1.5032665548692885	1.7646182869811557	1.4738588767848724	1.549599563508606	1.6725908868086763	2.6419929536052016	1.308385976170426	1.2197310102767207	0.9023808815986453	4.241720536248257	0.9577789745591851	3.4392468852545073	1.9783916786960596	3.981994767993996	2.1345874931277007	4.228028352237571	1.071059558780699	3.366875440346597	2.0105870647884174	2.1736627472042507	1.3365948178052869	2.4016177831520555	2.698266435016751	2.422930619981049	2.15616026761725	1.6539605883837964	1.9060382146613377	1.4840754508254306	1.8823433342384852	1.9466300531041383	1.818451395715433	2.0660384104017333	2.0500661773378868	2.34345581290098	2.7905736637180523	3.09429066389559	0.9987967746901906	2.1251942508314925	0.34507097084552507	2.7610968970819347	3.682667644732882	2.833922926846933	2.1279296880127347	2.7629309271034	1.9197967065194868	1.365986099345618	1.7285512208836118	2.683282533700811	2.1574558793667173	3.300120711843856	1.2909465928048425	2.8599189187270753	2.0689080462306375	1.8163516648708469	0.6017267203155169	1.2287092893263054	1.7775090554902468	2.1212827209597163	1.0834110243361739	3.88780783964684	3.777134200202642	3.273125921503584	3.129008749857065	2.633553147902234	1.7612778003062148	2.0095920525234092
S106	1.252664773625052	1.3648581889540472	1.9472992517757544	0.8400420161717781	1.9481988559821357	0.0	2.5165440205349454	0.8892200086158188	1.0641602471560663	1.2228149978146405	2.512555212654453	0.8803375902237427	0.8970029388710664	1.602313515537036	1.8007147466111821	1.37331547787565	0.6417551592062768	1.2437868640300944	1.6752578520168966	0.5820829344272611	0.42974053862299383	2.08182474596502	0.7966764242909418	0.5411334991443522	1.005624400447613	1.4279398602400286	1.2718265120403272	2.272601452604287	0.7477101219094193	1.007673836578319	2.0998614140822016	3.1086202306814896	1.285092288972546	1.1169549077184882	1.0228488433224	1.0892597421301569	0.596619604003234	0.6999128959050077	0.6160168070000325	0.8062581448915818	1.6678906001914315	2.3211611405063723	2.528150895369725	2.3413252145311025	1.1801330487960162	1.5007960241227543	0.7224446938958162	2.0404943331176364	0.43448105553798555	2.3597216049573952	1.3049602659845387	1.9687853700998423	0.6328362717817029	1.3723957299217437	0.8130481188375774	0.9288446687029545	0.8112633619234317	0.49568785910588853	2.1222383059810763	1.0136762000811568	1.6499431680423318	1.3058071760728522	0.2548631395827814	0.3363151756846596	1.3585541281080313	1.4993942305346375	0.6125044551052541	1.0287105601450588	1.086534722607623	1.7632432580897086	2.4465008474128496	1.5703834285502971	1.8505133905247142	2.094130274265784	2.2095580289369643	1.3477352756751013	0.25533346478874086	0.8337889229016767	2.0947123049802525	0.6302636756428182	0.8676722609692424	1.4688103198112628	0.8041756087382793	1.4028396413852173	1.0614526932624033	1.0589215475997893	1.9927980807499945	1.6453333826635321	1.494176393646558	0.7421509689121037	0.7881356061352089	1.5093960687518042	0.9267027324994253	2.188764601149917	3.11074560161339	1.404872361597066	2.263320459963567	0.8071153598483232	1.2407225734283838	0.2612672291591979
S107	3.7646027493121714	3.8557479283750196	4.191979125781877	2.2380185338335603	3.821581677358748	2.5165440205349454	0.0	2.6497166432007107	1.9814160831396233	3.3916380309914063	4.438803419473103	3.0819340087473686	2.4119757610831796	2.0287629426902756	1.6433564864332255	3.847933429860046	2.5597043660250507	3.750838225032125	2.891216284657722	2.782995511127831	2.5177477541983997	4.559031068980029	2.786699578989836	2.4326645231151187	3.5106547229028675	1.7823167110610174	3.3700331355877564	3.1042286222441917	3.1258713700518377	1.674175589943443	4.338919856211652	4.687276127072212	2.2630353517813564	1.9657394210411554	2.354975587445671	3.462862241750182	2.827010203703057	2.4397062797431026	3.1148957006548104	2.2738122602250064	4.102669494729982	3.292992620552042	3.8482524381454715	3.112350368688917	2.8815401998783177	2.3957179536426683	2.992682017271412	2.5960088032858355	2.1092689351997476	1.7387688513014954	2.7589455265043124	0.5604100813827552	2.8189042454828406	1.653118287528105	3.0061061248637446	3.2125913898884906	2.6354358330614676	2.3004339226692267	2.117478855623396	2.4349754294037878	2.056450549562871	3.798234233517987	2.41140832771077	2.248939296301017	3.8702694580502803	1.846711512837501	3.0106121081224564	3.310215281162691	1.4937075337758503	1.052918803184589	4.63825821214216	4.063702731145018	3.822500128734037	1.3159792820269909	4.057566082412895	3.444809152924092	2.6172940276339705	2.3568882198021224	4.566592391769356	2.916003576644044	2.1431166274615507	3.7380520923892977	1.8067184087108514	2.714702849150402	2.8587027735840707	2.584223298376933	2.097865419971003	4.153263596972536	3.37796475698252	2.928415097304286	2.125257798042344	3.9578715206881556	3.1638495486337046	1.081975973786778	5.407173815277756	1.7221836586210744	4.584793528223009	1.9297003584878685	3.726489345676301	2.6356048110850354
S108	1.5325280447264436	1.4665912777385441	2.6086505442719887	1.0274627759857462	2.7723863841231235	0.8892200086158188	2.6497166432007107	0.0	1.7690302213443139	1.967891890653129	3.245174966664297	0.963911465457516	1.3576087437985418	1.082633240255595	2.4616603482095494	1.8039533655196085	0.24951789585943066	1.4337556190436447	2.535101980585821	0.8122103469127161	0.956760507744293	2.0976260880001383	0.5475633795362952	1.4129038336702815	1.2409730077599561	1.9738455483652297	2.0509373399433923	3.1388069349804493	0.7902825746333259	1.016236034089648	1.6969326454857425	3.9459114463074996	0.6091423727722487	0.7365217039161353	1.8513295217733363	1.4281016548181331	1.3679610778561495	1.5308631458378226	1.1541420913348912	0.607831616046064	2.163772365650371	3.206762476420734	3.409576021286638	1.4709637692556847	2.0670733782270005	0.7887768303650238	1.0219625758457012	1.26435950378565	1.0095395541236014	1.871415346228493	2.183024512870046	2.1258321208175492	0.9740451452063729	2.0247969299820117	1.542551111807675	0.7065392901601748	0.14259991730642016	0.5953981022738855	2.876646675765348	1.8024943121268018	2.420160401265622	1.750999371213317	1.0416084249713253	1.0901503963018127	1.6215157731893883	2.213258110772161	0.8276311657336917	0.9012337703411498	1.1972848069988409	2.021982075662181	3.100147957745991	1.6900155951134037	2.635353325888867	2.6398411925715117	1.5018050421107754	0.818293371337824	0.6596459159429569	0.3156848327643798	2.372490664080777	1.4262806568002706	1.6574824563626036	1.1402321867507506	1.4051281974558276	0.5751734126108022	1.8273834311135166	0.5169780254369718	2.7524749691794086	1.9382234360682382	2.31507706885007	1.5888413257122675	1.5793544511271984	1.6007329950991507	1.724354946178972	2.0084184504760905	2.7720134793077995	1.0542403027381175	1.9591512998620493	0.8888671408672398	1.5392803328824871	0.7968509159437812
S109	2.0982120741857178	2.316279953026725	2.3650853018704177	1.0259947714156858	1.906924424863177	1.0641602471560663	1.9814160831396233	1.7690302213443139	0.0	1.4455608933020352	2.4697150608140035	1.6065673413388664	0.8364766674112947	1.919226758639609	0.8774719324907311	2.0539158893570817	1.5462079404530227	2.162655787721716	1.0583195882476022	1.3321142682852218	0.9880733730269602	2.9481427777282563	1.5869577589711952	0.6692103554814322	1.9306148449079574	0.500594264353071	1.4126303812286716	1.5424644532380594	1.7019731712565052	1.259135376696636	3.130301368772356	2.8670998474018092	1.8860024948722065	1.5387556699230667	0.40596265546479227	1.7468792390138093	1.0064276004853545	0.5444348005218556	1.458406064448282	1.3338500653018424	2.2414016643011734	1.7286708770989359	2.128035598702983	3.046996593592174	1.0015827656438867	2.1746596256181534	1.420253429761026	2.6653311186736874	0.7691515626940881	2.5195922467742986	0.8654716624261519	1.5404780075683804	1.2733139060402259	0.4957958584821598	1.1274688014875143	1.9074453231565194	1.7271773659211742	1.3024496191178438	1.2053960055476856	1.0278636691783942	0.8395173497010224	2.0353907940315747	0.8401086530067177	0.7417974761430592	2.195130344663237	0.7900268588455865	1.5289643481771087	1.9157340300157035	1.0920617177126037	1.475421447947455	2.673255137791455	2.5080867510580203	1.8586792045431726	1.141956499415705	3.2020930576909703	2.314231731182822	1.2903282666848392	1.5502461694187855	2.763773182740887	1.0915377859483293	0.29607542901235834	2.4379961942778436	0.5430725825413958	2.2260288982315095	0.8999400049437043	1.7100421642520531	1.079539487077405	2.476030790548259	1.4080179009463087	1.1402313305860774	0.49893468991714346	2.336199710813407	1.356499937169808	2.1540892165642815	4.060069725419207	1.655092236182186	3.282956591367772	1.2730007872905598	2.0240350025645926	1.1720875369414971
S110	1.0929385221555201	1.4318692164865918	1.143630639463479	1.6097572210968647	0.8988677191720966	1.2228149978146405	3.3916380309914063	1.967891890653129	1.4455608933020352	0.0	1.2936117386345738	1.2862225631557318	1.2964470895865277	2.67679323553816	2.1489140193494145	0.8333167565454455	1.7596897126591262	1.2583982374863945	1.1415937603889563	1.2563712876939832	1.1882280005375927	1.8513328705426708	1.6167667890038706	1.009658711585412	1.1443323830436634	1.8093395650149913	0.13539862002917602	1.7217590574376473	1.3227747007410138	2.1687214518574613	2.4615468322714946	2.028298774910735	2.4421900471977476	2.265257220636203	1.1022733749128422	0.8953458904417352	0.673755989404671	0.9525742179443268	0.8630896614562912	1.8304382824772336	0.8661863834313789	1.7333591692206676	1.669865345104955	3.4205777592598956	0.778458859891577	2.689510577235561	1.0894338682966427	3.211773611549061	1.452801482828255	3.5112863828521217	0.9312079351962531	2.8974231063513476	1.1359517341887981	1.8498529261690777	0.4886378959344536	1.5629929230326374	1.9166590593275297	1.7168024792699639	2.1937376512067375	1.411549765784432	1.8272441859781225	0.8673232523358201	1.155580122222094	1.2784428921434652	1.1434890023405202	1.888452293546379	1.1975185680088212	1.4751340808210898	2.1589830451260275	2.7000965836036994	1.2896169259041328	1.5410061130069157	0.6794401995761352	2.525069282219673	2.8878026794317004	1.9952906599596776	1.363033077122636	1.9683855275762598	1.4501873282252566	0.5939924984830148	1.2663605073819675	1.8719076704268414	1.630410679148555	2.5235830799007526	0.6424665611837532	2.003741850172641	2.074025078987301	1.3402678140475905	0.4570875417988497	0.6843236134958759	1.3342701762047169	1.368803084495676	0.5850925109930104	3.3186522039662427	3.141198114699373	2.5408345297739277	2.4801968154416705	1.9998607804536594	1.0019168703134713	1.2055937302871025
