	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200
S101	0.0	0.8116494109275267	1.5139229334829571	1.3475236642595483	1.8599737855443204	3.6459321043096256	0.8754074950630147	1.3909389345897203	3.470059669737758	2.1149988465735157	1.508460011571233	2.9001123142798986	1.4498624321004765	0.3943388697554165	2.809294775531281	2.6733360258043612	2.686153370762306	1.989694849445614	0.7375426126834393	2.0349053249613407	0.4397708374243478	2.321442414349488	2.9811831764926575	1.1895401853827186	1.3292420563647953	0.9458770335149655	0.8359146674733076	2.0694655072483727	1.6281112985840849	3.147326449539628	3.5472797105105043	1.4330246082428386	2.826423144668003	2.856205896007751	2.650953494853118	1.0525665541016351	4.047075381923798	3.6434132435098863	1.6408696085983934	2.1338335985770525	1.0779266645273793	2.8044916236735884	1.782973818805606	3.4265365540315247	2.8747552003662915	1.1078764760717108	2.798617070801386	1.8610059703988848	2.4162386807726457	1.0787822822778892	2.4666126529240153	2.247564066308663	2.3291446949902515	2.3747031415266777	1.3855466620131986	1.1565966986300704	2.0118750944931367	1.4994553672013065	0.5450322475998386	2.8880492443757775	2.5063203046951905	1.2787305987398832	3.017566371819848	1.0205810683021046	1.864977911188778	1.00911080552387	1.8019521323039327	2.2803991071657075	2.2694288919307346	2.1761067179985294	2.227799441901532	3.5054698438012526	3.06924643555371	2.83962484180638	2.73331606241066	4.1222144136687335	2.232400007999045	2.557036202612688	1.9366895244099254	2.3886432883496673	3.8189242186239243	2.4719264830301158	4.394602969152375	1.1406283359877067	2.9405896017187705	3.7704989637025137	1.4246948205785248	1.6040253867108412	2.9903596849640675	1.776420855127632	1.7005021953651085	1.8046132963061214	2.831083183848401	0.24281512256771212	0.9949533738064914	1.0364024503504679	0.9751701719763379	1.9502849782306388	2.006620776283405	2.601473535101249
S102	0.8116494109275267	0.0	1.8403218393924428	1.4800473544274642	1.4399165995277912	3.339985755571284	1.1195896484511454	1.7188955657838572	3.3520662594212918	1.7033067905368733	2.2166893847887534	2.666336722547855	1.1298437741732834	0.5448965779666294	3.0689818565790725	2.82570341145707	2.589206186573751	2.4863039303634342	1.1552414382798406	2.4341300284683247	0.9892316128987241	2.6872574784077883	2.952063603211646	0.4944248483129142	1.7751627989178107	1.520745575571486	1.2776152917596995	1.8194332642330076	1.8576496665721154	3.4374623687602126	3.6528095444953177	1.186615743008204	2.7498478451713178	3.028210235306582	2.542101036305706	1.3692278011718435	4.4713711861419805	3.3288857497688285	2.0212481684467822	2.2643016782352428	0.999460043921317	2.911611934041536	2.104012357655651	3.919690388246093	2.6047928675040852	1.3285004063284007	2.7739436566559714	1.895957007629056	2.5356259305255047	1.305681338487367	2.80069007205838	2.407368494371603	2.656841122863638	2.604304740334357	1.8643269166742114	1.521257653655813	2.236155371318692	1.542472814131546	0.7760602993850104	3.3239879751464505	2.962435417262965	1.537763152077159	2.826278298213198	0.6817288606743673	2.0060410233115684	0.8619023201244378	2.273877373102454	2.403543444218752	2.6575944613585034	1.9424479705124782	2.265481085309587	3.9067412923094973	3.4752469129732955	2.9200732977696333	3.001071667576981	4.2205390959004045	2.5538664528756745	3.119128810162694	2.207842126839717	2.707634639627135	4.042993887748792	2.215011785440823	4.654107999394025	1.3551724310667235	2.7816833691942096	3.5209412682947563	1.6818871578860528	1.8100876060459843	3.3375176439509238	1.7440269254434706	1.901449117058283	2.012376818179297	2.796322137487746	1.0188063218070533	1.2982979890509987	0.9626061533980886	1.6109606651741728	2.3010677657584195	2.1466379523683026	2.6611807779740038
S103	1.5139229334829571	1.8403218393924428	0.0	1.6674759161235742	2.1145991033606806	3.2995423147706227	0.85912462770381	0.6889683147890976	2.7216962914112655	2.181444950212353	1.1258409983377313	2.6810116557328696	1.8046001704403405	1.7433484852096597	1.5492788564770918	1.5000246530031582	2.079135744944033	0.8559949624822718	0.8404739652887283	0.650881210282324	1.3937933335402586	0.9204737316301709	2.2646040382414383	2.097637837452717	0.36586633575715116	0.7809789430833293	2.1734239150381365	2.2619633564966253	0.4590221407590733	1.7291566123896145	2.2241019016133454	1.5995183339750578	1.997420855691218	1.8464618836091224	1.9692984581159345	0.7836373386520654	2.6350372165343745	3.381800164277314	0.47967019816182166	1.1802255477955768	1.5088761654588463	1.5585356980024028	0.27258977574551657	2.1180654494740097	2.6280189785220656	1.0492433556907264	2.1360716001033015	1.212831227637895	1.4760991504727161	1.0793269962628076	1.1998837374895897	1.1107190211953493	0.8911960909587906	1.0178684553369122	0.5938383600775026	0.5451729104235848	0.8291608900210696	1.0640839808964326	1.1038813250548676	1.5080962018025823	1.3423385048215102	0.6045242361162516	2.768887483123496	2.086908605457607	1.0179977717494875	2.4594016849066556	0.5331607204661512	1.445828743569626	0.9279750058259015	2.234786876718562	1.6251920946273237	2.0817796365956505	1.825766033726049	1.7158963041638857	1.2708840667411454	3.0698922752256648	1.2326276471421103	1.7725945632068796	0.4477340579497747	0.8902683835313087	2.6983989853019072	2.2349659138600777	3.02604368561984	0.5741129937056246	2.675581030882424	3.1912070835833033	0.8385639566469647	0.7877552201767367	1.6951278312894285	1.2738869741988113	0.8140885669403074	1.083943271456492	2.245962564424389	1.6314364538207258	0.6309251696346296	1.0066243050467694	0.8271216448804181	0.50847817548702	1.4963149384046728	1.7600056513471407
S104	1.3475236642595483	1.4800473544274642	1.6674759161235742	0.0	1.1005484458301609	2.4926546653706354	0.9611075533038386	1.0432589844966176	2.358619199961349	1.2807120223559965	1.9330441104966034	1.6997621312403675	0.7883992887755428	1.5667559872526409	2.1619980473821236	1.9376488387129227	1.5907193462002187	1.8316996320750671	1.5045296144183469	1.9183957813958032	1.6946119218371063	2.0767150039569104	1.8529492479490477	1.3844303058899343	1.7451019789318691	1.6659497974536268	2.1247247708656736	0.9554615060084215	1.4017982973517833	2.6904139362598003	2.8536133734345883	0.7561075876563814	1.856663278176273	1.9294355558490477	1.6357255676454654	0.9023163654042345	3.99414358033079	2.472240554682605	1.455285914470852	1.3779093163426983	0.5429316211755342	2.1355321160745255	1.8612256200451207	3.5211919970932994	1.7301429245301094	0.6276082979313307	1.6627421228862729	1.0478137016768856	1.5368092380087788	0.6015286849306003	1.9640488808479784	1.6101966117285436	2.084405540260402	1.9349584731221139	1.3093193110920407	1.1408094027255393	1.521375261767783	0.8482284088190744	1.2282444809980682	2.990762034147792	2.0967789500937886	1.0741971839199957	1.7721784520148185	1.0814934795514524	1.166830640381593	1.9454977173136445	1.8959375315289186	1.3562022805182823	2.561910202996549	1.0293833615196586	1.164475659547117	3.265254296014624	2.54264456186856	2.0340186867874785	2.4030077820820144	3.0842850701793876	1.537834952870528	3.2186322920006103	2.0583181107526776	2.2913781413528618	2.8932832616502377	1.3909317978658025	3.7270858670173626	1.1801421952216147	1.680618977332211	2.6509421070414665	0.9070054956193827	1.086545718709309	2.440552578784568	0.9675743657375354	1.1538539311518203	1.0253951862108714	1.6463461156873904	1.4219087444609193	1.1310856208781317	1.1377606046386428	1.620626273382062	2.1482903011572607	0.9335792751240791	1.6020064242053857
S105	1.8599737855443204	1.4399165995277912	2.1145991033606806	1.1005484458301609	0.0	1.9206943039549647	1.443648303573667	1.6842361802179182	2.1378160675154483	0.3110648438263992	2.7756854016018395	1.2742141247277927	0.4224991216646839	1.8547685086695211	2.5847465358771453	2.211464403601025	1.4519303338916003	2.555398598068641	1.9522477450116005	2.4850325950737426	2.1415042548680248	2.605500834479152	1.8427222054994135	1.078027220299437	2.279443518535607	2.26466803805069	2.587217795168527	0.5434256908336966	1.8088344551315676	3.0932495870701557	2.974373374653148	0.5407902265668918	1.729099445032594	2.2716009348190562	1.4600575476439608	1.5226218741374833	4.497686220873839	1.8944622032774068	2.059316360893692	1.6942628296761544	0.862043319554981	2.3039973924975325	2.2951185530632308	4.115198047133764	1.2055040845443272	1.2840985039634651	1.6811307858770914	1.264675601317221	1.8228589544064602	1.2796387519218242	2.5025493788461604	1.9251026347555102	2.556076149750841	2.2991556116264484	2.0416633975701406	1.7361868958860196	1.9367668919844903	1.1423084265241	1.5818754601132772	3.5171481084672855	2.798361381363657	1.5844202895662265	1.4553217092818478	1.139038276320973	1.5394049290329384	2.1115884532136295	2.520441621661186	1.687870938164657	3.0148814940780135	0.6254955295918038	1.3833926391404707	3.780403422095133	3.154779037482995	2.1780821573501488	2.7725910732626624	3.2288241938664988	2.1528710779066342	3.8324038054504013	2.4085239157515903	2.7141302405647916	3.2523479171203613	0.875838656638533	4.062444251594035	1.580344156848925	1.4420288957653045	2.175433884443985	1.5151318383552412	1.56362938502807	2.9678748720639185	1.073522101887422	1.6104536339761037	1.5664758119025246	1.6552729062472074	2.0361335397698572	1.6277028668998301	1.2517450328332165	2.3030701686272197	2.584199326501913	1.4336949312082037	1.7801720103166059
S106	3.6459321043096256	3.339985755571284	3.2995423147706227	2.4926546653706354	1.9206943039549647	0.0	2.981796102802163	2.847186327424216	1.076695272486931	1.6434893323958797	4.068834583846963	0.7989041332934133	2.2507922502913718	3.720524979378048	2.7663851596090945	2.369031425350717	1.2896667247130469	3.439257180750617	3.5505716789366635	3.345678988561981	3.898055245393987	3.279382056777065	1.3590788576469224	2.99356468122006	3.5979022727956744	3.7681375596602518	4.4398471036672165	1.6860081676539218	2.8563098007636287	3.2678446746231464	2.6602058173286807	2.2276211819547806	1.4934740435994351	2.2056683986444168	1.3837593506351853	2.9218122566560614	4.847840976944873	0.21206484639584391	3.086717104748113	2.258914673856321	2.5729664848288407	2.4016165711505852	3.3390829581887598	4.7375388951829756	0.7747419710088883	2.706029494972956	1.3988545192686694	2.1183640874416745	2.0996238855467526	2.721734827465335	2.975711779157471	2.435800216475247	3.2183440045766245	2.8234580322033995	3.219641350194263	3.0606989404319846	2.6658718071333123	2.3537735117433325	3.293545166050727	4.234672712124202	3.3522531133759026	2.852805549556757	0.7889956605976756	3.019502417304597	2.3510461253525454	4.023173247517134	3.5632643805649984	2.076919559545192	4.000623964661281	1.5269967634633288	1.8092260952897306	4.074146227471658	3.3893005653997537	2.140567136259245	3.1938384786889813	2.3033651685437873	2.6890900590658906	5.033704589023639	3.411787636977501	3.428731273773603	2.730847050408321	1.1784230824295632	3.6363995392440343	2.968830910780646	0.9063751602128267	0.5607813546916584	2.6676419150248147	2.5922404413122124	3.1772306219847355	2.073711660369888	2.5613519851012025	2.408196572563088	1.309939929201439	3.800484480098176	3.0728111745828244	2.850082748560594	3.7764498388055214	3.6142193136476086	2.0905929780906964	1.8173320224085765
S107	0.8754074950630147	1.1195896484511454	0.85912462770381	0.9611075533038386	1.443648303573667	2.981796102802163	0.0	0.6063413596000284	2.664802199687434	1.6034215801602083	1.3790057238841598	2.2695473152833006	1.0606696387418169	1.098524505924591	1.9946570575566116	1.8167489972491366	1.9007793977041831	1.390110214881242	0.600578848329279	1.3559123034462859	0.9914680033906611	1.599564698249562	2.1816000412634136	1.3146121093557968	0.8882791490690972	0.8325775693016292	1.6888391849124327	1.6150440028048747	0.8012106352359682	2.3646938843307814	2.6843745501271967	0.9083636164433712	1.9874080867990649	2.0317578270803938	1.8413387631512763	0.26463138097785777	3.4540331718261497	3.015215111569671	0.9132296861691401	1.276404889809387	0.6938140226516719	1.9372004256646653	1.1131714976737312	2.9271756905415156	2.2303407859080844	0.3930419784347506	2.0093460311631604	1.0219938070616053	1.570965842081293	0.3967464533742271	1.6953556973110857	1.3873938951533984	1.5843859664574464	1.5506441519033907	0.7739838354224795	0.41524041634933534	1.17118265975212	0.6724112388086559	0.4545396255757161	2.341877897212527	1.843984612267321	0.43648024591286005	2.3805190335893123	1.2362295242896006	1.0088479619117963	1.7512898199002545	1.239184118784439	1.4506323262965668	1.771400262790891	1.64978400211648	1.4360809561070103	2.8337582592572037	2.3580905551926232	1.9719239148964716	1.953704323889801	3.289293740420003	1.4644474582483034	2.422727250847405	1.2806460121988439	1.6839195544400891	3.0141972797552783	1.8142714094838512	3.5896393471725143	0.32484724526938524	2.2958930740646317	3.021069916809811	0.611889301043876	0.7522014399977657	2.2319298757939654	0.9637718600366288	0.8479378183599534	0.9933674420412648	2.0677569534189337	1.0367219518558446	0.2317715870541248	0.41454360714038213	0.8661755003164741	1.3658453620977513	1.2568152851136332	1.7697050146991162
S108	1.3909389345897203	1.7188955657838572	0.6889683147890976	1.0432589844966176	1.6842361802179182	2.847186327424216	0.6063413596000284	0.0	2.340152061341303	1.7631019618652903	1.2396541876714648	2.1564767442867634	1.366851974610565	1.6760493852153044	1.4238382941576821	1.3032862497974886	1.6284360294096993	0.8879072117089187	1.0054042690924367	0.8907709207076295	1.4790695664030409	1.0867210561839338	1.819293969104883	1.8555380903018426	0.8566102678301428	1.0224909785401741	2.1765425432414904	1.7048307477700446	0.4368316722468026	1.8225192402491628	2.1954028075264818	1.1674564407983377	1.6606576789958372	1.50001600301084	1.5725756410335305	0.35904559409819153	2.998883750795941	2.9031006809114372	0.41912898500302004	0.8133903252532706	1.050017757731196	1.4645184858331775	0.8367170614432982	2.5165997203956456	2.1381946401522134	0.5042500738069718	1.6630229589443313	0.7469253315027553	1.0955505399411933	0.5383332934018448	1.1128458081574584	0.8940630847698909	1.0906363614019359	1.044402011000784	0.38754681766284843	0.30910495006409494	0.6545789460478112	0.5843328008323013	1.0418101906457897	1.9589340304643135	1.2628643631428975	0.241548175056883	2.224542473583051	1.7313094377414449	0.5786759918495284	2.3208285663253547	0.8835321499257726	0.9918004671961224	1.5345460263502169	1.6808832585360909	1.0984571376876164	2.317947372487509	1.7635995373175484	1.5037195433690518	1.4615129870914285	2.779411421640072	0.8663248200218341	2.3098829196679174	1.0496245019887278	1.2659641856604067	2.4445552289627317	1.7566414437689208	3.022546231776834	0.4921520531108602	2.120156609899123	2.8025867989841284	0.19149270592193068	0.30218007333456814	1.644688219767973	0.8163041615699035	0.37442962879689523	0.5136196665210926	1.7418712316660687	1.4895514160248506	0.5036311441303595	0.8895706704355579	0.9859294909276307	1.1233015367850507	0.88375416430102	1.3422896740566668
S109	3.470059669737758	3.3520662594212918	2.7216962914112655	2.358619199961349	2.1378160675154483	1.076695272486931	2.664802199687434	2.340152061341303	0.0	1.8804603872800256	3.4955841357868023	1.131663934418316	2.3147892899840294	3.6266147416876318	1.819029715983673	1.4674166456280835	0.7888926091882099	2.7039759948435416	3.198075202832252	2.5958707264165386	3.6511286929250506	2.455529357689026	0.5752714831701642	3.140809975139547	3.055874258002686	3.3256575698134765	4.304780655053202	1.9050837735234796	2.274171138334189	2.274524587108734	1.6201381344592354	2.1892093207072336	0.7323219392559573	1.2801015578323056	0.8335324226666204	2.5348643709175613	3.8438030300687163	1.2457703500598973	2.4560558444069884	1.58068370550533	2.489406659530905	1.4815594321535526	2.68448495919572	3.8051157730132457	1.1156878584780603	2.392985081805054	0.7379591150051336	1.650930710479179	1.3334432017666333	2.421340060747083	2.1127586007825108	1.6777987094646887	2.397139126165852	1.9979515700437958	2.6606646185668414	2.5977881889358763	1.9605989934846773	1.9933056110088903	3.0609679760383255	3.3598328466395437	2.500547843772166	2.3930750399714995	1.0677742850236698	3.1340150666805773	1.773898551004087	4.092714996174284	2.876580903625936	1.3903014085519	3.260950751110676	1.7069963911930357	1.2930834006252099	3.0737237266038813	2.426049742297242	1.2081684312060261	2.288500372081764	1.3054830544145595	1.9256053294651716	4.326368323736846	2.741869197217712	2.6142099317642353	1.69902720983675	1.2747414289094205	2.5608658081670184	2.557184758883201	1.0536634817247563	0.6723508136699786	2.197361021039775	2.061727277450987	2.2074555521620387	1.707818136843261	1.9967068232384677	1.8513155885649208	0.7512138820070688	3.612726460605798	2.678152744771807	2.6073440980161857	3.318428426555506	2.92592465901779	1.6063001459233341	1.044545017639915
S110	2.1149988465735157	1.7033067905368733	2.181444950212353	1.2807120223559965	0.3110648438263992	1.6434893323958797	1.6034215801602083	1.7631019618652903	1.8804603872800256	0.0	2.921301679333788	1.047884791764305	0.6807362573480131	2.1210290462731427	2.494319798331861	2.09425493277255	1.2444981382964924	2.6015947233196375	2.127040896562588	2.5060416216932366	2.3710985608417032	2.592733844408973	1.6412841012715538	1.3581144056387684	2.3881868344870667	2.428442508147804	2.8630832163345126	0.575091902795522	1.8376733577356366	3.0026230550939728	2.797611395787892	0.7155251379109611	1.5149607585369118	2.1468659407393456	1.247676815721094	1.6558017802452112	4.450227914873996	1.633247945227654	2.110364047464264	1.6267544017811209	1.091830863735283	2.1665964181804904	2.3327608414321084	4.115194418036004	0.9492747694322493	1.4271727227354851	1.4962729095304979	1.2245469827241275	1.7178061103727074	1.4310029543709881	2.461908781805272	1.8525878532086526	2.533782308260759	2.239865381220611	2.139052653786179	1.8484438455909586	1.910014108456668	1.1885386323527696	1.7880947476478355	3.519283280918017	2.794639983985796	1.6719293704331333	1.244994908664652	1.4470053475203497	1.5156829103208007	2.409793743582568	2.5822859948242316	1.6019938161445133	3.0508396011400314	0.561124403244364	1.286557881201104	3.7234297792840514	3.101936811093254	2.0230982930243187	2.7052867923465085	3.0232580994327853	2.1290495321157334	3.934441408936496	2.430488872592948	2.6960430004090754	3.100039137608929	0.6325719331667686	3.9101206262641104	1.6873875748917055	1.2461797849099283	1.8836592746735787	1.5861463867436834	1.593525203790057	2.8981671703927585	1.0451804301845717	1.623215418760728	1.57100520544918	1.471229469881522	2.2964060361144223	1.7609369970247526	1.3954089056435377	2.468704658859156	2.62260106091061	1.409987292304971	1.6372180643984804
