	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S163	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S178	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S195	S196	S197	S198	S199	S200
S101	0.0	2.692039725071368	2.5568545019559483	1.3523359134175708	3.171900585327966	3.67096860338821	1.673944903916171	1.0705443363339626	2.262684501265319	1.2989724412710892	1.9882392153255162	2.188603021533056	1.957078813759277	3.2827011035648623	1.3514057084791609	3.0971963895584422	1.3388363732410338	1.461575890193078	1.3933471264734516	1.0226494826102133	2.116352903178881	1.7779021968119704	2.085873714621553	1.530356385433766	2.5503030051017435	1.8569096549094934	1.3440763523985173	3.1977037220180047	1.3911290616820937	1.908247431281105	1.660626518849513	2.248959501244564	0.9739682173257461	1.9734950865621137	2.6566687151929234	1.7133085176868186	1.4897928690488704	1.2623897521413536	2.8076399087125465	2.4850656304882555	2.6262750161525825	2.1593922425090195	1.6822629257666657	2.2393045329490455	1.7607087591600898	2.5456387710263226	1.1050838508217444	2.2336808702929716	1.2580918792301632	4.032111984087284	1.4478820550342357	1.5442032832054122	1.344964393056408	1.3005141985376787	2.014583788718224	2.5043263743202684	1.3692546575866325	2.695010263081139	1.2193817548234709	2.16838251336298	0.3720771775640469	1.0188899671136769	1.7905211953200955	1.099700961927353	1.922440651845697	0.9886648277706662	2.6065676539790616	2.5773326661691462	3.678052352596306	2.23989213735314	1.8958688139779252	0.7727581091073012	1.5129851589706367	1.1870216025815021	3.572555487916822	0.8167632457385899	2.137544396440569	2.7180383484696438	1.290427883189593	1.3092280685524784	2.6962767024199397	1.0203847297751947	3.419966973429173	1.7406841656504433	2.4254762253232394	2.8056999695182783	1.1284716801917256	1.0560408103022427	1.082300237502765	2.9052481798542917	2.1569274751336485	0.8632072497559243	1.6318119677127774	2.307502836690569	1.7385584734170025	1.1925446157436723	3.0263507004104735	0.6962126823448274	1.4445911468892545	1.1103829114084294
S102	2.692039725071368	0.0	1.855129898636061	2.2823763358453086	1.2871084853156873	1.493692081412811	1.1404822579190248	1.7019928373343984	0.4884325129641442	3.4356231117223084	1.7819072248734067	2.556575363329427	2.252594247673437	0.9419345279592574	2.2323537786008254	3.2532216638864306	2.111408559794956	2.1576606028518417	2.296593423641181	1.8131071046856722	1.0602408660214	1.8845043826286152	1.4069299145665595	2.2111048533982087	0.762452788361393	4.085658055045927	2.5174366897859994	2.478868743743835	1.5711186760553364	0.826895248938629	1.4605729623149553	2.437953362077374	1.7523512851028722	0.7502878365159847	1.6341526100828752	3.4100591930647592	1.783795008382736	3.4466174421803335	1.6602263105941535	0.4625611196977238	2.6425923404786738	1.2317252021676417	2.537073712503822	1.7638370184877765	1.295700320404468	3.1529101679739986	2.023805310279644	1.5931576873077593	2.478960097303795	3.230200624016987	1.4759141932544526	1.4258509461061606	2.153250675004595	2.4488349789461115	3.3892208675818147	0.9274456336876649	2.146075785872434	2.073335261084947	1.5497988846467212	2.949029526667768	2.5381108439305042	1.893295710543942	3.0489041809392776	1.789794951040627	0.9664891554278512	2.250223035332501	3.1493431202832474	1.6307558303211518	1.7750263582336816	3.949554287649191	2.561958318343236	3.2641771370941286	1.5787354038674062	1.6493121478066066	1.6444805211693219	1.939156605292238	0.9189882449590365	1.2496646162527694	1.669108724684546	2.272964135373914	1.248770163036692	2.786259498176198	0.8991400432881475	1.8242474005195202	2.208039864315492	0.8177432044822665	1.6577669500666958	1.9306998405910036	1.6624612658175149	1.616014775443843	2.584368409397868	2.2714894513495825	1.5321262600921253	3.814590564899519	2.0847814188249063	1.6943477169223946	2.23319030839171	2.428070588783006	1.484669195112867	2.138073308824739
S103	2.5568545019559483	1.855129898636061	0.0	2.7366998564901692	2.5905665040256474	1.615172738015273	1.9198166033465023	1.6391165876945382	1.5230399740127183	2.8179327438494988	2.9353559348542353	2.2281642797130554	0.958341993185186	1.5411145378957498	2.1354301704171905	2.518111206998743	2.8171471539380635	2.9342454495258172	3.086063506901506	2.3340744570360785	2.386814175357201	2.5161484653482997	1.78038679124506	3.0731558807197907	2.3175266044998954	4.379119207673123	2.1465237372901713	3.6362690093054626	1.2774839405495133	1.9088031871410223	1.013001733825289	2.0512334864534596	2.1270744319814168	1.5039311610994037	2.0383695784498554	3.603996868975776	2.630467145550293	3.071494926844016	1.5646893011179743	1.913284350015905	1.3458205334853965	0.7660852041437369	2.442331487899849	2.8263202857965397	2.2178790084777176	4.294951197002085	2.590296816914044	1.3576574553353395	2.7566162258198226	1.8572687740445826	2.3139839844554815	1.4536289187610645	1.345398642948044	1.6022391857788127	3.654982659871375	2.290938746914301	2.8963906952612626	3.6002847958604463	1.687382574094862	3.97868978314753	2.2599235509133955	2.2619103172615893	3.8483053005553387	2.380484749166875	1.7760029400761306	2.7490987086490892	4.005060573229554	0.30626591020931404	3.246034129812747	4.3623549532912955	1.7601699326167484	2.765562562307122	1.9101808789772035	1.6090320116803971	1.3787032526813512	2.173872355551114	1.548538576817716	2.7850486760098843	1.4704423530896515	2.47440338090326	2.9392930586000348	2.7397267329054755	1.8287751786944029	2.2674359611545216	3.379442784553099	1.161228146919934	2.1773899781728945	2.5308580042285933	1.9691984649719345	0.5280997067057681	3.2316149591802525	1.7196366625553379	2.388301732244989	3.1593575539280634	3.141236836461745	2.35557909229869	3.8492725120679685	2.040545518719541	1.5621155057162024	1.9105493372545739
S104	1.3523359134175708	2.2823763358453086	2.7366998564901692	0.0	2.2060578121270606	3.5311346333498466	1.6816593049771273	1.401508309564606	1.9504059133279588	1.7680152472355004	1.9177291241321437	3.090595706744714	2.5988946679460705	2.9754468875958806	0.8255999662843392	2.5906146809749844	0.5265577061132051	0.5817458085948135	1.465969757534673	1.047668311149152	1.8799111939615794	0.5860274228501723	2.4477264105322707	1.607643726209408	2.2949716649781005	2.1575649866956854	1.1184498833864207	3.395196673091052	1.5612375904231712	1.5757529997800808	1.8622503091428584	1.641099712420007	1.07833654510658	1.7543352771721799	3.029583434572363	1.1307659964606662	0.7158532841475906	1.5223541657207318	3.1758164541233884	1.8962246222887902	2.5686234454851085	2.092667069319778	0.9524629291034908	2.3980876103817375	1.806123258975909	2.3369587887377414	1.4352343472495201	1.7519370181181764	0.27413446111196993	3.9267096473772862	1.3246613370542388	1.3028316425201614	1.6893639681640713	1.6902354573028915	2.9635352182633965	2.3929336866761104	1.5766244979919453	1.9982250698268624	1.153792446496447	1.6193038425669313	1.2746650119524248	0.6398707097880948	1.8566454286932468	1.145990423171721	1.9528907842249192	0.6167415184874162	3.05750023596313	2.7412268596895886	3.5321969680082153	1.7262410600355875	1.7574256745454266	2.094878993972577	1.95131338282482	1.2033946196576086	3.538637446589544	1.2962652842714635	2.223428855426912	2.500826362268248	1.3041785363438179	0.3965662620229838	2.007605157477745	0.7775854918685771	3.0982787712575997	2.26836074874255	2.507685866430256	2.571703629858757	0.9404135610444435	0.9723350790270046	1.3904376497130744	2.962067386627095	0.8217298716970285	1.5770747838682884	0.7896805664327613	2.156238273945994	1.3925838702182318	1.084784544594017	2.4143610986419435	1.2408764069855445	1.191953325153	0.9868851758239049
S105	3.171900585327966	1.2871084853156873	2.5905665040256474	2.2060578121270606	0.0	2.317248255495294	2.039950304444012	2.3738307020776324	1.4404164850577197	3.611182068076708	2.463005504507405	3.7159119738178923	3.1253409363374502	1.6883885583278335	2.2447043087805763	2.8788075831496953	2.2005014701312975	2.1930094312648425	2.783693478105447	2.327769164497752	1.8842462922328536	1.6360126649624411	2.5985046647306866	2.758768400480741	1.7852290447465693	4.26103855257543	2.571385924832267	3.44489272864451	2.2247911308509156	1.5789360849058471	2.2454660932540103	2.175184468293657	2.301685223396793	1.6238396985316104	2.909301319872736	3.2107440545048327	1.925544171516448	3.5308752837877573	2.91181975392404	0.9838367627002079	2.796902056018066	1.9340470806841077	2.3357065301139723	2.7100942719142824	2.199611546250823	3.4134162341014713	2.6713499889857335	1.6398860853817403	2.4122122620940942	3.3828108218213195	2.104166276533057	1.8456107869596843	2.642733861734328	2.846002348814322	4.268455426239197	2.033177460614851	2.757291338198533	2.133561606247489	2.0586058752021588	2.963263071490793	2.985654726631623	2.1734120779010313	3.3912432111940234	2.3448433702940075	2.0298717646369724	2.4723213994858066	3.9496036045877516	2.4811211590158075	2.700698851123456	3.7171448386163624	2.62602698317829	3.8599642008662336	2.5720146774249213	2.1481675802766858	2.516772363071471	2.58482393546107	2.1000506667839653	2.12597536489222	2.150982932337433	2.2152789011335665	1.4500114892320977	2.8314219439809523	1.7138440944952673	2.875689464765601	2.9711607103200697	1.666417943990139	2.112939128199856	2.368466002658648	2.3866599648484352	2.41939561180896	2.0635138694480735	2.855446667881289	1.628223828848649	3.6440399123116713	2.4225943056504455	2.2103806223800757	2.3675536624132434	2.819331114136283	1.8814549027540364	2.3613719834558964
S106	3.67096860338821	1.493692081412811	1.615172738015273	3.5311346333498466	2.317248255495294	0.0	2.301384630055388	2.603847697080258	1.6324812418632009	4.216526072036806	3.0946057829009836	2.860064404047138	2.341137967658547	0.6428328475750181	3.193141646300948	3.5836217421172134	3.458523870410525	3.5319419837055164	3.6078802611568883	3.0308016617529945	2.410002995140665	3.135495178264157	2.0458673904021945	3.5183544750452844	2.023801898038226	5.330722760750273	3.3588961702187206	3.3465366079805996	2.3249816150472227	2.157843192152741	2.047941908057715	3.086049343695851	2.899367307702609	1.850673779014896	1.9456704828219178	4.600731988522896	3.1592210307206665	4.368304991632047	1.5235303035322534	1.828623401069345	2.6940598461310588	1.629764741865275	3.48423615883371	2.8614550898299735	2.4905800824337363	4.564612806855083	3.2165597512110424	2.186514157388946	3.664010027069192	2.555547874420949	2.768395524343076	2.3398469511827322	2.7204626093073974	3.025428176620139	4.289848592474809	2.0399171132022227	3.4037959330469163	3.5444325020995646	2.564801933687022	4.404940819036739	3.4474800107703367	3.081915070335709	4.39600103065067	3.0226261996731227	2.025792244984759	3.5226649230464955	4.229179345334414	1.3834864423932745	2.4030936727452965	5.253191994060241	3.090971675637801	4.03766917162375	2.476214557126075	2.5857431925806793	0.34354976990990893	3.007107130757424	1.7265584644361611	2.4428725199954715	2.518314125938182	3.397820265621144	2.7058696070941575	3.8450098830434554	0.7077661676869861	2.686595272612473	3.4056729264148045	0.9641190533959918	2.8770036452772736	3.1983295967191627	2.721124123924211	1.0904924004059084	3.857128128772625	2.98946821172581	2.8854104307090505	4.510377502390254	3.497717592160483	2.959978332149722	3.651977641967779	3.279334336451462	2.448017963437272	3.043273968291632
S107	1.673944903916171	1.1404822579190248	1.9198166033465023	1.6816593049771273	2.039950304444012	2.301384630055388	0.0	0.8399118611791262	0.8490081258078976	2.675818707731101	1.0190321896292158	1.7950071263166245	1.7846692853827366	1.8823332586749644	1.7432664066220016	3.302756733472394	1.398524546829561	1.4841216016674312	1.316586156972298	0.816082664063339	0.6007158708498777	1.5824739944579451	0.8228512905624117	1.2461988451215993	0.8997330653465043	3.0949506215938056	1.9928950030969672	2.06706201537011	0.9869806662381668	0.46188861255521885	1.0222874568621674	2.3579776787269457	0.7692447149635835	0.6215570019464023	1.3645040199222287	2.730925323321935	1.1449168293194047	2.667673882071227	1.6083402732385637	1.1145627341970437	2.6286084747988845	1.2909476071830828	2.149741015115609	1.0692077946829406	0.32994052425718734	2.418219691304185	0.926305887299042	1.7248083129981397	1.844510527100695	3.620749050927933	0.5081864891668892	1.0424814516409115	1.598504882735017	1.8625131742613998	2.3132878877663545	0.8611034435130781	1.1143058330652384	1.8228147407487625	0.8490609485935726	2.258288989392112	1.6136118229172303	1.113147097240473	2.1113656128404825	0.7652222398439916	0.3085980237778435	1.3899012350382862	2.2772032030215135	1.749252699697314	2.0862685336834437	3.227546072350879	2.266060982530038	2.2337119639741965	0.5525652158638971	0.9763639729725958	2.3074685436956295	0.8647209722447079	0.6416858259221744	1.1847319954018052	1.095182157137175	1.7192830132312398	1.3872229184695164	2.0563654163043648	1.9122705212369362	0.8623054905574372	1.5261637989964187	1.5124462922201813	0.7764093398698372	0.9675755548077318	0.5957376154318563	1.9560906475573727	2.2884253297866324	1.4524214731335396	1.0706951230163722	3.33982139739732	1.3114422307875115	0.728012426559913	2.0521743281247296	1.6207226113868005	1.0222309797957547	1.533408837129101
S108	1.0705443363339626	1.7019928373343984	1.6391165876945382	1.401508309564606	2.3738307020776324	2.603847697080258	0.8399118611791262	0.0	1.2427792314275963	1.8915231883925774	1.6484587880149828	1.7916449301289246	1.294369466486909	2.2172797758159937	1.167596070552016	2.75713433384595	1.3425948662177352	1.4757227721579094	1.5142242440593023	0.7504458658876396	1.4101750556085204	1.4527938800027835	1.2582640019238578	1.5482483257564226	1.7120048276873319	2.797378156270382	1.3023605362766455	2.7808308528229677	0.39893104738021673	1.0293426922324804	0.6426915989848061	1.8510103123566004	0.5323251606977689	0.9556804583240296	1.8509492753467873	2.2915919911234996	1.2374200137194655	1.9593034063672965	1.9004284404252298	1.5560619898720232	2.0536082491289287	1.1333164769200237	1.6113071259473102	1.7702206688321878	1.08594728355214	2.7717103847824127	1.0280700092235324	1.4283512366822757	1.44295578054255	3.2682477069695284	0.9241247322529104	0.6594659886688907	0.8227330221885752	1.0499802517605958	2.363082835598542	1.6795008076678697	1.363749547360328	2.4012499239843557	0.36490464611839324	2.4406781674943785	0.8815331531780126	0.7848732430282758	2.234197590519664	0.8166051647435392	1.0046066007248637	1.1831244725271248	2.6941252307272627	1.5983124408044	2.9024633989625737	2.922892392397485	1.5787852489959333	1.578425330135541	0.8120737368874985	0.34833102671134974	2.5198300349819083	0.5539688198568694	1.1530164119402124	2.0233895257297845	0.4568671041215994	1.2804968105266206	2.0700791406542898	1.4651300164133867	2.36308864996835	1.2350494492979611	2.1683602046330894	1.7396800305985645	0.6672139872213606	0.9468739286434631	0.43142762800285234	1.8983988838294086	2.13369088309666	0.6219715105081026	1.1665953022242346	2.6088611670472996	1.6642728563578455	0.8325373212377115	2.7077737624222507	0.8259161599163722	0.6084214028287047	0.8485163858378771
S109	2.262684501265319	0.4884325129641442	1.5230399740127183	1.9504059133279588	1.4404164850577197	1.6324812418632009	0.8490081258078976	1.2427792314275963	0.0	2.9662653360974343	1.7052410658569124	2.2926173902844322	1.8367902165427532	1.1076498666009376	1.8086735256166222	2.9182130385742178	1.8288437466541803	1.900351189953595	2.071879432545705	1.4668283647958718	1.024827258153958	1.6033327354857725	1.208514954371115	2.0158221337415156	0.937732459607708	3.759659417743732	2.070337668348343	2.584571461201696	1.0848360358446225	0.5572167741860041	0.9898673781558059	2.0692793822431557	1.3646179434997787	0.29314742695821255	1.5839076963066956	3.059074170253046	1.5269926162262062	3.0006792922044534	1.5649926005356214	0.48607125878159946	2.2548545847838892	0.8222949798027522	2.1452937649692188	1.7290710142868002	1.103814148527262	3.076330488641856	1.7287114392892236	1.2341150674420045	2.1161657341575344	3.0118769961352596	1.2098760213100257	0.9571128619084617	1.6662269160553613	1.9624963253512226	3.1457366831995315	1.0372127321915015	1.915575594510992	2.143630228482016	1.0930136581658922	2.8068241696977405	2.0821383559091293	1.506926587439322	2.847609751321949	1.465915464346108	0.716927561229641	1.9163597962846597	3.064308578205216	1.3346324510297682	2.1109140133113735	3.6512881293911583	2.1185938066287977	2.8174797843400374	1.2644362687191917	1.1783510029720121	1.6897342738729781	1.549091529826645	0.6943724751245913	1.432762015615908	1.1877390428368249	1.8924068989653127	1.4207665121531268	2.371001862585612	1.1940222867095838	1.5982835961010828	2.2006966270709296	0.7489680390566505	1.2909848096479433	1.6119392750291872	1.272069775193469	1.4105119459791207	2.3516957111792767	1.79224157309572	1.264991700131389	3.3806355176035043	1.934120400248307	1.3783952109640372	2.369588289164592	1.9567302439054801	1.022244906443057	1.6800517793091139
S110	1.2989724412710892	3.4356231117223084	2.8179327438494988	1.7680152472355004	3.611182068076708	4.216526072036806	2.675818707731101	1.8915231883925774	2.9662653360974343	0.0	3.1726884425165975	3.1661181580150903	2.3540755690855635	3.8304610122747462	1.3673844828650936	2.392059115050816	2.1067208452846344	2.211911380905562	2.576856844927761	2.0842596274103893	3.154504380781016	2.146295140040672	3.099411032591926	2.7368202106007344	3.5333747605991235	2.320378288809314	1.0620316791700786	4.456216521575369	1.9767178665675162	2.7635475310847513	2.2400831524770672	1.8795570194304678	1.9794928764401463	2.7191459446467907	3.6721913252523266	1.5560055945413553	2.2996819320417115	0.45676396623530474	3.642445914305848	3.1461443115748517	2.24845437461874	2.5916853287168453	1.4069328285541147	3.4592993604835116	2.862005357904806	3.6144145714525124	2.3345085429589036	2.338845869802282	1.515429407108015	3.7461727158814817	2.5073209413891258	2.02422541568936	1.5135940403565615	1.2193352279985343	3.2190573725106413	3.5354711676972426	2.6020357240007175	3.6576477889649444	1.914383435732586	3.022571183413401	1.1287378333226086	1.7747703792304164	2.8596896640655523	2.1997621093334745	2.8866094771719277	1.854857793559183	3.893873180849968	2.9705378450500874	4.761499754568753	2.275597091327861	1.444214558313001	1.34497807024145	2.601713902215727	1.8048177753813863	4.080637666687201	1.9521476010094907	3.033910664184327	3.8034466671869516	1.788557235383167	1.5139497850822323	3.5971041450860572	1.0044205191446374	4.053808586788374	2.922029043343859	3.6755902614232947	3.3404271054125876	2.0529693473952673	2.1178571822117944	2.1333182800423502	3.275377057721166	2.30143594868235	1.4001471108114352	2.33453011717342	1.1445468355238928	2.8106213402892406	2.2374556553174574	4.045046940107377	1.0661780598393473	1.9539912311383498	1.311946775523691
