	S001	S002	S003	S004	S005	S006	S007	S008	S009	S010	S011	S012	S013	S014	S015	S016	S017	S018	S019	S020	S021	S022	S023	S024	S025	S026	S027	S028	S029	S030	S031	S032	S033	S034	S035	S036	S037	S038	S039	S040	S041	S042	S043	S044	S045	S046	S047	S048	S049	S050	S051	S052	S053	S054	S055	S056	S057	S058	S059	S060	S061	S062	S063	S064	S065	S066	S067	S068	S069	S070	S071	S072	S073	S074	S075	S076	S077	S078	S079	S080	S081	S082	S083	S084	S085	S086	S087	S088	S089	S090	S091	S092	S093	S094	S095	S096	S097	S098	S099	S100
S001	0.0	1.9895302737573117	1.3719257195132009	1.1312020115660166	1.931711369560072	3.954858362460806	1.7035671634669585	2.4060437927640788	2.629843747672528	2.9634272662189836	0.9722354644651771	2.6950773017046754	2.491884613184013	2.7271213747616505	1.621192609831036	2.953441742418438	2.664944760227549	2.779441928241074	0.5407099332217119	0.7281088242687564	2.1987123508732433	1.9462065035330647	2.8384688541448857	0.3041378263145352	2.6435687108742094	3.073702550107302	1.2007553250454246	3.304763655033063	2.1944607649286043	1.344712325446199	1.9879244080160492	1.4172064486659697	1.9108326874177481	2.518829108906509	2.5780832067809385	1.3666221303363726	1.7557911680301639	1.5745317912018648	2.90402590705701	2.2990761540181994	2.3114088969095024	1.9887571507363095	2.087202364341237	1.2099241208170726	1.1937659472887638	1.6228422750347338	2.166511545022281	1.4830154954905317	0.8629070542229549	4.0218310273469005	1.8683391891119716	2.0165706624322834	1.2512912198098751	1.415167651110028	2.4275109102103634	2.3116225820670926	2.411807094111576	1.088064367879159	2.1801919984436573	1.3462947644078185	3.242343122837835	0.7146046305595274	1.2141072637228578	0.9626285230937123	3.322835439472707	1.5733736992804683	1.9660170575943683	3.682896148299334	2.0788818392837918	2.490634101198197	1.7464422781732356	3.2986477336881688	2.672569746368045	3.2934165960539556	4.337127712287911	1.2182140932074617	1.8523840048298041	2.8928516059744327	1.1432845600947628	1.1475448634397734	1.6527127527072702	1.2084832402708463	2.7076276389401297	1.8575445677456943	1.6993478251016771	2.554247877900335	1.575986416715896	1.358286633025454	1.337574110586964	3.1158721604904978	0.955425987104923	0.9432201736507912	1.1591348598335351	0.8140273528210318	2.099630063140837	1.120077025389688	2.5136490530548836	1.044316366950002	1.1001976487560612	1.503486020246088
S002	1.9895302737573117	0.0	1.7337684664067214	2.768981785441443	2.3877713128459814	3.0481314000038613	0.8115501809521078	2.588738612691886	1.303697070702049	3.378477666719001	2.9147503663095513	3.573541575173754	1.0710682176265154	1.4258320138209537	2.3299088941379438	2.78785030981853	2.757825985851514	3.0243189467672353	2.182074078615205	1.4981025710471225	1.5223531470680678	1.4781501316244114	3.273573599101248	1.8905928254043496	2.9935333481134005	4.469281732587747	0.9973551435265335	4.5868999530184285	0.6620923182494014	1.116948001324847	1.0122273639078325	1.7400891925057593	2.0719542778524986	2.4606434121443694	3.3709660385398594	3.000669735249917	2.425930205355504	1.952077276597791	1.458520224289888	2.4577578384342997	1.1544204404431917	1.0054194653562194	2.9639588326866346	3.036263965121887	0.845614545227673	3.4975389982051843	3.08079864544125	1.6703833415749807	1.7477871888845866	3.5027143868087514	1.6673722759615528	2.332360282685493	1.8179734583584317	2.2074316953426645	3.5203091095119206	2.151047110756998	2.620867198312656	0.9643285625853024	3.2121578348937234	3.1745493621494183	2.6589151233769814	2.010833899829552	2.958118350592164	2.6754285410879817	1.9630308588909269	2.873704959521767	2.9912495721372276	4.2023586208320145	1.2252206039168845	3.240896140507471	1.1767929216512338	2.764929917742323	3.373904958507698	3.8005662190074605	3.1215398438435997	2.767442003971007	2.210015477577801	3.3505837673158205	1.8029847032688162	2.0630665192731654	2.8825490351954848	2.352288301706547	2.625890490656196	2.7881822015721327	1.6745232177930827	1.5751602108966192	2.1751571978972293	2.96885975652915	0.8817708865267903	1.4496923499219594	2.349665748067007	1.6903946911398708	1.540325460711256	2.8017604823364546	1.7382978934556472	1.6818067487793478	3.7760733572884666	1.6329262405669482	2.6879617119759045	1.6568412492527869
S003	1.3719257195132009	1.7337684664067214	0.0	1.341448609815724	0.8457630103186399	2.613072162529955	1.0870887895363155	1.618357769513822	1.955284574917443	3.1693705149195472	1.8724097756439804	2.6842546366095594	1.6098768273738795	2.0564720315947085	1.4880000150486823	2.518485300056939	2.5435925454145596	2.299999957831156	1.0838088021869223	0.9620165818428921	0.9663235864445937	2.0571695643209376	1.7913310068954802	1.3795517337187178	1.8689919867493556	3.0575830420354158	1.305773625213526	2.865072488352054	2.204175213993387	0.9590127920038972	1.1425898471122575	1.634799178288388	0.6891221931490947	1.4127237071950483	1.6932799595810601	2.64697310300718	0.7325276930649237	1.5780240895076107	2.1692812008103375	1.0496183772416894	1.303781039653575	1.2653657460303704	1.9767395117732152	1.7937227560317488	1.124380012967079	2.1751396964032668	1.7400583261581193	0.7167959903064037	1.9073280600440266	2.701516535671845	0.6877541725849322	0.8737626101223097	0.5340819923893808	2.076576188408317	1.8966447657300791	0.9400294253543163	1.3378333235648632	1.386238720970235	1.5646062094773832	2.2190016066914633	3.4860343190024876	1.422162173804437	1.9646777176924257	1.556090815826669	2.4051913709577315	2.301541611348711	1.2679684315190276	2.657026466193724	0.9915980988791392	3.7469331795387566	1.7873368033176311	2.710983907141376	1.8745795627521449	2.4581001588993967	3.1018165670440445	1.6243747015340173	1.3167764635322514	1.8404921941789534	0.304716214687887	0.9083304905448618	2.187205307210306	1.2964356209294183	2.0280348694774166	1.1240710610497922	1.3229796407560228	1.605379918951724	1.564176695585357	1.683290561328169	1.6387614422547785	2.32871799610429	1.335727031391457	0.4341747863709727	0.342535769102628	1.9610381104215242	2.830232853800516	1.3049957156402434	2.069496128908755	1.2244331249055576	1.2469621302575733	1.3667943388226202
S004	1.1312020115660166	2.768981785441443	1.341448609815724	0.0	1.480686132337016	3.7937400886840638	2.2233540909797043	2.1684310551474097	3.095389888355756	3.191852760598854	0.8018806441859924	2.4303874097450806	2.8972515317135623	3.1803141703273035	1.676927408734931	3.1003390102652904	2.92252044971679	2.6247419963752745	0.6684539413151716	1.4012181296126098	2.3004076204287225	2.6737610808321723	2.1676666381377006	1.2583311999984363	2.235248194475948	2.256763728553035	2.0034401619041167	2.192833270849126	3.091728584006159	1.8733929442683324	2.3860518967673836	2.0303387386234437	1.6671123556675762	2.2458864515856956	1.7034893693008315	1.9637622328033988	1.201482676372618	1.932136250288936	3.369035215853704	1.8925562578688278	2.6245041162467886	2.4401818504263173	1.8872673876249135	0.625975857504088	1.9563002781032925	0.8411000814689349	1.633671493489472	1.6225613165158335	1.9523788908143094	3.6699988303877418	1.8995293707227514	1.6274516413475961	1.2557151345388453	2.0866267095482636	1.4876633746407741	2.065708817572503	1.9952320932384227	2.0100907354805244	1.2788732641720755	1.2135186883962132	3.9852587085499542	1.3351898321632374	1.0647170048139611	0.7521480141705477	3.622215023680865	1.8737057788987161	1.0498546209346569	2.8122939089837575	2.326945943923236	3.4811289004473918	2.517109671901345	3.453564611378445	1.9610002730434144	2.6109139557786705	4.340630289576421	0.9468946917868595	1.796971170211198	2.186225460069117	1.1260456705820476	1.112705171313636	1.758769350734357	1.173010928400724	2.6841508128307363	1.0869662118435726	2.0162920331966525	2.811551501414525	1.8181427023246257	0.7470782778412745	2.292810512319104	3.5960507333255336	0.9697075110589334	1.1217689743592842	1.3566071975245573	1.0343140248981726	3.202035483721624	1.656601832117266	1.420681973693782	1.5976255699589554	0.09904116986657614	1.9250527756831435
S005	1.931711369560072	2.3877713128459814	0.8457630103186399	1.480686132337016	0.0	2.4533252327059953	1.6084218240087242	1.0294356510808926	2.154439764013204	2.9605360158372216	2.219503893129229	2.220496136688112	1.9552228711538806	2.215570263451159	2.1679418334173977	3.174906794359215	3.26973711536828	1.7754374603216565	1.4805902377071412	1.744878542475446	1.3157070290787947	2.348824956112338	1.7032164733144748	1.8855169222326231	1.1428378554428478	2.5014126678473425	1.8706301017082596	2.492579796898553	2.7794611394302926	1.4416738040914816	1.8103432184694581	2.4617188411394544	0.36512454163493413	0.814305875340097	1.4249061005806745	2.9875527601900655	0.35925438129372556	1.6257825986540206	2.7890515240956124	1.1184204501711341	1.6744178925980688	1.9836142141198498	2.5187185931005094	2.074782576809617	1.803247381474369	2.200192719827472	2.072198060446466	1.4938607000732815	2.4790022676760914	2.6085138345274377	1.281389811919883	0.1594590064138907	0.7797250510168552	2.857231186146354	1.2484673175720171	0.88224718374936	0.5784199373459775	2.0485030409387766	0.946561492482705	2.30056119538382	3.659551226636397	2.136292238177352	2.0231132359059747	2.00772835379146	2.428863458709122	2.954552819017794	0.8740799058439148	1.9050672931213757	1.4544292195507695	4.360760904771626	2.6259378685628953	2.4069031262620793	1.9207963282873544	1.6176958713381682	2.9416403850037964	2.097112798366118	1.0113378356311036	1.6938510807278435	0.8630625698849235	0.9759947054341621	2.125466634774056	1.9172718125695687	2.5919567576492835	0.5944125139289753	1.3865623678908645	2.1800125791716685	2.307928961012768	1.5856439217928844	2.4183277202828224	2.8682639565364627	1.4386872901359906	1.1012852794871795	1.0072742454164958	2.3333452332807214	3.4409638441367547	1.5850949305454585	1.5908885810207514	1.5477801434522056	1.3917625865477778	1.5198225870803204
S006	3.954858362460806	3.0481314000038613	2.613072162529955	3.7937400886840638	2.4533252327059953	0.0	2.6233314271711343	2.66273195013103	2.4726209511266437	4.667636805655833	4.445418747414821	4.256217920478604	2.0626354457768157	2.4991352515271377	3.495906675476824	3.470483575158525	3.929776732805863	3.3103717521269163	3.682165870631533	3.4020285366880065	1.7972371041456232	3.6539567095825287	2.492421373611115	3.9133862285373175	2.8016935567742416	4.719024139265197	3.339913744298066	4.161911085578251	3.527023668779088	2.920912990821725	2.334535301627265	3.6908469917124314	2.2413876147942724	2.0632069234522623	2.8714018414472684	5.189012503950993	2.6351471426334947	3.4750989676130457	2.4440577977023086	2.0768896491409503	1.9409884513588604	2.495188620011686	3.817303273832154	4.281264418180071	3.1642755876995916	4.581532857036933	3.4468128980388144	2.7503281772398367	4.272985093686023	1.2266458598383192	2.2169065995515336	2.3199459645934577	2.8627587075785055	4.3075452781159775	3.4234721352745794	1.7328179021610697	2.2560063431636066	3.4971856413254736	3.198116087340449	4.703134013117104	4.711568487791846	3.8950192526639715	4.420301799715622	4.071122833153163	1.9832475410420967	4.636482211772766	3.060269050763946	2.78389888615494	2.0056560739924434	6.096299119256565	3.5012432494593906	3.0771201016632865	3.0122665804500346	2.9989598587810695	1.0108467240423664	4.036752106778751	2.9554365217959044	2.4996211139561315	2.8714647552472217	3.2218872564552754	4.375464220762209	3.618026317399787	2.937015862741693	2.9629251452552348	3.0069422652331164	2.0899905866540167	3.5815690625548955	4.030541499004582	3.611498314556737	2.2931461262615804	3.753535322412554	3.0270776900592646	2.8091882810362496	4.569453888942423	4.718307899944306	3.484997382323727	3.6697517501115113	3.4494843533647446	3.7048831938324422	3.246893697572632
S007	1.7035671634669585	0.8115501809521078	1.0870887895363155	2.2233540909797043	1.6084218240087242	2.6233314271711343	0.0	1.7965608149599697	1.0220772197902785	2.913113770599895	2.5561791421983804	2.8968200070750743	0.803360198488034	1.1433355361412103	2.1573559810159155	2.8748884070237666	2.898120651285182	2.3042155727496105	1.7018602434674523	1.2583748841049545	0.9828403297374223	1.2907993668991604	2.725992289510334	1.5733274325243043	2.1927184446090346	3.7454786406813154	0.7366752828167448	3.9333189606511714	1.2063739153892465	0.46684786171595866	0.8522377875008651	1.838678098719633	1.2916996195806292	1.6686858420370367	2.7357575869696906	2.8051488237176523	1.696231782413201	1.3720178629706525	1.7506424160585021	1.8843146939844935	0.7268888393703047	0.9997143012151769	2.764000473065872	2.6206172669114567	0.6120022912545962	2.9868740130908282	2.70369712195526	1.3271384855147623	1.7113930894590577	3.091176225221937	1.2017211681956834	1.5447970146184649	1.0934868182589297	2.327132344366251	2.757474665934836	1.4924738899512284	1.815504454565509	0.910327374019819	2.456925872167757	2.715162559252515	2.6629121102384063	1.8618117789790942	2.457944452625023	2.3275824483094487	1.6712177116569025	2.8308855999407188	2.2879985405199474	3.431413516953875	0.721848030833535	3.518575560604137	1.5517032530790489	2.2278777609463347	2.878690676661597	2.989787601039802	2.7796203352151845	2.4439452032018765	1.4460973841698586	2.7823953198244076	1.151220827646496	1.378853216000678	2.3596403881156554	2.0689760764221856	2.5314998803101463	2.045625522205333	0.9962931090060372	1.5277319982561361	2.0948120125698244	2.3626025883143416	1.1986330018449503	1.7434261693039634	1.7742010050839676	1.1193531546504825	0.8902168502258553	2.485865089871042	2.15174824535952	1.1618635331974372	3.066628013462978	1.1125624633958915	2.131217478453398	1.0552756204994826
S008	2.4060437927640788	2.588738612691886	1.618357769513822	2.1684310551474097	1.0294356510808926	2.66273195013103	1.7965608149599697	0.0	1.8852684576873515	2.197369059147108	2.8302516424697934	1.5992147702630761	2.0345119824317903	1.885784395700817	3.0798490146151765	4.069452609930175	4.154762076244474	0.7953791211933396	2.0309054764657297	2.358870027548769	1.8243613547508897	2.0361506693956883	2.661132715568103	2.2346837118734233	0.42362115862992034	2.4382688172630327	2.012989602490459	3.212455264615643	2.777689966077793	1.6077653193850363	2.3305944921987067	3.18264066998798	1.0544917764622623	0.6294698783344481	2.361916383053824	3.156157853485535	1.3585435928200746	1.3065732441858053	3.2708591172008137	2.0607106023511315	1.9103114396817726	2.536602258219155	3.4948255708150313	2.785647424740302	2.1005139689531993	2.728727703326847	3.089829424652777	2.3211492039489916	2.6841852911549333	3.1977928565121063	2.0654206804060444	0.9610374766085112	1.2662060805018889	3.5595222040868086	1.6204470172502323	1.6021264924266423	0.670343277172049	2.295532403882248	1.4855827643379196	2.527494236864903	3.068420642536668	2.8229393624358083	2.2362892572601027	2.7642769718287177	2.094958664467299	3.738609095106746	1.7263107553699601	2.198414614140488	1.8785805545592098	4.566657995757998	3.193334014935652	1.4876322804117843	2.9317177203380007	1.3125086260606362	2.815256592577889	2.9315183538592278	0.6031830703765656	2.6348954533875215	1.554054091599475	1.2706277407147195	1.916387124067667	2.7927790505727246	3.5159065281206283	1.358190130718847	1.104990222466152	2.80067298185316	3.1708316014905766	1.9095994159927787	2.801294320013673	3.213125823291212	1.6661233153433623	1.7458150039528084	1.5827557482357508	2.820667595866922	3.463215353958177	1.578168773447321	2.2043255132277912	1.6045929984702694	2.0851053712595458	1.3137313392832541
S009	2.629843747672528	1.303697070702049	1.955284574917443	3.095389888355756	2.154439764013204	2.4726209511266437	1.0220772197902785	1.8852684576873515	0.0	2.820115957890144	3.4889625685547707	3.0589978301022693	0.7196119890016597	0.1335597013808242	3.148093675771925	3.677915565968905	3.7871488813629868	2.2052495265803036	2.601701876060099	2.2730229123588925	1.4979923082412718	1.3515265693459095	3.3896500858409215	2.437804782510085	2.295566335411138	4.187123323180974	1.5037518727894295	4.636815292814868	1.3682083218945233	1.298033949800256	1.584265596033542	2.8154179407912805	1.8286897860698623	1.7869427435013567	3.4269524374915377	3.5260390265096384	2.3771706057910422	1.710086833587553	2.1078437721197383	2.545026345325686	0.9986117380919637	1.751411203803874	3.742077888909384	3.5598529900398113	1.543844536061698	3.82190773410656	3.622643668619705	2.2767679000844003	2.4608127726068534	3.308624059233695	1.9959463023987372	2.0366457627596977	1.8566279329207969	3.309627258712561	3.2854029465068324	1.986058463395396	2.0789211936725023	1.740772445161101	3.0307562496926512	3.447767890352602	2.2891266339450653	2.8732544389855526	3.1755381190994494	3.308608391958607	0.8072349820991087	3.847088270811225	2.9851058777436545	3.7167464634097582	1.303540559901214	4.162063630187855	2.3952279497077265	1.6003289087639927	3.6612742894550636	3.114864898871535	2.2460853410123676	3.440549283640291	1.7503675790236717	3.42754010447808	2.024928343572787	2.0789953667521694	2.821849964836032	3.0772532855456913	3.326360303772842	2.683632046173397	1.2991947075330277	2.073165573269896	3.0894993980930034	3.078238895326175	2.033946277612044	1.8613982945971688	2.490165947691771	2.0576519765001113	1.7992859200353322	3.383233167760817	2.534972320647922	1.775436112070173	3.7190843489898326	1.781248147342803	2.9998463864019578	1.463742418125947
S010	2.9634272662189836	3.378477666719001	3.1693705149195472	3.191852760598854	2.9605360158372216	4.667636805655833	2.913113770599895	2.197369059147108	2.820115957890144	0.0	3.4315013413549846	1.3323327734979966	3.3487558618522684	2.7774863814210353	4.385511509642205	5.571845121694449	5.451821801504724	1.5715392391564906	2.869680219388054	3.316607688114953	3.5651582585880024	1.9529840733131538	4.647444905871945	2.678158575930631	2.318806633670098	2.896976814559148	2.5978109611505547	4.729905154892692	3.114933410152342	2.5835329251769	3.7407715596751543	4.1712089974590905	2.973509895281676	2.792279290621339	4.234751350401604	2.739976770772291	3.151049679890663	1.6390443019737144	4.643856828728194	4.017326663581218	3.4001106680666795	3.887899255672388	4.860959535071386	3.6179927615295355	2.915764359463816	3.348803135342936	4.652758002191138	3.7846456232726755	2.7221637098704887	5.335859412082595	3.7517001755918806	2.955452251832535	2.645383052916915	4.308032552388313	3.1049967756157733	3.6081531217606875	2.837065301744546	2.848397565673592	3.0882750998299855	2.5790965388924207	1.9390636696077859	3.65156216696642	2.4233365353525507	3.667271631974966	3.2926647851396362	4.517824166606288	3.3937252478408504	4.156961601711905	3.4525624245085313	3.9973193695171454	4.111687862736041	1.926209413057909	4.761304245293813	2.998933373610734	4.517422061759515	3.958082066821958	1.9790600286644837	4.635280838378306	2.9491643511109666	2.363931141306707	1.5452737261000782	3.9821024526760045	5.171445784375553	3.036887121191494	1.9818667002578245	4.3979752299488215	4.383271450060784	2.56912560357445	3.431211401434989	4.546015496046085	2.271274500039085	2.9856290942935484	2.9160040575523025	3.1774321099546903	3.1353666415833907	2.0563254223257887	3.661975455407879	2.1563534012458594	3.146047739581072	1.9182678543424232
