SampleID	building_1	building_2	building_3	building_4	building_5	building_6	building_7	building_8	building_9	building_10	building_11	building_12	building_13	building_14	building_15	building_16	building_17	building_18	building_19	building_20	building_21	building_22	building_23	building_24	building_25	building_26	building_27	building_28	building_29	building_30	building_31	building_32	building_33	building_34	building_35	building_36	building_37	building_38	building_39	building_40	building_41	building_42	building_43	building_44	building_45	building_46	building_47	building_48	building_49	building_50	building_51	building_52	building_53	building_54	building_55	building_56	building_57	building_58	building_59	building_60	building_61	building_62	building_63	building_64	building_65	building_66	building_67	building_68	building_69	building_70	building_71	building_72	building_73	building_74	building_75	building_76	building_77	building_78	building_79	building_80	building_81	building_82	building_83	building_84	building_85	building_86	building_87	building_88	building_89	building_90	building_91	building_92	building_93	building_94	building_95	building_96	building_97	building_98	building_99	building_100
building_1	0	0.560254	0.570886	0.573798	0.590984	0.551829	0.540924	0.515648	0.57578	0.569499	0.609202	0.5401	0.553659	0.610206	0.552264	0.56215	0.597725	0.563656	0.567625	0.527637	0.557487	0.549788	0.574707	0.585947	0.543616	0.557173	0.553163	0.582977	0.579135	0.546537	0.576333	0.57962	0.611599	0.590184	0.530268	0.596494	0.599571	0.573557	0.620921	0.550735	0.524154	0.569663	0.584519	0.582518	0.586402	0.543723	0.551084	0.581633	0.574511	0.576278	0.568208	0.555219	0.550803	0.590582	0.597927	0.549508	0.580034	0.60645	0.558279	0.575014	0.55823	0.580341	0.574927	0.558141	0.558035	0.601517	0.531456	0.552154	0.587948	0.550234	0.562186	0.567996	0.607533	0.569682	0.597671	0.588318	0.514054	0.548647	0.553911	0.603578	0.555966	0.534804	0.57579	0.589347	0.570019	0.534755	0.584238	0.554329	0.568477	0.531722	0.559576	0.553704	0.553895	0.607891	0.524344	0.566078	0.559154	0.570806	0.564877	0.58083
building_2	0.560254	0	0.573584	0.597472	0.589505	0.547156	0.5603	0.54149	0.582634	0.546682	0.588526	0.573471	0.55683	0.608608	0.525857	0.557954	0.607099	0.567622	0.543084	0.539492	0.570275	0.536271	0.57359	0.563148	0.554601	0.552729	0.577325	0.574182	0.594674	0.565805	0.547181	0.578175	0.58579	0.592186	0.561835	0.617926	0.598849	0.604141	0.612361	0.563469	0.537679	0.575908	0.594493	0.568975	0.5709	0.563827	0.535971	0.607432	0.527902	0.587389	0.548256	0.574764	0.542978	0.595243	0.617002	0.550964	0.587288	0.587426	0.556173	0.58381	0.546236	0.573594	0.582947	0.541064	0.564242	0.619419	0.556311	0.571525	0.57619	0.551701	0.567387	0.56672	0.589028	0.553824	0.590677	0.596012	0.553988	0.591353	0.56736	0.585275	0.539037	0.541077	0.590679	0.562398	0.57342	0.53398	0.570977	0.548511	0.565334	0.563583	0.58705	0.590481	0.53201	0.601744	0.559116	0.576598	0.557028	0.558398	0.547513	0.555826
building_3	0.570886	0.573584	0	0.611732	0.612499	0.569856	0.595222	0.561259	0.601724	0.588378	0.62601	0.581398	0.585166	0.621172	0.547952	0.552502	0.636768	0.609696	0.577847	0.551922	0.614064	0.564392	0.60464	0.614659	0.592072	0.582	0.596158	0.607448	0.630571	0.570494	0.609824	0.588522	0.593438	0.610495	0.549251	0.609969	0.625354	0.592261	0.632389	0.597517	0.577298	0.605525	0.59537	0.591468	0.575684	0.591112	0.576464	0.607637	0.57723	0.598745	0.584912	0.615306	0.56476	0.613207	0.59694	0.566513	0.585768	0.601553	0.603973	0.609654	0.586751	0.575945	0.601541	0.601128	0.594312	0.64301	0.588309	0.610722	0.590854	0.598601	0.576919	0.584635	0.608221	0.58907	0.592435	0.619421	0.569269	0.581576	0.581813	0.623139	0.595177	0.548042	0.61864	0.613026	0.613234	0.576093	0.621566	0.572067	0.558279	0.587471	0.593788	0.583631	0.600739	0.636132	0.569779	0.559571	0.587492	0.586631	0.564281	0.583508
building_4	0.573798	0.597472	0.611732	0	0.592472	0.588297	0.584922	0.588604	0.587071	0.571155	0.595181	0.574504	0.586535	0.658113	0.573481	0.577416	0.625893	0.593835	0.581737	0.578893	0.628611	0.579002	0.629537	0.628676	0.602739	0.606676	0.600376	0.617121	0.570494	0.613337	0.578306	0.617024	0.602244	0.584463	0.568866	0.597258	0.610638	0.609898	0.63302	0.608732	0.576779	0.609024	0.587909	0.581215	0.604241	0.596945	0.615227	0.596721	0.594794	0.641979	0.575503	0.572033	0.572239	0.644183	0.633095	0.598158	0.59179	0.627585	0.60339	0.583703	0.58826	0.600268	0.596893	0.569201	0.598735	0.628091	0.566574	0.592499	0.625189	0.60173	0.598033	0.593185	0.653561	0.585759	0.619091	0.622474	0.610806	0.614869	0.596238	0.614813	0.578543	0.571478	0.614442	0.593307	0.626318	0.571366	0.633421	0.598785	0.598493	0.595504	0.600235	0.593335	0.615769	0.645059	0.563247	0.594712	0.585199	0.596819	0.581199	0.582644
building_5	0.590984	0.589505	0.612499	0.592472	0	0.586757	0.562928	0.558405	0.627075	0.600431	0.641921	0.593159	0.577475	0.6395	0.592151	0.588544	0.608057	0.622378	0.611311	0.596644	0.622443	0.591336	0.626934	0.610051	0.582905	0.587241	0.577137	0.62203	0.608038	0.61595	0.622954	0.595156	0.621471	0.588414	0.571448	0.62919	0.601446	0.635366	0.641777	0.610269	0.598408	0.635535	0.60282	0.587418	0.611356	0.604248	0.607808	0.627226	0.599135	0.638091	0.584739	0.609504	0.600019	0.636826	0.638804	0.612141	0.601493	0.639647	0.597009	0.628967	0.566451	0.608192	0.610071	0.583639	0.596488	0.643163	0.595789	0.578649	0.618266	0.596283	0.606041	0.604517	0.647374	0.607016	0.634334	0.585989	0.57985	0.588977	0.595023	0.641869	0.585615	0.562934	0.597903	0.585095	0.610833	0.585443	0.610318	0.598071	0.621443	0.579782	0.602447	0.609744	0.614466	0.634017	0.59083	0.596045	0.597699	0.606114	0.553504	0.615217
building_6	0.551829	0.547156	0.569856	0.588297	0.586757	0	0.505612	0.56036	0.57064	0.561357	0.581692	0.553844	0.529545	0.6152	0.5385	0.543549	0.588712	0.554573	0.56289	0.495895	0.586587	0.546842	0.57475	0.590493	0.545688	0.555801	0.54614	0.600157	0.582682	0.55172	0.583681	0.566961	0.559738	0.56719	0.539524	0.589379	0.587696	0.555295	0.582391	0.539734	0.527505	0.570149	0.554047	0.537159	0.579901	0.52913	0.562154	0.588104	0.552007	0.59227	0.558948	0.582738	0.526189	0.59886	0.565215	0.532542	0.55826	0.582165	0.577532	0.564792	0.541243	0.533248	0.554762	0.544911	0.541566	0.583409	0.519077	0.547112	0.576591	0.530727	0.533826	0.555587	0.628271	0.563142	0.564688	0.569564	0.520897	0.555536	0.555116	0.59968	0.558301	0.541748	0.585269	0.584355	0.561485	0.527245	0.549598	0.530811	0.551601	0.541599	0.540257	0.573503	0.571987	0.596673	0.527416	0.571084	0.535429	0.551843	0.536413	0.56588
building_7	0.540924	0.5603	0.595222	0.584922	0.562928	0.505612	0	0.502163	0.580942	0.563449	0.606112	0.548802	0.545042	0.600176	0.523788	0.561873	0.587614	0.581512	0.550812	0.550549	0.593879	0.553263	0.55974	0.584757	0.550197	0.56756	0.550754	0.596514	0.560909	0.546297	0.590698	0.562134	0.595133	0.532548	0.534454	0.585219	0.600657	0.594774	0.600719	0.578756	0.52645	0.587591	0.554409	0.565058	0.582807	0.535897	0.556536	0.579748	0.559923	0.590676	0.561614	0.574823	0.515624	0.60552	0.597449	0.538613	0.574859	0.593552	0.581845	0.593873	0.554101	0.562618	0.566945	0.540496	0.56212	0.586806	0.549323	0.57358	0.592592	0.539241	0.568446	0.538952	0.586447	0.575192	0.555506	0.58327	0.539042	0.544347	0.554903	0.615414	0.544338	0.506803	0.584694	0.575139	0.578431	0.521778	0.549666	0.557378	0.554139	0.560758	0.576309	0.528614	0.564054	0.586189	0.534794	0.569579	0.535891	0.566089	0.558991	0.57429
building_8	0.515648	0.54149	0.561259	0.588604	0.558405	0.56036	0.502163	0	0.568125	0.546764	0.612754	0.518623	0.532344	0.612809	0.546621	0.5591	0.594094	0.567983	0.536765	0.530558	0.578844	0.527881	0.583029	0.572659	0.546516	0.546794	0.537345	0.571766	0.583514	0.559168	0.548668	0.570365	0.598509	0.55749	0.517588	0.589963	0.547517	0.573724	0.580253	0.569872	0.502596	0.572593	0.566097	0.550034	0.569078	0.537854	0.552323	0.585389	0.569571	0.575199	0.556907	0.54713	0.494471	0.6192	0.599924	0.521988	0.590902	0.59849	0.583395	0.592136	0.55831	0.554759	0.532717	0.533664	0.551904	0.577716	0.521482	0.530063	0.562627	0.523174	0.560539	0.549481	0.606703	0.564227	0.579857	0.5802	0.528389	0.550228	0.551655	0.577489	0.541767	0.510006	0.580284	0.573865	0.564961	0.542046	0.572531	0.54361	0.563676	0.547173	0.553107	0.56033	0.557706	0.592965	0.52625	0.555149	0.536447	0.570179	0.532282	0.53848
building_9	0.57578	0.582634	0.601724	0.587071	0.627075	0.57064	0.580942	0.568125	0	0.570312	0.603182	0.561925	0.59451	0.625575	0.561948	0.552612	0.602981	0.59484	0.56809	0.56463	0.627498	0.589422	0.608301	0.604265	0.584991	0.593463	0.570039	0.607772	0.603381	0.563105	0.61065	0.592821	0.619038	0.591761	0.587894	0.62274	0.632103	0.599781	0.61374	0.587902	0.557185	0.618846	0.603795	0.580244	0.598032	0.602087	0.563894	0.5904	0.586546	0.615941	0.572141	0.573863	0.569586	0.637546	0.617144	0.568562	0.596195	0.607805	0.573585	0.59445	0.601155	0.588782	0.571731	0.567954	0.587715	0.61047	0.57664	0.595007	0.609447	0.548563	0.577405	0.602216	0.639013	0.599445	0.590478	0.560917	0.552213	0.579553	0.591167	0.614349	0.568262	0.556564	0.582002	0.627271	0.615369	0.578686	0.611759	0.575365	0.573144	0.596971	0.576358	0.597754	0.595335	0.636044	0.567406	0.59263	0.587583	0.60137	0.559689	0.591009
building_10	0.569499	0.546682	0.588378	0.571155	0.600431	0.561357	0.563449	0.546764	0.570312	0	0.597994	0.565274	0.559709	0.614825	0.538357	0.553165	0.613851	0.547354	0.521392	0.551298	0.587443	0.540051	0.583775	0.570283	0.571002	0.537974	0.571021	0.58519	0.588591	0.559732	0.583155	0.573281	0.593289	0.60596	0.547439	0.593936	0.581706	0.590916	0.602323	0.551508	0.551983	0.618576	0.581601	0.569527	0.577468	0.566471	0.557625	0.586918	0.549963	0.604776	0.577118	0.574422	0.549455	0.62114	0.617588	0.550698	0.588873	0.585769	0.599283	0.570616	0.587367	0.561927	0.563494	0.559194	0.551219	0.603048	0.571284	0.539881	0.601366	0.542389	0.557719	0.572254	0.606615	0.540427	0.582664	0.569489	0.561394	0.590633	0.564419	0.5864	0.568159	0.562896	0.602962	0.577615	0.595334	0.548811	0.598016	0.567384	0.58264	0.560754	0.561707	0.550742	0.578324	0.618742	0.564551	0.58238	0.524809	0.576382	0.559406	0.578854
