SampleID	gut_1	gut_2	gut_3	gut_4	gut_5	gut_6	gut_7	gut_8	gut_9	gut_10	gut_11	gut_12	gut_13	gut_14	gut_15	gut_16	gut_17	gut_18	gut_19	gut_20	gut_21	gut_22	gut_23	gut_24	gut_25	gut_26	gut_27	gut_28	gut_29	gut_30	gut_31	gut_32	gut_33	gut_34	gut_35	gut_36	gut_37	gut_38	gut_39	gut_40	gut_41	gut_42	gut_43	gut_44	gut_45	gut_46	gut_47	gut_48	gut_49	gut_50	gut_51	gut_52	gut_53	gut_54	gut_55	gut_56	gut_57	gut_58	gut_59	gut_60	gut_61	gut_62	gut_63	gut_64	gut_65	gut_66	gut_67	gut_68	gut_69	gut_70	gut_71	gut_72	gut_73	gut_74	gut_75	gut_76	gut_77	gut_78	gut_79	gut_80	gut_81	gut_82	gut_83	gut_84	gut_85	gut_86	gut_87	gut_88	gut_89	gut_90	gut_91	gut_92	gut_93	gut_94	gut_95	gut_96	gut_97	gut_98	gut_99	gut_100
gut_1	0	0.74656	0.727766	0.735811	0.743896	0.749321	0.733804	0.743089	0.678838	0.743877	0.771183	0.733531	0.746699	0.747522	0.721495	0.734436	0.761624	0.766575	0.728346	0.763657	0.729404	0.715745	0.764399	0.743074	0.762181	0.733514	0.691877	0.71845	0.757823	0.768365	0.738166	0.723788	0.715387	0.709843	0.732141	0.722479	0.695584	0.771266	0.711908	0.718837	0.741261	0.724787	0.736997	0.767826	0.758335	0.735134	0.722257	0.749458	0.741358	0.718931	0.71124	0.75879	0.774894	0.673978	0.736335	0.756541	0.742075	0.743985	0.745097	0.756905	0.733353	0.752692	0.75109	0.750092	0.713618	0.760134	0.761841	0.733414	0.732242	0.750878	0.74326	0.735284	0.712519	0.742017	0.726223	0.740297	0.751167	0.742604	0.716536	0.744532	0.760701	0.763121	0.743923	0.726035	0.718701	0.751875	0.750618	0.728089	0.72957	0.75895	0.761207	0.744515	0.742819	0.760401	0.725085	0.768772	0.726205	0.718423	0.744658	0.767402
gut_2	0.74656	0	0.735269	0.752427	0.759005	0.774317	0.767282	0.74481	0.745814	0.728717	0.763472	0.708853	0.78343	0.747845	0.756159	0.750349	0.779845	0.755046	0.787567	0.729271	0.756584	0.730826	0.722336	0.72893	0.705693	0.761717	0.724739	0.730786	0.787922	0.768729	0.715214	0.693916	0.744247	0.756948	0.758653	0.736963	0.727507	0.764566	0.716087	0.749125	0.705968	0.740072	0.753467	0.730736	0.757206	0.757661	0.770065	0.734922	0.742998	0.7671	0.713831	0.73988	0.71193	0.731814	0.769087	0.751289	0.725759	0.747903	0.76694	0.73808	0.77693	0.720556	0.713757	0.751028	0.751244	0.739255	0.770215	0.756524	0.750197	0.767118	0.707673	0.738169	0.742784	0.731867	0.738093	0.748899	0.766443	0.772417	0.728868	0.738435	0.719361	0.752201	0.723342	0.728644	0.731787	0.731048	0.768128	0.748217	0.714934	0.763775	0.74442	0.74559	0.770404	0.765383	0.750423	0.750582	0.741894	0.775748	0.733761	0.766681
gut_3	0.727766	0.735269	0	0.762805	0.757037	0.745321	0.757264	0.748423	0.738	0.760829	0.788387	0.737762	0.763266	0.751448	0.743017	0.753435	0.75086	0.775818	0.764816	0.75457	0.734242	0.754162	0.751588	0.743092	0.745894	0.772974	0.746697	0.749625	0.75538	0.76473	0.736687	0.746214	0.754279	0.773271	0.767473	0.772351	0.762615	0.776108	0.765878	0.760581	0.710904	0.764481	0.764514	0.765708	0.767001	0.752717	0.73446	0.756188	0.775637	0.753295	0.734988	0.75054	0.764357	0.733864	0.768754	0.747843	0.779428	0.715983	0.749701	0.741355	0.747035	0.744464	0.7568	0.728723	0.730743	0.773268	0.763781	0.764362	0.735561	0.733278	0.756877	0.778374	0.760004	0.74943	0.767742	0.756122	0.76154	0.751301	0.753725	0.74461	0.732747	0.780479	0.768476	0.760122	0.742763	0.707359	0.762519	0.77777	0.770405	0.770473	0.779208	0.783482	0.738123	0.778005	0.747858	0.748503	0.736084	0.753251	0.72356	0.711131
gut_4	0.735811	0.752427	0.762805	0	0.766032	0.770342	0.711336	0.724066	0.717748	0.766212	0.76328	0.746493	0.782585	0.73979	0.760965	0.767897	0.762957	0.751078	0.795304	0.719675	0.742168	0.730251	0.73362	0.749163	0.757795	0.748618	0.759781	0.70963	0.770078	0.745782	0.754335	0.749617	0.761576	0.749846	0.773682	0.748041	0.734911	0.739728	0.73015	0.75748	0.747026	0.728444	0.761166	0.751065	0.757502	0.768676	0.748599	0.732846	0.751982	0.730749	0.749835	0.73725	0.764506	0.747092	0.732926	0.69802	0.744551	0.786016	0.726558	0.75623	0.770509	0.746761	0.750698	0.735464	0.788882	0.738357	0.765627	0.775255	0.752621	0.793651	0.744954	0.764968	0.740609	0.75355	0.751245	0.743335	0.770399	0.754151	0.730133	0.732806	0.771755	0.758333	0.750919	0.755286	0.717495	0.764963	0.776846	0.748291	0.729021	0.755503	0.757423	0.76492	0.763187	0.766692	0.754544	0.741577	0.754809	0.709939	0.745168	0.76268
gut_5	0.743896	0.759005	0.757037	0.766032	0	0.768342	0.750553	0.745984	0.756989	0.746161	0.746587	0.745034	0.731138	0.783048	0.695795	0.725812	0.773101	0.770435	0.708281	0.709932	0.735212	0.723015	0.745613	0.729994	0.750261	0.731271	0.729615	0.735419	0.760239	0.758828	0.753215	0.726787	0.754501	0.755927	0.719404	0.751505	0.733903	0.750893	0.757977	0.741359	0.733455	0.70982	0.73162	0.752664	0.773178	0.740157	0.765162	0.744715	0.724539	0.735258	0.706418	0.739322	0.737764	0.756916	0.769071	0.772328	0.716011	0.755873	0.746363	0.721544	0.756503	0.729789	0.74267	0.732034	0.750178	0.760174	0.747785	0.756129	0.733975	0.746636	0.727532	0.769011	0.752617	0.733677	0.750528	0.721423	0.729697	0.749075	0.744655	0.732054	0.770504	0.768911	0.745416	0.718627	0.752322	0.742188	0.749546	0.722076	0.719187	0.766863	0.745703	0.757252	0.721858	0.747628	0.734445	0.730074	0.754016	0.75631	0.75975	0.745527
gut_6	0.749321	0.774317	0.745321	0.770342	0.768342	0	0.746828	0.76967	0.743366	0.774584	0.754588	0.735608	0.733528	0.751085	0.771887	0.746515	0.755158	0.757106	0.7552	0.743928	0.735487	0.753974	0.742279	0.707434	0.729126	0.739352	0.735446	0.755344	0.770852	0.748764	0.753831	0.752676	0.735861	0.726869	0.749702	0.745182	0.73687	0.749819	0.770362	0.73051	0.743257	0.742245	0.745416	0.738814	0.738904	0.74768	0.731603	0.756729	0.726795	0.732384	0.714726	0.736299	0.740981	0.66895	0.753167	0.748956	0.755446	0.766472	0.738666	0.756902	0.743175	0.715722	0.744427	0.739208	0.757546	0.750576	0.784879	0.742146	0.73155	0.741872	0.741226	0.774236	0.731793	0.743196	0.731149	0.71934	0.777504	0.719929	0.745752	0.740784	0.750209	0.76168	0.72579	0.726344	0.734642	0.746931	0.741243	0.730457	0.752195	0.734754	0.771084	0.775576	0.724393	0.745218	0.75279	0.704751	0.772038	0.758934	0.707379	0.715828
gut_7	0.733804	0.767282	0.757264	0.711336	0.750553	0.746828	0	0.762849	0.742442	0.741103	0.744658	0.745273	0.740554	0.750963	0.750856	0.755742	0.751985	0.773247	0.748516	0.736162	0.730632	0.748291	0.744058	0.747868	0.744579	0.731885	0.749667	0.738329	0.716082	0.748663	0.761377	0.734442	0.720414	0.724252	0.739759	0.752783	0.736493	0.739344	0.765604	0.72769	0.752197	0.739023	0.714808	0.76135	0.736772	0.725687	0.754135	0.757559	0.754909	0.716911	0.720928	0.739627	0.765664	0.729893	0.712705	0.763434	0.747381	0.7711	0.718884	0.743809	0.719495	0.767705	0.75216	0.733232	0.755304	0.748709	0.723496	0.741127	0.751631	0.703293	0.727509	0.764506	0.735213	0.731429	0.751082	0.755672	0.74395	0.75182	0.701729	0.748347	0.764876	0.760221	0.734855	0.767279	0.737399	0.770733	0.791702	0.760113	0.73761	0.738049	0.752974	0.750546	0.737852	0.731839	0.740382	0.739532	0.731665	0.756851	0.727847	0.717333
gut_8	0.743089	0.74481	0.748423	0.724066	0.745984	0.76967	0.762849	0	0.724055	0.741551	0.728186	0.719675	0.75331	0.729228	0.720618	0.718013	0.753909	0.731238	0.758302	0.757869	0.73556	0.727173	0.757555	0.741467	0.756725	0.751453	0.772307	0.703394	0.75502	0.748569	0.717385	0.756597	0.774003	0.719982	0.750787	0.7542	0.738304	0.770398	0.75477	0.751501	0.70757	0.77112	0.768032	0.76964	0.757555	0.741842	0.747206	0.754921	0.727513	0.757869	0.750691	0.767645	0.776627	0.762765	0.731719	0.74503	0.753702	0.742727	0.720257	0.754972	0.751985	0.738801	0.683009	0.724515	0.706522	0.754404	0.720766	0.752572	0.737505	0.762427	0.754232	0.724862	0.751646	0.73612	0.733756	0.753411	0.760282	0.723754	0.762586	0.766345	0.743361	0.744752	0.727372	0.74504	0.735433	0.760783	0.757948	0.726831	0.74423	0.736427	0.739046	0.747957	0.762309	0.738578	0.76241	0.717997	0.73233	0.747427	0.73261	0.735636
gut_9	0.678838	0.745814	0.738	0.717748	0.756989	0.743366	0.742442	0.724055	0	0.710421	0.721902	0.705955	0.739874	0.707928	0.74113	0.708114	0.725305	0.70048	0.720918	0.752926	0.722501	0.703732	0.708947	0.730799	0.736779	0.73172	0.759593	0.746726	0.715745	0.740064	0.723411	0.7129	0.731795	0.706838	0.762275	0.719743	0.713393	0.752832	0.7436	0.710846	0.751548	0.730078	0.756306	0.723885	0.750517	0.73028	0.689169	0.724681	0.746822	0.699519	0.714818	0.742819	0.76785	0.693701	0.720827	0.726044	0.737782	0.724825	0.763724	0.738046	0.730811	0.716449	0.707587	0.74115	0.742857	0.702244	0.739873	0.728586	0.710528	0.736337	0.733667	0.714609	0.733896	0.725608	0.72958	0.733056	0.749245	0.709148	0.726061	0.707224	0.742875	0.697128	0.695408	0.737324	0.726329	0.734627	0.74832	0.727404	0.720305	0.734492	0.728748	0.739018	0.749907	0.70976	0.707227	0.703327	0.712908	0.697245	0.712036	0.759405
gut_10	0.743877	0.728717	0.760829	0.766212	0.746161	0.774584	0.741103	0.741551	0.710421	0	0.767259	0.730728	0.748157	0.785048	0.716105	0.747723	0.749286	0.776351	0.769691	0.70122	0.734891	0.728534	0.763199	0.740581	0.733555	0.727488	0.769411	0.751856	0.756058	0.784287	0.752759	0.716964	0.7442	0.737306	0.767925	0.740917	0.732072	0.759351	0.794079	0.748186	0.725834	0.747256	0.754195	0.728464	0.772504	0.731004	0.734579	0.729917	0.754477	0.690232	0.735899	0.748347	0.775607	0.758947	0.756057	0.759913	0.771659	0.742606	0.780213	0.745652	0.742043	0.745769	0.715693	0.769925	0.716155	0.760467	0.749953	0.731825	0.739011	0.74424	0.739142	0.769119	0.743754	0.761377	0.766675	0.766118	0.760842	0.775604	0.745996	0.747348	0.730481	0.702054	0.719154	0.769396	0.723427	0.731674	0.771353	0.75016	0.73405	0.764105	0.756958	0.746393	0.748945	0.732579	0.752672	0.739447	0.724603	0.763911	0.731968	0.751152
gut_11	0.771183	0.763472	0.788387	0.76328	0.746587	0.754588	0.744658	0.728186	0.721902	0.767259	0	0.715786	0.75418	0.72785	0.720755	0.747126	0.749944	0.73811	0.7429	0.734355	0.741601	0.759921	0.728203	0.713844	0.760586	0.766156	0.747574	0.725098	0.750758	0.752042	0.756057	0.738754	0.738688	0.742673	0.744812	0.76785	0.718158	0.754903	0.737338	0.722178	0.711561	0.772664	0.744422	0.73613	0.749109	0.752311	0.754451	0.752269	0.753197	0.745267	0.732715	0.777385	0.736713	0.736414	0.734259	0.761063	0.753965	0.777223	0.747156	0.748332	0.745768	0.745211	0.742782	0.73034	0.752804	0.709472	0.729729	0.764018	0.736979	0.740333	0.734583	0.74661	0.71063	0.716372	0.750047	0.747782	0.723482	0.754898	0.719471	0.733999	0.710586	0.737999	0.738167	0.779847	0.725022	0.741121	0.756157	0.750729	0.727676	0.720815	0.700546	0.741982	0.763398	0.74029	0.733062	0.746762	0.762146	0.769093	0.718025	0.734402
gut_12	0.733531	0.708853	0.737762	0.746493	0.745034	0.735608	0.745273	0.719675	0.705955	0.730728	0.715786	0	0.766709	0.737837	0.731239	0.74341	0.725274	0.744355	0.742697	0.712167	0.758376	0.74137	0.730582	0.713621	0.736018	0.738816	0.737717	0.686931	0.760518	0.746747	0.710864	0.745368	0.724518	0.731444	0.721402	0.726151	0.740964	0.739423	0.715688	0.708459	0.73014	0.717406	0.695569	0.706133	0.760947	0.741469	0.736187	0.725847	0.703251	0.717596	0.708276	0.727956	0.735015	0.708582	0.754673	0.748164	0.698659	0.747868	0.704976	0.731095	0.762983	0.73181	0.729942	0.725337	0.732216	0.686153	0.74463	0.735533	0.745847	0.718744	0.738744	0.75221	0.734439	0.702815	0.730527	0.744879	0.729947	0.731345	0.713939	0.7	0.753654	0.725436	0.704062	0.735663	0.733468	0.732021	0.724161	0.708558	0.708033	0.712021	0.712131	0.729757	0.725246	0.717697	0.725333	0.715301	0.709679	0.740498	0.715651	0.737999
gut_13	0.746699	0.78343	0.763266	0.782585	0.731138	0.733528	0.740554	0.75331	0.739874	0.748157	0.75418	0.766709	0	0.754145	0.748012	0.747854	0.774867	0.749121	0.759867	0.763959	0.738177	0.767361	0.736414	0.745468	0.741091	0.73735	0.742329	0.749689	0.732172	0.74645	0.732827	0.730589	0.727388	0.721534	0.769138	0.779191	0.733315	0.725939	0.733036	0.726681	0.728097	0.760665	0.767634	0.786073	0.766672	0.734091	0.751472	0.746026	0.725654	0.727978	0.740221	0.75018	0.763266	0.73498	0.751245	0.7711	0.733868	0.774654	0.761974	0.725455	0.744887	0.732632	0.690646	0.754289	0.762348	0.769483	0.774023	0.761549	0.764245	0.763242	0.721634	0.736606	0.752588	0.782683	0.74846	0.745476	0.718343	0.743297	0.737057	0.728497	0.752081	0.780984	0.731444	0.771687	0.745594	0.759368	0.749767	0.741344	0.738752	0.785385	0.741226	0.73995	0.743134	0.728245	0.747574	0.728669	0.75834	0.756763	0.753459	0.753188
gut_14	0.747522	0.747845	0.751448	0.73979	0.783048	0.751085	0.750963	0.729228	0.707928	0.785048	0.72785	0.737837	0.754145	0	0.73646	0.75331	0.721054	0.762239	0.748103	0.740463	0.732093	0.723237	0.728364	0.75912	0.753468	0.704524	0.736878	0.738909	0.745984	0.694153	0.746885	0.749234	0.716529	0.744769	0.778893	0.771147	0.733799	0.7412	0.724627	0.70318	0.754055	0.737965	0.762688	0.749327	0.74998	0.761232	0.749536	0.753515	0.740369	0.774679	0.733674	0.722349	0.778888	0.726771	0.746128	0.761137	0.712244	0.763243	0.733724	0.744297	0.758734	0.706066	0.785829	0.717016	0.736465	0.695777	0.757226	0.769451	0.751677	0.732798	0.729895	0.736367	0.751688	0.704651	0.73454	0.704823	0.755262	0.774512	0.735775	0.737258	0.744435	0.751554	0.729083	0.742583	0.757193	0.739284	0.777768	0.749489	0.751936	0.752726	0.695518	0.756384	0.734442	0.753546	0.751429	0.701164	0.717301	0.705485	0.702272	0.760348
gut_15	0.721495	0.756159	0.743017	0.760965	0.695795	0.771887	0.750856	0.720618	0.74113	0.716105	0.720755	0.731239	0.748012	0.73646	0	0.7402	0.71328	0.746413	0.717912	0.691507	0.736822	0.746922	0.7469	0.685978	0.750084	0.741687	0.70967	0.680346	0.755156	0.739811	0.753919	0.736736	0.714883	0.7412	0.739558	0.715885	0.671219	0.726586	0.735923	0.744669	0.738499	0.725381	0.736488	0.724686	0.761455	0.754311	0.749344	0.71772	0.721275	0.702766	0.73213	0.731574	0.74844	0.736203	0.751278	0.748478	0.729908	0.766666	0.6871	0.677475	0.747778	0.697115	0.721298	0.716945	0.751881	0.732181	0.709709	0.736012	0.711411	0.720667	0.73505	0.755465	0.769788	0.722678	0.72211	0.711895	0.764357	0.733504	0.736539	0.699796	0.724801	0.747963	0.69666	0.76867	0.761481	0.73112	0.716145	0.722893	0.679858	0.733803	0.711293	0.733569	0.739492	0.711169	0.723063	0.692545	0.738505	0.749138	0.727853	0.741528
