SampleID	gut_1	gut_2	gut_3	gut_4	gut_5	gut_6	gut_7	gut_8	gut_9	gut_10	gut_11	gut_12	gut_13	gut_14	gut_15	gut_16	gut_17	gut_18	gut_19	gut_20	gut_21	gut_22	gut_23	gut_24	gut_25	gut_26	gut_27	gut_28	gut_29	gut_30	gut_31	gut_32	gut_33	gut_34	gut_35	gut_36	gut_37	gut_38	gut_39	gut_40	gut_41	gut_42	gut_43	gut_44	gut_45	gut_46	gut_47	gut_48	gut_49	gut_50	gut_51	gut_52	gut_53	gut_54	gut_55	gut_56	gut_57	gut_58	gut_59	gut_60	gut_61	gut_62	gut_63	gut_64	gut_65	gut_66	gut_67	gut_68	gut_69	gut_70	gut_71	gut_72	gut_73	gut_74	gut_75	gut_76	gut_77	gut_78	gut_79	gut_80	gut_81	gut_82	gut_83	gut_84	gut_85	gut_86	gut_87	gut_88	gut_89	gut_90	gut_91	gut_92	gut_93	gut_94	gut_95	gut_96	gut_97	gut_98	gut_99	gut_100
gut_1	0	0.745827	0.741153	0.729255	0.736873	0.745401	0.727364	0.74483	0.671911	0.741001	0.769082	0.735425	0.744021	0.758347	0.723754	0.737616	0.761733	0.759782	0.724902	0.758031	0.726867	0.726875	0.766708	0.732692	0.757246	0.725326	0.703513	0.707686	0.749801	0.766504	0.748615	0.72054	0.714552	0.702175	0.719616	0.718009	0.69296	0.766389	0.715408	0.722958	0.74104	0.727086	0.730171	0.759997	0.754508	0.730566	0.719741	0.744513	0.746925	0.724514	0.711891	0.758435	0.769754	0.673706	0.731533	0.76615	0.73899	0.73923	0.744889	0.750129	0.726273	0.75013	0.749047	0.757604	0.723277	0.755938	0.761763	0.734536	0.731738	0.750073	0.74143	0.731873	0.711204	0.740281	0.720501	0.736627	0.740349	0.739518	0.721875	0.738033	0.761193	0.751908	0.748119	0.72279	0.72916	0.753713	0.749011	0.720247	0.723486	0.758574	0.76131	0.741485	0.736992	0.753735	0.731906	0.753983	0.720039	0.724263	0.737008	0.767709
gut_2	0.745827	0	0.750434	0.758686	0.751228	0.781516	0.768594	0.746018	0.749822	0.72837	0.760621	0.70511	0.781391	0.754059	0.74587	0.754727	0.777669	0.761587	0.786833	0.737499	0.754968	0.744396	0.729989	0.722019	0.710335	0.764976	0.723903	0.725295	0.784215	0.770557	0.707218	0.710786	0.746241	0.764564	0.7634	0.722436	0.73316	0.758203	0.734812	0.754884	0.712433	0.742288	0.743432	0.73261	0.755349	0.763185	0.774095	0.736792	0.750635	0.764961	0.720938	0.742849	0.709723	0.737	0.768412	0.755759	0.721953	0.76118	0.758276	0.739559	0.774659	0.733943	0.714041	0.751833	0.741573	0.747971	0.77819	0.764383	0.75919	0.764839	0.716861	0.74541	0.739432	0.729683	0.742441	0.743631	0.762588	0.759725	0.737714	0.743473	0.727555	0.74341	0.727642	0.733234	0.743681	0.740417	0.770966	0.756674	0.721114	0.765124	0.757659	0.746179	0.767279	0.762181	0.731516	0.743625	0.735703	0.765816	0.738389	0.768246
gut_3	0.741153	0.750434	0	0.762406	0.744239	0.751197	0.756508	0.751537	0.737265	0.754515	0.787135	0.738519	0.759144	0.747853	0.726743	0.753202	0.74362	0.770505	0.752649	0.751383	0.715454	0.758297	0.750251	0.732521	0.760135	0.764844	0.745554	0.737848	0.733857	0.757181	0.746087	0.735506	0.745139	0.774939	0.761457	0.768615	0.769871	0.772067	0.767435	0.752037	0.712212	0.757248	0.756355	0.754038	0.762196	0.761396	0.71845	0.742775	0.773204	0.743761	0.735451	0.743452	0.757344	0.738424	0.752637	0.7405	0.767791	0.749031	0.750359	0.722735	0.735053	0.748137	0.760343	0.724095	0.719536	0.763305	0.777479	0.75677	0.741461	0.728817	0.754476	0.77387	0.757077	0.74211	0.755711	0.740354	0.754477	0.734884	0.750854	0.729223	0.743267	0.769764	0.759245	0.756404	0.748952	0.733432	0.757603	0.77572	0.761447	0.773905	0.783501	0.769113	0.721521	0.770089	0.742382	0.750196	0.736794	0.744749	0.723822	0.711519
gut_4	0.729255	0.758686	0.762406	0	0.762474	0.765943	0.705119	0.710586	0.716176	0.769465	0.760435	0.742593	0.775276	0.741853	0.756887	0.755909	0.760826	0.754213	0.791458	0.726781	0.730335	0.730906	0.738296	0.746242	0.753096	0.744866	0.754125	0.714067	0.766753	0.746934	0.755695	0.745722	0.758791	0.740501	0.770073	0.750414	0.731034	0.724154	0.72995	0.753211	0.747033	0.729802	0.759947	0.763383	0.760986	0.762473	0.742398	0.742006	0.744845	0.720694	0.742545	0.752022	0.763644	0.747753	0.727812	0.709323	0.742387	0.777202	0.725802	0.756904	0.766284	0.750013	0.740845	0.734815	0.778529	0.740056	0.767611	0.768375	0.75112	0.785972	0.737141	0.757691	0.737432	0.743676	0.743907	0.739697	0.766207	0.754897	0.734171	0.733718	0.768924	0.750688	0.755774	0.757464	0.728639	0.761885	0.773543	0.736619	0.717275	0.752626	0.757775	0.768019	0.756637	0.767586	0.749193	0.732891	0.756775	0.711138	0.743324	0.763295
gut_5	0.736873	0.751228	0.744239	0.762474	0	0.75789	0.754139	0.7395	0.746915	0.743827	0.74888	0.737782	0.727079	0.784367	0.684185	0.724015	0.762048	0.762298	0.706297	0.712323	0.739766	0.733061	0.748875	0.724422	0.747734	0.729995	0.732336	0.730111	0.753667	0.76192	0.754105	0.727437	0.749334	0.759873	0.719003	0.735666	0.736438	0.753501	0.762183	0.745492	0.731974	0.701765	0.71534	0.750667	0.77591	0.734722	0.765107	0.736399	0.726054	0.730357	0.707967	0.737528	0.73691	0.753873	0.769786	0.770658	0.706957	0.752419	0.748183	0.721396	0.746708	0.733306	0.737765	0.735971	0.747704	0.761269	0.740996	0.751597	0.730627	0.745207	0.727772	0.767503	0.754856	0.740303	0.753876	0.702882	0.716619	0.745965	0.741337	0.741947	0.763573	0.76104	0.74657	0.719447	0.753535	0.737444	0.736371	0.718123	0.718208	0.765996	0.750309	0.752799	0.709919	0.755701	0.728169	0.723512	0.750384	0.744543	0.763903	0.742454
gut_6	0.745401	0.781516	0.751197	0.765943	0.75789	0	0.751639	0.751894	0.745623	0.785903	0.756055	0.744368	0.749664	0.758335	0.767213	0.748993	0.758955	0.750817	0.755276	0.740011	0.740002	0.753545	0.747328	0.702772	0.734879	0.74044	0.735163	0.75386	0.765118	0.748434	0.756711	0.756357	0.736569	0.739362	0.750139	0.749038	0.742081	0.75551	0.763055	0.744379	0.745914	0.741639	0.739324	0.742496	0.752034	0.734205	0.743005	0.759205	0.73212	0.739404	0.731928	0.741816	0.75364	0.673563	0.752767	0.741299	0.758669	0.771078	0.744752	0.754888	0.744296	0.729803	0.746819	0.742327	0.753291	0.746504	0.782129	0.741565	0.733632	0.746603	0.761931	0.774392	0.732049	0.741397	0.717805	0.708262	0.772475	0.720125	0.745537	0.734815	0.762115	0.758122	0.720502	0.730982	0.739503	0.740757	0.745766	0.726873	0.754885	0.752968	0.769251	0.765516	0.723623	0.745245	0.761215	0.702738	0.764966	0.759874	0.721107	0.71608
gut_7	0.727364	0.768594	0.756508	0.705119	0.754139	0.751639	0	0.7512	0.736596	0.735022	0.74511	0.734957	0.7412	0.750436	0.751213	0.756344	0.75646	0.771942	0.739769	0.726126	0.72707	0.739585	0.746341	0.743212	0.739977	0.717921	0.747208	0.740464	0.725268	0.742561	0.761679	0.730623	0.719058	0.717867	0.733112	0.750232	0.730669	0.734697	0.766913	0.726917	0.751239	0.729783	0.717513	0.754347	0.735214	0.731235	0.748772	0.757656	0.754922	0.713238	0.730927	0.745897	0.762645	0.727144	0.710404	0.772725	0.74479	0.762261	0.730608	0.747908	0.718125	0.764176	0.752951	0.718717	0.750792	0.742755	0.72448	0.739303	0.75056	0.701267	0.734422	0.759508	0.739723	0.730517	0.747333	0.748185	0.731274	0.748249	0.70658	0.743561	0.75324	0.750835	0.730553	0.766016	0.737823	0.770488	0.782143	0.760295	0.734814	0.743217	0.7511	0.739847	0.725233	0.737968	0.742708	0.730134	0.725171	0.755647	0.733052	0.718001
gut_8	0.74483	0.746018	0.751537	0.710586	0.7395	0.751894	0.7512	0	0.720267	0.737962	0.742394	0.717763	0.754824	0.722001	0.719669	0.712447	0.749664	0.739446	0.753067	0.751876	0.73357	0.725114	0.756179	0.740827	0.750793	0.745376	0.769401	0.705096	0.754386	0.752281	0.728496	0.758311	0.76571	0.719922	0.746715	0.749062	0.737232	0.752461	0.762307	0.740389	0.696458	0.764805	0.766972	0.77208	0.760446	0.738444	0.756219	0.745297	0.725662	0.749373	0.743231	0.768104	0.768554	0.758451	0.726483	0.743861	0.736533	0.739845	0.718658	0.754048	0.742183	0.730464	0.673795	0.727427	0.718515	0.748922	0.725214	0.750833	0.731512	0.75217	0.754261	0.741164	0.750788	0.727082	0.72397	0.742157	0.758452	0.730739	0.76118	0.757221	0.747891	0.740685	0.729313	0.740526	0.735482	0.759708	0.756951	0.733537	0.73842	0.73533	0.742428	0.738063	0.75748	0.747448	0.76253	0.711984	0.736627	0.744181	0.722093	0.733658
gut_9	0.671911	0.749822	0.737265	0.716176	0.746915	0.745623	0.736596	0.720267	0	0.709774	0.725984	0.722632	0.735773	0.711488	0.737911	0.703992	0.722731	0.713271	0.716461	0.753273	0.721545	0.707473	0.710422	0.718237	0.734402	0.719256	0.764656	0.746448	0.713025	0.747841	0.723887	0.705668	0.734681	0.703636	0.75758	0.71685	0.697873	0.755062	0.747314	0.721481	0.757646	0.741022	0.750666	0.728681	0.760479	0.726788	0.689867	0.731713	0.737743	0.701751	0.722859	0.750702	0.770127	0.700982	0.728835	0.737571	0.745221	0.717638	0.762656	0.725893	0.738613	0.718071	0.712164	0.739191	0.746838	0.712776	0.730797	0.735262	0.719049	0.741624	0.732025	0.717071	0.743105	0.734491	0.724386	0.726587	0.748339	0.711817	0.731233	0.712842	0.748093	0.700782	0.698396	0.738998	0.722226	0.743602	0.750776	0.732727	0.725353	0.741804	0.733799	0.735969	0.749649	0.72034	0.720894	0.699838	0.712965	0.699831	0.719069	0.757236
gut_10	0.741001	0.72837	0.754515	0.769465	0.743827	0.785903	0.735022	0.737962	0.709774	0	0.766896	0.736129	0.745056	0.787349	0.722103	0.747512	0.751192	0.789115	0.767739	0.715999	0.729925	0.733904	0.762434	0.73553	0.736249	0.725131	0.766908	0.757081	0.753843	0.780379	0.747811	0.719416	0.746025	0.747321	0.767921	0.736144	0.734268	0.757689	0.794577	0.750344	0.7409	0.747071	0.754326	0.735324	0.772495	0.736463	0.729049	0.745007	0.757268	0.696376	0.737857	0.755297	0.779609	0.761934	0.753889	0.763331	0.771415	0.740834	0.774538	0.746926	0.739237	0.750252	0.728603	0.77775	0.711578	0.760809	0.753504	0.732283	0.738306	0.749048	0.73467	0.764642	0.747597	0.756108	0.77112	0.765498	0.757096	0.769051	0.74452	0.757332	0.728705	0.704323	0.724625	0.769322	0.735168	0.740744	0.770032	0.741984	0.724324	0.7604	0.76098	0.744928	0.748898	0.738512	0.756768	0.73904	0.721681	0.764773	0.729726	0.757368
