SampleID	oral_1	oral_2	oral_3	oral_4	oral_5	oral_6	oral_7	oral_8	oral_9	oral_10	oral_11	oral_12	oral_13	oral_14	oral_15	oral_16	oral_17	oral_18	oral_19	oral_20	oral_21	oral_22	oral_23	oral_24	oral_25	oral_26	oral_27	oral_28	oral_29	oral_30	oral_31	oral_32	oral_33	oral_34	oral_35	oral_36	oral_37	oral_38	oral_39	oral_40	oral_41	oral_42	oral_43	oral_44	oral_45	oral_46	oral_47	oral_48	oral_49	oral_50	oral_51	oral_52	oral_53	oral_54	oral_55	oral_56	oral_57	oral_58	oral_59	oral_60	oral_61	oral_62	oral_63	oral_64	oral_65	oral_66	oral_67	oral_68	oral_69	oral_70	oral_71	oral_72	oral_73	oral_74	oral_75	oral_76	oral_77	oral_78	oral_79	oral_80	oral_81	oral_82	oral_83	oral_84	oral_85	oral_86	oral_87	oral_88	oral_89	oral_90	oral_91	oral_92	oral_93	oral_94	oral_95	oral_96	oral_97	oral_98	oral_99	oral_100
oral_1	0	0.70283	0.704446	0.72037	0.722667	0.700644	0.719632	0.704326	0.723243	0.70635	0.708901	0.726265	0.687572	0.725544	0.716512	0.704577	0.698376	0.708646	0.721167	0.737004	0.702293	0.683081	0.692833	0.710071	0.714878	0.697396	0.721509	0.713955	0.69646	0.718256	0.736117	0.705218	0.713806	0.703975	0.699081	0.676369	0.729536	0.708302	0.717544	0.739769	0.689023	0.741484	0.734985	0.695924	0.719599	0.689765	0.727074	0.698606	0.694858	0.72211	0.677578	0.712716	0.672509	0.722512	0.702023	0.714749	0.728191	0.741086	0.70832	0.697097	0.704742	0.708946	0.685174	0.676507	0.710846	0.694038	0.71156	0.731389	0.746144	0.723772	0.714763	0.723049	0.719994	0.689028	0.68315	0.735781	0.728887	0.721746	0.740456	0.728725	0.731064	0.715319	0.697741	0.700402	0.708188	0.710578	0.688336	0.703222	0.727975	0.707599	0.735981	0.712847	0.730299	0.671792	0.694178	0.693083	0.743603	0.717277	0.745485	0.696905
oral_2	0.70283	0	0.680492	0.678695	0.714155	0.712003	0.703922	0.692476	0.704213	0.676826	0.671416	0.698743	0.697554	0.682697	0.697119	0.695928	0.718878	0.692013	0.684212	0.704079	0.710417	0.697138	0.704237	0.676325	0.706192	0.718257	0.696458	0.698145	0.682046	0.690426	0.712696	0.707867	0.696465	0.677542	0.686491	0.667882	0.6844	0.676646	0.683245	0.705698	0.68528	0.679953	0.702013	0.670815	0.673098	0.72061	0.690524	0.683819	0.705373	0.709588	0.685876	0.669507	0.678922	0.674589	0.715727	0.698576	0.669305	0.668311	0.692754	0.69669	0.691451	0.687001	0.698603	0.663266	0.687988	0.67776	0.70143	0.70528	0.710431	0.717666	0.671182	0.721831	0.687005	0.686324	0.673676	0.726898	0.69729	0.680372	0.712223	0.709705	0.688851	0.711989	0.676333	0.683617	0.729123	0.723285	0.6926	0.688938	0.699105	0.707094	0.697204	0.680201	0.711895	0.678519	0.671965	0.65915	0.723993	0.714096	0.684888	0.679029
oral_3	0.704446	0.680492	0	0.738169	0.705488	0.700161	0.699705	0.729402	0.705721	0.71585	0.694044	0.714872	0.700001	0.706986	0.709007	0.692369	0.727083	0.755035	0.713117	0.73416	0.701319	0.73919	0.716729	0.719797	0.713392	0.705599	0.713805	0.732242	0.708483	0.697366	0.713673	0.730004	0.703574	0.716858	0.734817	0.712274	0.720127	0.718513	0.711998	0.715247	0.70099	0.717649	0.714322	0.711362	0.734413	0.69698	0.727939	0.725985	0.699725	0.713975	0.726174	0.702169	0.730354	0.707333	0.70327	0.723734	0.734526	0.721348	0.694724	0.717703	0.702294	0.725373	0.682316	0.698168	0.696269	0.680265	0.714732	0.704383	0.707706	0.732208	0.679262	0.684194	0.724241	0.715305	0.706302	0.734157	0.710686	0.695902	0.707257	0.682081	0.691489	0.701972	0.705065	0.723969	0.749994	0.722148	0.729546	0.718128	0.706924	0.726742	0.746977	0.699823	0.719828	0.730232	0.7238	0.686392	0.737728	0.706022	0.726028	0.710474
oral_4	0.72037	0.678695	0.738169	0	0.743104	0.747754	0.741524	0.725388	0.722873	0.721604	0.712177	0.72686	0.690291	0.717856	0.716403	0.701639	0.714184	0.740858	0.692762	0.731663	0.720594	0.717958	0.721946	0.718593	0.717199	0.684518	0.711563	0.70978	0.692817	0.751563	0.698867	0.744799	0.709391	0.723385	0.709019	0.700206	0.731687	0.732363	0.71932	0.740529	0.705742	0.708811	0.707997	0.742979	0.710144	0.726038	0.697806	0.663396	0.702909	0.715784	0.718381	0.706952	0.699841	0.704324	0.732579	0.724753	0.719149	0.724636	0.713037	0.728841	0.704496	0.729867	0.694755	0.66532	0.736868	0.71708	0.702439	0.706354	0.711949	0.732237	0.720081	0.737359	0.714301	0.714294	0.703238	0.759666	0.7189	0.736261	0.730917	0.708425	0.718243	0.743571	0.713899	0.718166	0.724989	0.715467	0.725786	0.728376	0.701315	0.727775	0.733056	0.738351	0.749914	0.695931	0.713487	0.707876	0.73149	0.731283	0.703212	0.714407
oral_5	0.722667	0.714155	0.705488	0.743104	0	0.703214	0.709803	0.721388	0.699121	0.684599	0.697678	0.735028	0.684839	0.688788	0.714508	0.702105	0.688697	0.719207	0.753044	0.731426	0.74073	0.743901	0.714268	0.667515	0.701183	0.699604	0.715383	0.730876	0.694371	0.712609	0.706195	0.702837	0.701388	0.730503	0.692773	0.738655	0.723179	0.708077	0.702711	0.728667	0.728063	0.713334	0.719346	0.695742	0.719229	0.741797	0.700484	0.697703	0.684693	0.717131	0.733475	0.734617	0.716494	0.743874	0.726444	0.720899	0.72486	0.736735	0.689646	0.710056	0.724177	0.710318	0.707731	0.690584	0.720081	0.71228	0.726421	0.716486	0.73323	0.697002	0.686718	0.752157	0.737937	0.715172	0.710511	0.715462	0.702374	0.734893	0.700012	0.729153	0.739361	0.751455	0.749592	0.700883	0.701647	0.66734	0.724259	0.677863	0.714044	0.738449	0.72755	0.726801	0.730303	0.694403	0.732456	0.716467	0.726622	0.724171	0.728663	0.674276
oral_6	0.700644	0.712003	0.700161	0.747754	0.703214	0	0.698099	0.696044	0.70358	0.694824	0.734905	0.691111	0.677365	0.688927	0.72644	0.714238	0.701259	0.73193	0.718501	0.728254	0.702285	0.722272	0.68532	0.700439	0.697526	0.730211	0.706649	0.714061	0.726674	0.697755	0.705227	0.697363	0.654021	0.69712	0.688047	0.707267	0.726554	0.702802	0.694223	0.689112	0.686054	0.696061	0.710082	0.722877	0.691316	0.710239	0.707101	0.741621	0.713147	0.688215	0.698552	0.693408	0.667365	0.733185	0.690539	0.703518	0.693063	0.706139	0.683304	0.702839	0.705964	0.697752	0.684436	0.694294	0.70886	0.729327	0.722371	0.697234	0.723228	0.690163	0.675565	0.727419	0.705962	0.696963	0.673923	0.725738	0.704663	0.702335	0.724414	0.715559	0.687342	0.729224	0.677644	0.698587	0.699515	0.64934	0.71606	0.689318	0.705549	0.67407	0.715759	0.715456	0.693003	0.717026	0.701413	0.70979	0.716965	0.6934	0.704351	0.688538
oral_7	0.719632	0.703922	0.699705	0.741524	0.709803	0.698099	0	0.689124	0.708874	0.693437	0.660796	0.693164	0.687332	0.68553	0.716491	0.68167	0.704341	0.731179	0.707194	0.709135	0.708252	0.700074	0.688359	0.684326	0.692949	0.678515	0.697463	0.684648	0.699713	0.701208	0.711392	0.715816	0.712492	0.719564	0.659939	0.664359	0.729507	0.686001	0.688746	0.692835	0.71004	0.709212	0.729064	0.696956	0.701905	0.713751	0.720696	0.719759	0.702106	0.728018	0.711664	0.691973	0.704698	0.711472	0.725252	0.700145	0.71056	0.683933	0.693587	0.696476	0.668334	0.682085	0.725833	0.692002	0.684612	0.703906	0.674186	0.702412	0.699682	0.707785	0.676102	0.674764	0.732161	0.719158	0.69637	0.729153	0.685469	0.705474	0.704464	0.693833	0.737053	0.707428	0.71205	0.699005	0.732524	0.702322	0.709547	0.640704	0.702427	0.678394	0.687487	0.710251	0.73753	0.651273	0.719311	0.703063	0.709327	0.736638	0.702471	0.69866
oral_8	0.704326	0.692476	0.729402	0.725388	0.721388	0.696044	0.689124	0	0.729093	0.698436	0.718413	0.722397	0.713166	0.698699	0.696028	0.677977	0.717847	0.699627	0.698957	0.704669	0.709947	0.71184	0.718544	0.697231	0.701571	0.716135	0.694135	0.714359	0.696426	0.697769	0.694008	0.714156	0.703969	0.704784	0.703568	0.699302	0.725212	0.689592	0.692944	0.717329	0.741218	0.698216	0.71996	0.700549	0.700287	0.711014	0.66453	0.665205	0.676455	0.727955	0.711514	0.688444	0.672916	0.724123	0.698878	0.704117	0.715304	0.700656	0.69185	0.706761	0.686181	0.712648	0.710063	0.699146	0.720678	0.689485	0.71731	0.727427	0.6718	0.712078	0.705995	0.697347	0.705151	0.691831	0.700217	0.712149	0.699488	0.703361	0.726035	0.696972	0.715189	0.713205	0.702786	0.684762	0.679276	0.682577	0.731574	0.703557	0.731694	0.692899	0.69867	0.715134	0.729629	0.679564	0.711599	0.685123	0.746105	0.689712	0.707614	0.707909
oral_9	0.723243	0.704213	0.705721	0.722873	0.699121	0.70358	0.708874	0.729093	0	0.697604	0.706541	0.709441	0.714179	0.69245	0.672683	0.691721	0.699926	0.721343	0.679291	0.713527	0.715153	0.732136	0.669994	0.705989	0.724535	0.712092	0.696755	0.745674	0.662551	0.718127	0.707545	0.69909	0.717405	0.73277	0.690871	0.700265	0.721051	0.703786	0.722522	0.719056	0.690513	0.694225	0.742637	0.698757	0.722103	0.723737	0.704489	0.692548	0.682737	0.679318	0.704261	0.692246	0.699428	0.715239	0.734219	0.728099	0.692302	0.701211	0.688497	0.694952	0.696838	0.685149	0.690676	0.696318	0.718633	0.697596	0.710035	0.699972	0.701839	0.727301	0.685977	0.702743	0.706876	0.709193	0.684117	0.722044	0.704972	0.723992	0.696237	0.684089	0.705661	0.743425	0.702361	0.68941	0.718484	0.709765	0.73483	0.701966	0.695501	0.709506	0.725991	0.698228	0.728162	0.709008	0.725414	0.683454	0.719821	0.708725	0.693841	0.68824
oral_10	0.70635	0.676826	0.71585	0.721604	0.684599	0.694824	0.693437	0.698436	0.697604	0	0.6852	0.660612	0.685836	0.687241	0.698198	0.702089	0.698872	0.730136	0.686854	0.695856	0.73239	0.699558	0.666559	0.709495	0.716896	0.689135	0.681378	0.698505	0.6957	0.71438	0.690104	0.6811	0.696909	0.690947	0.666597	0.691878	0.726322	0.683372	0.698376	0.698195	0.711618	0.694397	0.698638	0.700206	0.693538	0.692723	0.704728	0.71735	0.690584	0.696222	0.685107	0.664058	0.672462	0.70751	0.709193	0.699452	0.719508	0.701122	0.67901	0.714071	0.703715	0.722039	0.709391	0.682691	0.682802	0.70035	0.728846	0.700763	0.686626	0.70678	0.697972	0.721425	0.682053	0.713039	0.688308	0.719784	0.679969	0.682346	0.704076	0.707276	0.738744	0.724513	0.708977	0.696753	0.679614	0.685222	0.694439	0.697869	0.71448	0.713469	0.715003	0.697697	0.692275	0.700895	0.727459	0.682122	0.714976	0.718472	0.715241	0.698678
