SampleID	vaginal_1	vaginal_2	vaginal_3	vaginal_4	vaginal_5	vaginal_6	vaginal_7	vaginal_8	vaginal_9	vaginal_10	vaginal_11	vaginal_12	vaginal_13	vaginal_14	vaginal_15	vaginal_16	vaginal_17	vaginal_18	vaginal_19	vaginal_20	vaginal_21	vaginal_22	vaginal_23	vaginal_24	vaginal_25	vaginal_26	vaginal_27	vaginal_28	vaginal_29	vaginal_30	vaginal_31	vaginal_32	vaginal_33	vaginal_34	vaginal_35	vaginal_36	vaginal_37	vaginal_38	vaginal_39	vaginal_40	vaginal_41	vaginal_42	vaginal_43	vaginal_44	vaginal_45	vaginal_46	vaginal_47	vaginal_48	vaginal_49	vaginal_50	vaginal_51	vaginal_52	vaginal_53	vaginal_54	vaginal_55	vaginal_56	vaginal_57	vaginal_58	vaginal_59	vaginal_60	vaginal_61	vaginal_62	vaginal_63	vaginal_64	vaginal_65	vaginal_66	vaginal_67	vaginal_68	vaginal_69	vaginal_70	vaginal_71	vaginal_72	vaginal_73	vaginal_74	vaginal_75	vaginal_76	vaginal_77	vaginal_78	vaginal_79	vaginal_80	vaginal_81	vaginal_82	vaginal_83	vaginal_84	vaginal_85	vaginal_86	vaginal_87	vaginal_88	vaginal_89	vaginal_90	vaginal_91	vaginal_92	vaginal_93	vaginal_94	vaginal_95	vaginal_96	vaginal_97	vaginal_98	vaginal_99	vaginal_100
vaginal_1	0	0.723609	0.767299	0.832555	0.809713	0.762345	0.812003	0.776508	0.795626	0.77351	0.780342	0.749471	0.814615	0.788773	0.821102	0.79277	0.814166	0.704088	0.782838	0.798281	0.775359	0.832555	0.727573	0.786118	0.775148	0.783148	0.72348	0.727998	0.720978	0.832555	0.810027	0.765433	0.805257	0.764359	0.776104	0.760484	0.789645	0.793037	0.797688	0.832555	0.792521	0.827793	0.787959	0.771629	0.793893	0.748113	0.733582	0.806684	0.793067	0.730267	0.758417	0.778912	0.700495	0.764604	0.800139	0.82637	0.799408	0.816768	0.800734	0.771982	0.79249	0.798122	0.755197	0.7849	0.789287	0.814195	0.77326	0.780998	0.790253	0.689758	0.741928	0.740298	0.814076	0.711842	0.776219	0.771173	0.806193	0.78988	0.768065	0.793864	0.823053	0.791304	0.806567	0.803048	0.741076	0.731351	0.794452	0.812422	0.778688	0.806447	0.746501	0.802555	0.832555	0.811444	0.800457	0.832555	0.797722	0.752232	0.797286	0.762584
vaginal_2	0.723609	0	0.776316	0.826311	0.786502	0.781186	0.787611	0.788148	0.817882	0.757189	0.703126	0.735725	0.814048	0.762798	0.740745	0.744085	0.732841	0.807761	0.758742	0.780585	0.739241	0.753352	0.776846	0.828055	0.81675	0.795713	0.741857	0.779151	0.689333	0.832555	0.75587	0.695464	0.809212	0.775322	0.784653	0.790344	0.780604	0.796993	0.736562	0.817004	0.792213	0.810239	0.769447	0.779244	0.719526	0.758365	0.745408	0.807749	0.759857	0.817644	0.784469	0.774654	0.781674	0.751833	0.801163	0.811669	0.766903	0.782032	0.821991	0.712715	0.784058	0.823094	0.79137	0.799383	0.797482	0.769252	0.776415	0.798814	0.8168	0.731085	0.775991	0.749578	0.737554	0.7661	0.792511	0.786203	0.708711	0.76907	0.766628	0.786986	0.776714	0.780782	0.780391	0.781297	0.763871	0.769098	0.8013	0.832555	0.744665	0.733112	0.806814	0.793036	0.832555	0.752205	0.752061	0.81073	0.789884	0.758375	0.773799	0.748591
vaginal_3	0.767299	0.776316	0	0.832555	0.817401	0.738294	0.785333	0.788923	0.742135	0.759587	0.748362	0.778856	0.767563	0.788043	0.687212	0.778397	0.763782	0.787655	0.783113	0.796497	0.759388	0.819807	0.772624	0.810754	0.797846	0.79569	0.764201	0.78883	0.752157	0.691696	0.803325	0.736035	0.818889	0.796838	0.77596	0.799173	0.697607	0.788477	0.789764	0.811931	0.750364	0.792145	0.748682	0.767224	0.762419	0.744788	0.774689	0.78285	0.754931	0.734791	0.773926	0.743502	0.666037	0.780007	0.814387	0.751254	0.808194	0.792069	0.801873	0.775828	0.789973	0.786092	0.775012	0.767701	0.806119	0.777461	0.742451	0.802336	0.728743	0.76946	0.735019	0.750549	0.75888	0.776789	0.779851	0.749057	0.729089	0.781935	0.761001	0.77902	0.805997	0.738304	0.722232	0.803665	0.725099	0.78599	0.822173	0.832555	0.784114	0.791112	0.798659	0.78261	0.784697	0.744747	0.795168	0.749613	0.816031	0.759957	0.811643	0.770231
vaginal_4	0.832555	0.826311	0.832555	0	0.822315	0.813563	0.819882	0.825316	0.813141	0.803029	0.822597	0.804793	0.781024	0.657163	0.832555	0.818623	0.764728	0.827344	0.775464	0.748685	0.794431	0.832555	0.801703	0.812488	0.812204	0.765322	0.752897	0.772445	0.774408	0.802436	0.832555	0.799967	0.788935	0.803875	0.785061	0.768469	0.816634	0.815634	0.817638	0.801921	0.766557	0.698053	0.789865	0.806805	0.802308	0.813103	0.805418	0.775118	0.820279	0.832555	0.792526	0.809658	0.818154	0.829388	0.786117	0.787347	0.804415	0.764261	0.768888	0.8121	0.734585	0.81689	0.804397	0.770245	0.790518	0.779448	0.781121	0.770176	0.804501	0.725353	0.784433	0.821408	0.824759	0.753304	0.832555	0.778327	0.810003	0.800724	0.794488	0.817743	0.832555	0.790738	0.804742	0.764537	0.789968	0.73295	0.814323	0.819078	0.786957	0.78388	0.832555	0.794591	0.789473	0.706647	0.794979	0.741403	0.832555	0.819749	0.808102	0.738721
vaginal_5	0.809713	0.786502	0.817401	0.822315	0	0.794951	0.832555	0.798308	0.791716	0.815282	0.765327	0.810997	0.814244	0.832555	0.832555	0.790773	0.805331	0.794529	0.804973	0.786388	0.779756	0.832555	0.812144	0.737644	0.810975	0.798315	0.788147	0.777128	0.797762	0.808691	0.832555	0.80748	0.832555	0.792919	0.801874	0.748807	0.819669	0.807641	0.806056	0.793152	0.767935	0.823296	0.746457	0.815375	0.824863	0.821974	0.799741	0.827498	0.811704	0.824638	0.809624	0.805532	0.7967	0.744541	0.82284	0.832555	0.775054	0.832555	0.832555	0.750881	0.811009	0.814263	0.816078	0.805843	0.811608	0.76411	0.773633	0.816599	0.739454	0.825338	0.781206	0.809457	0.797787	0.815791	0.769833	0.780988	0.800616	0.675039	0.765054	0.787095	0.76889	0.767369	0.811882	0.787657	0.793001	0.81675	0.832555	0.777305	0.806676	0.737424	0.832555	0.738598	0.819007	0.824956	0.777223	0.773922	0.752414	0.81356	0.791543	0.781383
vaginal_6	0.762345	0.781186	0.738294	0.813563	0.794951	0	0.804335	0.748265	0.784986	0.752742	0.745273	0.769338	0.761762	0.711558	0.717593	0.768927	0.800807	0.759352	0.78555	0.762745	0.784958	0.808236	0.756213	0.777177	0.796259	0.805069	0.712223	0.761944	0.748152	0.800301	0.771579	0.740376	0.76734	0.73775	0.767582	0.76346	0.792348	0.759069	0.742577	0.801934	0.731375	0.769078	0.785778	0.74646	0.729321	0.756749	0.709548	0.779583	0.754278	0.761727	0.804814	0.754595	0.777474	0.792304	0.751958	0.806397	0.763683	0.784982	0.815149	0.755256	0.716722	0.796365	0.781481	0.756625	0.704543	0.751796	0.762064	0.747441	0.706351	0.76722	0.76731	0.800021	0.80294	0.771964	0.777278	0.750107	0.767511	0.76585	0.73441	0.711322	0.741883	0.755321	0.784193	0.775966	0.732993	0.754133	0.795857	0.785238	0.76577	0.782209	0.812004	0.828163	0.765153	0.7726	0.734208	0.811567	0.749405	0.789137	0.787065	0.802721
vaginal_7	0.812003	0.787611	0.785333	0.819882	0.832555	0.804335	0	0.759075	0.786105	0.743831	0.805053	0.774482	0.790407	0.800424	0.790225	0.765419	0.808501	0.78995	0.784562	0.827507	0.740776	0.782905	0.806619	0.793658	0.81461	0.815225	0.781735	0.759615	0.779663	0.767269	0.788866	0.816516	0.744919	0.832555	0.780085	0.78602	0.818761	0.741129	0.781258	0.794546	0.768531	0.808985	0.805124	0.814992	0.696724	0.777005	0.827235	0.803063	0.786058	0.817618	0.782475	0.818939	0.783087	0.759714	0.793652	0.767193	0.786053	0.816526	0.808493	0.736818	0.793111	0.822436	0.809693	0.782802	0.767197	0.795029	0.731142	0.782899	0.689849	0.791617	0.817667	0.808104	0.774801	0.785084	0.786811	0.81007	0.68583	0.794377	0.785668	0.807469	0.77223	0.740871	0.752639	0.771191	0.770458	0.763664	0.832555	0.815892	0.736992	0.795523	0.800309	0.832555	0.832555	0.734672	0.758277	0.778332	0.787187	0.685204	0.763463	0.804059
vaginal_8	0.776508	0.788148	0.788923	0.825316	0.798308	0.748265	0.759075	0	0.759043	0.692706	0.737704	0.696809	0.778882	0.778229	0.761723	0.751655	0.786109	0.78475	0.75563	0.796517	0.807153	0.781599	0.718705	0.761796	0.735845	0.686432	0.746879	0.766811	0.747911	0.795674	0.806969	0.725326	0.715253	0.669525	0.74013	0.74037	0.792843	0.682063	0.730704	0.799621	0.726229	0.744824	0.721487	0.762697	0.763765	0.720741	0.783798	0.750174	0.764922	0.735596	0.797533	0.7523	0.788098	0.749631	0.763803	0.788739	0.733744	0.769111	0.76588	0.746865	0.753956	0.766751	0.746966	0.700618	0.761097	0.723305	0.804924	0.734935	0.787128	0.726488	0.771178	0.804761	0.803459	0.723947	0.703017	0.742574	0.717523	0.719396	0.77176	0.724356	0.7324	0.788438	0.725889	0.691928	0.752806	0.778429	0.789586	0.787086	0.734387	0.728806	0.762345	0.7951	0.801083	0.742021	0.762295	0.78575	0.740606	0.76367	0.731059	0.798047
vaginal_9	0.795626	0.817882	0.742135	0.813141	0.791716	0.784986	0.786105	0.759043	0	0.76698	0.81719	0.776798	0.700753	0.737038	0.795	0.775592	0.802853	0.756069	0.781964	0.789172	0.78274	0.80952	0.766396	0.811176	0.744345	0.728048	0.777476	0.747779	0.735654	0.807379	0.81638	0.751693	0.800183	0.780592	0.743299	0.779593	0.79423	0.757089	0.719312	0.7103	0.737911	0.777221	0.772883	0.756284	0.780088	0.703277	0.754982	0.726715	0.788542	0.734266	0.744115	0.763376	0.762396	0.791156	0.793411	0.719628	0.731067	0.808338	0.784624	0.746085	0.78509	0.742461	0.717146	0.745189	0.743379	0.777655	0.716447	0.784346	0.725141	0.785091	0.754686	0.770466	0.789533	0.75604	0.804719	0.774477	0.726715	0.746705	0.754934	0.723806	0.743794	0.701225	0.771642	0.785793	0.762981	0.744623	0.778661	0.76461	0.783688	0.785185	0.766505	0.821843	0.822113	0.751554	0.77795	0.71567	0.810287	0.787863	0.718971	0.792181
vaginal_10	0.77351	0.757189	0.759587	0.803029	0.815282	0.752742	0.743831	0.692706	0.76698	0	0.767516	0.805369	0.731732	0.743801	0.796032	0.78985	0.761019	0.813157	0.782276	0.766732	0.747182	0.832555	0.754647	0.801437	0.773407	0.755014	0.712304	0.801004	0.692764	0.767884	0.832555	0.755617	0.781331	0.772508	0.701965	0.739618	0.822637	0.74235	0.763642	0.80404	0.792744	0.735372	0.749161	0.764187	0.769728	0.73834	0.775855	0.765453	0.784912	0.74121	0.779751	0.745368	0.810935	0.73028	0.773504	0.832555	0.807426	0.792938	0.783857	0.779824	0.729885	0.817074	0.775742	0.714687	0.7595	0.754206	0.740574	0.732453	0.768289	0.758893	0.762827	0.758083	0.803249	0.736526	0.765323	0.710949	0.757129	0.803587	0.74558	0.772586	0.814592	0.732054	0.76429	0.797537	0.664009	0.764541	0.787595	0.823261	0.784214	0.737984	0.784499	0.786781	0.756858	0.755734	0.765984	0.777098	0.732858	0.728593	0.742624	0.734058
