tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length
1	root	root	root	root	51522.99999999986	100.00000000000044	51523	51523	0
2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	51522.99999999986	100.00000000000044	51523	51523	0
1380374	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._URHA0057	species	Staphylococcus_sp._URHA0057	Bacteria	0.008547632963179428	1.6589936461734445E-5	2	0	2549675
79881	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_gibsonii	species	Bacillus_gibsonii	Bacteria	0.11170377241805814	2.1680370401191366E-4	8	0	4100094
79880	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_clausii	species	Bacillus_clausii	Bacteria	0.20029970029970032	3.8875783688779874E-4	6	0	0
1529886	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_subtilis_group|Bacillus_atrophaeus|Bacillus_atrophaeus_subsp._globigii	subspecies	Bacillus_atrophaeus_subsp._globigii	Bacteria	0.29420548123555645	5.710177614571295E-4	9	0	4175060
79883	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_horikoshii	species	Bacillus_horikoshii	Bacteria	0.05194805194805195	1.0082497515294531E-4	4	0	0
79885	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_pseudofirmus	species	Bacillus_pseudofirmus	Bacteria	21103.342137063537	40.95907097231055	26055	16485	0
1581077	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._HMSC10B09	species	Staphylococcus_sp._HMSC10B09	Bacteria	0.008547632963179428	1.6589936461734445E-5	2	0	2195798
1581078	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._HMSC10C03	species	Staphylococcus_sp._HMSC10C03	Bacteria	0.008547632963179428	1.6589936461734445E-5	2	0	2734772
999424	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._F0441	species	Streptococcus_sp._F0441	Bacteria	0.3333333333333333	6.46960257231399E-4	1	0	2000650
1581068	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_sp._HMSC29A04	species	Enterococcus_sp._HMSC29A04	Bacteria	0.014285714285714285	2.7726868167059962E-5	1	0	4321789
333849	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_faecium|Enterococcus_faecium_DO	no_rank	Enterococcus_faecium_DO	Bacteria	0.20168067226890757	3.914381388290818E-4	3	0	3052572
1564681	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Carnobacterium|Carnobacterium_sp._CP1	species	Carnobacterium_sp._CP1	Bacteria	0.08131764069264069	1.5782784521988392E-4	6	0	2614401
1581062	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_sp._HMSC24D01	species	Lactobacillus_sp._HMSC24D01	Bacteria	1.2531430375180375	0.002432201225701219	14	0	1914489
1581063	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_sp._HMSC25A02	species	Lactobacillus_sp._HMSC25A02	Bacteria	0.005952380952380952	1.1552861736274984E-5	1	0	2957890
1622072	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_testis	species	Bacillus_testis	Bacteria	0.05194805194805195	1.0082497515294531E-4	4	0	3987368
155680	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_entericus	species	Streptococcus_entericus	Bacteria	0.058823529411764705	1.1416945715848218E-4	2	0	0
