name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Neisseria gonorrhoeae	485	species	4967431	1	1	0.0
Pediococcus acidilactici	1254	species	2131361	5	0	2.36197e-22
Pediococcus pentosaceus	1255	species	1817384	1	0	2.63356e-25
Streptococcus gordonii	1302	species	3335036	3	0	3.87442e-24
Streptococcus anginosus	1328	species	2557124	2	0	1.82722e-24
Streptococcus iniae	1346	species	2086959	1	0	2.00725e-25
Enterococcus	1350	genus	0	2	0	0.0
Enterococcus faecalis	1351	species	3401628	2	2	0.0
Enterococcus faecium	1352	species	5898717	7	0	1.82491e-24
Bacillus cellulosilyticus	1413	species	4681672	2	0	2.91422e-26
Clostridium formicaceticum	1497	species	4586755	1	0	0.0
Lactobacillus	1578	genus	0	1	1	0.0
Lactobacillus brevis	1580	species	2493592	2	1	7.33243e-26
Lactobacillus buchneri	1581	species	2575738	2	0	1.41929e-24
Lactobacillus casei	1582	species	3039836	52	5	2.33043e-05
Lactobacillus helveticus	1587	species	3148198	5	1	2.24739e-05
Lactobacillus plantarum	1590	species	8684028	26	8	1.01697e-05
Lactobacillus paracasei	1597	species	4200086	17	1	1.05796e-22
Lactobacillus fermentum	1613	species	2108824	18	6	0.000100695
Lactobacillus ruminis	1623	species	2066652	12	0	6.35088e-21
Lactobacillus salivarius	1624	species	2663133	28350	28204	0.575293
Lactobacillus sanfranciscensis	1625	species	1375770	14	3	5.14531e-05
Listeria monocytogenes	1639	species	5926303	8	0	6.02587e-25
Lactobacillus rhamnosus	47715	species	3484485	3	0	0.0
Pediococcus damnosus	51663	species	11570178	12	1	2.9849e-24
Tetragenococcus halophilus	51669	species	2476095	8	2	1.50972e-25
Lactobacillus gallinarum	52242	species	2374782	5	0	1.24232e-23
Enterococcus durans	53345	species	6143683	7	1	5.20673e-25
Lactobacillus lindneri	53444	species	2842174	2	0	0.0
Scardovia inopinata	78259	species	1797862	1	1	0.0
Bacillus clausii	79880	species	4300106	1	0	2.05179e-26
Bacillus pseudofirmus	79885	species	4249248	28298	28244	0.424373
Clostridium aceticum	84022	species	4207037	1	0	0.0
Bacillus halodurans	86665	species	4202352	28	0	5.05993e-20
Carnobacterium inhibens	147709	species	2497115	2	0	0.0
Oceanobacillus iheyensis	182710	species	3630528	1	0	4.05814e-26
Pediococcus claussenii	187452	species	2958378	7	1	9.87788e-23
Lactobacillus paracollinoides	240427	species	10733574	3	0	4.47391e-27
Fictibacillus arsenicus	255247	species	4055461	3	1	8.55173e-25
Lactobacillus kefiranofaciens	267818	species	2354088	13	1	0.000112782
Nostoc punctiforme	272131	species	9059191	1	0	0.0
Dactylococcopsis salina	292566	species	3781008	1	0	0.0
Bacillus lehensis	300825	species	3993073	2	0	6.83013e-25
Lactobacillus backii	375175	species	14123253	4	0	1.00403e-27
Modestobacter marinus	477641	species	5575517	1	1	1.26893e-05
Lactobacillus hokkaidonensis	1193095	species	2400586	11	0	3.36292e-21
Fictibacillus phosphorivorans	1221500	species	4230665	5	0	3.04632e-23
Jeotgalibacillus malaysiensis	1508404	species	4119509	17	1	2.61749e-21
