ID	Distance	Compared_with	Profilers	SampleID	Colour	Matrix
S001	0.0709179	Truth_Sequence_abundance	Bracken	Building1	Building	BC
S002	0.0366822	Truth_Sequence_abundance	Bracken	Building2	Building	BC
S003	0.0390817	Truth_Sequence_abundance	Bracken	Building3	Building	BC
S004	0.0259025	Truth_Sequence_abundance	Bracken	Building4	Building	BC
S005	0.069786	Truth_Sequence_abundance	Bracken	Building5	Building	BC
S006	0.0844881	Truth_Sequence_abundance	Bracken	Gut1	Gut	BC
S007	0.0755007	Truth_Sequence_abundance	Bracken	Gut2	Gut	BC
S008	0.0629108	Truth_Sequence_abundance	Bracken	Gut3	Gut	BC
S009	0.0987066	Truth_Sequence_abundance	Bracken	Gut4	Gut	BC
S010	0.0471721	Truth_Sequence_abundance	Bracken	Gut5	Gut	BC
S011	0.036036	Truth_Sequence_abundance	Bracken	Oral1	Oral	BC
S012	0.0303393	Truth_Sequence_abundance	Bracken	Oral2	Oral	BC
S013	0.064335	Truth_Sequence_abundance	Bracken	Oral3	Oral	BC
S014	0.0288195	Truth_Sequence_abundance	Bracken	Oral4	Oral	BC
S015	0.046905	Truth_Sequence_abundance	Bracken	Oral5	Oral	BC
S016	0.0330502	Truth_Sequence_abundance	Bracken	Skin1	Skin	BC
S017	0.0321375	Truth_Sequence_abundance	Bracken	Skin2	Skin	BC
S018	0.0291965	Truth_Sequence_abundance	Bracken	Skin3	Skin	BC
S019	0.0376407	Truth_Sequence_abundance	Bracken	Skin4	Skin	BC
S020	0.0238839	Truth_Sequence_abundance	Bracken	Skin5	Skin	BC
S021	0.00353709	Truth_Sequence_abundance	Bracken	Vaginal1	Vaginal	BC
S022	0.0301906	Truth_Sequence_abundance	Bracken	Vaginal2	Vaginal	BC
S023	0.0334911	Truth_Sequence_abundance	Bracken	Vaginal3	Vaginal	BC
S024	0.0274984	Truth_Sequence_abundance	Bracken	Vaginal4	Vaginal	BC
S025	0.0503098	Truth_Sequence_abundance	Bracken	Vaginal5	Vaginal	BC
S026	0.0888843	Truth_Sequence_abundance	Kraken2	Building1	Building	BC
S027	0.048407	Truth_Sequence_abundance	Kraken2	Building2	Building	BC
S028	0.0624658	Truth_Sequence_abundance	Kraken2	Building3	Building	BC
S029	0.0566677	Truth_Sequence_abundance	Kraken2	Building4	Building	BC
S030	0.0923705	Truth_Sequence_abundance	Kraken2	Building5	Building	BC
S031	0.108463	Truth_Sequence_abundance	Kraken2	Gut1	Gut	BC
S032	0.0933103	Truth_Sequence_abundance	Kraken2	Gut2	Gut	BC
S033	0.0743743	Truth_Sequence_abundance	Kraken2	Gut3	Gut	BC
S034	0.130143	Truth_Sequence_abundance	Kraken2	Gut4	Gut	BC
S035	0.0658683	Truth_Sequence_abundance	Kraken2	Gut5	Gut	BC
S036	0.0794756	Truth_Sequence_abundance	Kraken2	Oral1	Oral	BC
S037	0.0424516	Truth_Sequence_abundance	Kraken2	Oral2	Oral	BC
S038	0.0856308	Truth_Sequence_abundance	Kraken2	Oral3	Oral	BC
S039	0.0875957	Truth_Sequence_abundance	Kraken2	Oral4	Oral	BC
S040	0.10024	Truth_Sequence_abundance	Kraken2	Oral5	Oral	BC
S041	0.0549504	Truth_Sequence_abundance	Kraken2	Skin1	Skin	BC
S042	0.0568355	Truth_Sequence_abundance	Kraken2	Skin2	Skin	BC
S043	0.0908431	Truth_Sequence_abundance	Kraken2	Skin3	Skin	BC
S044	0.0997772	Truth_Sequence_abundance	Kraken2	Skin4	Skin	BC
S045	0.0401262	Truth_Sequence_abundance	Kraken2	Skin5	Skin	BC
S046	0.00827189	Truth_Sequence_abundance	Kraken2	Vaginal1	Vaginal	BC
S047	0.0873206	Truth_Sequence_abundance	Kraken2	Vaginal2	Vaginal	BC
S048	0.0549781	Truth_Sequence_abundance	Kraken2	Vaginal3	Vaginal	BC
S049	0.0731464	Truth_Sequence_abundance	Kraken2	Vaginal4	Vaginal	BC
S050	0.156462	Truth_Sequence_abundance	Kraken2	Vaginal5	Vaginal	BC
S051	0.151242	Truth_Sequence_abundance	mOTUs2	Building1	Building	BC
S052	0.157921	Truth_Sequence_abundance	mOTUs2	Building2	Building	BC
S053	0.159311	Truth_Sequence_abundance	mOTUs2	Building3	Building	BC
S054	0.159668	Truth_Sequence_abundance	mOTUs2	Building4	Building	BC
S055	0.143199	Truth_Sequence_abundance	mOTUs2	Building5	Building	BC
S056	0.124164	Truth_Sequence_abundance	mOTUs2	Gut1	Gut	BC
S057	0.192644	Truth_Sequence_abundance	mOTUs2	Gut2	Gut	BC
S058	0.169414	Truth_Sequence_abundance	mOTUs2	Gut3	Gut	BC
