compared_with	profilers	group	distance_BC	distance_rJSD	distance_L1	distance_L2	distance_rAD	distance_Motified_rAD	distance_shared_BC	distance_shared_rJSD	distance_shared_L1	distance_shared_L2
Truth_Sequence_abundance	Bracken	Building1	0.0709179	0.181758	0.135438259	0.0573537	2.075690956	0.246100803	0.0675383	0.129939	0.088438259	0.0504299
Truth_Sequence_abundance	Bracken	Building2	0.0366822	0.101549	0.069470268	0.0208207	2.299541955	0.303906554	0.035477	0.0822062	0.059170269	0.0206795
Truth_Sequence_abundance	Bracken	Building3	0.0390817	0.109439	0.074032856	0.0163404	1.821206099	0.448209406	0.0371553	0.0791186	0.057532853	0.0157945
Truth_Sequence_abundance	Bracken	Building4	0.0259025	0.0684147	0.04876407	0.0107442	1.831317007	0.085343769	0.0246133	0.0470129	0.041664066	0.0107981
Truth_Sequence_abundance	Bracken	Building5	0.069786	0.165042	0.133099234	0.039058	2.409053608	0.526386169	0.0679492	0.130521	0.103199233	0.0371824
Truth_Sequence_abundance	Bracken	Gut1	0.0844881	0.126633	0.164807795	0.0523733	1.973952211	0.543012155	0.082159	0.102283	0.148607795	0.0515731
Truth_Sequence_abundance	Bracken	Gut2	0.0755007	0.141137	0.145577671	0.0320346	1.971579802	0.669053256	0.0738694	0.123504	0.131877671	0.0325505
Truth_Sequence_abundance	Bracken	Gut3	0.0629108	0.142787	0.120124947	0.0463903	1.799233996	0.8181216	0.0628254	0.136772	0.115124947	0.0468487
Truth_Sequence_abundance	Bracken	Gut4	0.0987066	0.17612	0.189171862	0.0592337	1.676357257	0.527247046	0.0981719	0.162633	0.175471866	0.0597118
Truth_Sequence_abundance	Bracken	Gut5	0.0471721	0.1117	0.089875276	0.0270627	1.742879489	0.531747687	0.0467487	0.101926	0.083775276	0.0273187
Truth_Sequence_abundance	Bracken	Oral1	0.036036	0.0865343	0.06892518	0.0173274	1.43610425	0.1850663	0.0351746	0.0687001	0.060925181	0.0174262
Truth_Sequence_abundance	Bracken	Oral2	0.0303393	0.073382	0.058108158	0.0141145	1.436329628	0.1599436	0.0297617	0.0646152	0.05460816	0.0142909
Truth_Sequence_abundance	Bracken	Oral3	0.064335	0.140247	0.123188691	0.0469265	1.41109345	0.304704095	0.0638944	0.131421	0.116088691	0.0471929
Truth_Sequence_abundance	Bracken	Oral4	0.0288195	0.067939	0.055686695	0.0118159	0.987023918	0.132188891	0.0274397	0.0448305	0.048186692	0.0119085
Truth_Sequence_abundance	Bracken	Oral5	0.046905	0.103839	0.089745477	0.0226097	1.492832929	0.248954488	0.0456916	0.085831	0.079845481	0.0230363
Truth_Sequence_abundance	Bracken	Skin1	0.0330502	0.0814495	0.064150101	0.0134819	1.803392742	0.163219685	0.029195	0.0404516	0.049850101	0.0128055
Truth_Sequence_abundance	Bracken	Skin2	0.0321375	0.0785041	0.062738768	0.0148804	1.727385261	0.097239141	0.0284395	0.036711	0.048938771	0.0141674
Truth_Sequence_abundance	Bracken	Skin3	0.0291965	0.0826904	0.057363795	0.0210326	2.556774994	0.065546447	0.0243966	0.0322804	0.040763797	0.0207339
Truth_Sequence_abundance	Bracken	Skin4	0.0376407	0.0911647	0.073288706	0.0172696	2.072028598	0.067723141	0.0332633	0.0457393	0.055488707	0.016859
Truth_Sequence_abundance	Bracken	Skin5	0.0238839	0.0687922	0.04622471	0.0101709	1.457866394	0.095007373	0.0218636	0.0305066	0.03532471	0.0102925
Truth_Sequence_abundance	Bracken	Vaginal1	0.00353709	0.0171565	0.006330853	0.00236272	1.011222644	0.019055323	0.00340226	0.00407239	0.005530852	0.00255996
Truth_Sequence_abundance	Bracken	Vaginal2	0.0301906	0.0824868	0.058674832	0.0194469	2.809236869	0.134224525	0.0278075	0.0502414	0.046374828	0.0200144
Truth_Sequence_abundance	Bracken	Vaginal3	0.0334911	0.0968071	0.065694988	0.0321922	1.617218229	0.069387706	0.0292291	0.0349369	0.042394988	0.0302674
