ID	Tax	Seq	Index	Habitats
Sample0001	5.100483378	5.016263923	Shannon	Building
Sample0002	5.155786811	5.011318692	Shannon	Building
Sample0003	4.979594081	4.852875289	Shannon	Building
Sample0004	4.849974978	4.695097101	Shannon	Building
Sample0005	4.923968361	4.877307351	Shannon	Building
Sample0006	5.157211476	5.116342078	Shannon	Building
Sample0007	5.120381824	5.079992845	Shannon	Building
Sample0008	5.204485182	5.103332847	Shannon	Building
Sample0009	4.894811927	4.9311055	Shannon	Building
Sample0010	4.966456773	4.782238951	Shannon	Building
Sample0011	4.914386724	4.818079074	Shannon	Building
Sample0012	5.151834134	5.032335504	Shannon	Building
Sample0013	5.143542935	5.054655255	Shannon	Building
Sample0014	4.684632107	4.63664201	Shannon	Building
Sample0015	5.209759184	5.200322645	Shannon	Building
Sample0016	5.12867488	5.090179962	Shannon	Building
Sample0017	4.897139552	4.805297362	Shannon	Building
Sample0018	4.939822991	4.795892649	Shannon	Building
Sample0019	5.162109097	5.007801104	Shannon	Building
Sample0020	5.157610703	5.068876142	Shannon	Building
Sample0021	4.984035807	4.954146017	Shannon	Building
Sample0022	5.113422583	5.074989331	Shannon	Building
Sample0023	4.952942952	4.890913892	Shannon	Building
Sample0024	4.979513926	4.893786981	Shannon	Building
Sample0025	5.09025416	4.936559933	Shannon	Building
Sample0026	5.09867708	5.01396411	Shannon	Building
Sample0027	5.000019055	4.963571545	Shannon	Building
Sample0028	4.952613273	4.849591099	Shannon	Building
Sample0029	4.950992804	4.836518631	Shannon	Building
Sample0030	5.116273866	5.011375454	Shannon	Building
Sample0031	5.053549712	4.977856795	Shannon	Building
Sample0032	5.022353813	4.940766957	Shannon	Building
Sample0033	4.916779897	4.901987718	Shannon	Building
Sample0034	5.012670199	4.880432352	Shannon	Building
Sample0035	5.209515642	5.160798468	Shannon	Building
Sample0036	4.886767724	4.778604542	Shannon	Building
Sample0037	4.857640541	4.791405838	Shannon	Building
Sample0038	4.908122611	4.78623533	Shannon	Building
Sample0039	4.804881922	4.755797752	Shannon	Building
Sample0040	5.096864436	5.063096905	Shannon	Building
Sample0041	5.186420397	5.123529764	Shannon	Building
Sample0042	5.018194004	4.945935607	Shannon	Building
Sample0043	5.010442428	4.929837665	Shannon	Building
Sample0044	5.153952684	5.066124547	Shannon	Building
Sample0045	5.002508284	4.943110223	Shannon	Building
Sample0046	5.021165527	4.582874564	Shannon	Building
Sample0047	5.073169908	5.06809652	Shannon	Building
Sample0048	4.90778516	4.800187535	Shannon	Building
Sample0049	5.076246858	4.983125895	Shannon	Building
Sample0050	4.887001526	4.898739814	Shannon	Building
Sample0051	5.09037022	5.034251743	Shannon	Building
Sample0052	5.058297121	4.913443078	Shannon	Building
Sample0053	5.228587533	5.1477105	Shannon	Building
Sample0054	4.827129523	4.755677128	Shannon	Building
Sample0055	4.839415124	4.667666657	Shannon	Building
Sample0056	5.181763445	5.15690364	Shannon	Building
Sample0057	4.939373797	4.909516918	Shannon	Building
Sample0058	4.892358462	4.880538511	Shannon	Building
Sample0059	5.033896386	5.005270846	Shannon	Building
Sample0060	4.999470896	4.94018235	Shannon	Building
Sample0061	5.11595478	4.964444939	Shannon	Building
Sample0062	5.061392395	5.04257312	Shannon	Building
Sample0063	4.993783602	4.944886012	Shannon	Building
Sample0064	5.185454642	5.194891085	Shannon	Building
Sample0065	5.133447811	5.087724405	Shannon	Building
Sample0066	4.911530987	4.813288861	Shannon	Building
Sample0067	5.091665274	4.958385449	Shannon	Building
Sample0068	5.041201658	4.977516507	Shannon	Building
Sample0069	4.925096165	4.834996152	Shannon	Building
Sample0070	5.092230954	5.042483682	Shannon	Building
Sample0071	5.167342911	5.124633496	Shannon	Building
Sample0072	5.087984773	5.003272266	Shannon	Building
Sample0073	4.691086707	4.652820737	Shannon	Building
Sample0074	5.133569259	5.115626465	Shannon	Building
Sample0075	5.026728448	5.031672295	Shannon	Building
Sample0076	4.881089178	4.76368873	Shannon	Building
Sample0077	5.126475488	5.042712298	Shannon	Building
Sample0078	5.063865498	4.996325548	Shannon	Building
Sample0079	5.082053345	4.908828979	Shannon	Building
Sample0080	4.822926157	4.876887739	Shannon	Building
Sample0081	5.083333087	5.017373998	Shannon	Building
Sample0082	5.239398847	5.176700235	Shannon	Building
Sample0083	4.897670919	4.85941781	Shannon	Building
Sample0084	4.944774419	4.926958981	Shannon	Building
Sample0085	4.997593318	4.872159772	Shannon	Building
Sample0086	5.2353977	5.204042089	Shannon	Building
Sample0087	4.937470746	4.880629859	Shannon	Building
Sample0088	5.195515808	5.115308814	Shannon	Building
Sample0089	5.086313037	4.987913094	Shannon	Building
Sample0090	5.156942691	5.118884998	Shannon	Building
Sample0091	5.066627573	4.903362898	Shannon	Building
Sample0092	5.061894768	4.986275491	Shannon	Building
Sample0093	5.08999656	5.001362045	Shannon	Building
Sample0094	4.707444006	4.668692169	Shannon	Building
Sample0095	5.190549687	5.05079687	Shannon	Building
Sample0096	5.088644223	5.034308899	Shannon	Building
Sample0097	5.137933362	5.067320649	Shannon	Building
Sample0098	5.046428799	4.966123928	Shannon	Building
Sample0099	5.148513863	4.950894757	Shannon	Building
Sample0100	5.018848039	4.978914417	Shannon	Building
Sample0201	4.404498746	4.372746934	Shannon	Gut
Sample0202	4.014631204	4.082409846	Shannon	Gut
Sample0203	3.961139746	3.590409736	Shannon	Gut
Sample0204	4.124976001	4.054579725	Shannon	Gut
Sample0205	4.226271374	4.230704171	Shannon	Gut
Sample0206	4.112189512	4.055011914	Shannon	Gut
Sample0207	4.301976397	4.264588784	Shannon	Gut
Sample0208	4.335171182	4.239103008	Shannon	Gut
Sample0209	4.557547536	4.487948073	Shannon	Gut
Sample0210	4.139324759	4.139402531	Shannon	Gut
Sample0211	4.086986865	3.992189742	Shannon	Gut
Sample0212	4.425456935	4.428346302	Shannon	Gut
Sample0213	4.110623892	3.990092082	Shannon	Gut
Sample0214	4.242413182	4.089579889	Shannon	Gut
Sample0215	4.438226771	4.425346906	Shannon	Gut
Sample0216	4.461785392	4.376229753	Shannon	Gut
Sample0217	4.24390606	4.178115753	Shannon	Gut
Sample0218	4.016484569	4.102714991	Shannon	Gut
Sample0219	4.051416981	3.93354537	Shannon	Gut
Sample0220	4.469693375	4.346879463	Shannon	Gut
Sample0221	4.533522665	4.453570663	Shannon	Gut
Sample0222	4.313001509	4.222004081	Shannon	Gut
Sample0223	4.288940332	4.229597535	Shannon	Gut
Sample0224	4.56844284	4.524544808	Shannon	Gut
Sample0225	4.387810448	4.267492267	Shannon	Gut
Sample0226	4.282002393	3.999910062	Shannon	Gut
Sample0227	4.370902979	4.309897384	Shannon	Gut
Sample0228	4.446256016	4.366955469	Shannon	Gut
Sample0229	4.223788101	4.185826022	Shannon	Gut
Sample0230	4.077530977	4.1086173	Shannon	Gut
Sample0231	4.243367537	4.26528572	Shannon	Gut
Sample0232	4.410243889	4.404746117	Shannon	Gut
Sample0233	4.329434322	4.178577438	Shannon	Gut
Sample0234	4.322419629	4.192496519	Shannon	Gut
Sample0235	4.17660734	4.051441537	Shannon	Gut
Sample0236	4.285218843	4.262646557	Shannon	Gut
Sample0237	4.637488986	4.553099362	Shannon	Gut
Sample0238	4.225123503	4.146116298	Shannon	Gut
Sample0239	4.35836397	4.292241634	Shannon	Gut
Sample0240	4.330853533	4.233901877	Shannon	Gut
Sample0241	4.39405022	4.355741075	Shannon	Gut
Sample0242	4.383008455	4.304106073	Shannon	Gut
Sample0243	4.293239725	4.207924532	Shannon	Gut
Sample0244	4.177527048	3.911435583	Shannon	Gut
Sample0245	3.880063686	3.952633489	Shannon	Gut
Sample0246	4.223965157	4.228908051	Shannon	Gut
Sample0247	4.420123652	4.368660579	Shannon	Gut
Sample0248	4.338579592	4.223859954	Shannon	Gut
Sample0249	4.344742602	4.258100292	Shannon	Gut
Sample0250	4.514135927	4.455361423	Shannon	Gut
Sample0251	4.59326518	4.539206177	Shannon	Gut
Sample0252	4.184858	4.266122758	Shannon	Gut
Sample0253	4.127524574	4.041941246	Shannon	Gut
Sample0254	4.591765081	4.597991963	Shannon	Gut
Sample0255	4.299510902	4.262257143	Shannon	Gut
Sample0256	4.166656932	4.157857171	Shannon	Gut
Sample0257	4.422124241	4.33515917	Shannon	Gut
Sample0258	4.189602896	4.07009318	Shannon	Gut
Sample0259	4.344247337	4.22357424	Shannon	Gut
Sample0260	4.353417097	4.353289374	Shannon	Gut
Sample0261	4.269214316	4.205409081	Shannon	Gut
Sample0262	4.482189346	4.417825722	Shannon	Gut
Sample0263	4.505461702	4.418708801	Shannon	Gut
Sample0264	4.450344221	4.397427479	Shannon	Gut
Sample0265	4.345864062	4.269344344	Shannon	Gut
Sample0266	4.299323744	4.250850895	Shannon	Gut
Sample0267	4.227091415	4.173931365	Shannon	Gut
Sample0268	4.204577137	4.117548102	Shannon	Gut
Sample0269	4.175998473	4.123574451	Shannon	Gut
Sample0270	4.17664194	4.159923343	Shannon	Gut
Sample0271	4.226144248	4.137988569	Shannon	Gut
Sample0272	4.253203899	4.259723812	Shannon	Gut
Sample0273	4.534339723	4.375431609	Shannon	Gut
Sample0274	4.520712144	4.451323524	Shannon	Gut
Sample0275	4.48070051	4.453948073	Shannon	Gut
Sample0276	4.437347256	4.312328424	Shannon	Gut
Sample0277	4.316677591	4.13573018	Shannon	Gut
Sample0278	4.364768538	4.338866911	Shannon	Gut
Sample0279	4.305657832	4.180117784	Shannon	Gut
Sample0280	4.606401842	4.558475044	Shannon	Gut
Sample0281	4.284274506	4.205604999	Shannon	Gut
Sample0282	4.259133424	4.159221885	Shannon	Gut
Sample0283	4.421990532	4.453024242	Shannon	Gut
Sample0284	4.187087843	4.138936445	Shannon	Gut
Sample0285	4.448353067	4.405722579	Shannon	Gut
Sample0286	4.237590396	4.138016961	Shannon	Gut
Sample0287	4.157383725	4.075919355	Shannon	Gut
Sample0288	4.51865645	4.441385017	Shannon	Gut
Sample0289	4.538375704	4.521513826	Shannon	Gut
Sample0290	4.023844515	4.019676901	Shannon	Gut
Sample0291	4.219496463	4.178553016	Shannon	Gut
Sample0292	4.409277223	4.278611404	Shannon	Gut
Sample0293	4.204426667	4.161501644	Shannon	Gut
Sample0294	4.332758065	4.418723228	Shannon	Gut
Sample0295	4.108985825	4.034069113	Shannon	Gut
Sample0296	4.599888838	4.496616797	Shannon	Gut
Sample0297	4.279748996	4.26289388	Shannon	Gut
Sample0298	4.272490671	4.214569082	Shannon	Gut
Sample0299	4.413517001	4.327452525	Shannon	Gut
Sample0300	4.176196191	4.034802599	Shannon	Gut
Sample0401	4.564078323	4.387964068	Shannon	Oral
Sample0402	4.846262744	4.880842974	Shannon	Oral
Sample0403	4.617630099	4.616581981	Shannon	Oral
Sample0404	4.477446101	4.411293977	Shannon	Oral
Sample0405	4.599406342	4.477613808	Shannon	Oral
Sample0406	4.703214149	4.669350806	Shannon	Oral
Sample0407	4.735424044	4.711281888	Shannon	Oral
Sample0408	4.721233522	4.649486215	Shannon	Oral
Sample0409	4.643388211	4.623032408	Shannon	Oral
Sample0410	4.807554913	4.767681443	Shannon	Oral
Sample0411	4.76153523	4.701654448	Shannon	Oral
Sample0412	4.759558042	4.714983074	Shannon	Oral
Sample0413	4.717178449	4.728783686	Shannon	Oral
Sample0414	4.770460114	4.788286771	Shannon	Oral
Sample0415	4.770252367	4.729596881	Shannon	Oral
Sample0416	4.782294167	4.731699882	Shannon	Oral
Sample0417	4.776826884	4.656130205	Shannon	Oral
Sample0418	4.324219622	4.041804076	Shannon	Oral
Sample0419	4.738338266	4.693793466	Shannon	Oral
Sample0420	4.635990693	4.550888667	Shannon	Oral
Sample0421	4.524902134	4.498460653	Shannon	Oral
Sample0422	4.61901585	4.545207076	Shannon	Oral
Sample0423	4.729957672	4.715838073	Shannon	Oral
Sample0424	4.657255162	4.632341855	Shannon	Oral
Sample0425	4.591359691	4.513007379	Shannon	Oral
Sample0426	4.815073076	4.733459851	Shannon	Oral
Sample0427	4.716690002	4.689000482	Shannon	Oral
Sample0428	4.604714052	4.447716408	Shannon	Oral
Sample0429	4.806574394	4.770582945	Shannon	Oral
Sample0430	4.677561131	4.677958023	Shannon	Oral
Sample0431	4.762707989	4.728384143	Shannon	Oral
Sample0432	4.673526205	4.642968997	Shannon	Oral
Sample0433	4.905968564	4.847973744	Shannon	Oral
Sample0434	4.651638189	4.606572753	Shannon	Oral
Sample0435	4.774044476	4.631807583	Shannon	Oral
Sample0436	4.59801378	4.610109131	Shannon	Oral
Sample0437	4.639019706	4.641712354	Shannon	Oral
Sample0438	4.651563364	4.609856345	Shannon	Oral
Sample0439	4.732762883	4.627822131	Shannon	Oral
Sample0440	4.590110116	4.543903608	Shannon	Oral
Sample0441	4.58266249	4.502368933	Shannon	Oral
Sample0442	4.78955574	4.77551552	Shannon	Oral
Sample0443	4.363712487	4.408595891	Shannon	Oral
Sample0444	4.804618218	4.597607771	Shannon	Oral
Sample0445	4.723562584	4.747556228	Shannon	Oral
Sample0446	4.634568331	4.547702794	Shannon	Oral
Sample0447	4.824764045	4.684375063	Shannon	Oral
Sample0448	4.748057555	4.672133895	Shannon	Oral
Sample0449	4.814567012	4.784693311	Shannon	Oral
Sample0450	4.694557101	4.656367025	Shannon	Oral
Sample0451	4.726294979	4.621296784	Shannon	Oral
Sample0452	4.95290531	4.917668575	Shannon	Oral
Sample0453	4.841745491	4.841683607	Shannon	Oral
Sample0454	4.51464057	4.549257367	Shannon	Oral
Sample0455	4.572716012	4.506235802	Shannon	Oral
Sample0456	4.517066759	4.489723792	Shannon	Oral
Sample0457	4.575252532	4.552991675	Shannon	Oral
Sample0458	4.518701127	4.50550647	Shannon	Oral
Sample0459	4.812419837	4.761421263	Shannon	Oral
Sample0460	4.759003201	4.701429005	Shannon	Oral
Sample0461	4.770590274	4.757233816	Shannon	Oral
Sample0462	4.745985708	4.695995273	Shannon	Oral
Sample0463	4.702973101	4.670831052	Shannon	Oral
Sample0464	4.789945388	4.686042529	Shannon	Oral
Sample0465	4.677390369	4.65507608	Shannon	Oral
Sample0466	4.615355496	4.570527061	Shannon	Oral
Sample0467	4.679516628	4.594151572	Shannon	Oral
Sample0468	4.599896766	4.483996454	Shannon	Oral
Sample0469	4.611757981	4.575446557	Shannon	Oral
Sample0470	4.587722797	4.509470969	Shannon	Oral
Sample0471	4.779201835	4.7753886	Shannon	Oral
Sample0472	4.701882736	4.650580956	Shannon	Oral
Sample0473	4.638661278	4.517371102	Shannon	Oral
Sample0474	4.780074431	4.82686572	Shannon	Oral
Sample0475	4.803140781	4.790081026	Shannon	Oral
Sample0476	4.350809844	4.137144848	Shannon	Oral
Sample0477	4.794620628	4.714942472	Shannon	Oral
Sample0478	4.72733368	4.766686029	Shannon	Oral
Sample0479	4.580086652	4.630825815	Shannon	Oral
Sample0480	4.705341535	4.710593846	Shannon	Oral
