ID	NMDS1	NMDS2	Abd_type	SampleID
S001	0.0212447775612199	0.0878480361427329	Taxonomic	sample_1
S002	-0.11377177069386	-0.061770563648453	Taxonomic	sample_2
S003	-0.137838339019368	0.0199408532005505	Taxonomic	sample_3
S004	0.0284461301201879	-0.132033010113034	Taxonomic	sample_4
S005	0.0865264843893167	0.074320346550697	Taxonomic	sample_5
S006	0.0049060590573086	-0.124605422419982	Taxonomic	sample_6
S007	0.0490447112791857	0.104804840509872	Taxonomic	sample_7
S008	0.061421798686566	-0.0909954702297476	Taxonomic	sample_8
S009	-0.0294079304956832	-0.00951524248466962	Taxonomic	sample_9
S010	0.118410752798448	0.0714056008242639	Taxonomic	sample_10
S011	-0.0680468284164692	0.108909088534773	Taxonomic	sample_11
S012	0.0339892958802224	0.0175549591102807	Taxonomic	sample_12
S013	-0.112096051733492	0.0817182960976944	Taxonomic	sample_13
S014	-0.11498892049943	0.00522309344643442	Taxonomic	sample_14
S015	0.0516976286117663	-0.00976667554248729	Taxonomic	sample_15
S016	0.0291872436092386	0.0558548834182434	Taxonomic	sample_16
S017	0.0978624206157567	-0.0728048561747854	Taxonomic	sample_17
S018	0.0788798913781811	-0.118050831635974	Taxonomic	sample_18
S019	-0.116355644545739	0.0323453886539639	Taxonomic	sample_19
S020	0.020968688528633	-0.0398456897753328	Taxonomic	sample_20
S021	-0.044064919643047	0.0431754981621784	Taxonomic	sample_21
S022	-0.0609411650371068	-0.0685658474865285	Taxonomic	sample_22
S023	-0.0252833657271716	-0.104101452015304	Taxonomic	sample_23
S024	0.0164309961054882	-0.0212631804576003	Taxonomic	sample_24
S025	-0.0473576052026904	-0.0678176354507677	Taxonomic	sample_25
S026	-0.0317437855149806	-0.0874662330867731	Taxonomic	sample_26
S027	-0.0745599074453632	0.0515880433818473	Taxonomic	sample_27
S028	0.036662360989772	-0.0384640430887101	Taxonomic	sample_28
S029	-0.119513926556123	-0.0250976936180161	Taxonomic	sample_29
S030	-0.111962039211556	0.0574632734693105	Taxonomic	sample_30
S031	-0.0909463189578203	-0.0576497983121412	Taxonomic	sample_31
S032	-0.000611391693446878	-0.0316555068859273	Taxonomic	sample_32
S033	-0.0347174071884355	0.0837385173565347	Taxonomic	sample_33
S034	0.050717004240969	0.0836168194988497	Taxonomic	sample_34
S035	0.0237054038980627	0.134502290935061	Taxonomic	sample_35
S036	0.108044796926467	-9.91574156771482e-05	Taxonomic	sample_36
S037	-0.0135450218114534	-0.00923173730274196	Taxonomic	sample_37
S038	-0.104145167097527	-0.0826410332257767	Taxonomic	sample_38
S039	-0.1183075262007	-0.0148093806970183	Taxonomic	sample_39
S040	-0.00096671712709408	0.0949089524105263	Taxonomic	sample_40
S041	0.0729225336630993	-0.0677125183726817	Taxonomic	sample_41
S042	0.0122640320206544	-0.0656553203968869	Taxonomic	sample_42
S043	0.0688641900826325	0.0779380955065405	Taxonomic	sample_43
S044	0.105481270182845	0.0510826535388993	Taxonomic	sample_44
S045	-0.0345601215753899	-0.147911205817803	Taxonomic	sample_45
S046	-0.00460535490723801	-0.114324463446533	Taxonomic	sample_46
S047	-0.0700169576662941	0.0230038885917002	Taxonomic	sample_47
S048	0.0721190700514069	-0.0304605428719508	Taxonomic	sample_48
S049	-0.0827380347668912	-0.00355053449443636	Taxonomic	sample_49
S050	0.0446936451938076	0.0446810072639351	Taxonomic	sample_50
S051	-0.0280075108859564	0.0406970387072118	Taxonomic	sample_51
S052	-0.0115286559689106	0.111128753968368	Taxonomic	sample_52
S053	-0.0494136022251863	0.122814097339716	Taxonomic	sample_53
S054	-0.029882703934169	0.0104036352260106	Taxonomic	sample_54
S055	0.11964272895305	-0.0245475088113243	Taxonomic	sample_55
S056	-0.0576659640976493	-0.115260624084201	Taxonomic	sample_56
S057	0.00221839268358874	0.0446756782392678	Taxonomic	sample_57
S058	-0.123166276722749	0.0440275256190748	Taxonomic	sample_58
S059	0.111483476316429	0.00867212310408117	Taxonomic	sample_59
S060	0.0683960511622239	0.00754301996174493	Taxonomic	sample_60
S061	-0.00180191951561678	0.126726031759653	Taxonomic	sample_61
S062	-0.00621282006492186	-0.0527131715390645	Taxonomic	sample_62
S063	-0.02874040542533	-0.029177058400705	Taxonomic	sample_63
S064	-0.0810575046813429	0.00709219556638674	Taxonomic	sample_64
S065	-0.0691453362131398	0.0740990215956726	Taxonomic	sample_65
S066	-0.082175252829048	-0.0223268923895446	Taxonomic	sample_66
S067	0.119600517001305	-0.066412114164649	Taxonomic	sample_67
S068	0.113195009475689	-0.0161347684627851	Taxonomic	sample_68
S069	0.0311964255085415	-0.102625825456833	Taxonomic	sample_69
S070	0.0558610726607513	0.114478163169783	Taxonomic	sample_70
S071	-0.0461628970176538	0.0966957995681817	Taxonomic	sample_71
S072	-0.0901120780564495	0.0803993272981229	Taxonomic	sample_72
S073	0.00687862706773866	0.058563192236266	Taxonomic	sample_73
S074	-0.0469044549475933	0.00454166670281594	Taxonomic	sample_74
S075	-0.0484258699912314	-0.0492334906937901	Taxonomic	sample_75
S076	0.0503421653899577	-0.0317724768402955	Taxonomic	sample_76
S077	0.0829462412527357	-0.08621138359955	Taxonomic	sample_77
S078	0.0800068903402074	-0.0501322999859213	Taxonomic	sample_78
S079	-0.0225212105423033	0.0697095128301666	Taxonomic	sample_79
S080	-0.01903132099695	0.0189790033744291	Taxonomic	sample_80
S081	0.0564571068713489	-0.103947429567052	Taxonomic	sample_81
S082	0.0812202412933691	0.052577800902659	Taxonomic	sample_82
S083	-0.073172381911743	-0.0397475061807772	Taxonomic	sample_83
S084	0.0757618624946976	0.0970444580418	Taxonomic	sample_84
S085	0.00535604484148324	-0.086169666845018	Taxonomic	sample_85
S086	-0.0303096079305329	0.100944376218164	Taxonomic	sample_86
S087	-0.0883068452481452	-0.106590325632911	Taxonomic	sample_87
S088	0.0609115813707504	0.0363298656547113	Taxonomic	sample_88
S089	0.0170692025817442	0.0157431282479148	Taxonomic	sample_89
S090	0.136513299030932	0.0278005113250738	Taxonomic	sample_90
S091	0.116048912484869	0.0293108398959928	Taxonomic	sample_91
S092	-0.0197912981993614	-0.0711195503011192	Taxonomic	sample_92
S093	0.043401062841988	-0.0617597427898757	Taxonomic	sample_93
S094	-0.0599798949040579	-0.0848407390870388	Taxonomic	sample_94
S095	0.0158894206205308	0.111780889475149	Taxonomic	sample_95
S096	0.0367024414505709	0.00434922100355779	Taxonomic	sample_96
S097	0.0838080972765305	0.020828280647554	Taxonomic	sample_97
S098	-0.103121401991284	-0.0479746820258554	Taxonomic	sample_98
S099	-0.0120822898191888	0.0430194872802233	Taxonomic	sample_99
S100	0.126413666012615	-0.0400367682385916	Taxonomic	sample_100
S0011	-0.104058805719322	-0.0226921156755573	Sequence	sample_1
S0021	0.0733350229677257	0.104077102371091	Sequence	sample_2
S0031	-0.0751196962734645	0.12993976803443	Sequence	sample_3
S0041	-0.1107156319499	-0.081033845960172	Sequence	sample_4
S0051	-0.109375087171276	0.0563302209702793	Sequence	sample_5
S0061	-0.0636487612930577	0.105791279069013	Sequence	sample_6
S0071	0.116089969985904	-0.033957105216992	Sequence	sample_7
S0081	-0.0388109832316415	-0.115259445402411	Sequence	sample_8
S0091	-0.0193201661009193	-0.046870589806638	Sequence	sample_9
S0101	0.115223412814754	-0.0601412380954901	Sequence	sample_10
S0111	0.117697937921051	0.0255656269498962	Sequence	sample_11
S0121	0.0389919227322971	0.0220333357344014	Sequence	sample_12
S0131	0.0961267139200432	0.0945708532341069	Sequence	sample_13
S0141	-0.000329353834777094	0.110545492055232	Sequence	sample_14
S0151	-0.0486442395496211	0.0190442571128015	Sequence	sample_15
S0161	-0.0172323455152183	-0.0639124932368016	Sequence	sample_16
S0171	0.0438587863511674	-0.112309940119658	Sequence	sample_17
S0181	-0.11881954776294	-0.0700659925503031	Sequence	sample_18
S0191	-0.127755279105008	-0.016368367763965	Sequence	sample_19
S0201	0.0558686473445179	-0.024127823466221	Sequence	sample_20
S0211	-0.0113110158835714	-0.0254048576202103	Sequence	sample_21
S0221	0.0842736608939544	-0.0218626328949214	Sequence	sample_22
S0231	0.0966605177289776	0.0165083758989401	Sequence	sample_23
S0241	-0.0569161254607852	0.0048610442698305	Sequence	sample_24
S0251	0.0758802060354322	-0.0315752778603507	Sequence	sample_25
S0261	-0.00357599502663674	-0.113014532677582	Sequence	sample_26
S0271	-0.0835123634819215	0.05942194014105	Sequence	sample_27
S0281	0.0262557454605558	-0.0438931057498155	Sequence	sample_28
S0291	-0.0119217036067282	-0.128363975151584	Sequence	sample_29
S0301	-0.0957665475731949	0.0853910204992349	Sequence	sample_30
S0311	-0.0938948418971736	-0.0361352971325693	Sequence	sample_31
S0321	0.0121247500179111	-0.0311494881113702	Sequence	sample_32
S0331	-0.00977237231516619	0.0916603226300305	Sequence	sample_33
S0341	0.0948917288168922	-0.00575397743360834	Sequence	sample_34
S0351	0.108591804656915	-0.0775895132189067	Sequence	sample_35
S0361	-0.104185725006855	0.0175841534929057	Sequence	sample_36
S0371	-0.0367123833037122	-0.0126353704659965	Sequence	sample_37
S0381	0.0926894264796755	-0.0947754592048721	Sequence	sample_38
S0391	0.0424931879263736	0.110355433667707	Sequence	sample_39
S0401	0.000531405159891395	0.0711121026180237	Sequence	sample_40
S0411	0.0514774727098978	0.066469269831946	Sequence	sample_41
S0421	-0.0823042313387154	-0.0116150419325702	Sequence	sample_42
S0431	0.0919878802349626	0.0422222245540462	Sequence	sample_43
S0441	0.103406390370835	0.0610817348667346	Sequence	sample_44
S0451	0.144505587575208	0.0101406791952378	Sequence	sample_45
S0461	0.0191279555972351	-0.104585238062684	Sequence	sample_46
S0471	-0.0321216197717589	-0.0688579141849769	Sequence	sample_47
S0481	-0.0883860477660552	0.0252110457588811	Sequence	sample_48
S0491	0.0709942457292812	0.0193928001139166	Sequence	sample_49
S0501	-0.00819476912932971	-0.00280741350824185	Sequence	sample_50
S0511	0.00985226196383288	0.0331760562111497	Sequence	sample_51
S0521	-0.0654268205127889	0.0732196614459201	Sequence	sample_52
S0531	0.051366275191271	0.127297636090384	Sequence	sample_53
S0541	0.00169075226398425	0.00955500975437965	Sequence	sample_54
S0551	-0.0942064756095258	-0.0574370012854501	Sequence	sample_55
S0561	0.119753501420913	-0.0178698407333244	Sequence	sample_56
S0571	-0.0246855644945652	0.0612996639136139	Sequence	sample_57
S0581	0.0568154549328271	-0.123496545925787	Sequence	sample_58
S0591	-0.0388178269534627	0.0941557744210719	Sequence	sample_59
S0601	0.0296208563026589	-0.0213153171989612	Sequence	sample_60
S0611	0.0286408948428072	-0.13104362099431	Sequence	sample_61
S0621	0.0356316432894344	0.0567777276315641	Sequence	sample_62
S0631	0.0464968994972918	-0.00265708375868742	Sequence	sample_63
S0641	-0.0546867271119599	-0.0146549529156655	Sequence	sample_64
S0651	-0.0393286223528176	-0.0978849844978643	Sequence	sample_65
S0661	0.0480322360915281	-0.0638416473360034	Sequence	sample_66
S0671	0.0715028516481626	-0.0980313902040767	Sequence	sample_67
S0681	-0.11968569234358	0.0124280699358077	Sequence	sample_68
S0691	-0.0521078473917969	-0.103681388021666	Sequence	sample_69
S0701	-0.0312821884688966	0.114287560528758	Sequence	sample_70
S0711	0.0213978666975537	0.10768470723048	Sequence	sample_71
S0721	-0.123462857541944	-0.00122598614486557	Sequence	sample_72
S0731	0.00434126242660232	0.0508672159084605	Sequence	sample_73
S0741	0.0260551919163656	0.000812166024112941	Sequence	sample_74
S0751	-0.0650703953363655	-0.0431895329539122	Sequence	sample_75
S0761	-0.0730217910213799	0.04741053882698	Sequence	sample_76
S0771	0.0177288032002645	-0.125823465769518	Sequence	sample_77
S0781	-0.0770675920340418	-0.0672991085420663	Sequence	sample_78
S0791	-0.0445543054822301	0.064583534428393	Sequence	sample_79
S0801	-0.00920003189755357	0.0248659214112016	Sequence	sample_80
S0811	0.0673646009782673	0.0837458755321749	Sequence	sample_81
S0821	0.0871792694278725	-0.053300096515361	Sequence	sample_82
S0831	0.0329568545516382	-0.0614991603057495	Sequence	sample_83
S0841	-0.00364053047397086	0.128192128076994	Sequence	sample_84
S0851	0.0223268834849837	-0.0799448536833681	Sequence	sample_85
S0861	0.0251657690020262	0.0817625505901268	Sequence	sample_86
S0871	-0.0856346734801105	-0.115839538465443	Sequence	sample_87
S0881	-0.0477370668353062	-0.0521359549862053	Sequence	sample_88
S0891	-0.0213304070111748	0.0124618397499357	Sequence	sample_89
S0901	0.120869437425228	0.0453832135349476	Sequence	sample_90
S0911	0.0542494036592268	0.0987396664893329	Sequence	sample_91
S0921	-0.00387653034236387	-0.0854447816737135	Sequence	sample_92
S0931	-0.0713771356888039	0.0516311263754909	Sequence	sample_93
S0941	0.0673931406012408	-0.0661236774088423	Sequence	sample_94
S0951	-0.103428378081451	0.0389480000723601	Sequence	sample_95
S0961	-0.0309743549762577	0.0325425187829448	Sequence	sample_96
S0971	0.0881697933168411	0.0576488683063542	Sequence	sample_97
S0981	-0.0844600115164106	-0.0887177089906402	Sequence	sample_98
S0991	0.045134492984798	0.039913412664461	Sequence	sample_99
S1001	-0.0353513105215706	0.130515163808816	Sequence	sample_100
