ID	NMDS1	NMDS2	Abd_type	SampleID
S001	0.0819671700567033	-0.0986589264552473	Taxonomic	sample_1
S002	0.0597612123470781	-0.0799201150599052	Taxonomic	sample_2
S003	-0.0265291991138075	0.106989559992945	Taxonomic	sample_3
S004	-0.0722425522702348	-0.133216398181175	Taxonomic	sample_4
S005	0.0990589996860382	0.117135927546643	Taxonomic	sample_5
S006	-0.0629517683658972	-0.0602516915387105	Taxonomic	sample_6
S007	-0.0708977513003003	0.112220324180665	Taxonomic	sample_7
S008	-0.0472303751189824	-0.038464129150977	Taxonomic	sample_8
S009	-0.034945846181077	0.080848188292248	Taxonomic	sample_9
S010	-0.0515093375778985	-0.0667219238514362	Taxonomic	sample_10
S011	0.0686293812498624	-0.0674914334913737	Taxonomic	sample_11
S012	-0.100646363245471	-0.0107721249170233	Taxonomic	sample_12
S013	-0.090794458868703	-0.0255773080012484	Taxonomic	sample_13
S014	-0.0969358189312356	-0.0529140409123713	Taxonomic	sample_14
S015	0.00671999456507904	0.122272132508791	Taxonomic	sample_15
S016	0.0662541460004879	0.0220250638925531	Taxonomic	sample_16
S017	0.0593741709559857	-0.104983849883856	Taxonomic	sample_17
S018	0.133561784806154	-0.0168915497153734	Taxonomic	sample_18
S019	-0.048252932312287	0.0318057842313925	Taxonomic	sample_19
S020	0.00947258839644561	0.0848553338023565	Taxonomic	sample_20
S021	0.00171739055713703	0.0944514444473387	Taxonomic	sample_21
S022	-0.129621722816132	0.10284691968419	Taxonomic	sample_22
S023	0.0504850235633705	0.00186246055149886	Taxonomic	sample_23
S024	0.110541191185465	-0.0741485492172254	Taxonomic	sample_24
S025	0.0913719823955406	0.0310664825773511	Taxonomic	sample_25
S026	-0.0895700872480634	0.011781668716985	Taxonomic	sample_26
S027	-0.0311848836769686	-0.047491254770331	Taxonomic	sample_27
S028	0.0544224792306465	-0.0174262555247741	Taxonomic	sample_28
S029	0.0263968956838419	-0.0458535463066799	Taxonomic	sample_29
S030	-0.144487165934945	0.0767746373884136	Taxonomic	sample_30
S031	0.113221656567668	0.0933907400842985	Taxonomic	sample_31
S032	0.036391705584641	-0.0406327780387597	Taxonomic	sample_32
S033	-0.129168654266502	0.0100199440102066	Taxonomic	sample_33
S034	-0.0310875049670206	-0.0849793831851208	Taxonomic	sample_34
S035	-0.0818962787653969	0.044332822578107	Taxonomic	sample_35
S036	-0.025962962228135	-0.0937789057101646	Taxonomic	sample_36
S037	0.138058687821766	-0.0312572969012055	Taxonomic	sample_37
S038	-0.0795351020611488	0.0199451401695268	Taxonomic	sample_38
S039	0.00346232161892778	-0.0477521445930329	Taxonomic	sample_39
S040	0.0452634674351426	0.134848429215464	Taxonomic	sample_40
S041	-0.0106971266932377	-0.0120396174803052	Taxonomic	sample_41
S042	-0.0438821174955207	-0.116344296345516	Taxonomic	sample_42
S043	0.0287225931113668	-0.0114199726901515	Taxonomic	sample_43
S044	0.0172786743887259	-0.101589177973797	Taxonomic	sample_44
S045	-0.0441850796523031	0.0119361147568491	Taxonomic	sample_45
S046	0.00702531274031272	0.00275429041001745	Taxonomic	sample_46
S047	0.0707454946449678	-0.00364394322471326	Taxonomic	sample_47
S048	0.0980315707354757	-0.0548338345518204	Taxonomic	sample_48
S049	-0.0210085123820308	-0.0437367436406215	Taxonomic	sample_49
S050	-0.0833966185014426	0.0775255347485863	Taxonomic	sample_50
S051	0.0316852692562284	0.0765935698637536	Taxonomic	sample_51
S052	-0.00757280282703987	0.0425108127608981	Taxonomic	sample_52
S053	-0.0588894994610673	0.0673063744494041	Taxonomic	sample_53
S054	-0.0368952025568	-0.00772794938475069	Taxonomic	sample_54
S055	-0.124531348184653	-0.00997186135300747	Taxonomic	sample_55
S056	-0.043719413768049	0.131520157599482	Taxonomic	sample_56
S057	-0.0871418609838312	-0.0909908765941265	Taxonomic	sample_57
S058	0.0441992772916977	-0.102939739724056	Taxonomic	sample_58
S059	-0.173969282350003	-0.0322256889737895	Taxonomic	sample_59
S060	0.0753449747085484	-0.0414245920344815	Taxonomic	sample_60
S061	-0.0648392936247748	-0.0418952600203593	Taxonomic	sample_61
S062	0.147917303198899	-0.0478160305709254	Taxonomic	sample_62
S063	0.0803544093603666	0.0568921593190689	Taxonomic	sample_63
S064	-0.070121492692747	0.0407489598134066	Taxonomic	sample_64
S065	-0.0875836527393141	-0.0718790145252384	Taxonomic	sample_65
S066	0.0411246265321318	-0.00380998792605172	Taxonomic	sample_66
S067	0.00592311753703807	0.0606465338153114	Taxonomic	sample_67
S068	-0.0152692477769458	-0.0737701923514082	Taxonomic	sample_68
S069	-0.0475732151868551	0.0726654447120699	Taxonomic	sample_69
S070	0.0223876765965039	-0.0857397595585198	Taxonomic	sample_70
