SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Streptococcus_pyogenes	0.003576301	0.001214225	0.004261775	0	0.002056738	0	0	0	0	0	0.005070794	0.011255022	0.008570432	0.00383254	0.01032134	0	0.007254596	0	0.001071158	0.002220966	0	0.007277557	0	0	0	0	0.001520487	0.008088114	0	0.05726225	0	0	0	0.005753641	0.002795545	0.003720408	0.035131587	0	0	0	0	0	0	0	0.005971344	0	0	0	0	0	0	0.011766153	0	0	0.002341585	0.002366988	0	0	0.009148657	0	0.00141356	0	0	0	0.004372742	0.001185206	0.018356261	0.004592357	0.008886132	0.012904763	0	0	0	0	0	0	0	0.001093464	0.018215688	0	0	0.004456991	0	0.00101882	0.00299011	0	0	0	0	0.004844177	0	0.004631026	0.005209088	0	0	0.009144838	0.03465608	0.003481813	0	0
Neisseria_gonorrhoeae	0.00189573	0	0	0	0.024089982	0.001981641	0.001192789	0	0	0.004152238	0.004234153	0	0.007889201	0.001163126	0.010473447	0.001603309	0.005342689	0.001695864	0	0	0	0.004724473	0	0.007253648	0	0.005037484	0.025601022	0	0.011151274	0.002103852	0	0	0.009461932	0	0	0	0	0	0	0	0	0	0.000342874	0.004634137	0	0.008388167	0.003126363	0	0	0	0.000886073	0	0.002295912	0	0	0.00616627	0.00095421	0	0.003745406	0.006951545	0.001726155	0.003787892	0.016384158	0.001391063	0.001077883	0.002741665	0	0	0	0.00224538	0.006482315	0	0	0	0.024854496	0	0.002756026	0.00567829	0	0	0	0	0.001029636	0.001551216	0	0.005646788	0	0	0.001341231	0	0	0	0.002657985	0	0	0	0.007432989	0	0	0
Lactococcus_lactis	0	0	0	0.006535583	0	0	0.00070308	0.004985586	0	0.002394238	0	0.008857076	0	0	0.002434223	0.003008354	0	0.009051743	0.002196446	0	0	0	0	0	0.002321425	0.008831929	0	0.001994592	0.002919592	0	0.004152632	0.003410678	0	0	0.005966396	0.00431604	0	0.073698698	0.006784221	0.001914945	0.016901211	0.006859148	0.004324091	0.001017863	0.005268956	0	0.005449419	0	0	0.001304749	0.008237717	0	0.001722996	0.003184995	0	0	0.005676837	0	0.008779499	0.000276973	0.023933147	0.008927746	0.014421731	0	0	0	0.001179038	0.010461689	0.004727704	0	0.002196433	0	0	0.007834889	0.000643624	0	0.004173376	0	0	0	0	0.001804784	0	0.001735899	0	0	0	0.006664607	0.001627606	0	0.010534897	0	0	0.01261544	0	0	0	0	0	0
Streptococcus_agalactiae	0.000465013	0	0.000663402	0.003058926	0.005212203	0	0	0	0.018103015	0	0	0.003900959	0	0	0.011329439	0	0.009512609	0.003059159	0.009555835	0.003522562	0.00177613	0.003314138	0.014583469	0.004724091	0.003179599	0	0.001490528	0.003113443	0	0	0	0.007569179	0	0	0	0	0.003796982	0.000583034	0	0.002837903	0	0	0	0.005103769	0.000605446	0	0	0.002767702	0	0	0.001127956	0	0.001012238	0.006726215	0	0	0.003424179	0	0.000948904	0.001183962	0	0	0.000342341	0	0	0	0.012869942	0	0.000962165	0	0.005942245	0.002979713	0	0	0	0.011432057	0	0.000814066	0	0	0.012169786	0	0.00164513	0	0	0	0	0.000487545	0.007045304	0.003183981	0.001435562	0	0	0.002776732	0.001932376	0	0	0	0.006477285	0
Streptococcus_mutans	0	0	0	0	0.012684596	0.004125701	0.002948406	0	0.007208713	0	0	0	0	0.006687624	0	0	0.002185874	0	0	0.002841978	0	0	0.001042032	0	0.000670776	0	0	0	0.006417572	0	0	0	0	0	0	0	0.001978789	0	0	0	0.000847947	0	0.002871876	0	0.002613004	0	0.003383157	0	0.007672623	0	0	0	0.002187021	0.001974923	0	0	0	0	0.007331629	0.00373289	0.002517478	0.000817016	0	0.002143441	0.010815216	0	0.00161252	0	0.002287219	0.002898979	0.007884494	0.003449438	0	0	0.033116877	0	0	0.002518159	0	0	0.002270661	0	0	0.001150673	0.007289182	0.012893269	0	0.002926633	0.01639938	0	0.000969317	0	0	0	0.002907863	0	0.000844367	0	0	0
Bifidobacterium_longum	0	0.00154852	0.001639515	0.013547264	0.003324532	0	0	0	0	0	0.008591998	0	0	0.004944658	0.00148711	0	0	0	0	0.003051107	0.000585172	0.010519974	0	0.000895103	0.001966351	0.008236686	0.004168244	0	0.00060245	0	0.002940415	0	0	0	0.013706121	0	0	0.0040225	0	0	0	0	0	0	0	0	0.009204025	0	0	0	0	0	0	0	0	0	0.003644753	0	0	0	0.00614014	0	0.006258099	0.006471178	0	0	0	0.005078701	0	0	0.003746148	0	0	0	0	0	0.003322777	0	0.003009532	0	0.005966036	0	0	0.008481684	0	0.001873501	0	0	0	0	0	0	0	0.003804012	0	0	0	0	0	0.002707806
Staphylococcus_epidermidis	0	0.00265081	0.001059889	0	0	0.002414869	0.010313688	0.007913886	0	0.010242944	0.007508037	0	0	0.022028734	0.01588802	0	0	0	0.001663581	0	0	0	0	0.00078581	0	0	0.00133004	0.003511843	0.000952369	0.002906851	0.004355445	0	0.003263555	0.001006513	0.00303875	0	0	0	0.01601366	0	0	0	0	0.001648963	0	0	0	0	0.006563033	0	0.011753343	0	0	0.000935104	0.00436433	0.002492959	0	0	0.001900278	0.003207412	0.000929075	0.002765432	0	0	0.001333716	0.004936177	0	0.004251357	0.01376555	0	0	0.001001674	0	0	0	0	0.000760023	0.001138954	0	0.003353233	0	0	0	0.001246349	0	0	0	0	0	0.010221321	0	0	0.027214977	0.002695644	0.002670226	0	0.001616683	0	0.001489941	0
Treponema_denticola	0.003539546	0.002022988	0	0.000883781	0	0.007912866	0.012402545	0	0	0	0	0	0	0	0	0.00202039	0	0	0	0	0	0.01432382	0.011013138	0	0.000999036	0.000936939	0	0.009440186	0.009705654	0.006051687	0	0	0.003219556	0.004694423	0.008826079	0	0	0	0.000935508	0.004876861	0.009873822	0.006544217	0.005738053	0	0.001866615	0	0	0	0	0	0.02051686	0	0	0.003160874	0	0	0.003736825	0	0.004019534	0	0	0.003524323	0.007485151	0	0	0.010995652	0.001190393	0	0.002119168	0	0.002982282	0.004473009	0	0.013371124	0.001100672	0	0	0.002271438	0.000567992	0.002760755	0.004224086	0	0.00192292	0	0	0	0	0.010743505	0	0	0.02353714	0	0.008611234	0.010337531	0	0	0.002695403	0.001674835	0.009134712	0.000262052
Cutibacterium_acnes	0	0.001294027	0.01931084	0.022155907	0.003068482	0	0	0	0	0	0.008515462	0	0	0.004463672	0	0.001994887	0	0	0.01632827	0	0	0	0	0.008364121	0.00266332	0	0	0.020141172	0	0	0	0	0.001393681	0.002763106	0	0	0	0.005705134	0.003015607	0.001602765	0	0	0	0.006332541	0	0	0	0.010528301	0.019981933	0	0.008172174	0.012581905	0	0.021857069	0	0	0	0	0.006730342	0	0	0.015023197	0.003793005	0	0.016419045	0	0	0.014606653	0	0	0.003042179	0.001326269	0.002781504	0	0	0.00526738	0.001135026	0.006298739	0	0.007039582	0.001496962	0	0	0	0	0	0	0	0	0	0.003166746	0.002255193	0.005101334	0	0	0.004746707	0	0.001385716	0	0
Helicobacter_pylori	0.000307674	0.003147365	0	0	0.003943931	0.005722964	0.010171906	0	0.010339938	0	0	0	0.001446423	0.004351463	0.00400372	0.001430908	0.008103356	0	0	0.014262362	0	0.007453501	0.01023449	0	0.004598434	0	0.002454548	0	0	0	0.008931302	0.010155906	0.006792496	0	0.004530534	0.003083307	0	0	0	0	0	0	0	0	0	0	0	0.005286176	0	0	0	0.000845937	0	0	0	0	0	0.006797591	0	0.001646362	0.027005205	0.001213004	0	0.002562728	0	0.004070897	0	0.010744831	0.002545634	0	0.004402716	0.005183877	0	0	0	0	0.00085822	0	0	0	0	0	0	0.000932799	0	0.002756598	0	0.007650166	0	0.001662179	0	0	0	0	0.037788993	0	0	0	0	0
