SpeciesID	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99	sample_100
Lactococcus_lactis	0.005382649	0	0	0	0.016717632	0	0.010650582	0	0	0.007337522	0.003176415	0.01379096	0	0	0	0	0	0	0	0	0	0.001420481	0	0	0	0	0.001452847	0	0	0.003519558	0	0	0	0	0.003286745	0	0	0	0	0.010909852	0	0	0	0	0.00241964	0	0	0.016411255	0.016515714	0	0	0	0.006812159	0	0	0	0	0.000840436	0	0.013771622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001048651	0	0	0	0	0.009739721	0	0	0	0	0	0	0	0	0.004353671	0	0.011991834	0	0	0	0	0	0	0	0
Xanthomonas_campestris	0.043491827	0	0	0	0	0.003036151	0	0	0	0.022669434	0.013332059	0	0	0	0	0	0	0.006110725	0.001675148	0	0	0	0	0	0	0	0.112063096	0.057145485	0	0.001618851	0.003452076	0	0	0	0	0	0	0	0.004275323	0.006519557	0	0	0.030801297	0.045261331	0	0	0	0	0	0.055593962	0	0	0	0	0.00296556	0	0	0	0	0	0.063562741	0	0	0.021835988	0.030853764	0.004516917	0	0	0	0	0	0.006810061	0.124140132	0.039052493	0	0	0	0	0	0.032829094	0	0.0662691	0.099773026	0	0.024637212	0.122352952	0.06667035	0	0	0	0	0	0	0	0	0	0	0.011042367	0	0
Streptococcus_agalactiae	0	0.013356297	0.003695703	0.004805939	0	0	0.010936272	0	0	0	0	0.018015261	0	0	0.005142205	0	0	0	0	0	0	0	0	0.000625295	0	0	0	0.020106262	0	0	0	0	0	0	0.011837878	0	0	0	0	0.006315011	0	0	0	0.001175409	0.010081042	0	0	0	0.003336836	0	0	0	0	0	0	0	0.009214907	0	0	0.021110374	0	0.002124612	0	0.015006664	0.018898514	0	0	0.007004766	0	0	0	0.01863225	0	0	0	0	0.026034704	0	0	0	0.005125419	0	0	0	0.006219188	0.022956299	0	0	0.001592709	0.011856781	0	0	0.011626107	0.001891784	0.001371886	0	0.00504951	0	0	0
Streptococcus_mutans	0.000771329	0.001709671	0.00298753	0	0	0.00313394	0	0.070950347	0	0.003182503	0	0	0.013439386	0.011316208	0	0.008472205	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004982105	0.002551968	0.002470118	0	0	0	0	0	0	0.002250849	0	0.026028884	0	0	0.009529027	0	0.005070219	0.000818222	0	0	0.001883147	0.020164726	0.002548665	0	0	0	0.002193356	0.002366885	0.017637436	0.019536853	0.010035926	0.005699452	0.009923438	0	0.008603465	0	0	0	0	0.004669376	0.003826281	0	0	0	0	0	0	0	0.018880911	0	0.001600022	0	0.01029911	0.002344691	0	0.007834729	0	0	0	0	0	0	0	0	0.037108303	0	0.047834418	0.00234575	0	0	0
Bifidobacterium_longum	0	0	0	0	0	0.000703433	0	0.00695917	0	0	0.003734651	0	0	0.008746621	0.018475252	0	0	0	0	0.00143581	0.010596041	0	0	0	0	0.007526324	0	0	0	0	0	0	0	0.010620915	0.012598007	0	0	0.040879667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003009052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006130653	0	0	0	0	0	0.005397987	0	0	0.005864747	0	0.013226286	0	0.002020889	0	0	0	0	0	0.011158005	0	0.01770174	0.006455448	0	0	0	0.008419437	0	0.01988836	0	0	0.007576546	0	0
Staphylococcus_epidermidis	0	0	0	0.003201519	0	0.005851593	0.007502396	0	0	0	0	0	0	0.004205359	0	0.003379681	0.028984785	0	0.025546162	0	0.001981343	0	0	0.01059769	0.015067875	0	0	0	0	0.011899706	0	0.00437347	0	0	0	0	0	0	0	0.010065526	0.006807221	0.004242286	0	0	0.007309415	0	0	0	0.004637598	0	0	0	0	0	0.003546316	0	0.015481742	0.016543875	0	0	0	0	0.00618565	0.001660348	0.005748858	0	0	0	0	0	0	0.019355626	0	0	0	0	0	0.043946648	0.001833939	0.008353273	0	0.004249833	0	0.00063127	0	0.012509902	0	0	0	0	0	0	0	0.002532327	0	0	0.005137672	0	0	0
Cutibacterium_acnes	0	0	0	0	0	0.003922027	0	0	0	0.030819473	0	0	0	0	0	0	0	0	0	0.012730152	0	0	0	0	0	0	0.001194247	0.002697719	0	0	0	0	0	0	0	0.002983786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006992511	0.016826389	0.003205552	0	0	0	0	0	0	0	0	0	0.007492984	0	0	0	0	0	0	0	0	0	0	0	0.00645878	0.005190485	0	0	0	0	0	0.01114623	0	0.004341746	0	0.026256897	0	0	0	0	0	0.004674297	0	0.016481386	0	0	0.001621601	0.020346654	0	0
Helicobacter_pylori	0.003543618	0	0	0.001715726	0	0	0	0.006128132	0	0.008481862	0.012138521	0	0	0	0	0	0	0	0.05836606	0.000754849	0.000397177	0	0	0	0	0	0	0.002117559	0	0.000998624	0.009376104	0	0	0	0	0	0.01529203	0	0.011632482	0.003156279	0.022024583	0.003488087	0	0.002393455	0	0	0.000345211	0	0.007254908	0	0	0.001410576	0.010892741	0	0	0	0	0	0	0.017245557	0.00162236	0.002427644	0	0	0	0	0.003118093	0	0.008419476	0	0	0	0	0.001744907	0	0.000194584	0	0	0	0.003125253	0	0.006425518	0	0	0	0	0	0	0.000761056	0	0	0	0	0	0	0	0	0	0	0
Neisseria_meningitidis	0	0	0	0	0	0.003655304	0	0.005021545	0	0	0.001359188	0.008709628	0.00074571	0	0	0	0	0	0	0.008553341	0	0	0	0	0	0	0.000791705	0.010789663	0.002225334	0	0	0.031803084	0	0	0	0	0	0	0.003995033	0	0	0	0.030318494	0	0	0.014184636	0	0	0	0.004956377	0	0	0	0.003726842	0	0	0	0.001601385	0	0	0	0	0	0	0	0	0	0	0	0	0.014478518	0	0	0	0.024883493	0.005642013	0	0	0	0	0	0.01223451	0	0	0	0.005667527	0	0	0	0	0	0.002588955	0.003353176	0	0.020083467	0.017065833	0	0.006926865	0.005150989	0
Staphylococcus_saprophyticus	0.017700488	0	0	0.007986179	0	0	0.003463684	0.007163843	0	0	0	0	0	0	0.005089829	0	0	0.013884669	0	0	0	0	0	0	0	0.005630386	0	0	0	0	0	0	0	0	0.007178463	0	0	0	0.023867414	0.026658452	0	0	0	0	0.003633178	0.003776604	0.003020305	0	0.049181317	0.036522325	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012652886	0	0.003979343	0	0.002504943	0.017636458	0.012910262	0	0.027009145	0	0	0.003668023	0.004129426	0.009946251	0.0046974	0	0.004790015	0	0	0	0	0.015923491	0	0	0	0.024836103	0.002490914	0.012363293	0	0.005339881	0	0	0	0	0	0	0.009836022
Finegoldia_magna	0.0016472	0	0	0.015534927	0	0	0	0	0	0	0	0.001879118	0	0.012177238	0.00367307	0	0.000631789	0	0.011415619	0	0	0.002986571	0	0	0	0	0	0.007865648	0	0	0	0	0	0	0	0	0	0	0	0	0.00200392	0	0	0	0	0	0	0.004315766	0	0	0.01911824	0	0	0	0	0.003702502	0	0	0	0	0	0.023255312	0	0.006303432	0	0.009154561	0	0	0	0	0.008008572	0	0.007855066	0	0	0	0	0	0.049775819	0.005580062	0	0	0	0	0	0	0.001471459	0.008483838	0	0	0	0	0	0	0	0.005829242	0.002809818	0.006244453	0	0.002012636
