ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	3.06309229361559	-0.204485092657508	Taxonomic	sample_1
S002 	4.05875922588911	0.911406452609691	Taxonomic	sample_2
S003 	3.76162983187946	2.79283765805948	Taxonomic	sample_3
S004 	0.999554655085738	4.49323508821527	Taxonomic	sample_4
S005 	-3.87338979838754	-1.33545186312316	Taxonomic	sample_5
S006 	2.7924988637054	4.78629605401874	Taxonomic	sample_6
S007 	2.5419060637665	2.18732718313275	Taxonomic	sample_7
S008 	-5.20917680659621	0.19673317059501	Taxonomic	sample_8
S009 	-2.00519650459759	-5.20243945685794	Taxonomic	sample_9
S010 	-0.358082906431912	0.877239747785997	Taxonomic	sample_10
S011 	0.494092303602175	1.86818921545474	Taxonomic	sample_11
S012 	5.30481566073911	-1.85905116801451	Taxonomic	sample_12
S013 	-1.53999011633582	-0.686711256643235	Taxonomic	sample_13
S014 	-1.24514722643851	2.8562621430651	Taxonomic	sample_14
S015 	2.05384045739696	-0.29208310555719	Taxonomic	sample_15
S016 	3.04033044547759	0.71807388808215	Taxonomic	sample_16
S017 	-4.0259819389971	-2.90789827575661	Taxonomic	sample_17
S018 	-3.01236566006191	-4.07951519219263	Taxonomic	sample_18
S019 	-1.12339428090831	2.8350095924395	Taxonomic	sample_19
S020 	0.501277665566843	-0.632778728593535	Taxonomic	sample_20
S021 	1.50431497600189	1.41664967754111	Taxonomic	sample_21
S022 	-1.84395547526089	-1.66163487038894	Taxonomic	sample_22
S023 	1.13560996306958	0.660533623338938	Taxonomic	sample_23
S024 	-1.51083641204819	0.802095088453733	Taxonomic	sample_24
S025 	4.84879361181101	-0.103170484561248	Taxonomic	sample_25
S026 	1.5782932601748	-2.55645559475019	Taxonomic	sample_26
S027 	0.295067372938424	2.6349291005077	Taxonomic	sample_27
S028 	-0.106706518914121	-2.37200056542917	Taxonomic	sample_28
S029 	-1.98426482643467	1.11972218896995	Taxonomic	sample_29
S030 	2.3375404595906	2.7171644010933	Taxonomic	sample_30
S031 	3.48305770947003	-4.60002546531963	Taxonomic	sample_31
S032 	2.08636625398578	2.88737678514199	Taxonomic	sample_32
S033 	-0.420842294868416	4.24092565279323	Taxonomic	sample_33
S034 	-5.1028153386612	-0.419143792600576	Taxonomic	sample_34
S035 	-3.52123313420506	1.79756039201335	Taxonomic	sample_35
S036 	0.256388244864887	-3.93926508703583	Taxonomic	sample_36
S037 	4.24134163143813	3.22783175413183	Taxonomic	sample_37
S038 	1.14775493417707	-2.83402327523044	Taxonomic	sample_38
S039 	0.862424607993298	4.00183831132085	Taxonomic	sample_39
S040 	-1.74805983479207	2.01777450224225	Taxonomic	sample_40
S041 	-3.59669974715398	1.67632910952937	Taxonomic	sample_41
S042 	0.274747672377484	-3.92591055170602	Taxonomic	sample_42
S043 	-5.32225789731934	0.77588539121715	Taxonomic	sample_43
S044 	0.895941016099801	0.708331096712651	Taxonomic	sample_44
S045 	2.75064777683351	-2.83998308395436	Taxonomic	sample_45
S046 	3.12604227244012	-1.11341317116938	Taxonomic	sample_46
S047 	2.13726251643455	1.32813889347117	Taxonomic	sample_47
S048 	-0.408144135870641	1.50160262295137	Taxonomic	sample_48
S049 	3.97490756568217	-0.430632330795969	Taxonomic	sample_49
S050 	0.288850894335281	3.4707507188723	Taxonomic	sample_50
S051 	-1.34025950836676	-2.64145978899195	Taxonomic	sample_51
S052 	-0.249053794624441	0.59672016591931	Taxonomic	sample_52
S053 	0.389876126297396	1.72034773793356	Taxonomic	sample_53
S054 	2.2121710544202	-3.08451888096515	Taxonomic	sample_54
S055 	1.03258742569369	-1.16642796673556	Taxonomic	sample_55
S056 	-0.21290671053409	0.0564015089771878	Taxonomic	sample_56
S057 	5.07334447291061	1.91445898039751	Taxonomic	sample_57
S058 	2.29337537536101	-4.47066360293701	Taxonomic	sample_58
S059 	1.54091852495738	0.613530059074966	Taxonomic	sample_59
S060 	4.20581204704564	0.738641693585912	Taxonomic	sample_60
S061 	-4.45351174559838	3.14288628389361	Taxonomic	sample_61
S062 	-1.42640301558953	-0.487575538121448	Taxonomic	sample_62
S063 	2.09333191846872	-4.84110313513203	Taxonomic	sample_63
S064 	3.06431579356172	2.20307228558952	Taxonomic	sample_64
S065 	0.435130520955465	-0.702189601059198	Taxonomic	sample_65
S066 	2.5179691129406	-1.5742914680382	Taxonomic	sample_66
S067 	-5.52206076936912	1.48696866903616	Taxonomic	sample_67
S068 	-5.45990865360059	1.35620373217749	Taxonomic	sample_68
S069 	-0.0869643868395508	-5.51890664566864	Taxonomic	sample_69
S070 	-3.56207710936043	-1.18724688573564	Taxonomic	sample_70
S071 	-4.95585245710161	-1.41463023776488	Taxonomic	sample_71
S072 	2.99132412666427	-2.23143943699398	Taxonomic	sample_72
S073 	-0.0079842087110793	-2.10175791505632	Taxonomic	sample_73
S074 	-0.793684916228865	-0.119281231912475	Taxonomic	sample_74
S075 	-1.88129438792236	-3.43822133915402	Taxonomic	sample_75
S076 	-2.01630433992134	-1.11279762348357	Taxonomic	sample_76
S077 	-2.7070610067455	4.42829556077902	Taxonomic	sample_77
S078 	-2.57482866857654	4.60936521833215	Taxonomic	sample_78
S079 	-1.2686932114972	-3.81211006958677	Taxonomic	sample_79
S080 	1.57330793698961	3.65072097159462	Taxonomic	sample_80
S081 	2.49202501183895	-1.49352400253879	Taxonomic	sample_81
S082 	-2.64265427959538	-1.98385366917316	Taxonomic	sample_82
S083 	-0.196114688417804	-1.49672936611171	Taxonomic	sample_83
S084 	-5.87477065634493	-1.9619695621109	Taxonomic	sample_84
S085 	-0.0648834222108631	4.94209969102077	Taxonomic	sample_85
S086 	0.912486720681199	-1.93862455934244	Taxonomic	sample_86
S087 	2.7499804612533	0.551507419589601	Taxonomic	sample_87
S088 	-3.30147405451089	0.509780490575606	Taxonomic	sample_88
S089 	-3.19117756895873	1.19958075311782	Taxonomic	sample_89
S090 	5.26971172274017	-2.04221784791882	Taxonomic	sample_90
S091 	-2.52615489217542	-0.251988926396547	Taxonomic	sample_91
S092 	1.03022222356274	2.23039446633093	Taxonomic	sample_92
S093 	2.73474238893337	4.81964587668861	Taxonomic	sample_93
S094 	-1.68888467905626	1.79426128989203	Taxonomic	sample_94
S095 	-2.84103395355024	3.35515505170749	Taxonomic	sample_95
S096 	-2.84085021595701	-3.9802799343606	Taxonomic	sample_96
S097 	-1.16450766439303	-2.30764982625185	Taxonomic	sample_97
S098 	-4.01396320296883	-2.86721458625389	Taxonomic	sample_98
S099 	4.3820174879885	-2.42137531683757	Taxonomic	sample_99
S100 	1.99205836330282	-0.781966033003378	Taxonomic	sample_100
S101	-2.54238551269754	2.12285011376408	Sequence	sample_1
S102	-0.314704408718886	-1.05313503771471	Sequence	sample_2
S103	-1.03218295548771	1.10094794356805	Sequence	sample_3
S104	-2.77274019241133	-2.77445758499926	Sequence	sample_4
S105	3.94024095430127	2.95865749226242	Sequence	sample_5
S106	-5.1673610721852	0.704234477800127	Sequence	sample_6
S107	-0.116015406175557	0.105486144335024	Sequence	sample_7
S108	3.02032943332833	-1.44028386351942	Sequence	sample_8
S109	1.8319948144427	-3.45676225132553	Sequence	sample_9
S110	0.102233034488685	1.69698325306294	Sequence	sample_10
S111	-1.63412530049058	-0.556646888353742	Sequence	sample_11
S112	3.19564328125771	-0.0051194253416812	Sequence	sample_12
S113	1.14826498329478	2.63434510056018	Sequence	sample_13
S114	-4.4745270339673	-0.423895552381126	Sequence	sample_14
S115	0.0100041770613737	-0.212852502777494	Sequence	sample_15
S116	1.3958559286325	-0.874186760236855	Sequence	sample_16
S117	-1.08514388278726	-3.8257987222773	Sequence	sample_17
S118	-1.94967830569102	-4.98947635067638	Sequence	sample_18
S119	-4.57578147373711	0.0943395107978918	Sequence	sample_19
S120	2.13921022706402	-2.97290669851415	Sequence	sample_20
S121	0.87283552392418	0.854324382826166	Sequence	sample_21
S122	1.28166697066188	3.03944377046844	Sequence	sample_22
S123	3.01303156359497	1.19803396278813	Sequence	sample_23
S124	-3.0339149036162	0.567539173274922	Sequence	sample_24
S125	-3.95448573676816	2.27818890372164	Sequence	sample_25
S126	1.68871078759099	0.909989360779941	Sequence	sample_26
S127	-1.60601152086002	2.05441161166645	Sequence	sample_27
S128	-1.43593865283826	4.33544600261279	Sequence	sample_28
S129	-3.51889717301756	0.598421066186232	Sequence	sample_29
S130	-0.575036272620539	0.548972253549715	Sequence	sample_30
S131	-3.2034575096563	-3.93081378411805	Sequence	sample_31
S132	-1.14394093451555	-1.4902874887953	Sequence	sample_32
S133	-2.52954869929937	-0.320711051675073	Sequence	sample_33
S134	-0.975625481926637	-4.61725312501399	Sequence	sample_34
S135	-4.40246059509788	-2.26123093808868	Sequence	sample_35
S136	-0.216316453850724	-3.06078116819263	Sequence	sample_36
S137	-3.69011793227611	3.6699674379433	Sequence	sample_37
S138	2.46897331438242	4.04273201421826	Sequence	sample_38
S139	-2.3486568178548	-1.78485903288081	Sequence	sample_39
S140	-3.56794713676008	-0.75933171819845	Sequence	sample_40
S141	-4.05626098727237	-2.05031907791659	Sequence	sample_41
S142	0.348358837343622	-2.71596619681223	Sequence	sample_42
S143	3.13158083150297	-1.34646848490677	Sequence	sample_43
S144	-1.3459565584802	1.42827840459871	Sequence	sample_44
S145	2.43823953640912	-0.30174976490783	Sequence	sample_45
S146	2.21696492683845	2.19933630848122	Sequence	sample_46
S147	4.88143930088333	-0.569399767525097	Sequence	sample_47
S148	-0.162738071653141	1.97803960998345	Sequence	sample_48
S149	-3.22121516441173	2.05972683640925	Sequence	sample_49
S150	-1.62679255936692	1.95040163286455	Sequence	sample_50
S151	1.16984635875621	4.02009205688651	Sequence	sample_51
S152	-0.923130330198777	0.0209331784313097	Sequence	sample_52
S153	-2.25358021487495	0.230514994762256	Sequence	sample_53
S154	2.26456557595794	0.365957683319381	Sequence	sample_54
S155	-0.87902532200664	2.99044242384265	Sequence	sample_55
S156	0.954403173766049	-0.0356226250099386	Sequence	sample_56
S157	-0.815198569935887	-1.91815612639174	Sequence	sample_57
S158	1.37252671973631	-2.11174388334208	Sequence	sample_58
S159	3.09494509107691	0.74096360305986	Sequence	sample_59
S160	-0.227521507726508	-1.28054997531819	Sequence	sample_60
S161	-0.610032216481716	4.44625579036276	Sequence	sample_61
S162	0.799435540917802	2.44928674800082	Sequence	sample_62
S163	1.65643910105546	-2.81961191535847	Sequence	sample_63
S164	-2.18381733999746	0.514641805891408	Sequence	sample_64
S165	-2.23740926741421	3.31027364076366	Sequence	sample_65
S166	1.56232501120717	1.7748865548591	Sequence	sample_66
S167	5.02813279141934	1.35376092472861	Sequence	sample_67
S168	5.01378566589545	1.35584634395009	Sequence	sample_68
S169	0.835334817610262	-4.06133300546195	Sequence	sample_69
S170	3.68352311068748	2.77163865548888	Sequence	sample_70
S171	-0.390194601826535	-5.16345829303108	Sequence	sample_71
S172	2.0840952665266	-0.758002789910457	Sequence	sample_72
S173	-1.50639038139768	4.10401022367487	Sequence	sample_73
S174	-0.205805252105864	1.309799267715	Sequence	sample_74
S175	1.00304348534523	5.16382618384274	Sequence	sample_75
S176	0.833356296746211	3.26920353948595	Sequence	sample_76
S177	5.36119323134087	-2.475455313734	Sequence	sample_77
S178	5.0431871938453	-2.4970082642651	Sequence	sample_78
S179	4.62309456004065	-2.5567795724704	Sequence	sample_79
S180	-1.67155488152864	-1.62808832652215	Sequence	sample_80
S181	1.40724052240105	1.86923728390411	Sequence	sample_81
S182	2.58578918054249	-2.60116712618395	Sequence	sample_82
S183	-2.34640530781952	3.80385556311094	Sequence	sample_83
S184	1.45248075091678	-4.89029198500424	Sequence	sample_84
S185	-2.32742570502196	-1.22673593326597	Sequence	sample_85
S186	-1.12676490029725	3.29181424828043	Sequence	sample_86
S187	1.37524460297938	-0.136427452038492	Sequence	sample_87
S188	1.0546787592515	-2.19395414648819	Sequence	sample_88
S189	-2.44694303602949	-2.08719383406756	Sequence	sample_89
S190	4.80803453793644	-0.421284127383317	Sequence	sample_90
S191	0.180789283442393	3.6153816994221	Sequence	sample_91
S192	-1.10684138691887	-0.023697351356045	Sequence	sample_92
S193	-5.23995092454269	0.804405092293395	Sequence	sample_93
S194	-3.61315621459422	-0.637786042339793	Sequence	sample_94
S195	4.68688931213861	-0.081254397856885	Sequence	sample_95
S196	-2.15028698774499	-4.99890395327311	Sequence	sample_96
S197	0.64999005782201	4.52870363942263	Sequence	sample_97
S198	-0.99912029638185	-3.70876562124959	Sequence	sample_98
S199	3.70366465562371	-4.09241539743468	Sequence	sample_99
S200	0.126906269348822	-1.03644721811683	Sequence	sample_100
